time,GFDL-ESM2G,NORESM1-M,CSIRO-MK3-6-0,CCSM4,CESM1-CAM5,IPSL-CM5A-LR,GISS-E2-R,GFDL-CM3
2039.0,11069357000.0,11676168000.0,11740560000.0,11680293000.0,11129378000.0,11604546000.0,12247417000.0,10082732000.0
2040.0,10903295000.0,11717698000.0,11731129000.0,11437594000.0,10992814000.0,11377947000.0,11984497000.0,9617225000.0
2041.0,10621609000.0,11392979000.0,11490323000.0,11220768000.0,10679783000.0,11189286000.0,11862191000.0,9317934000.0
2042.0,10398308000.0,11192685000.0,11378535000.0,10977196000.0,10428706000.0,10944618000.0,11747579000.0,9045644000.0
2043.0,10157984000.0,10958680000.0,11143026000.0,10832328000.0,10490832000.0,10836038000.0,11523876000.0,8695230000.0
2044.0,9769038000.0,10722675000.0,10976240000.0,10626747000.0,10184867000.0,10559023000.0,11345381000.0,8487208000.0
2045.0,9674101000.0,10538597000.0,10788072000.0,10435116000.0,9838098000.0,10303991000.0,11536399000.0,8141089000.0
2046.0,9420090000.0,10614738000.0,10612156000.0,10238820000.0,9522286000.0,9992601000.0,11123013000.0,7929869300.0
2047.0,9190286000.0,10299995000.0,10416607000.0,9998180000.0,9331708000.0,9703931000.0,11087230000.0,7539989000.0
2048.0,8990635000.0,10201146000.0,10296238000.0,9708526000.0,9077416000.0,9465854000.0,10870505000.0,7317501400.0
2049.0,8761745000.0,9942906000.0,10055113000.0,9506938000.0,8818493000.0,9228123000.0,10709498000.0,7009077000.0
2050.0,8581556700.0,9682556000.0,9786354000.0,9396103000.0,8700292000.0,8809233000.0,10536187000.0,6699839000.0
2051.0,8417294000.0,9516952000.0,9519156000.0,9237634000.0,8365282300.0,8578457600.0,10440985000.0,6508144000.0
2052.0,8161779000.0,9339142000.0,9282559000.0,8874471000.0,8033546000.0,8241234400.0,10334033000.0,6283662000.0
2053.0,8100853000.0,9113398000.0,9211529000.0,8685930000.0,7874078000.0,8106281500.0,10148457000.0,5950961700.0
2054.0,7960882700.0,8980899000.0,9083962000.0,8445253600.0,7655338000.0,7770017300.0,9959330000.0,5687405600.0
2055.0,7797967000.0,8802889000.0,8884176000.0,8265280000.0,7571343400.0,7487746000.0,9747471000.0,5497113000.0
2056.0,7649726000.0,8579786000.0,8705343000.0,8099984000.0,7275529700.0,7265876500.0,9604285000.0,5334231600.0
2057.0,7519586300.0,8438745000.0,8514197000.0,8006425000.0,6968298000.0,7098731500.0,9581516000.0,5172110000.0
2058.0,7328633000.0,8267090000.0,8379883500.0,7772589600.0,6611238000.0,7066911000.0,9505067000.0,5061433000.0
2059.0,7200047000.0,8037928000.0,8213041700.0,7591631400.0,6389698000.0,6601556000.0,9172572000.0,4852730000.0
2060.0,7107976000.0,7887579000.0,7984494600.0,7408654000.0,6374280700.0,6421526000.0,9012498000.0,4689708000.0
2061.0,7480430000.0,7788528000.0,7818434000.0,7271834600.0,6085087000.0,6275991600.0,8898161000.0,4499669000.0
2062.0,6929593000.0,7424696300.0,7671793000.0,7064202000.0,5900093400.0,6079086000.0,8759916000.0,4364485600.0
2063.0,6855606300.0,7402697700.0,7907554000.0,7017593000.0,5715099600.0,5865842000.0,8463679000.0,4227079000.0
2064.0,6673127000.0,7194298400.0,7620369000.0,6744667600.0,5444254700.0,5663514000.0,8297337000.0,4113144800.0
2065.0,6648798700.0,6917402000.0,7499972000.0,6563371000.0,5154265000.0,5502960000.0,8183310000.0,3887445200.0
2066.0,6416843000.0,6656822000.0,7171420000.0,6464737300.0,4951238000.0,5474542000.0,7997198000.0,3828824600.0
2067.0,6446795000.0,6341320700.0,7049889000.0,6348359000.0,4670758400.0,5226078700.0,7862838000.0,3656961300.0
2068.0,6217203700.0,6171383300.0,6844805600.0,6143304000.0,4456442400.0,5058188000.0,7639202300.0,3518257000.0
2069.0,6240048000.0,5988312600.0,6601880000.0,5989576700.0,4224030200.0,4933821000.0,7537905700.0,3361294000.0
2070.0,6025723400.0,5798213000.0,6483601400.0,5830057500.0,4025881600.0,4815830500.0,7327364000.0,3244381700.0
2071.0,5943470600.0,5536289000.0,6279542300.0,5699662000.0,3802506800.0,4620302000.0,7178539000.0,3106846700.0
2072.0,5828571600.0,5397605400.0,6113484300.0,5529662500.0,3824891000.0,4569386500.0,7109690400.0,3002205400.0
2073.0,5691603000.0,5125201000.0,5902133000.0,5361895400.0,3452266800.0,4405316600.0,7128610000.0,2876003800.0
2074.0,5630668000.0,4917250000.0,5721901600.0,5183704600.0,3280940000.0,4277107500.0,6845639000.0,2746588400.0
2075.0,5479707600.0,4823725000.0,5587853000.0,4991989000.0,3136328200.0,4201909800.0,6736722000.0,2611629300.0
2076.0,5439297500.0,4520087600.0,5421174300.0,4896831000.0,2966552300.0,4084420400.0,6681399000.0,2708498000.0
2077.0,5360394000.0,4337206000.0,5220233000.0,4760732700.0,2812740000.0,3991206400.0,6513120000.0,2456285700.0
2078.0,5234436000.0,4214694000.0,5032977000.0,4743622700.0,2637821400.0,3820651800.0,6383098000.0,2351527000.0
2079.0,5153854500.0,4169274600.0,4829113300.0,4574177000.0,2478056400.0,3697829000.0,6198955500.0,2255341800.0
2080.0,5058228000.0,3993686000.0,4673381400.0,4582409000.0,2331062500.0,3589108000.0,6629209600.0,2139045200.0
2081.0,4980540000.0,3916399000.0,4505149400.0,4479697400.0,2134452100.0,3467386400.0,6297717000.0,2071316200.0
2082.0,4867232000.0,3731416300.0,4408099000.0,4300522000.0,1985494100.0,3366160600.0,6034138600.0,1995205400.0
2083.0,4783554600.0,3601050000.0,4271764500.0,4197600300.0,1821469700.0,3245968600.0,5917164500.0,1881662500.0
2084.0,4759318000.0,3525556000.0,4115449900.0,4062129200.0,1705493500.0,3237100800.0,5767221000.0,1736729200.0
2085.0,4634383400.0,3374570500.0,3976242700.0,3958965800.0,1585982300.0,3083548000.0,5729049600.0,1635536100.0
2086.0,4552947700.0,3172026400.0,3798404600.0,3815110000.0,1487578100.0,2978755600.0,5570488000.0,1527244000.0
2087.0,4430733300.0,3035309000.0,3706418700.0,3677489200.0,1363680900.0,2852962600.0,5461353000.0,1433289000.0
2088.0,4334360000.0,2911975700.0,3542257000.0,3564111400.0,1267384400.0,2717136000.0,5405439000.0,1367508600.0
2089.0,4251971800.0,2809596000.0,3405003300.0,3415860000.0,1188982900.0,2610244600.0,5424460000.0,1294503400.0
2090.0,4122803500.0,2640980000.0,3276082000.0,3248912600.0,1098387100.0,2483086000.0,5297230300.0,1202571600.0
2091.0,4157724400.0,2516199400.0,3102750500.0,3164257000.0,937189250.0,2359215900.0,5442684000.0,1104763300.0
2092.0,3946953000.0,2392214500.0,2984505900.0,3074029600.0,875631900.0,2174699000.0,5143770600.0,1011373000.0
2093.0,3806424300.0,2284013300.0,2899541500.0,2967920000.0,798065000.0,2025032400.0,5103359000.0,944107460.0
2094.0,3766268200.0,2198421500.0,2718701000.0,2881165300.0,722224000.0,1925589900.0,4973565400.0,883371970.0
2095.0,3594722000.0,2107556100.0,2595250700.0,2778740700.0,719790850.0,1812283800.0,5261447000.0,841804800.0
2096.0,3445371000.0,2026332900.0,2538044200.0,2671545900.0,684941500.0,1718778800.0,4961876500.0,785478000.0
2097.0,3263075000.0,1940781600.0,2412226300.0,2554653400.0,600964160.0,1631887700.0,4846858000.0,750560500.0
2098.0,3216041700.0,1822795500.0,2274456000.0,2616668400.0,554527170.0,1553975600.0,4867265000.0,719014700.0
2099.0,3110447000.0,1657990500.0,2141124100.0,2420185000.0,533606240.0,1440920700.0,4741203500.0,652005800.0
2100.0,3000549000.0,1564089200.0,2003968600.0,2411067400.0,551158400.0,1380463500.0,5132428000.0,622418300.0
