time,GFDL-ESM2G,CNRM-CM5,MPI-ESM-LR,CSIRO-MK3-6-0,NORESM1-M,CCSM4,IPSL-CM5A-LR,GISS-E2-R,CANESM2,CESM1-CAM5,GFDL-CM3
2044.0,11813871000.0,10103033000.0,10441285000.0,10695148000.0,9764365000.0,11172825000.0,9502388000.0,10724429000.0,8987911000.0,10221165000.0,8335587000.0
2045.0,11644951000.0,10086030000.0,10250097000.0,10502859000.0,9446213000.0,10905402000.0,9171304000.0,10490157000.0,8724323000.0,9978173000.0,7888730600.0
2046.0,11469473000.0,9908291000.0,10111098000.0,10234989000.0,9192965000.0,10666819000.0,8846839000.0,10390878000.0,8309176300.0,9784506000.0,7635761000.0
2047.0,11340047000.0,9708447000.0,9922284000.0,9998540000.0,9263282000.0,10899780000.0,8638001000.0,10048019000.0,8148713500.0,9372105000.0,7235997000.0
2048.0,11223112000.0,9524816000.0,9733663000.0,9738177000.0,8727242000.0,10322436000.0,8275037000.0,9855345000.0,7815777000.0,9093044000.0,6976323000.0
2049.0,10927227000.0,9261698000.0,9958463000.0,9500032000.0,8475052500.0,10159373000.0,8047083500.0,9749142000.0,7472076000.0,8833459000.0,6646480000.0
2050.0,10819131000.0,9035330000.0,9806293000.0,9204692000.0,8014863400.0,9998730000.0,7800717300.0,9557541000.0,7259303000.0,8534701600.0,6320702500.0
2051.0,10674984000.0,8738872000.0,9366527000.0,8848600000.0,7822639600.0,9851572000.0,7521966000.0,9469137000.0,7098636300.0,8209010700.0,6050508000.0
2052.0,10490245000.0,8513956000.0,9176040000.0,8447982000.0,7348819500.0,9637237000.0,7204649500.0,9308511000.0,6799161000.0,7816237000.0,5797685000.0
2053.0,10352922000.0,8479627300.0,9114818000.0,8162093000.0,7056267300.0,9465419000.0,6853104600.0,9024105000.0,6474806300.0,7596705300.0,5516391400.0
2054.0,10092025000.0,8061464000.0,8906415000.0,7856472000.0,6868312000.0,9278709000.0,6648992000.0,8832688000.0,6272901600.0,7294844400.0,5278159400.0
2055.0,9917445000.0,8284027000.0,8699596000.0,7553276000.0,6623215000.0,9288021000.0,6586653000.0,8653928000.0,6059041000.0,7014333000.0,4974489600.0
2056.0,9818492000.0,7951000600.0,8519823400.0,7343473700.0,6394489300.0,9000973000.0,6228969500.0,8490615000.0,5852406000.0,6804206000.0,4721703000.0
2057.0,9563521000.0,7756140500.0,8346017300.0,7133031000.0,6055107000.0,8868215000.0,5941603300.0,8280899600.0,5613796000.0,6634798600.0,4495077400.0
2058.0,9346153000.0,7498869000.0,8164103000.0,6886398000.0,5799939600.0,8747370000.0,6176017400.0,8053294000.0,5339147000.0,6413048000.0,4329686000.0
2059.0,9177500000.0,7239468500.0,7897980000.0,6617863000.0,5586881500.0,8604131000.0,5631706000.0,7902782000.0,5141627400.0,6087504400.0,4206308400.0
2060.0,9070889000.0,7259710000.0,7724592600.0,6267392000.0,5410422300.0,8538719700.0,5457023500.0,8136138000.0,4944112600.0,5821525500.0,4039308800.0
2061.0,8825418000.0,6929321500.0,7517579300.0,6097993700.0,5302275600.0,8272011300.0,5336553500.0,7818514400.0,4827636700.0,5643699000.0,3857027000.0
2062.0,8621994000.0,6738076000.0,7590336000.0,5816415000.0,5127079000.0,8253445600.0,5104189000.0,7568828000.0,4518231000.0,5410484000.0,3759656000.0
2063.0,8424740000.0,6579779000.0,7256733700.0,5491689500.0,4953852000.0,8012856000.0,4872908000.0,7928863000.0,4377850400.0,5313745000.0,3576063000.0
2064.0,8264204300.0,6345503000.0,7089242000.0,5293091300.0,4834822000.0,7928167000.0,4701196300.0,7360823300.0,4250160000.0,5219812400.0,3397286000.0
2065.0,8056192000.0,6121313000.0,6875351600.0,5175434000.0,4689883000.0,7707719700.0,4602176500.0,7251936000.0,4108362000.0,4957724700.0,3261664300.0
2066.0,7972823600.0,6016740400.0,6761022500.0,4965183500.0,4557414400.0,7547188000.0,4453255000.0,7189200000.0,4011209200.0,4740440000.0,3154153700.0
2067.0,7727258000.0,5745398300.0,6634863600.0,4730708000.0,4431407000.0,7368024000.0,4322586000.0,7234797600.0,3925879300.0,4565195300.0,3039151900.0
2068.0,7386251000.0,5599374300.0,6701929000.0,4521601000.0,4370750000.0,7252676600.0,4238299000.0,6982424600.0,3844270000.0,4727107600.0,2946406000.0
2069.0,7117120000.0,5456765000.0,6388306400.0,4354500000.0,4344478700.0,7117554700.0,4149270500.0,6939528700.0,3546332700.0,4378281000.0,2805599200.0
2070.0,7035115500.0,5257153500.0,6388446000.0,4197737200.0,4140562700.0,6950992400.0,4064249300.0,6892721000.0,3406357000.0,4151250400.0,2699080700.0
2071.0,6825849000.0,5147391000.0,6183234000.0,4107126500.0,4046202400.0,6776637400.0,3938199800.0,6847970300.0,3306553000.0,3948203000.0,2595587600.0
2072.0,6623763500.0,4935780400.0,5925394400.0,3894273300.0,3945647900.0,6591070700.0,3804085800.0,6673108500.0,3168085500.0,4262681300.0,2484232000.0
2073.0,6471425500.0,4825228300.0,6556848000.0,3735590700.0,3874241500.0,6433316400.0,3697135900.0,6577936400.0,3041274400.0,3715825700.0,2376646400.0
2074.0,6472439300.0,4731129300.0,6034940000.0,3580029400.0,3831420200.0,6307822000.0,3566871800.0,6414898700.0,2905587500.0,3553787400.0,2269152300.0
2075.0,6513405000.0,4567478000.0,5820175000.0,3404868000.0,3717592000.0,6124028400.0,3448535300.0,6333961000.0,2765178000.0,3431958500.0,2176588800.0
2076.0,6043536400.0,4378947000.0,6415669000.0,3341303800.0,3739651600.0,5926854700.0,3973489700.0,6311721500.0,2659759900.0,3350571300.0,2108622200.0
2077.0,5894211600.0,4185631500.0,6315862000.0,3184463400.0,3598267600.0,5836948000.0,3331540500.0,6172025300.0,2560413200.0,3186483500.0,2034281300.0
2078.0,5903287300.0,4127647700.0,5672442400.0,3056285700.0,3460562200.0,5706923000.0,3222131700.0,6151470600.0,2450448400.0,3044213200.0,1911348600.0
2079.0,5624684000.0,4745535500.0,5541902300.0,2946438700.0,3356897800.0,5587740700.0,3079487000.0,6179384000.0,2354323700.0,2911542500.0,2034730200.0
