time,CESM2,FGOALS-F3-L,NORESM2-MM,BCC-CSM2-MR,INM-CM4-8,EC-EARTH3,CAMS-CSM1-0,MRI-ESM2-0,MPI-ESM1-2-HR,INM-CM5-0,CESM2-WACCM,GFDL-ESM4,EC-EARTH3-VEG
2039.0,2464512000000.0,2315520000000.0,2529776600000.0,2446371800000.0,2533786600000.0,2084229100000.0,2549706700000.0,2375063700000.0,2470499000000.0,2415816300000.0,2494271600000.0,2496958600000.0,2559691700000.0
2040.0,2436659000000.0,2299423000000.0,2509155300000.0,2404060200000.0,2515866700000.0,2051433700000.0,2538897400000.0,2350823000000.0,2471799300000.0,2381667600000.0,2481315400000.0,2488119000000.0,2556277300000.0
2041.0,2416077000000.0,2259013900000.0,2487573800000.0,2367824000000.0,2497854800000.0,2002075100000.0,2529334100000.0,2325458000000.0,2455141400000.0,2342639600000.0,2475802200000.0,2483690700000.0,2561202000000.0
2042.0,2384094000000.0,2232057600000.0,2461044300000.0,2344234000000.0,2476066200000.0,1967728900000.0,2503416000000.0,2288617800000.0,2423293500000.0,2302074700000.0,2454624000000.0,2473499000000.0,2542233500000.0
2043.0,2351779500000.0,2211140000000.0,2450209600000.0,2312226500000.0,2463914800000.0,1936211200000.0,2491445000000.0,2253317700000.0,2397745700000.0,2274649400000.0,2442089500000.0,2463354300000.0,2523436000000.0
2044.0,2334107400000.0,2176479900000.0,2447241600000.0,2275054000000.0,2436461200000.0,1886175900000.0,2461905200000.0,2229199200000.0,2399323300000.0,2252496400000.0,2411680500000.0,2445755500000.0,2504136900000.0
2045.0,2318904000000.0,2139855900000.0,2433461500000.0,2243980700000.0,2425215500000.0,1844103200000.0,2446563000000.0,2197211200000.0,2377458600000.0,2232475200000.0,2374810200000.0,2427277000000.0,2480938400000.0
2046.0,2294208500000.0,2122736300000.0,2416674300000.0,2218084500000.0,2402014200000.0,1812153800000.0,2422740400000.0,2167601500000.0,2352024400000.0,2200329000000.0,2355727400000.0,2405792500000.0,2456635300000.0
2047.0,2263277600000.0,2099150800000.0,2410007500000.0,2180949000000.0,2381042700000.0,1779113400000.0,2405170700000.0,2155433300000.0,2335691200000.0,2176188300000.0,2334742800000.0,2386796700000.0,2428555500000.0
2048.0,2222446600000.0,2060330700000.0,2390719700000.0,2159183700000.0,2366077400000.0,1745179800000.0,2377937600000.0,2135184600000.0,2318219000000.0,2160880300000.0,2298023000000.0,2369249600000.0,2414209000000.0
2049.0,2193762300000.0,2050444800000.0,2361485200000.0,2130446000000.0,2344686700000.0,1704608000000.0,2355666400000.0,2107774000000.0,2277107800000.0,2133699900000.0,2272426200000.0,2348325500000.0,2385903000000.0
2050.0,2180583000000.0,2045697900000.0,2324605400000.0,2090495900000.0,2346942200000.0,1679312200000.0,2327989000000.0,2091035400000.0,2255390800000.0,2105841700000.0,2243706000000.0,2326489500000.0,2351399400000.0
2051.0,2157266900000.0,2011743300000.0,2299943500000.0,2065391000000.0,2331319000000.0,1631392200000.0,2287994400000.0,2059698200000.0,2253422300000.0,2076361500000.0,2204390700000.0,2299613000000.0,2326143400000.0
2052.0,2127892700000.0,1981995800000.0,2286087600000.0,2024457800000.0,2316354500000.0,1590635400000.0,2256957600000.0,2036878400000.0,2230172000000.0,2055766700000.0,2197195700000.0,2285114200000.0,2280507800000.0
2053.0,2099465700000.0,1949255900000.0,2253829700000.0,1990829000000.0,2284030800000.0,1555229700000.0,2240582800000.0,2010778600000.0,2213230700000.0,2043558000000.0,2168897100000.0,2238749600000.0,2248989000000.0
2054.0,2075426400000.0,1911956000000.0,2225747000000.0,1960896800000.0,2256018600000.0,1537998600000.0,2233497000000.0,1989548800000.0,2187887500000.0,2019302800000.0,2135151100000.0,2216134700000.0,2219694600000.0
2055.0,2058429800000.0,1889699500000.0,2193993500000.0,1930032800000.0,2238331700000.0,1500639900000.0,2233937200000.0,1960881400000.0,2154423600000.0,1994227200000.0,2092553000000.0,2180779500000.0,2176425900000.0
2056.0,2049027000000.0,1863064600000.0,2165437900000.0,1878232800000.0,2229223000000.0,1458772100000.0,2209423300000.0,1925134400000.0,2135009400000.0,1977474000000.0,2072454100000.0,2150636700000.0,2139011000000.0
2057.0,2026839700000.0,1823111600000.0,2150164100000.0,1853051900000.0,2198259600000.0,1410809000000.0,2185372500000.0,1900610200000.0,2106994600000.0,1949562000000.0,2047493400000.0,2131474400000.0,2117779800000.0
2058.0,2003826000000.0,1797566800000.0,2123548300000.0,1805480500000.0,2167355700000.0,1380236500000.0,2156680200000.0,1874989400000.0,2093933800000.0,1932765700000.0,2012279300000.0,2116753000000.0,2080407400000.0
2059.0,1993941800000.0,1771761700000.0,2074658600000.0,1771264100000.0,2141673500000.0,1359595200000.0,2134898000000.0,1842049800000.0,2069718600000.0,1909091600000.0,1981969700000.0,2082532200000.0,2052864100000.0
2060.0,1970504500000.0,1734685200000.0,2031194500000.0,1718086700000.0,2121068600000.0,1316744500000.0,2109849000000.0,1818047800000.0,2036868400000.0,1877972100000.0,1967216700000.0,2069875700000.0,2051524300000.0
2061.0,1939126000000.0,1704303700000.0,2018132100000.0,1676451500000.0,2090274700000.0,1283015800000.0,2082994700000.0,1783451100000.0,2014502300000.0,1833483000000.0,1936409400000.0,2024927000000.0,2026293800000.0
2062.0,1911839500000.0,1679254200000.0,1979528200000.0,1637628400000.0,2066414000000.0,1253707400000.0,2070732700000.0,1761387700000.0,1977213600000.0,1814623400000.0,1912378800000.0,1984817000000.0,1985119000000.0
2063.0,1899662800000.0,1640625200000.0,1935425100000.0,1597035100000.0,2047869700000.0,1228493400000.0,2047700900000.0,1739408400000.0,1960387400000.0,1790872500000.0,1884633400000.0,1960317600000.0,1955422300000.0
2064.0,1871383200000.0,1606632500000.0,1897016200000.0,1552488700000.0,2041040200000.0,1193948500000.0,2011563600000.0,1706030500000.0,1952244700000.0,1766031400000.0,1844945900000.0,1919562300000.0,1909657300000.0
2065.0,1841671000000.0,1571289000000.0,1871547600000.0,1511271300000.0,2022435500000.0,1161856300000.0,1994500000000.0,1684622800000.0,1916280200000.0,1736322200000.0,1805450700000.0,1893091000000.0,1877532900000.0
