time,UKESM1-0-LL,GFDL-ESM4,MRI-ESM2-0,MPI-ESM1-2-HR,IPSL-CM6A-LR
2037.0,2250794600000.0,2544538700000.0,2402068000000.0,2650958500000.0,2602695700000.0
2038.0,2202828000000.0,2532385800000.0,2354841000000.0,2625439000000.0,2572409000000.0
2039.0,2142919100000.0,2502760000000.0,2321622500000.0,2586574000000.0,2542147500000.0
2040.0,2100478100000.0,2468079200000.0,2271374000000.0,2573370400000.0,2493071500000.0
2041.0,2045530600000.0,2465412200000.0,2227586000000.0,2554965500000.0,2446447300000.0
2042.0,1989715600000.0,2452043300000.0,2188632800000.0,2534519900000.0,2417489600000.0
2043.0,1958277500000.0,2443896700000.0,2158602200000.0,2509431400000.0,2390629800000.0
2044.0,1920140800000.0,2422279000000.0,2132523900000.0,2467533700000.0,2367669100000.0
2045.0,1886791900000.0,2401411500000.0,2107439600000.0,2425810800000.0,2329505700000.0
2046.0,1831619400000.0,2375366200000.0,2070490500000.0,2394275700000.0,2287677700000.0
2047.0,1787847500000.0,2351158000000.0,2036606400000.0,2402910700000.0,2245288500000.0
2048.0,1745562900000.0,2333430800000.0,1998582600000.0,2365398000000.0,2214828200000.0
2049.0,1693633500000.0,2321787000000.0,1962923900000.0,2329403200000.0,2170283200000.0
2050.0,1654347700000.0,2314327000000.0,1925547600000.0,2315756800000.0,2118776800000.0
2051.0,1609372300000.0,2269612600000.0,1891955600000.0,2293107500000.0,2068225200000.0
2052.0,1592639900000.0,2255575000000.0,1854946100000.0,2264019200000.0,2050808300000.0
2053.0,1549332000000.0,2234547400000.0,1828341500000.0,2263625200000.0,2027673200000.0
2054.0,1502137700000.0,2188441400000.0,1805628100000.0,2259706200000.0,1988984000000.0
2055.0,1460930600000.0,2165895900000.0,1769840300000.0,2219644000000.0,1955863500000.0
2056.0,1428445000000.0,2156064100000.0,1752168900000.0,2209924000000.0,1918271000000.0
2057.0,1401006000000.0,2134632800000.0,1717658500000.0,2182294700000.0,1882220700000.0
2058.0,1363108800000.0,2103461500000.0,1690616500000.0,2155046500000.0,1843178500000.0
2059.0,1337760400000.0,2068745300000.0,1668010500000.0,2095398900000.0,1818123700000.0
2060.0,1315430200000.0,2065955300000.0,1638275900000.0,2084725600000.0,1786249300000.0
2061.0,1274789500000.0,2041407900000.0,1615902800000.0,2066086100000.0,1744783100000.0
2062.0,1233504000000.0,2021584100000.0,1595311500000.0,2051443300000.0,1705908800000.0
2063.0,1198648100000.0,1980134500000.0,1563850200000.0,2019948400000.0,1680812500000.0
2064.0,1181487100000.0,1947135800000.0,1545048700000.0,2023470700000.0,1642124400000.0
2065.0,1154315800000.0,1914853000000.0,1523708100000.0,1998611700000.0,1611733400000.0
2066.0,1129833300000.0,1899191900000.0,1495991700000.0,1988568000000.0,1590439400000.0
2067.0,1120038300000.0,1877783700000.0,1482674400000.0,1977403400000.0,1552030000000.0
2068.0,1093080800000.0,1869417200000.0,1476661600000.0,1949637300000.0,1523134600000.0
2069.0,1071246400000.0,1853070500000.0,1467908200000.0,1934557700000.0,1495175000000.0
2070.0,1056162400000.0,1840598200000.0,1456718900000.0,1926054500000.0,1469774400000.0
2071.0,1038775000000.0,1826747700000.0,1436684000000.0,1906245800000.0,1446522700000.0
2072.0,1012188800000.0,1802994300000.0,1430738700000.0,1897178700000.0,1417638700000.0
2073.0,988993900000.0,1768010400000.0,1417761000000.0,1888743300000.0,1390510300000.0
2074.0,964541400000.0,1750419400000.0,1407082000000.0,1869736200000.0,1360025500000.0
2075.0,943374200000.0,1734044800000.0,1386710800000.0,1875611100000.0,1334813900000.0
2076.0,913705300000.0,1713040000000.0,1365859400000.0,1856411900000.0,1318886600000.0
2077.0,894267160000.0,1702038700000.0,1359697500000.0,1842879300000.0,1298413300000.0
2078.0,875490440000.0,1694729600000.0,1338933800000.0,1823119200000.0,1278906200000.0
2079.0,864520770000.0,1688264900000.0,1333345800000.0,1804692200000.0,1259862000000.0
2080.0,840960250000.0,1684532600000.0,1315811200000.0,1796045500000.0,1236689900000.0
2081.0,823061200000.0,1688120300000.0,1316052800000.0,1772691100000.0,1222612900000.0
2082.0,809401840000.0,1680329900000.0,1307046600000.0,1766748700000.0,1200391200000.0
2083.0,797236100000.0,1679337800000.0,1293685500000.0,1737708400000.0,1185241400000.0
2084.0,783089300000.0,1668518800000.0,1290413700000.0,1720229300000.0,1172075400000.0
2085.0,770460200000.0,1652745600000.0,1291115700000.0,1714582200000.0,1152283400000.0
2086.0,761730430000.0,1644413600000.0,1286578000000.0,1720288100000.0,1135004200000.0
2087.0,754700900000.0,1636097300000.0,1283785200000.0,1710997600000.0,1120143800000.0
2088.0,741770000000.0,1633277800000.0,1263861400000.0,1703598600000.0,1113420000000.0
2089.0,725516100000.0,1626386700000.0,1256235900000.0,1690388500000.0,1104625400000.0
2090.0,715516940000.0,1624832900000.0,1263417600000.0,1674343600000.0,1095308700000.0
2091.0,702913400000.0,1622487500000.0,1253509000000.0,1673240900000.0,1091299440000.0
2092.0,690168700000.0,1604290200000.0,1258371300000.0,1665703600000.0,1074234060000.0
2093.0,681741060000.0,1594571400000.0,1244115100000.0,1654406300000.0,1066235600000.0
2094.0,671362100000.0,1591468100000.0,1240204400000.0,1632822400000.0,1051060200000.0
2095.0,660602200000.0,1573710600000.0,1234960600000.0,1655005900000.0,1049451000000.0
2096.0,643453600000.0,1569007200000.0,1228927100000.0,1646968700000.0,1042406900000.0
2097.0,630252770000.0,1571216000000.0,1232409300000.0,1649314900000.0,1022080100000.0
2098.0,620650500000.0,1550169400000.0,1230147200000.0,1635065800000.0,1014101100000.0
2099.0,610292900000.0,1541831800000.0,1227701900000.0,1627238200000.0,1005643560000.0
2100.0,611482100000.0,1541486400000.0,1233066900000.0,1627821400000.0,996304200000.0
