time,GFDL-ESM2G,IPSL-CM5A-LR,GFDL-CM3,NORESM1-M,CCSM4,CSIRO-MK3-6-0,GISS-E2-R
2061.0,364214680000.0,257117700000.0,161311880000.0,373834680000.0,348475850000.0,472858100000.0,444257440000.0
2062.0,360623050000.0,252720100000.0,155886300000.0,359510800000.0,346007670000.0,460267450000.0,441005470000.0
2063.0,352742150000.0,248318700000.0,152458790000.0,354572800000.0,342763900000.0,450289960000.0,431330850000.0
2064.0,344855100000.0,239223900000.0,147886670000.0,349782100000.0,336103180000.0,444436000000.0,428459850000.0
2065.0,352874270000.0,233632060000.0,141895990000.0,346941520000.0,328429100000.0,432700000000.0,423930270000.0
2066.0,347002200000.0,228320740000.0,137303286000.0,338557140000.0,324932630000.0,423324160000.0,419852450000.0
2067.0,343212980000.0,216024220000.0,131216060000.0,329064050000.0,319173330000.0,408422700000.0,411808800000.0
2068.0,337871000000.0,213076080000.0,128447860000.0,324750100000.0,311334370000.0,395978300000.0,402214100000.0
2069.0,328360230000.0,205467470000.0,122879220000.0,317883650000.0,301941520000.0,384499000000.0,390710360000.0
2070.0,325927630000.0,202103240000.0,118541574000.0,308480480000.0,298139700000.0,374481220000.0,379069830000.0
2071.0,321184800000.0,196932800000.0,113548470000.0,298274600000.0,289392920000.0,359837930000.0,371031970000.0
2072.0,308658770000.0,201297350000.0,109502415000.0,292992450000.0,284797530000.0,342097460000.0,366205300000.0
2073.0,300667830000.0,197199130000.0,105479864000.0,280580060000.0,282337300000.0,341279380000.0,358860400000.0
2074.0,295296630000.0,186594600000.0,101899230000.0,269722940000.0,278180800000.0,328956800000.0,356151300000.0
2075.0,289214170000.0,181748530000.0,98655494000.0,259568730000.0,267614320000.0,313586160000.0,341201780000.0
2076.0,280218270000.0,180950810000.0,95490180000.0,255531020000.0,256852850000.0,307363700000.0,330866700000.0
2077.0,276587700000.0,175816180000.0,91902490000.0,247577900000.0,247246650000.0,312259250000.0,322107740000.0
2078.0,275854620000.0,168652280000.0,89642090000.0,241930470000.0,239961880000.0,306877370000.0,313649000000.0
2079.0,268182420000.0,160815890000.0,86029680000.0,237795570000.0,234216110000.0,298499740000.0,312004100000.0
2080.0,261990320000.0,154482430000.0,83651770000.0,228378870000.0,230833900000.0,287379620000.0,307662880000.0
2081.0,256257110000.0,150866000000.0,80731810000.0,228216570000.0,225651790000.0,295390020000.0,300546160000.0
2082.0,253341020000.0,146959780000.0,79856250000.0,223643480000.0,215490510000.0,285096940000.0,289402850000.0
2083.0,246999330000.0,143365060000.0,76384485000.0,218080170000.0,211616270000.0,276574540000.0,284844460000.0
2084.0,246464120000.0,138765030000.0,74716045000.0,217383730000.0,209331520000.0,279644930000.0,276329300000.0
2085.0,239523460000.0,132950180000.0,71465410000.0,210022190000.0,203532320000.0,267993730000.0,263885550000.0
2086.0,237909030000.0,131694610000.0,69328630000.0,212382450000.0,196203790000.0,260162060000.0,256231280000.0
2087.0,236337480000.0,131267480000.0,67971120000.0,216343690000.0,189909420000.0,259308520000.0,251226500000.0
2088.0,232915650000.0,126531190000.0,65500795000.0,209219240000.0,187517190000.0,248649580000.0,249035740000.0
2089.0,230251170000.0,122420680000.0,63448904000.0,209418110000.0,185392070000.0,236157160000.0,243438710000.0
2090.0,223778230000.0,121377610000.0,62069297000.0,205041750000.0,183010690000.0,231906770000.0,241925500000.0
2091.0,220317840000.0,114145340000.0,59757847000.0,199170980000.0,179184630000.0,226541760000.0,232976610000.0
2092.0,213672400000.0,108342720000.0,58566017000.0,199596300000.0,175778660000.0,217449100000.0,224081080000.0
2093.0,209114220000.0,106297830000.0,57000116000.0,191306000000.0,173966300000.0,206447230000.0,220883390000.0
2094.0,208440660000.0,102965110000.0,57088480000.0,184173850000.0,171544870000.0,197209620000.0,218621980000.0
2095.0,203682580000.0,103653080000.0,55950160000.0,180745040000.0,167219760000.0,191619480000.0,213321580000.0
2096.0,198817020000.0,102219110000.0,55809070000.0,179632770000.0,165944460000.0,192383830000.0,206905180000.0
2097.0,195348640000.0,96660920000.0,54311270000.0,175793500000.0,163663170000.0,187853550000.0,200268660000.0
2098.0,196055780000.0,93154800000.0,53513277000.0,171504780000.0,161252750000.0,181224590000.0,197663210000.0
2099.0,193500840000.0,93686060000.0,53104677000.0,169126890000.0,159672420000.0,177901170000.0,195080800000.0
2100.0,189617160000.0,89000570000.0,53611550000.0,166892850000.0,158161490000.0,173164100000.0,191117300000.0
