time,CSIRO-MK3-6-0,GISS-E2-R,CCSM4,CNRM-CM5,CESM1-CAM5,IPSL-CM5A-LR,CANESM2,NORESM1-M,GFDL-CM3,MPI-ESM-LR,GFDL-ESM2G
2027.0,88313380000.0,90591130000.0,88659450000.0,88946060000.0,88055540000.0,89218560000.0,88314370000.0,88111450000.0,87628870000.0,88147070000.0,88402950000.0
2028.0,88431120000.0,88904650000.0,88932050000.0,88536420000.0,88104575000.0,88760460000.0,88268366000.0,88148165000.0,87403220000.0,87949990000.0,88407540000.0
2029.0,88455150000.0,88768730000.0,88891220000.0,88219886000.0,87832360000.0,88512950000.0,88199760000.0,88522050000.0,87204830000.0,87813960000.0,88205810000.0
2030.0,89059900000.0,88408050000.0,88702500000.0,88325410000.0,87279820000.0,88340650000.0,88034220000.0,87820030000.0,86909800000.0,87549280000.0,88716560000.0
2031.0,88202530000.0,88514445000.0,88678646000.0,88549605000.0,87199300000.0,88706880000.0,87684850000.0,87533900000.0,86640540000.0,87658930000.0,88049510000.0
2032.0,88148940000.0,88733340000.0,88338020000.0,90146770000.0,86867410000.0,87973210000.0,87906206000.0,87463220000.0,86239950000.0,87399416000.0,87992990000.0
2033.0,87830400000.0,88072675000.0,88271630000.0,88523250000.0,86469080000.0,87682195000.0,87893340000.0,87206765000.0,85853140000.0,87063640000.0,89044620000.0
2034.0,87612950000.0,87860300000.0,88696700000.0,87851900000.0,86186430000.0,87704120000.0,87509295000.0,87159980000.0,85418030000.0,86833780000.0,88020320000.0
2035.0,87475150000.0,87957670000.0,88099560000.0,87521740000.0,85755950000.0,88318670000.0,87057310000.0,86815280000.0,84995730000.0,86904540000.0,88080390000.0
2036.0,87486560000.0,87522280000.0,88625420000.0,87388520000.0,85353390000.0,88902255000.0,86839100000.0,86645480000.0,84899600000.0,86774080000.0,88018880000.0
2037.0,87482550000.0,87275460000.0,88186590000.0,87288320000.0,84984370000.0,87752000000.0,86540440000.0,86429560000.0,84301220000.0,86292790000.0,87451980000.0
2038.0,87316140000.0,87098000000.0,87862700000.0,87172500000.0,84498160000.0,87120550000.0,86223200000.0,85955990000.0,83812220000.0,85982460000.0,87284070000.0
2039.0,87260840000.0,87040900000.0,87757630000.0,87319560000.0,83997720000.0,86681750000.0,85952350000.0,86256820000.0,83303940000.0,85965040000.0,87807074000.0
2040.0,87084840000.0,86893230000.0,87751080000.0,86729510000.0,84088570000.0,86350490000.0,85847650000.0,85776695000.0,82813940000.0,85476530000.0,87338290000.0
2041.0,86949000000.0,86543750000.0,87650970000.0,86361450000.0,83120670000.0,86100850000.0,86045940000.0,85530214000.0,82329846000.0,85161010000.0,86928930000.0
2042.0,86533590000.0,86427850000.0,87476170000.0,86561050000.0,82540310000.0,86320914000.0,85262910000.0,85096740000.0,81843740000.0,84833560000.0,86680990000.0
2043.0,86835085000.0,86776160000.0,87045430000.0,89264980000.0,81901265000.0,85856750000.0,85019130000.0,84627280000.0,81198100000.0,84530184000.0,86372980000.0
2044.0,86487280000.0,86441600000.0,87374170000.0,87082880000.0,81342480000.0,87193360000.0,85096850000.0,84205306000.0,80572020000.0,84455400000.0,86105150000.0
2045.0,86126690000.0,85801210000.0,87615300000.0,87191740000.0,80636360000.0,85473894000.0,84468860000.0,83877315000.0,80200250000.0,84040320000.0,86001130000.0
2046.0,86092000000.0,85611045000.0,87010664000.0,86163600000.0,79978700000.0,84626650000.0,84347494000.0,83383330000.0,79431430000.0,83666650000.0,85723320000.0
2047.0,85663646000.0,87134810000.0,86518750000.0,85805910000.0,79483404000.0,84264630000.0,83770260000.0,82880000000.0,78804650000.0,83505136000.0,85413315000.0
2048.0,85287110000.0,85697370000.0,86473360000.0,85423980000.0,78787440000.0,83932040000.0,83419340000.0,82535465000.0,78170370000.0,82995540000.0,85098310000.0
2049.0,85254440000.0,85358820000.0,86074204000.0,85279520000.0,78170310000.0,83526040000.0,83135440000.0,82039110000.0,77534085000.0,82649950000.0,84731490000.0
2050.0,86494780000.0,84793310000.0,85968420000.0,84808190000.0,77741375000.0,83031980000.0,82677285000.0,81563530000.0,77004800000.0,82319090000.0,84468970000.0
2051.0,85060380000.0,84631590000.0,85845990000.0,84823300000.0,76924510000.0,82582946000.0,82400730000.0,81072185000.0,76413840000.0,81889670000.0,84394660000.0
2052.0,84922140000.0,84251550000.0,85674720000.0,84455645000.0,76301025000.0,82852430000.0,81699070000.0,81260980000.0,75824740000.0,81471545000.0,84545790000.0
2053.0,84580690000.0,83986900000.0,85552600000.0,84347390000.0,75511040000.0,82939680000.0,81241960000.0,80616595000.0,75224646000.0,81027510000.0,83807520000.0
2054.0,84291310000.0,83584080000.0,85489330000.0,84207830000.0,74794130000.0,81874390000.0,80968020000.0,79909210000.0,74585270000.0,80779680000.0,83993580000.0
2055.0,84155600000.0,83353440000.0,85164016000.0,84719690000.0,74003270000.0,81936925000.0,80484730000.0,79659800000.0,73894550000.0,80325060000.0,83247284000.0
2056.0,83795960000.0,82941900000.0,84949475000.0,84178840000.0,73208005000.0,80900710000.0,80712770000.0,79224790000.0,73215295000.0,79738390000.0,83004740000.0
2057.0,83344510000.0,82592700000.0,84634240000.0,85309480000.0,72227090000.0,80832810000.0,79960154000.0,78631250000.0,72974400000.0,79646600000.0,82886970000.0
2058.0,83276095000.0,82317660000.0,84487815000.0,83417400000.0,71688160000.0,80172430000.0,79553010000.0,78105960000.0,72083735000.0,79027830000.0,82402010000.0
2059.0,83292905000.0,82554460000.0,84346175000.0,82502615000.0,71210340000.0,79909360000.0,78908140000.0,77532990000.0,71356990000.0,78761020000.0,82155400000.0
2060.0,83304850000.0,82270520000.0,84306354000.0,82258050000.0,70067770000.0,79351020000.0,78394810000.0,77257800000.0,70780880000.0,78275870000.0,82129210000.0
2061.0,82697530000.0,81754580000.0,83722780000.0,82237830000.0,69589680000.0,78966850000.0,77964270000.0,76660090000.0,70105080000.0,77644415000.0,81564680000.0
2062.0,82371280000.0,81737880000.0,83482440000.0,83807310000.0,68846360000.0,78535450000.0,77601630000.0,76184410000.0,69377740000.0,77188500000.0,82057940000.0
2063.0,82105650000.0,81230660000.0,83382930000.0,84100680000.0,68064125000.0,78330315000.0,77019730000.0,75912045000.0,68648970000.0,76875510000.0,81030270000.0
2064.0,81786430000.0,80869910000.0,83099060000.0,84854240000.0,66931044000.0,78585060000.0,76590200000.0,75279655000.0,67955920000.0,76329886000.0,80677790000.0
2065.0,81636820000.0,81059540000.0,82789860000.0,83947990000.0,66070348000.0,77576630000.0,75980280000.0,74925040000.0,67267494000.0,76059740000.0,80184780000.0
2066.0,81101190000.0,80502374000.0,82713430000.0,84883490000.0,65164820000.0,76982910000.0,75664330000.0,74393570000.0,66507590000.0,75903000000.0,80061050000.0
2067.0,81329810000.0,80909400000.0,83244200000.0,82845500000.0,64368288000.0,76430900000.0,75002440000.0,73882750000.0,65796112000.0,75257590000.0,79800900000.0
2068.0,80902136000.0,80550420000.0,82851640000.0,82074420000.0,63811960000.0,76084490000.0,74726100000.0,73541920000.0,65322470000.0,74633880000.0,79242715000.0
2069.0,80448150000.0,80285745000.0,82437820000.0,81343900000.0,62677234000.0,75727550000.0,74073060000.0,73124495000.0,64792840000.0,74149530000.0,79027266000.0
2070.0,80247450000.0,79645600000.0,81814860000.0,81694980000.0,62069380000.0,75541770000.0,73674480000.0,72484110000.0,64111020000.0,73781970000.0,78880220000.0
2071.0,80081060000.0,79425446000.0,81484860000.0,80148710000.0,61331427000.0,74880790000.0,73146600000.0,72057610000.0,63454020000.0,73270100000.0,78341470000.0
2072.0,79920914000.0,79452740000.0,81223530000.0,79621186000.0,60625224000.0,74423130000.0,72851820000.0,72166300000.0,62732587000.0,72997224000.0,78067515000.0
2073.0,80672990000.0,80998610000.0,81199010000.0,79316610000.0,60042090000.0,73884140000.0,72429126000.0,71167870000.0,61923516000.0,72358100000.0,77486370000.0
2074.0,79718646000.0,80841960000.0,80914145000.0,79263770000.0,59188270000.0,74601830000.0,72012570000.0,70586070000.0,61299410000.0,71838780000.0,77368160000.0
2075.0,79559000000.0,79399840000.0,80620480000.0,78803290000.0,58668450000.0,73418375000.0,71582500000.0,70040680000.0,60572200000.0,71288360000.0,76677956000.0
2076.0,78746800000.0,78893990000.0,80690770000.0,79243410000.0,57906684000.0,73030000000.0,71294980000.0,69690440000.0,59855897000.0,70844830000.0,76400580000.0
2077.0,78349810000.0,78268170000.0,80452610000.0,78115710000.0,57257886000.0,72392590000.0,70797310000.0,69196230000.0,59097680000.0,70325750000.0,76935200000.0
2078.0,78048740000.0,78596060000.0,80493036000.0,78078796000.0,56402530000.0,72417890000.0,70394970000.0,68669014000.0,58524990000.0,69752870000.0,75991564000.0
2079.0,77712010000.0,79660030000.0,80022710000.0,77869020000.0,55709872000.0,73530030000.0,70024080000.0,68048863000.0,57820668000.0,69176540000.0,75292115000.0
2080.0,77383690000.0,79709870000.0,80708620000.0,76972070000.0,54755385000.0,72109510000.0,69800710000.0,67746935000.0,57088840000.0,68618007000.0,76569960000.0
2081.0,77545210000.0,78671330000.0,80507110000.0,76385755000.0,53830230000.0,71051440000.0,69040670000.0,67184865000.0,56654990000.0,68042646000.0,74716420000.0
2082.0,77281960000.0,78635020000.0,81282760000.0,76598500000.0,52939420000.0,71650110000.0,68300124000.0,66744890000.0,55948935000.0,68540314000.0,75065570000.0
2083.0,76805510000.0,77639010000.0,79630360000.0,77577126000.0,52135190000.0,71218930000.0,68147175000.0,66142605000.0,55415650000.0,67207930000.0,74381260000.0
2084.0,76358370000.0,77309870000.0,79310930000.0,75447394000.0,51309870000.0,70195080000.0,67697086000.0,65624390000.0,54766834000.0,66561528000.0,73880350000.0
2085.0,75967324000.0,77219890000.0,78518790000.0,74936550000.0,50505090000.0,69528850000.0,68141370000.0,65057526000.0,54263865000.0,66127864000.0,73621365000.0
2086.0,75674180000.0,76719030000.0,78141080000.0,74948210000.0,50631130000.0,68970250000.0,66809060000.0,64765805000.0,53682750000.0,66350043000.0,73112530000.0
2087.0,75291860000.0,77397970000.0,77859275000.0,76007100000.0,49291250000.0,68476260000.0,66448210000.0,64066933000.0,53006750000.0,67839530000.0,72941280000.0
2088.0,75027530000.0,76429450000.0,77467540000.0,75295580000.0,48435634000.0,67897590000.0,65751820000.0,63633584000.0,52322333000.0,64993970000.0,72513765000.0
2089.0,74679210000.0,76092440000.0,78437520000.0,74073530000.0,47655367000.0,67440013000.0,65057220000.0,63178860000.0,51761828000.0,64671110000.0,72276550000.0
2090.0,74471190000.0,75716590000.0,77080260000.0,74917110000.0,46928910000.0,66892456000.0,64537910000.0,62692730000.0,51213860000.0,64036024000.0,71660980000.0
2091.0,74292806000.0,75504160000.0,76532090000.0,74196705000.0,46251200000.0,66487490000.0,63925002000.0,62117368000.0,50531010000.0,63789887000.0,71315860000.0
2092.0,73788230000.0,75474215000.0,76308890000.0,74240700000.0,45531615000.0,65870787000.0,63294775000.0,61577420000.0,50289310000.0,63037702000.0,70811650000.0
2093.0,73408450000.0,75052770000.0,75893090000.0,74737754000.0,44905857000.0,65750974000.0,64890765000.0,61008777000.0,49400603000.0,62989800000.0,71428950000.0
2094.0,73017655000.0,74694410000.0,75542960000.0,73363730000.0,44212285000.0,65025800000.0,62781243000.0,61020537000.0,48694354000.0,62282900000.0,70160040000.0
2095.0,72871930000.0,74660840000.0,75483275000.0,72697140000.0,45343166000.0,64937920000.0,63080268000.0,60190050000.0,48039820000.0,61866480000.0,69775380000.0
2096.0,72424240000.0,74148360000.0,75410320000.0,72444625000.0,43285422000.0,64513940000.0,61727855000.0,59713634000.0,47935058000.0,61421728000.0,69892790000.0
2097.0,73808550000.0,73803060000.0,75328004000.0,74122306000.0,42660872000.0,63939244000.0,61286630000.0,59333325000.0,47020655000.0,60943413000.0,69019100000.0
2098.0,73253160000.0,73682440000.0,74884430000.0,72975335000.0,41909244000.0,63430540000.0,60871148000.0,58882298000.0,46508140000.0,61145473000.0,68557857000.0
2099.0,72192040000.0,73529430000.0,74510770000.0,72169580000.0,40966218000.0,64317297000.0,60160725000.0,58198930000.0,45958430000.0,61270370000.0,68993900000.0
2100.0,71898300000.0,76084740000.0,76587980000.0,72334920000.0,40385434000.0,65177276000.0,59606000000.0,60094374000.0,45290877000.0,60039274000.0,67816587000.0
