time,CSIRO-MK3-6-0,GISS-E2-R,CCSM4,IPSL-CM5A-LR,GFDL-CM3,NORESM1-M,GFDL-ESM2G
2085.0,81000570000.0,75523465000.0,72487444000.0,67076366000.0,53644480000.0,62136766000.0,75353770000.0
2086.0,82668310000.0,75642060000.0,72246190000.0,66220370000.0,52805386000.0,61376233000.0,76529810000.0
2087.0,81511290000.0,76632940000.0,71733680000.0,65692680000.0,51810060000.0,60824916000.0,75069370000.0
2088.0,80588070000.0,75959830000.0,71375570000.0,65454514000.0,51023077000.0,60546695000.0,74443010000.0
2089.0,79976060000.0,75876880000.0,71078650000.0,65039590000.0,50236862000.0,60125745000.0,74148080000.0
2090.0,79536505000.0,75058780000.0,70574514000.0,64902115000.0,49399180000.0,59157110000.0,75076720000.0
2091.0,79080645000.0,76701380000.0,70082890000.0,64587547000.0,48473166000.0,58449380000.0,73579310000.0
2092.0,79142840000.0,74500910000.0,69655290000.0,63889457000.0,47775506000.0,57792200000.0,73051190000.0
2093.0,78512840000.0,74318310000.0,69217200000.0,64347337000.0,46881930000.0,57164653000.0,72608840000.0
2094.0,77881836000.0,73805690000.0,68669310000.0,62801940000.0,45987987000.0,56594830000.0,72254840000.0
2095.0,77618660000.0,73222030000.0,68124627000.0,62426923000.0,45873530000.0,56107233000.0,72242995000.0
2096.0,77513050000.0,72900390000.0,67628650000.0,61862113000.0,44959453000.0,55458920000.0,71641480000.0
2097.0,76950010000.0,72573040000.0,67184700000.0,61466290000.0,44084285000.0,54874260000.0,71235880000.0
2098.0,76271950000.0,72373910000.0,66820194000.0,61854540000.0,43388342000.0,54252016000.0,70860850000.0
2099.0,76739360000.0,71947305000.0,66436596000.0,60957364000.0,42891784000.0,53717656000.0,70419050000.0
2100.0,76090474000.0,71650220000.0,66260810000.0,60228817000.0,42229040000.0,53011470000.0,70201704000.0
