time,GFDL-ESM4,BCC-CSM2-MR,FGOALS-F3-L,EC-EARTH3-VEG,MRI-ESM2-0,MPI-ESM1-2-HR,CESM2-WACCM,CAMS-CSM1-0,INM-CM5-0,INM-CM4-8,EC-EARTH3,NORESM2-MM,CESM2
2036.0,1594939800.0,1512705300.0,1312107300.0,1443545200.0,1377162200.0,1640581900.0,1517719800.0,1566680400.0,1584684000.0,1654393100.0,1450576400.0,1637700600.0,1278534700.0
2037.0,1533994600.0,1460267400.0,1253750800.0,1387795300.0,1343856400.0,1594327800.0,1497577700.0,1565757000.0,1559834200.0,1618539300.0,1433680800.0,1605004500.0,1247648900.0
2038.0,1471634800.0,1402309200.0,1229447300.0,1347174100.0,1310749000.0,1552688600.0,1451727500.0,1529136000.0,1548108200.0,1580323500.0,1410057700.0,1560377500.0,1183992000.0
2039.0,1434181100.0,1345273600.0,1183811500.0,1315066200.0,1281912000.0,1509236500.0,1411743100.0,1493846900.0,1522825300.0,1538787800.0,1374260500.0,1528797400.0,1119114000.0
2040.0,1391979800.0,1304870500.0,1125668700.0,1248432300.0,1255398000.0,1465497200.0,1376361700.0,1476573600.0,1490526600.0,1509316700.0,1338704300.0,1499551200.0,1088648000.0
2041.0,1352065500.0,1259706400.0,1100299400.0,1191238700.0,1221776600.0,1420363800.0,1329286800.0,1454963200.0,1464912300.0,1478508900.0,1315939200.0,1480356200.0,1052808770.0
2042.0,1302413700.0,1231903900.0,1069746050.0,1157566700.0,1178685000.0,1386388500.0,1266533900.0,1416057300.0,1439907600.0,1453144400.0,1291700200.0,1451377800.0,1008121800.0
2043.0,1248906800.0,1171748500.0,1014738600.0,1118935400.0,1150405400.0,1360090500.0,1207231900.0,1384386000.0,1422515600.0,1429897300.0,1255084700.0,1407861600.0,974058100.0
2044.0,1224527600.0,1128356000.0,965403600.0,1046205500.0,1118490600.0,1317484300.0,1135758500.0,1355123100.0,1401677000.0,1394573200.0,1201108600.0,1369077200.0,933538370.0
2045.0,1186572500.0,1076562600.0,944082370.0,1007012350.0,1083823100.0,1278005100.0,1076498400.0,1331301800.0,1380257000.0,1363522300.0,1169511600.0,1323625600.0,900738300.0
2046.0,1140125000.0,1049092000.0,904973700.0,964791230.0,1049522750.0,1253121700.0,1008547460.0,1320716300.0,1353392600.0,1339785900.0,1121043200.0,1288005000.0,875486800.0
2047.0,1095231600.0,1005808600.0,863618100.0,919706560.0,1009874100.0,1231267300.0,942292600.0,1275158900.0,1324597900.0,1303503100.0,1049080770.0,1243412100.0,835742800.0
2048.0,1051124700.0,965930940.0,840462900.0,873740600.0,961065900.0,1198949600.0,916494700.0,1236019100.0,1295346000.0,1259588900.0,987411460.0,1175850500.0,827914900.0
2049.0,1001487700.0,924168960.0,812682900.0,857129500.0,914978100.0,1177223600.0,879677250.0,1198613100.0,1261594100.0,1231516900.0,928214000.0,1127934500.0,802279000.0
2050.0,951021600.0,883877060.0,776670340.0,827108500.0,883855040.0,1164974600.0,823940350.0,1165714600.0,1227029000.0,1206854300.0,858364000.0,1088724400.0,772982850.0
2051.0,921404160.0,851203800.0,754192200.0,795311040.0,854890700.0,1133242500.0,798732540.0,1136518900.0,1191014000.0,1167629200.0,822182200.0,1039046600.0,755860800.0
2052.0,879973500.0,823954800.0,737655360.0,767197400.0,818202900.0,1088491600.0,760194700.0,1084639900.0,1163876700.0,1141593000.0,796604100.0,977535800.0,727534700.0
2053.0,853852400.0,797208060.0,709134140.0,742308800.0,784602500.0,1056784450.0,723656960.0,1033671300.0,1127061500.0,1091385200.0,747150800.0,927115970.0,711180300.0
2054.0,823610430.0,763938000.0,702249150.0,699255500.0,751378100.0,1019021600.0,714098500.0,991929860.0,1086492500.0,1052662460.0,703177540.0,890587140.0,689482500.0
2055.0,792222100.0,724417900.0,683125250.0,696632770.0,714986430.0,979966000.0,714310800.0,960872800.0,1059222900.0,1030813800.0,691421250.0,856615900.0,658533440.0
2056.0,804010000.0,710229500.0,653768260.0,674071230.0,693006460.0,935799360.0,683937700.0,924232260.0,1029142800.0,993556500.0,679556600.0,819142900.0,625130430.0
2057.0,763615360.0,686102200.0,644573100.0,650834100.0,666020900.0,891547260.0,653429440.0,952754700.0,1003606460.0,964463200.0,656660160.0,784081200.0,594834800.0
2058.0,735110500.0,661192500.0,637039400.0,632147400.0,640621500.0,830643600.0,641534200.0,911622400.0,986802500.0,943213250.0,616848200.0,731501440.0,575014340.0
2059.0,716577340.0,629341250.0,613956900.0,617916350.0,610254900.0,776373760.0,612189950.0,874755500.0,960842050.0,917883460.0,593757400.0,704170000.0,549151360.0
2060.0,703519040.0,604520700.0,601997950.0,590136060.0,590973060.0,738986400.0,584317250.0,862061300.0,943127230.0,899843100.0,578315970.0,685969540.0,523681020.0
2061.0,683324900.0,583742850.0,588577200.0,557271940.0,576589700.0,718144900.0,571477760.0,845709760.0,924407800.0,884935100.0,557150850.0,654793340.0,508600500.0
2062.0,662500500.0,556979000.0,574449700.0,539928400.0,550212400.0,691720260.0,546839900.0,822420600.0,909018100.0,865715500.0,523936450.0,625584300.0,481450020.0
2063.0,636578500.0,532414560.0,552856200.0,525989440.0,530819900.0,667700540.0,514977340.0,798981900.0,889142500.0,845115000.0,485611040.0,604934800.0,451192320.0
2064.0,610980400.0,497744540.0,543053900.0,507387870.0,517957120.0,637874300.0,489684130.0,789537660.0,869278460.0,824154050.0,473209630.0,593515970.0,439542200.0
2065.0,570756100.0,473532480.0,524044260.0,478817060.0,490553150.0,622205000.0,471771970.0,771274240.0,846918300.0,801323500.0,453059680.0,568512450.0,421633200.0
2066.0,533621340.0,451461470.0,498486240.0,467772860.0,479725340.0,621286700.0,447535580.0,744792100.0,836750850.0,787214100.0,428427800.0,541741440.0,397386050.0
2067.0,519071260.0,433720580.0,477541730.0,443711460.0,462641570.0,608806800.0,421963520.0,725730700.0,813347000.0,770590300.0,404627100.0,521255040.0,374819620.0
2068.0,508167420.0,413593470.0,465975740.0,410576900.0,437868600.0,585233200.0,396894050.0,694317800.0,788154560.0,754999230.0,390517500.0,507523300.0,360198560.0
2069.0,488236800.0,401072830.0,440482370.0,385056670.0,422340580.0,563233300.0,382227230.0,668923200.0,773904200.0,719080450.0,380124670.0,489656700.0,339900800.0
2070.0,462367800.0,390040450.0,426586340.0,382111230.0,402557440.0,545596800.0,361450180.0,657634370.0,754917400.0,696718600.0,360548800.0,469658500.0,324552420.0
2071.0,457362100.0,385402180.0,413833660.0,376949660.0,382872160.0,536637440.0,349399420.0,641253570.0,734309600.0,679231500.0,341814700.0,455670850.0,306347800.0
2072.0,453264450.0,375997300.0,394764450.0,365905540.0,364292480.0,520834140.0,331626340.0,617786300.0,719774340.0,656183900.0,325943170.0,435900640.0,295325200.0
2073.0,437479420.0,367103870.0,379288700.0,335839260.0,347970500.0,497968450.0,313187100.0,601456640.0,709361540.0,626973300.0,321990370.0,404059800.0,278943970.0
2074.0,419266240.0,357404830.0,369859700.0,315746600.0,341901060.0,472154400.0,290976960.0,588156700.0,694274100.0,608659100.0,312544100.0,390311780.0,267545180.0
2075.0,401069220.0,344606460.0,359589280.0,306878800.0,326290900.0,449919100.0,274832900.0,573365440.0,680975600.0,592099800.0,299810430.0,376361920.0,252307340.0
2076.0,396067100.0,337112800.0,344823840.0,287256400.0,310950080.0,429710620.0,251670370.0,571486850.0,665944800.0,564535200.0,283444670.0,354921800.0,239786910.0
2077.0,390940900.0,322673060.0,329098900.0,267882990.0,304173000.0,412783200.0,241553330.0,555008060.0,648891900.0,543920500.0,294147200.0,338077950.0,220754830.0
2078.0,379148860.0,309467970.0,324133250.0,269046600.0,293963680.0,397533120.0,229215940.0,544397200.0,630519940.0,532243070.0,274071870.0,330295330.0,213117420.0
2079.0,361537150.0,291425280.0,313376300.0,264158060.0,284628160.0,386332500.0,216131380.0,536692770.0,611412200.0,519269150.0,259759790.0,329802720.0,204320910.0
2080.0,351275550.0,269069000.0,301376770.0,251919600.0,277377630.0,376976960.0,216449380.0,522175870.0,593731840.0,505544800.0,248484600.0,314739100.0,192008450.0
2081.0,332163070.0,258059950.0,295411420.0,233886190.0,270130530.0,370977470.0,210031950.0,513758850.0,577980800.0,495313200.0,255148830.0,301653570.0,187271650.0
2082.0,311523600.0,248381730.0,288448500.0,230751650.0,262727500.0,365117380.0,199960030.0,500743420.0,568296100.0,481651500.0,243247600.0,292884640.0,180188960.0
2083.0,294733340.0,241120600.0,276671870.0,223275000.0,255856140.0,360917730.0,192538340.0,488582800.0,546323650.0,471183780.0,225150130.0,279354600.0,170168930.0
2084.0,281771260.0,229774860.0,268423460.0,216178530.0,250444590.0,352562080.0,183534350.0,474667420.0,533428830.0,461997380.0,205752140.0,268650720.0,166980050.0
2085.0,272400580.0,220987550.0,266417040.0,201399710.0,243456320.0,345214880.0,179186370.0,471266080.0,530923700.0,457015520.0,207250610.0,262283550.0,160611650.0
2086.0,263598990.0,215453140.0,257979920.0,197621980.0,233262000.0,338822240.0,172667760.0,453331000.0,516688770.0,444445380.0,192761760.0,256399700.0,152752770.0
2087.0,251046910.0,210995950.0,248314020.0,191133490.0,227165870.0,331354750.0,168245020.0,438831500.0,499508700.0,436286430.0,181772500.0,251669260.0,148690500.0
2088.0,242675780.0,205631440.0,246868200.0,180884100.0,218022420.0,328236000.0,159318720.0,424522600.0,486662050.0,429988100.0,176848110.0,244074980.0,140119180.0
2089.0,230999140.0,200183360.0,239733440.0,167118020.0,208058850.0,320099460.0,148325700.0,402970750.0,472612740.0,420779420.0,169930100.0,233051100.0,132946696.0
2090.0,223648590.0,194918910.0,228134980.0,156976940.0,198593420.0,311239840.0,142228430.0,392184900.0,460316930.0,416214800.0,159556700.0,220796290.0,125016810.0
2091.0,212433380.0,189242620.0,218130340.0,159404530.0,190419860.0,302654980.0,137124770.0,376446560.0,453305900.0,408593860.0,173020480.0,213436690.0,114201330.0
2092.0,204281260.0,182289460.0,214205500.0,157714580.0,183764850.0,296106140.0,127096570.0,357072830.0,434855260.0,397753020.0,159689570.0,208740240.0,104473224.0
2093.0,200451020.0,177381600.0,205463860.0,145440780.0,178164740.0,293030720.0,126489230.0,342379500.0,414723650.0,384304830.0,155759700.0,202730860.0,98072440.0
2094.0,187437310.0,171370860.0,195677460.0,134225120.0,174413150.0,287056130.0,119684610.0,328268830.0,394857700.0,369383260.0,147742460.0,196254700.0,92707090.0
2095.0,179001660.0,162747420.0,190615730.0,128351660.0,169643300.0,276164740.0,115266180.0,331469540.0,377274020.0,355942050.0,141328020.0,184819970.0,88378024.0
2096.0,177458560.0,156460400.0,184284660.0,122754430.0,163894160.0,258988960.0,111868456.0,322721250.0,375737760.0,341354370.0,140525940.0,177293470.0,85002650.0
2097.0,171617520.0,150435230.0,176569400.0,114144390.0,160303260.0,241740880.0,107020690.0,323160860.0,371805400.0,327495800.0,136945920.0,173721440.0,83114750.0
2098.0,164512240.0,143792980.0,171230100.0,103620190.0,154884540.0,229770510.0,103607416.0,311207300.0,361347400.0,315263650.0,129642930.0,169586560.0,81504090.0
2099.0,159873180.0,139486100.0,166031940.0,101600860.0,154428860.0,211144140.0,97413010.0,306669860.0,351325340.0,308914900.0,116616470.0,161980560.0,79504700.0
2100.0,152949940.0,133713300.0,163499540.0,98817400.0,149986320.0,197125150.0,95550770.0,302224930.0,343178020.0,298529380.0,113378230.0,153141490.0,76155600.0
