time,GISS-E2-R,CSIRO-MK3-6-0,CCSM4,GFDL-ESM2G,NORESM1-M,GFDL-CM3,CESM1-CAM5,IPSL-CM5A-LR
2049.0,24416047000.0,24686203000.0,23850408000.0,25624623000.0,24358910000.0,23875060000.0,25107057000.0,24107237000.0
2050.0,24323398000.0,24491852000.0,23757160000.0,25579823000.0,24117727000.0,23774400000.0,24920236000.0,23990378000.0
2051.0,24132430000.0,24309717000.0,23673088000.0,25597450000.0,23919059000.0,23544373000.0,24761508000.0,23868811000.0
2052.0,23997034000.0,24232563000.0,23324035000.0,25368132000.0,23815539000.0,23408420000.0,24651047000.0,23711520000.0
2053.0,23813320000.0,24084697000.0,23157805000.0,25298205000.0,23767130000.0,23210879000.0,24619874000.0,24076573000.0
2054.0,23723717000.0,24132377000.0,22957058000.0,25241300000.0,23505430000.0,23021054000.0,24568093000.0,23474803000.0
2055.0,23517463000.0,23895443000.0,22838374000.0,25572237000.0,23373773000.0,22797574000.0,24391383000.0,23324297000.0
2056.0,23348263000.0,23749747000.0,22602734000.0,25139024000.0,23292637000.0,22700093000.0,24166463000.0,23201866000.0
2057.0,23180476000.0,23628237000.0,22418772000.0,25111546000.0,23225514000.0,22291442000.0,24024734000.0,23058334000.0
2058.0,22990674000.0,23510317000.0,22935101000.0,24918770000.0,23047820000.0,22137610000.0,23888714000.0,23694017000.0
2059.0,22846590000.0,23333430000.0,22209112000.0,24946702000.0,22864585000.0,21961220000.0,23983380000.0,22895368000.0
2060.0,22684133000.0,23113110000.0,22080660000.0,24765944000.0,22768435000.0,21751175000.0,23434322000.0,22722855000.0
2061.0,22736052000.0,22923063000.0,21878094000.0,24685402000.0,22812668000.0,21560484000.0,23295359000.0,22584381000.0
2062.0,22392388000.0,22781094000.0,21728317000.0,24532183000.0,22484730000.0,21456490000.0,23215860000.0,22425344000.0
2063.0,22152352000.0,22672488000.0,21542502000.0,24413310000.0,22317052000.0,21172963000.0,23009978000.0,22316440000.0
2064.0,22089103000.0,22478880000.0,21305313000.0,24336746000.0,22205560000.0,21104974000.0,22914324000.0,22211832000.0
2065.0,21894765000.0,22326063000.0,21177930000.0,24225511000.0,22011984000.0,20863558000.0,22700278000.0,22014575000.0
2066.0,21724387000.0,22120520000.0,21042690000.0,24119722000.0,21900018000.0,20700490000.0,22517012000.0,21912510000.0
2067.0,21591245000.0,21997507000.0,20981037000.0,24035166000.0,21830394000.0,20515807000.0,22375655000.0,21790587000.0
2068.0,21455315000.0,21836524000.0,20794184000.0,23890948000.0,21644098000.0,20349670000.0,22173710000.0,21696279000.0
2069.0,21307101000.0,21654393000.0,20717578000.0,23741422000.0,21518960000.0,20294515000.0,21996632000.0,21600793000.0
2070.0,21487692000.0,21419735000.0,20557877000.0,23581571000.0,21434552000.0,20061491000.0,21833180000.0,21468346000.0
2071.0,21144855000.0,21279790000.0,20495590000.0,23492092000.0,21288432000.0,19967914000.0,21648361000.0,21333363000.0
2072.0,20944603000.0,21159676000.0,20329510000.0,23462259000.0,21192060000.0,19833920000.0,21435886000.0,21203240000.0
2073.0,20812315000.0,20996153000.0,20232050000.0,23258200000.0,21083216000.0,19715270000.0,21168611000.0,21075660000.0
2074.0,20750686000.0,20777683000.0,20034260000.0,23136657000.0,20965386000.0,19559320000.0,20902056000.0,20897135000.0
2075.0,20587190000.0,20611643000.0,19848686000.0,23006292000.0,20755245000.0,19445115000.0,20738535000.0,20726745000.0
2076.0,20438376000.0,20438477000.0,19710444000.0,22867010000.0,20634958000.0,19514735000.0,20580400000.0,20659364000.0
2077.0,20283228000.0,20319453000.0,19611572000.0,22732544000.0,20580900000.0,19292533000.0,20407667000.0,20481835000.0
2078.0,20134425000.0,20156789000.0,19557732000.0,22663200000.0,20439155000.0,19107604000.0,20211028000.0,20360827000.0
2079.0,19983010000.0,20029702000.0,19399072000.0,22602183000.0,20364610000.0,18970812000.0,20019298000.0,20184801000.0
2080.0,19969210000.0,19893033000.0,19236305000.0,22504718000.0,20729412000.0,18864744000.0,19776030000.0,19985664000.0
2081.0,19689992000.0,19717884000.0,19091558000.0,22381455000.0,20201974000.0,18749743000.0,19521534000.0,19838792000.0
2082.0,19675089000.0,19899540000.0,18958998000.0,22278842000.0,20195193000.0,18619498000.0,19355343000.0,19715713000.0
2083.0,19466832000.0,19450288000.0,18795514000.0,22103990000.0,19990188000.0,18479643000.0,19006358000.0,19569030000.0
2084.0,19335137000.0,19291097000.0,18671796000.0,21929542000.0,19879492000.0,18328222000.0,18838729000.0,19438465000.0
2085.0,19203244000.0,19169577000.0,18497305000.0,21827426000.0,20472140000.0,18222998000.0,18649348000.0,19306502000.0
2086.0,19061666000.0,19020253000.0,18324484000.0,21717560000.0,19730977000.0,18195399000.0,18473095000.0,19277097000.0
2087.0,18920993000.0,18842372000.0,18203093000.0,21610684000.0,19564036000.0,18077571000.0,18244014000.0,19391201000.0
2088.0,18699096000.0,18678344000.0,18056454000.0,21494665000.0,19435104000.0,17982345000.0,18095751000.0,19071728000.0
2089.0,18551273000.0,18555660000.0,17861513000.0,21486240000.0,19290083000.0,17853448000.0,17920096000.0,18927798000.0
2090.0,18425600000.0,18431478000.0,17670724000.0,21325113000.0,19169229000.0,17722313000.0,17798795000.0,18840834000.0
2091.0,18301653000.0,18275744000.0,17475703000.0,21184010000.0,19037938000.0,17620654000.0,17571990000.0,18681706000.0
2092.0,18155028000.0,18020604000.0,17358756000.0,21096702000.0,18911277000.0,17502104000.0,17415969000.0,18507133000.0
2093.0,17983030000.0,18235095000.0,17258619000.0,20935334000.0,18799294000.0,17438292000.0,17213682000.0,18383411000.0
2094.0,17828100000.0,17761012000.0,17091031000.0,20813500000.0,18673633000.0,17329293000.0,17043845000.0,18357750000.0
2095.0,17666824000.0,17586686000.0,17100606000.0,20743158000.0,18565552000.0,17213295000.0,16856652000.0,18178798000.0
2096.0,17561008000.0,17440119000.0,16884668000.0,20589668000.0,19126784000.0,17138273000.0,16716490000.0,18045743000.0
2097.0,17427253000.0,17320129000.0,16745131000.0,20408574000.0,18394946000.0,17014645000.0,16542267000.0,17898830000.0
2098.0,17275877000.0,17168682000.0,16616520000.0,20259322000.0,18293156000.0,16970448000.0,16388154000.0,17840878000.0
2099.0,17116559000.0,17055077000.0,16455256000.0,20233028000.0,18337028000.0,16854150000.0,16219743000.0,17841883000.0
2100.0,17000072000.0,16823730000.0,16319361000.0,20015670000.0,18135927000.0,16772338000.0,16019913000.0,17707741000.0
