time,GFDL-ESM2G,NORESM1-M,CSIRO-MK3-6-0,CCSM4,CESM1-CAM5,IPSL-CM5A-LR,GISS-E2-R,GFDL-CM3
2050.0,434148930000.0,517978750000.0,503136060000.0,465949950000.0,426253680000.0,439030300000.0,568326750000.0,337799580000.0
2051.0,425692460000.0,506504350000.0,482007320000.0,454353000000.0,412539160000.0,427271880000.0,563614450000.0,328478400000.0
2052.0,409001700000.0,495918300000.0,466047860000.0,439412420000.0,399407320000.0,406618440000.0,556256400000.0,316756130000.0
2053.0,404104600000.0,479409100000.0,457707650000.0,431393500000.0,392398900000.0,398407760000.0,542433670000.0,299438930000.0
2054.0,399667070000.0,472703760000.0,450972300000.0,419562500000.0,381514100000.0,381381280000.0,527805120000.0,285384670000.0
2055.0,393394420000.0,460999660000.0,442281200000.0,410662860000.0,363681450000.0,367530740000.0,510848100000.0,276549570000.0
2056.0,385191380000.0,445176250000.0,432490450000.0,402745400000.0,350027020000.0,356428150000.0,500622300000.0,267996200000.0
2057.0,377833060000.0,432895660000.0,421210420000.0,396848600000.0,339084000000.0,349034050000.0,496648160000.0,258937700000.0
2058.0,369523430000.0,425862300000.0,412516650000.0,386519200000.0,320190050000.0,344634720000.0,485403300000.0,251429490000.0
2059.0,363279450000.0,411088160000.0,404683200000.0,377429430000.0,306582700000.0,323014070000.0,467513900000.0,242381950000.0
2060.0,358984400000.0,401331030000.0,389974650000.0,366324580000.0,297436380000.0,313046200000.0,459888130000.0,232345600000.0
2061.0,357336060000.0,385804830000.0,378266260000.0,359905620000.0,289386820000.0,307042030000.0,447054870000.0,222181950000.0
2062.0,350808540000.0,368292130000.0,372570620000.0,348445670000.0,280392340000.0,297463870000.0,437268740000.0,214841150000.0
2063.0,344093660000.0,364772820000.0,370014980000.0,343761320000.0,270495680000.0,286335960000.0,422655360000.0,207351400000.0
2064.0,337481070000.0,359194070000.0,366088800000.0,331814300000.0,250632180000.0,276591740000.0,412967200000.0,199688630000.0
2065.0,333083670000.0,344833330000.0,359153240000.0,322277440000.0,235193060000.0,267490670000.0,405236400000.0,187097780000.0
2066.0,323666700000.0,326967300000.0,348136340000.0,317254830000.0,222725310000.0,264048660000.0,394904830000.0,182618110000.0
2067.0,319517950000.0,310602700000.0,343607670000.0,311363140000.0,209538830000.0,254213880000.0,387446180000.0,172423660000.0
2068.0,312544130000.0,297079370000.0,330911500000.0,299512700000.0,197506100000.0,246137950000.0,373979580000.0,164880900000.0
2069.0,304514730000.0,288536950000.0,315994300000.0,290168470000.0,184176950000.0,237985800000.0,364035770000.0,155009190000.0
2070.0,297455650000.0,280539500000.0,309397400000.0,280848370000.0,173235000000.0,232019430000.0,355080700000.0,147925960000.0
2071.0,293072500000.0,268011720000.0,297731820000.0,275114300000.0,160611710000.0,221374450000.0,347775000000.0,139480680000.0
2072.0,289356900000.0,258649470000.0,287897800000.0,265837050000.0,148431910000.0,213689070000.0,340210550000.0,133265880000.0
2073.0,282964900000.0,243292140000.0,272696790000.0,255574180000.0,139004900000.0,206893740000.0,338483000000.0,125420820000.0
2074.0,279340120000.0,232267270000.0,263776550000.0,242194020000.0,131401930000.0,199060820000.0,331921980000.0,118369110000.0
2075.0,268858590000.0,225784100000.0,256975400000.0,231291190000.0,122747445000.0,195112500000.0,326349400000.0,111186215000.0
2076.0,263359950000.0,211742180000.0,247998280000.0,225614050000.0,114049910000.0,188328430000.0,322207320000.0,108342860000.0
2077.0,257797800000.0,201392590000.0,233889400000.0,217205850000.0,105946240000.0,182988080000.0,313334300000.0,101304710000.0
2078.0,252256300000.0,192437130000.0,222875630000.0,212904210000.0,96881435000.0,174073680000.0,306197800000.0,95000610000.0
2079.0,245849180000.0,187898630000.0,210897850000.0,206247530000.0,89506260000.0,165707330000.0,296071100000.0,89042760000.0
2080.0,240143560000.0,180719000000.0,200968540000.0,203018490000.0,82878030000.0,158950930000.0,295915260000.0,82035510000.0
2081.0,232472840000.0,175744480000.0,192208440000.0,199656360000.0,75585290000.0,150128030000.0,293220500000.0,78079205000.0
2082.0,225492400000.0,167685570000.0,186785190000.0,191305320000.0,67340603000.0,143351800000.0,289053180000.0,73882214000.0
2083.0,219584000000.0,160557190000.0,178771440000.0,184956650000.0,60748880000.0,135732270000.0,284955280000.0,68370735000.0
2084.0,215828350000.0,154462320000.0,169776150000.0,176033900000.0,56545858000.0,133060260000.0,277714670000.0,63240892000.0
2085.0,210821790000.0,143338590000.0,161548040000.0,168612640000.0,52458717000.0,127866510000.0,271787440000.0,58624442000.0
2086.0,204844550000.0,136598520000.0,152088130000.0,160303760000.0,47953863000.0,121270030000.0,266844800000.0,53462650000.0
2087.0,196008620000.0,129627000000.0,141602830000.0,151372890000.0,43150795000.0,113205880000.0,261934090000.0,50160574000.0
2088.0,188581510000.0,122230610000.0,137586690000.0,144976500000.0,38637020000.0,105514670000.0,258178650000.0,46649930000.0
2089.0,182412480000.0,115997400000.0,130766530000.0,136345760000.0,35523744000.0,99021510000.0,255252760000.0,43263380000.0
2090.0,171914120000.0,106061090000.0,124273860000.0,127645270000.0,31789509000.0,91715880000.0,252254810000.0,39635976000.0
2091.0,168623960000.0,99490110000.0,115012125000.0,122845585000.0,28296516000.0,84761750000.0,247826920000.0,36873417000.0
2092.0,161185660000.0,92281170000.0,108966610000.0,118727850000.0,25724080000.0,77718380000.0,240698130000.0,33310192000.0
2093.0,153014850000.0,85527830000.0,103963025000.0,113357850000.0,23297171000.0,72003950000.0,238822590000.0,30737766000.0
2094.0,149378610000.0,80640330000.0,95412780000.0,109087646000.0,20628232000.0,68123740000.0,233376170000.0,28921555000.0
2095.0,141443350000.0,75580550000.0,90496360000.0,104193680000.0,18708285000.0,63513674000.0,233011050000.0,27249367000.0
2096.0,132877050000.0,71832030000.0,85960220000.0,98763770000.0,17325685000.0,59365618000.0,230677460000.0,25292163000.0
2097.0,122481960000.0,67735980000.0,81848560000.0,94080260000.0,15943676000.0,55134450000.0,226399810000.0,23701270000.0
2098.0,119991290000.0,64246088000.0,75364180000.0,92588720000.0,14520035000.0,52399400000.0,224205100000.0,22028263000.0
2099.0,116252795000.0,60123420000.0,71384390000.0,90021500000.0,13434170000.0,47761474000.0,220398520000.0,20348480000.0
2100.0,109768130000.0,55277097000.0,67420635000.0,88603320000.0,12698259000.0,45129445000.0,220517780000.0,19200516000.0
