time,FGOALS-F3-L,INM-CM4-8,CAMS-CSM1-0,BCC-CSM2-MR,EC-EARTH3,MRI-ESM2-0,INM-CM5-0,CESM2,CMCC-CM2-SR5,MPI-ESM1-2-HR,NORESM2-MM,GFDL-ESM4,EC-EARTH3-VEG,CESM2-WACCM
2058.0,12464477000000.0,11897201000000.0,12677159000000.0,12738540000000.0,10119642000000.0,11490221000000.0,11577231000000.0,11622955000000.0,10845072000000.0,12121876000000.0,11741112000000.0,12265075000000.0,10896621000000.0,11703961000000.0
2059.0,12414440000000.0,11803654000000.0,12657603000000.0,12705535000000.0,9970603000000.0,11402320000000.0,11491982000000.0,11495674000000.0,10685526000000.0,12042378000000.0,11691312000000.0,12208338000000.0,10767302000000.0,11562493000000.0
2060.0,12346706000000.0,11723213000000.0,12589619000000.0,12617293000000.0,9835476000000.0,11293709000000.0,11406186000000.0,11386695000000.0,10563720000000.0,11979251000000.0,11605368000000.0,12144729000000.0,10636898000000.0,11404887000000.0
2061.0,12277132000000.0,11670661000000.0,12539737000000.0,12581010000000.0,9680052000000.0,11243813000000.0,11337442000000.0,11338947000000.0,10485547000000.0,11919731000000.0,11503667000000.0,12071966000000.0,10558287000000.0,11278113000000.0
2062.0,12246866000000.0,11599317000000.0,12477542000000.0,12520871000000.0,9543275000000.0,11138654000000.0,11302031000000.0,11235683000000.0,10367259000000.0,11861042000000.0,11426330000000.0,12007380000000.0,10456977000000.0,11127344000000.0
2063.0,12188959000000.0,11581079000000.0,12420724000000.0,12450897000000.0,9380902000000.0,11035698000000.0,11227464000000.0,11095899000000.0,10233493000000.0,11782812000000.0,11329097000000.0,11943093000000.0,10326592000000.0,11026059000000.0
2064.0,12155623000000.0,11503502000000.0,12387966000000.0,12404237000000.0,9240787000000.0,10949832000000.0,11145218000000.0,11025894000000.0,10120342000000.0,11723127000000.0,11238403000000.0,11838869000000.0,10225839000000.0,10901099000000.0
2065.0,12072976000000.0,11438830000000.0,12352698000000.0,12343115000000.0,9093000000000.0,10860063000000.0,11095518000000.0,10918417000000.0,9978845000000.0,11702537000000.0,11141574000000.0,11744217000000.0,10115829000000.0,10804855000000.0
2066.0,11962006000000.0,11345764000000.0,12333400000000.0,12219666000000.0,8957358000000.0,10772568000000.0,11042600000000.0,10818454000000.0,9793070000000.0,11623619000000.0,11020177000000.0,11694607000000.0,10009958000000.0,10740557000000.0
2067.0,11889498000000.0,11275077000000.0,12301592000000.0,12141166000000.0,8763497000000.0,10695389000000.0,10963658000000.0,10686053000000.0,9653840000000.0,11583220000000.0,10935773000000.0,11643871000000.0,9907287000000.0,10704395000000.0
