time,ACCESS-CM2,CESM2-WACCM,NORESM2-MM,GFDL-ESM4,CANESM5,EC-EARTH3-VEG,IPSL-CM6A-LR,MPI-ESM1-2-HR,CMCC-CM2-SR5,INM-CM5-0,CESM2,BCC-CSM2-MR,MRI-ESM2-0,EC-EARTH3,TAIESM1,INM-CM4-8,ACCESS-ESM1-5,CAMS-CSM1-0,FGOALS-F3-L
2026.0,14383510000000.0,14318277000000.0,14321003000000.0,14385430000000.0,14279728000000.0,14262221000000.0,14348179000000.0,14402720000000.0,14435637000000.0,14366526000000.0,14332965000000.0,14289500000000.0,14256956000000.0,14360505000000.0,14185461000000.0,14362579000000.0,14398598000000.0,14302434000000.0,14439345000000.0
2027.0,14304105000000.0,14290987000000.0,14238083000000.0,14349489000000.0,14226874000000.0,14201706000000.0,14288339000000.0,14376111000000.0,14352846000000.0,14325791000000.0,14218749000000.0,14262314000000.0,14197848000000.0,14225490000000.0,14089249000000.0,14264850000000.0,14327020000000.0,14265765000000.0,14364024000000.0
2028.0,14238820000000.0,14226706000000.0,14149288000000.0,14314452000000.0,14129314000000.0,14098672000000.0,14225393000000.0,14314667000000.0,14274992000000.0,14248563000000.0,14153254000000.0,14220038000000.0,14149792000000.0,14159625000000.0,13998619000000.0,14216627000000.0,14253282000000.0,14232149000000.0,14278339000000.0
2029.0,14166026000000.0,14147049000000.0,14089572000000.0,14205528000000.0,14037919000000.0,13962775000000.0,14121403000000.0,14295324000000.0,14193441000000.0,14214030000000.0,14081339000000.0,14169690000000.0,14109812000000.0,14049360000000.0,13864925000000.0,14118237000000.0,14189065000000.0,14167535000000.0,14223294000000.0
2030.0,14073766000000.0,14097910000000.0,14006408000000.0,14102213000000.0,13986120000000.0,13881663000000.0,14056407000000.0,14268645000000.0,14091408000000.0,14139628000000.0,14016133000000.0,14057704000000.0,14045817000000.0,13934510000000.0,13716200000000.0,14008265000000.0,14101574000000.0,14093544000000.0,14170883000000.0
2031.0,13962955000000.0,14021842000000.0,13925060000000.0,14025586000000.0,13923187000000.0,13790073000000.0,14002731000000.0,14189707000000.0,14018899000000.0,14081710000000.0,13908190000000.0,14010094000000.0,13969009000000.0,13768292000000.0,13568686000000.0,13926660000000.0,14016298000000.0,14044392000000.0,14119804000000.0
2032.0,13887078000000.0,13978224000000.0,13834433000000.0,13943927000000.0,13792475000000.0,13733106000000.0,13888972000000.0,14126146000000.0,13943899000000.0,13962391000000.0,13824504000000.0,13937072000000.0,13873313000000.0,13680551000000.0,13447033000000.0,13850453000000.0,13948819000000.0,14018127000000.0,14041320000000.0
2033.0,13828505000000.0,13873410000000.0,13804537000000.0,13837071000000.0,13708115000000.0,13625040000000.0,13797881000000.0,14112680000000.0,13828799000000.0,13869163000000.0,13727592000000.0,13858013000000.0,13803004000000.0,13572682000000.0,13324550000000.0,13809827000000.0,13883369000000.0,13960302000000.0,13943568000000.0
2034.0,13755190000000.0,13779286000000.0,13710878000000.0,13770592000000.0,13607059000000.0,13533096000000.0,13723273000000.0,14089552000000.0,13667057000000.0,13830230000000.0,13643389000000.0,13791922000000.0,13709062000000.0,13470415000000.0,13127256000000.0,13742313000000.0,13730047000000.0,13889208000000.0,13878864000000.0
2035.0,13659553000000.0,13703033000000.0,13648424000000.0,13731059000000.0,13532490000000.0,13415185000000.0,13698023000000.0,14051427000000.0,13573390000000.0,13777830000000.0,13557333000000.0,13746237000000.0,13638361000000.0,13302887000000.0,12962138000000.0,13680804000000.0,13642617000000.0,13810139000000.0,13782519000000.0
2036.0,13595790000000.0,13658554000000.0,13565632000000.0,13704526000000.0,13421417000000.0,13299433000000.0,13663481000000.0,13990123000000.0,13457207000000.0,13688759000000.0,13480612000000.0,13729010000000.0,13598456000000.0,13192032000000.0,12807989000000.0,13581536000000.0,13598221000000.0,13721678000000.0,13764586000000.0
2037.0,13511397000000.0,13601666000000.0,13511098000000.0,13667977000000.0,13327324000000.0,13176678000000.0,13590961000000.0,13902079000000.0,13369327000000.0,13602929000000.0,13405130000000.0,13652745000000.0,13519696000000.0,13086226000000.0,12603025000000.0,13504933000000.0,13505633000000.0,13670652000000.0,13697707000000.0
