time,CCSM4,CESM1-CAM5
2250.0,4907367400.0,1902086700.0
2251.0,4991510000.0,1903395100.0
2252.0,4888688000.0,1877870200.0
2253.0,4836317000.0,1975819100.0
2254.0,4812704300.0,1999608300.0
2255.0,4651421700.0,1966451100.0
2256.0,4718875000.0,1754462600.0
2257.0,4712983600.0,1700485100.0
2258.0,4615905300.0,1756688500.0
2259.0,4778535000.0,1836882600.0
2260.0,5014203000.0,1873791700.0
2261.0,4899656700.0,1853801900.0
2262.0,4761603000.0,1827238900.0
2263.0,4758414300.0,1750348300.0
2264.0,4630795000.0,1807357600.0
2265.0,4517062000.0,1821109500.0
2266.0,4614417000.0,1776501900.0
2267.0,4640818700.0,1729159400.0
2268.0,4660381000.0,1784956500.0
2269.0,4676282000.0,1757099400.0
2270.0,4703544000.0,1678398500.0
2271.0,4782462500.0,1737211500.0
2272.0,4815216000.0,1741971500.0
2273.0,4737238000.0,1679677800.0
2274.0,4790786000.0,1641504400.0
2275.0,4731695600.0,1712674800.0
2276.0,4697912000.0,1809653800.0
2277.0,4797072400.0,1766841000.0
2278.0,4763798000.0,1642950400.0
2279.0,4812741600.0,1688070400.0
2280.0,4788182000.0,1696094700.0
2281.0,4810133000.0,1680385900.0
2282.0,4816011000.0,1683835100.0
2283.0,4945801700.0,1612016000.0
2284.0,4888089600.0,1607565200.0
2285.0,4495813600.0,1619721500.0
2286.0,4436375000.0,1684353300.0
2287.0,4607737300.0,1684713200.0
2288.0,4566722600.0,1543254800.0
2289.0,4418555400.0,1523800700.0
2290.0,4514641000.0,1638599800.0
2291.0,4675501000.0,1652814000.0
2292.0,4754658000.0,1647914000.0
2293.0,4825901600.0,1601605900.0
2294.0,4781033000.0,1627666600.0
2295.0,4525776400.0,1674015700.0
2296.0,4430746000.0,1656955500.0
2297.0,4503551500.0,1582439200.0
2298.0,4543573000.0,1574275300.0
2299.0,4546793500.0,1586803800.0
2300.0,4523202600.0,1638510100.0
