time,MRI-ESM2-0,CANESM5,IPSL-CM6A-LR,CNRM-ESM2-1,UKESM1-0-LL
2042.0,385539300000.0,309624200000.0,350654430000.0,524167700000.0,284148270000.0
2043.0,373534720000.0,288205500000.0,330940680000.0,512433460000.0,270020310000.0
2044.0,361166080000.0,274413220000.0,308354060000.0,512543400000.0,246497760000.0
2045.0,340101860000.0,259682780000.0,288580200000.0,480740250000.0,239351870000.0
2046.0,326085770000.0,241802990000.0,277126250000.0,477770450000.0,225570460000.0
2047.0,311186060000.0,229183400000.0,261170220000.0,468332680000.0,211048890000.0
2048.0,293357900000.0,218250760000.0,252761080000.0,451066800000.0,190878650000.0
2049.0,277042500000.0,206325580000.0,246458650000.0,432512900000.0,181010240000.0
2050.0,264176200000.0,195491630000.0,230792350000.0,412777200000.0,155011070000.0
2051.0,246003430000.0,184037330000.0,217094140000.0,396015300000.0,142931770000.0
2052.0,237878260000.0,170436480000.0,208756000000.0,385523780000.0,125864620000.0
2053.0,224466670000.0,163011620000.0,198157100000.0,380710550000.0,112850870000.0
2054.0,212675840000.0,155117080000.0,181929920000.0,359395400000.0,98926170000.0
2055.0,200123250000.0,147444860000.0,171815650000.0,351594940000.0,86403940000.0
2056.0,188918510000.0,137492220000.0,165266000000.0,339891130000.0,77653250000.0
2057.0,185084020000.0,126830820000.0,151763080000.0,336552100000.0,68529414000.0
2058.0,176488970000.0,119033840000.0,141192220000.0,336344100000.0,60801544000.0
2059.0,168560330000.0,110010384000.0,134425500000.0,327528020000.0,53860980000.0
2060.0,160744770000.0,98662310000.0,129673010000.0,307792250000.0,45858430000.0
2061.0,154432050000.0,90954480000.0,120177170000.0,302595670000.0,37703580000.0
2062.0,148290490000.0,84835450000.0,111979995000.0,292222900000.0,32032287000.0
2063.0,142368870000.0,76554500000.0,104678420000.0,284291000000.0,27322546000.0
2064.0,135646930000.0,68227527000.0,96869960000.0,276729720000.0,24114200000.0
2065.0,132950420000.0,63077675000.0,90566200000.0,275690400000.0,19719635000.0
2066.0,127948070000.0,56200684000.0,86051520000.0,258780050000.0,16957199000.0
2067.0,122474815000.0,50495463000.0,80599580000.0,259673000000.0,14758968000.0
2068.0,119911450000.0,46656664000.0,75034800000.0,243071220000.0,13111512000.0
2069.0,114698535000.0,42719820000.0,69592390000.0,233473460000.0,11352569000.0
2070.0,111666940000.0,38888473000.0,66239443000.0,224006050000.0,9067230000.0
2071.0,108490390000.0,34916660000.0,62826926000.0,218673770000.0,7394245600.0
2072.0,104847120000.0,30828435000.0,57989132000.0,213053230000.0,6324803600.0
2073.0,98858590000.0,28694643000.0,54280470000.0,201336270000.0,5657875500.0
2074.0,96918950000.0,25041056000.0,49946255000.0,193022720000.0,4795475500.0
2075.0,93831530000.0,23054890000.0,46022074000.0,188349100000.0,4262817800.0
2076.0,93200500000.0,20725330000.0,45237563000.0,176747330000.0,4043801000.0
2077.0,89623580000.0,19511540000.0,41923240000.0,169425170000.0,3718443300.0
2078.0,87589640000.0,17697760000.0,39334090000.0,160494100000.0,3459838500.0
2079.0,83291890000.0,17022333000.0,36820156000.0,156501380000.0,3340816000.0
2080.0,80013220000.0,16081689000.0,34505320000.0,146908020000.0,3260182300.0
2081.0,77544810000.0,15447200000.0,32268737000.0,139851860000.0,3136262400.0
2082.0,72433080000.0,15156414000.0,30420871000.0,132110746000.0,3057582800.0
2083.0,71011470000.0,14242418000.0,29083253000.0,131688940000.0,2903838700.0
2084.0,71797430000.0,13576022000.0,27913732000.0,128859800000.0,2887104500.0
2085.0,69239380000.0,13413674000.0,26944524000.0,122022990000.0,2784604400.0
2086.0,67903218000.0,13100461000.0,26374828000.0,114978580000.0,2731246300.0
2087.0,65364580000.0,12235159000.0,25153501000.0,114069820000.0,2681031200.0
2088.0,64183090000.0,11561830000.0,23377570000.0,108838180000.0,2654390300.0
2089.0,62412587000.0,11167040000.0,24138344000.0,105537800000.0,2608076300.0
2090.0,62218850000.0,11340141000.0,23009024000.0,100874720000.0,2636003300.0
2091.0,59824316000.0,11177954000.0,22898481000.0,97818050000.0,2681242000.0
2092.0,59394327000.0,11266482000.0,22346381000.0,95094360000.0,2654906600.0
2093.0,60008174000.0,10675714000.0,22038130000.0,93074790000.0,2584139300.0
2094.0,59707640000.0,10829442000.0,20959020000.0,88744804000.0,2529515300.0
2095.0,59091070000.0,10847899000.0,20929930000.0,86582600000.0,2493124000.0
2096.0,57163340000.0,11245788000.0,20430402000.0,83527440000.0,2499236400.0
2097.0,56131920000.0,10805145000.0,19958954000.0,80719590000.0,2467299600.0
2098.0,55227590000.0,10582601000.0,19416998000.0,76139080000.0,2484444200.0
2099.0,55899877000.0,10937929000.0,19071270000.0,75588575000.0,2571360000.0
2100.0,55623880000.0,11123701000.0,18929773000.0,75212325000.0,2548562000.0
