time,MPI-ESM1-2-HR,IITM-ESM,KACE-1-0-G,MRI-ESM2-0,UKESM1-0-LL,CESM2-WACCM,IPSL-CM6A-LR,TAIESM1,GFDL-ESM4
2050.0,491283550000.0,599747100000.0,127072380000.0,302850080000.0,161036100000.0,282775100000.0,289754300000.0,217465820000.0,416125300000.0
2051.0,474602540000.0,579328700000.0,119681000000.0,284930240000.0,155140030000.0,262077250000.0,276624000000.0,206703180000.0,408060920000.0
2052.0,453793680000.0,586278100000.0,113617900000.0,273925620000.0,145674440000.0,246630660000.0,264067920000.0,194581450000.0,402221860000.0
2053.0,447902450000.0,591927050000.0,106170320000.0,261903100000.0,139641320000.0,231869460000.0,252585070000.0,174317270000.0,395880300000.0
2054.0,433480760000.0,585031200000.0,98763980000.0,256030920000.0,125556390000.0,221985300000.0,234819400000.0,164177850000.0,373526170000.0
2055.0,428868270000.0,585048650000.0,89162060000.0,246436710000.0,110381300000.0,216058410000.0,224261360000.0,155044320000.0,359272800000.0
2056.0,421376800000.0,581844660000.0,81544905000.0,240383840000.0,104072520000.0,203239010000.0,214124540000.0,147481170000.0,344657000000.0
2057.0,414989750000.0,563891200000.0,74761680000.0,231601570000.0,95447720000.0,192426460000.0,208919480000.0,135119280000.0,329664070000.0
2058.0,404479700000.0,530131550000.0,67625210000.0,223558620000.0,86948480000.0,183098260000.0,197899700000.0,126405980000.0,324207440000.0
2059.0,388327670000.0,517914200000.0,60814787000.0,212088060000.0,78497006000.0,175418360000.0,188606410000.0,116898370000.0,321661170000.0
2060.0,376948700000.0,503375130000.0,55018130000.0,199850300000.0,70177866000.0,162451640000.0,179251460000.0,106632510000.0,316566770000.0
2061.0,374756340000.0,488337380000.0,50168640000.0,192462080000.0,62507205000.0,151163550000.0,169686380000.0,96140040000.0,305157830000.0
2062.0,363656940000.0,467549200000.0,47447290000.0,182524990000.0,56146055000.0,142328970000.0,158859020000.0,89059900000.0,291407660000.0
2063.0,348475030000.0,444403400000.0,43319920000.0,180874310000.0,50596766000.0,135206740000.0,148447230000.0,82118440000.0,282749800000.0
2064.0,345689620000.0,439190300000.0,39169660000.0,176617950000.0,46135402000.0,128307460000.0,138248470000.0,74983450000.0,275058520000.0
2065.0,337129640000.0,414050000000.0,34036912000.0,167634700000.0,42792050000.0,120279390000.0,129913490000.0,70574890000.0,268835180000.0
2066.0,331843200000.0,393799400000.0,30363130000.0,158328980000.0,37592117000.0,112742760000.0,124429664000.0,66374717000.0,266291460000.0
2067.0,324435180000.0,383716620000.0,26655170000.0,151215390000.0,33836839000.0,104507420000.0,112524680000.0,61193458000.0,263174200000.0
2068.0,320767460000.0,383751750000.0,23430360000.0,140910870000.0,29397002000.0,97605020000.0,104723790000.0,54862510000.0,255006870000.0
2069.0,314753700000.0,382272200000.0,20817758000.0,135983570000.0,26773125000.0,91794550000.0,95656485000.0,50804945000.0,248082430000.0
2070.0,312116700000.0,386627140000.0,18465670000.0,133897820000.0,23847973000.0,87164670000.0,90436830000.0,48174936000.0,246535730000.0
2071.0,298430820000.0,386233860000.0,17049434000.0,125469860000.0,20113801000.0,82427370000.0,85848550000.0,42988750000.0,242180520000.0
2072.0,296261160000.0,376003720000.0,14898422000.0,118178080000.0,17636442000.0,77077440000.0,78592160000.0,38302270000.0,236921490000.0
2073.0,288863450000.0,367530800000.0,12681271000.0,113580020000.0,15544995000.0,71730450000.0,72642880000.0,35098964000.0,229151750000.0
2074.0,275507700000.0,376702900000.0,11133621000.0,108057620000.0,13478737000.0,68584243000.0,64929310000.0,30837555000.0,222560980000.0
2075.0,270409060000.0,372683600000.0,10372940000.0,103795220000.0,11539812000.0,64908510000.0,61893018000.0,25395196000.0,215860630000.0
2076.0,262720000000.0,359843500000.0,9559610000.0,101748785000.0,10457942000.0,60430434000.0,57089253000.0,22624820000.0,215376080000.0
2077.0,252489240000.0,342598840000.0,9599367000.0,94159710000.0,8855937000.0,55372083000.0,53232222000.0,20669532000.0,213723140000.0
2078.0,248615290000.0,339342500000.0,9128756000.0,90718340000.0,7593299000.0,53058520000.0,48100893000.0,17871990000.0,204599260000.0
2079.0,242481510000.0,334352800000.0,9415439000.0,89546860000.0,6501509000.0,48141517000.0,44111610000.0,15966143000.0,201596370000.0
2080.0,237045270000.0,322109730000.0,8526589400.0,86922470000.0,6146522600.0,44382520000.0,40385663000.0,13722942000.0,193186070000.0
2081.0,234065000000.0,314024070000.0,8817127000.0,83743640000.0,5434789400.0,41117413000.0,37740100000.0,12361715000.0,185523270000.0
2082.0,224735260000.0,295046700000.0,8510938000.0,79307560000.0,4750502000.0,37850972000.0,34008689000.0,11591264000.0,182982250000.0
2083.0,215889850000.0,280021070000.0,7890571000.0,76909070000.0,4182188500.0,34412716000.0,31970861000.0,10416367000.0,175205200000.0
2084.0,215174560000.0,273872680000.0,7633959000.0,72335060000.0,3931147000.0,31519197000.0,30033930000.0,9381772000.0,169598200000.0
2085.0,209775330000.0,268265420000.0,7413955600.0,70037120000.0,3823978800.0,29401156000.0,27744268000.0,8636197000.0,164217450000.0
2086.0,201203350000.0,270276200000.0,6953961000.0,66537210000.0,3500573700.0,27658120000.0,25314360000.0,8050515000.0,158780980000.0
2087.0,191374850000.0,264600630000.0,6485917000.0,64239580000.0,3230694100.0,26183356000.0,23156371000.0,6808859000.0,154643780000.0
2088.0,182900980000.0,254697600000.0,6198404000.0,61074063000.0,3161904400.0,23189805000.0,22161912000.0,6565884000.0,156428030000.0
2089.0,174131090000.0,252616820000.0,6071460000.0,58594000000.0,3023531000.0,21699590000.0,20524294000.0,5954369000.0,149983300000.0
2090.0,168952480000.0,250322080000.0,5852133400.0,56750158000.0,2939302400.0,21126631000.0,19651070000.0,5539412500.0,144479500000.0
2091.0,168146080000.0,251414350000.0,5684628000.0,55662110000.0,2887186400.0,19873094000.0,17626590000.0,5165979600.0,139079190000.0
2092.0,163920530000.0,250355450000.0,5541687300.0,53640800000.0,2743633200.0,18510750000.0,16240845000.0,4932872700.0,138380920000.0
2093.0,154716900000.0,246343960000.0,5224374000.0,51862553000.0,2654828500.0,17059571000.0,14298973000.0,4784104400.0,131826000000.0
2094.0,149039240000.0,243622170000.0,5040142300.0,50086480000.0,2526400800.0,16306171000.0,14053840000.0,4508472300.0,128764715000.0
2095.0,143522790000.0,242344540000.0,5047535600.0,48626246000.0,2415301400.0,15516354000.0,13100876000.0,4223608600.0,127741985000.0
2096.0,131712420000.0,235339430000.0,4761339400.0,47108940000.0,2347208000.0,14846247000.0,12340418000.0,3914498300.0,123551610000.0
2097.0,130384085000.0,232970240000.0,4754452000.0,46139600000.0,2226598400.0,13900579000.0,11213043000.0,3805499100.0,121202240000.0
2098.0,129853960000.0,233460660000.0,4670516000.0,44795208000.0,2156059100.0,13135091000.0,10362496000.0,3707000000.0,115247200000.0
2099.0,125100106000.0,226227360000.0,4686073300.0,44006810000.0,2143099400.0,13041562000.0,10043262000.0,3693320700.0,114304385000.0
2100.0,125466480000.0,222848190000.0,4601295000.0,43170935000.0,2068848100.0,12423422000.0,9697904000.0,3689142300.0,113237740000.0
