time,UKESM1-0-LL,IPSL-CM6A-LR,MRI-ESM2-0,MPI-ESM1-2-HR,GFDL-ESM4
2085.0,18376696000.0,19492766000.0,20773327000.0,22593993000.0,22215550000.0
2086.0,17585398000.0,19516723000.0,20669934000.0,22359867000.0,21385128000.0
2087.0,17353646000.0,19641166000.0,20583567000.0,22451710000.0,21243190000.0
2088.0,17172746000.0,19425948000.0,20401727000.0,22526093000.0,21194267000.0
2089.0,17110298000.0,19213281000.0,20335050000.0,22386426000.0,21717467000.0
2090.0,17024292000.0,19130010000.0,20539361000.0,22223071000.0,21045217000.0
2091.0,16922903000.0,19045843000.0,20138780000.0,22728223000.0,21111452000.0
2092.0,16826675000.0,18991202000.0,20165786000.0,22204604000.0,21013488000.0
2093.0,16928889000.0,18899372000.0,19947205000.0,21999446000.0,21775155000.0
2094.0,16714189000.0,18832226000.0,20160805000.0,22023930000.0,20968331000.0
2095.0,16826293000.0,19038884000.0,20560077000.0,22102903000.0,22294788000.0
2096.0,16637424000.0,19524768000.0,19959790000.0,22371290000.0,21085786000.0
2097.0,16472325000.0,18759619000.0,19784692000.0,21798605000.0,21003377000.0
2098.0,16483004000.0,18837365000.0,19793652000.0,21567128000.0,20624583000.0
2099.0,16539894000.0,18652174000.0,20526408000.0,21504362000.0,20583143000.0
2100.0,16695187000.0,18554413000.0,19748889000.0,21529627000.0,21274774000.0
