time,GISS-E2-R,GFDL-CM3,GFDL-ESM2G,CCSM4,MPI-ESM-LR,CANESM2,IPSL-CM5A-LR,NORESM1-M,CSIRO-MK3-6-0,CNRM-CM5,CESM1-CAM5
2060.0,627331510360.0,553848696370.0,629570959250.0,626786122800.0,610319341340.0,586626205640.0,586856610100.0,596550524160.0,603977959840.0,614234433300.0,572039026880.0
2061.0,624392778040.0,549652433080.0,626590029900.0,623662820950.0,607386075000.0,582694097880.0,583403290220.0,593654824320.0,600689852250.0,610541085600.0,567724480720.0
2062.0,622164171110.0,545788237250.0,625413087100.0,621201145980.0,605084657680.0,579225433350.0,579002777500.0,590401401600.0,596984225930.0,609372857110.0,562418624520.0
2063.0,619713710500.0,540006697800.0,623398823000.0,618423395300.0,603527764800.0,575050052470.0,575494053100.0,587030473480.0,593152585320.0,607109902180.0,557334982510.0
2064.0,617810616640.0,535978230630.0,620381628620.0,616077059460.0,599149631440.0,571319869860.0,572265603410.0,583661990530.0,590493723790.0,604720606630.0,552051665970.0
2065.0,614762649830.0,533102371370.0,619210342290.0,612811864340.0,595964584270.0,567218203180.0,568530361490.0,580480087620.0,587868576580.0,602625015000.0,546608258010.0
2066.0,613181322700.0,527579824120.0,616530756760.0,610514739150.0,593429026400.0,563365867110.0,563894239030.0,577446260270.0,583955061610.0,600111953000.0,542049417880.0
2067.0,611113993180.0,524112707570.0,615755576160.0,608349978510.0,590617741100.0,559932746440.0,560288081720.0,573416559120.0,581525426190.0,594812385800.0,537138196420.0
2068.0,608530298250.0,520571741390.0,612876170940.0,606039736900.0,586971506200.0,557377958260.0,558593786940.0,570341302490.0,577821777140.0,591769141830.0,531548234810.0
2069.0,606259092340.0,516343298630.0,609352281400.0,603736594300.0,584586273570.0,553386973080.0,553622747250.0,567225903200.0,574889970040.0,589347527570.0,526139285420.0
2070.0,604183218940.0,512413455980.0,607570340960.0,600050693010.0,584148171160.0,549960587150.0,550228359690.0,563664543800.0,571965446460.0,586695046400.0,520854853510.0
2071.0,602089277490.0,507999854310.0,605784457930.0,597742024850.0,580032278500.0,546170004320.0,545706247720.0,560931876330.0,571641088480.0,582682905660.0,515073348590.0
2072.0,600450094360.0,503808532580.0,604185366800.0,594897954840.0,576495793100.0,543317698840.0,541786050450.0,558430073140.0,566479821380.0,579802944700.0,510663294390.0
2073.0,599601255900.0,500440181270.0,601895686950.0,592027493130.0,573682073410.0,539909964100.0,538181362190.0,554690739170.0,565124488910.0,575908943930.0,505909737680.0
2074.0,597100216770.0,496839044910.0,603388607980.0,589365697280.0,570785898270.0,537005419890.0,536634397610.0,551812310180.0,560652935920.0,573730042160.0,500641467480.0
2075.0,594016353810.0,492303004300.0,598496069830.0,587013793850.0,567548097060.0,534279754830.0,532984189390.0,549039539130.0,557910337620.0,569688126460.0,495142109870.0
2076.0,591900709240.0,488530257610.0,596535061450.0,584165634370.0,565360698500.0,531239851360.0,529455277760.0,545643369830.0,554840781360.0,566905588430.0,489918134730.0
2077.0,589094777380.0,485016504180.0,597543368320.0,581732438770.0,564722151720.0,528216832100.0,524933662300.0,542774949070.0,551931857850.0,562348740850.0,485235314610.0
2078.0,587678318030.0,481565800560.0,593182717420.0,580251123070.0,559753924960.0,524788662310.0,521506200950.0,538797877980.0,549038525140.0,559319875940.0,480447692520.0
2079.0,587482951320.0,480239575270.0,590237654290.0,577249672120.0,557130972400.0,521404898900.0,519392053750.0,535824832000.0,545768720770.0,557434665300.0,475778366050.0
2080.0,584864256450.0,476796203210.0,591118882190.0,575471128110.0,555212617160.0,518013852960.0,514277654540.0,533000607580.0,542853536590.0,554218399170.0,470502454870.0
2081.0,582807451570.0,472885386644.0,591754390880.0,572831654140.0,551840291840.0,518544182390.0,510217512170.0,529219073260.0,541398767290.0,550034319890.0,465538868160.0
2082.0,579570369050.0,470380579106.0,589146731090.0,573292850880.0,554028366180.0,512912090660.0,509445389910.0,525960508890.0,539018107450.0,546770898900.0,460032691270.0
2083.0,576243965740.0,466110971560.0,585082955380.0,567486792620.0,547670806500.0,509191412730.0,504461712790.0,522493319950.0,536592612200.0,545194420300.0,453909794930.0
2084.0,574950901890.0,461646257840.0,583211025530.0,565652147500.0,543971278800.0,505924600490.0,500835859030.0,519568603020.0,533012173330.0,539896907480.0,448563519560.0
2085.0,574012347980.0,458650097850.0,581165859670.0,561414280150.0,542563383620.0,503594209180.0,497673773030.0,516787087700.0,529804273080.0,536598217000.0,443511340240.0
2086.0,570700082450.0,456166338514.0,578216196820.0,559023607910.0,541025152320.0,499078152930.0,494817651770.0,513652807890.0,527369096200.0,534612431680.0,439419344210.0
2087.0,569895495480.0,452842465760.0,576710979490.0,556912338830.0,539223102930.0,497490956820.0,491634201850.0,510205678090.0,525439919170.0,532476007860.0,433570003020.0
2088.0,567560289730.0,448769277714.0,575585209690.0,554774877870.0,534596786610.0,493298066910.0,487986892430.0,509379417270.0,521861514860.0,528089982560.0,428446018270.0
2089.0,564961861140.0,445611551190.0,573474462670.0,553885804670.0,532063885780.0,489139187070.0,484782065970.0,505727536250.0,518942500650.0,523945324420.0,423839080420.0
2090.0,563762544330.0,441607942860.0,571744583220.0,549744857240.0,529170254900.0,486600106550.0,481753687450.0,501563016780.0,516260795070.0,524289539200.0,418986383210.0
2091.0,563402218300.0,438499816660.0,568827525440.0,546290082910.0,528686173040.0,484575805110.0,479266771470.0,497672978770.0,513592486040.0,518686190320.0,414182268140.0
2092.0,561446160950.0,436521682246.0,566859612340.0,544162535060.0,524799461250.0,480808499420.0,476493073450.0,494399338100.0,510942424080.0,517124195880.0,409319986470.0
2093.0,559823734450.0,432313083260.0,567177803660.0,541268569250.0,522675803400.0,480813265630.0,476747577040.0,492514545740.0,508348890000.0,516700179250.0,405758856980.0
2094.0,556300276620.0,428697051990.0,565179165750.0,538918405810.0,519758608370.0,475679696980.0,470098612620.0,489125222860.0,505885608240.0,510078116720.0,401183462500.0
2095.0,555626630440.0,425815182324.0,561861628260.0,536010215280.0,517648352340.0,473655178350.0,469041157650.0,485409930110.0,503210018600.0,506741437610.0,398813115950.0
2096.0,552247518710.0,423577702840.0,560901708260.0,534445546350.0,516393118830.0,469549843890.0,466439929070.0,484302002150.0,501685911540.0,504599849920.0,393675131520.0
2097.0,550697839590.0,420125287216.0,560586503520.0,532176518720.0,513502008060.0,467993378040.0,463104679450.0,480820702750.0,503530537540.0,501924227260.0,389655748650.0
2098.0,548731746800.0,416837419750.0,557832867170.0,529635005400.0,511746238810.0,464778869000.0,459752129950.0,476786640950.0,499297221820.0,498117784350.0,385588930510.0
2099.0,547073079400.0,414316202150.0,559643732940.0,527293372700.0,510124995150.0,461210437930.0,463445490280.0,473397905860.0,495310431490.0,493874358080.0,381162634710.0
2100.0,548293397900.0,410768670834.0,554885981700.0,530154727970.0,511307046790.0,458052027730.0,456942764830.0,472263790720.0,492930187320.0,491885678540.0,376707698970.0
