time,CAMS-CSM1-0,TAIESM1,BCC-CSM2-MR,ACCESS-ESM1-5,INM-CM4-8,FGOALS-F3-L,EC-EARTH3,MRI-ESM2-0,CESM2,INM-CM5-0,CANESM5,CESM2-WACCM,EC-EARTH3-VEG,NORESM2-MM,GFDL-ESM4,MPI-ESM1-2-HR,ACCESS-CM2,CMCC-CM2-SR5,IPSL-CM6A-LR
2057.0,50458096000.0,48203694000.0,49786135000.0,49564720000.0,50025060000.0,49075320000.0,44792770000.0,47473988000.0,49997394000.0,48819740000.0,43038687000.0,50330173000.0,45836440000.0,50437902000.0,50134335000.0,49957663000.0,49633096000.0,48847827000.0,48071440000.0
2058.0,50419990000.0,47983145000.0,49675223000.0,49544233000.0,49918380000.0,48960860000.0,44504540000.0,47287837000.0,49885340000.0,48662864000.0,42719950000.0,50242830000.0,45421750000.0,50381586000.0,50020442000.0,49912880000.0,49445007000.0,48640197000.0,47812870000.0
2059.0,50370626000.0,47674286000.0,49548497000.0,49434670000.0,49865564000.0,48741368000.0,44180850000.0,47055510000.0,49805582000.0,48544940000.0,42412392000.0,50173670000.0,45029073000.0,50344317000.0,49966940000.0,49773634000.0,49312895000.0,48445550000.0,47548387000.0
2060.0,50334040000.0,47370236000.0,49439216000.0,49297170000.0,49751888000.0,48597630000.0,43780563000.0,46805580000.0,49640792000.0,48358480000.0,41995340000.0,50095940000.0,44731683000.0,50235090000.0,49926128000.0,49698970000.0,49159400000.0,48187360000.0,47258670000.0
2061.0,50287570000.0,47076350000.0,49260110000.0,49236513000.0,49641644000.0,48437195000.0,43393640000.0,46632550000.0,49525457000.0,48180920000.0,41656850000.0,49962910000.0,44352963000.0,50178716000.0,49834398000.0,49600500000.0,49010120000.0,48015344000.0,46980000000.0
2062.0,50207560000.0,46799970000.0,49041400000.0,49254200000.0,49489240000.0,48155455000.0,43082650000.0,46320240000.0,49414214000.0,47955845000.0,41252647000.0,49902563000.0,43950670000.0,50168566000.0,49706010000.0,49499525000.0,48885133000.0,47799493000.0,46605870000.0
2063.0,50202018000.0,46545752000.0,48805966000.0,49056776000.0,49332666000.0,47923626000.0,42824335000.0,46086025000.0,49299358000.0,47791124000.0,40849790000.0,49794830000.0,43607000000.0,50073200000.0,49586614000.0,49470950000.0,48712147000.0,47485854000.0,46224572000.0
2064.0,50109334000.0,46314095000.0,48571556000.0,49007452000.0,49120047000.0,47652390000.0,42537124000.0,45823087000.0,49132773000.0,47621923000.0,40503730000.0,49725780000.0,43259458000.0,49966146000.0,49467515000.0,49336150000.0,48539390000.0,47250514000.0,45800650000.0
2065.0,50047190000.0,46075630000.0,48270586000.0,48838304000.0,48916447000.0,47520817000.0,42227510000.0,45649723000.0,49025560000.0,47469840000.0,40193170000.0,49661320000.0,42794910000.0,49932480000.0,49307087000.0,49261490000.0,48386350000.0,46912135000.0,45513937000.0
2066.0,49991234000.0,45753315000.0,48049050000.0,48672390000.0,48708874000.0,47386250000.0,41854747000.0,45378896000.0,48879670000.0,47207342000.0,39794880000.0,49551650000.0,42397356000.0,49891377000.0,49181420000.0,49116115000.0,48251503000.0,46526800000.0,45154693000.0
2067.0,49877578000.0,45459698000.0,47910445000.0,48539775000.0,48482130000.0,47294130000.0,41548767000.0,45097742000.0,48719430000.0,47055860000.0,39385520000.0,49413837000.0,41887724000.0,49779266000.0,49062224000.0,48987360000.0,47958594000.0,46233145000.0,44755460000.0
2068.0,49788110000.0,45141684000.0,47683297000.0,48450707000.0,48214500000.0,47095513000.0,41171538000.0,44800696000.0,48709840000.0,46903333000.0,39090510000.0,49260930000.0,41467912000.0,49705255000.0,48946356000.0,48801206000.0,47698860000.0,45915670000.0,44343200000.0
2069.0,49727050000.0,44724842000.0,47500177000.0,48251142000.0,47924593000.0,47045878000.0,40769860000.0,44514690000.0,48516485000.0,46692553000.0,38585254000.0,49160810000.0,41115468000.0,49598063000.0,48815346000.0,48690872000.0,47423054000.0,45642854000.0,44015084000.0
2070.0,49667715000.0,44284930000.0,47299450000.0,48065245000.0,47731683000.0,46754240000.0,40363180000.0,44292583000.0,48353235000.0,46452230000.0,38204002000.0,49037120000.0,40755294000.0,49479220000.0,48669635000.0,48508998000.0,47167824000.0,45350384000.0,43578140000.0
2071.0,49592406000.0,43906105000.0,47044520000.0,47794536000.0,47499497000.0,46566590000.0,39943877000.0,43958575000.0,48121340000.0,46178796000.0,37736632000.0,48974030000.0,40380040000.0,49359675000.0,48524780000.0,48368124000.0,46911054000.0,45056970000.0,43132654000.0
2072.0,49462596000.0,43563840000.0,46779703000.0,47510573000.0,47285068000.0,46296383000.0,39443990000.0,43661824000.0,47963734000.0,45914580000.0,37222584000.0,48850410000.0,39917280000.0,49278317000.0,48315620000.0,48228340000.0,46592880000.0,44675120000.0,42742084000.0
2073.0,49405305000.0,43136795000.0,46436938000.0,47307040000.0,46963085000.0,46082605000.0,39081005000.0,43371780000.0,47825998000.0,45689750000.0,36790227000.0,48702697000.0,39443060000.0,49174650000.0,48211260000.0,48025256000.0,46177026000.0,44305445000.0,42226344000.0
2074.0,49301398000.0,42739094000.0,46138188000.0,47044882000.0,46725870000.0,45920256000.0,38568200000.0,43100164000.0,47636206000.0,45385957000.0,36357673000.0,48554870000.0,38973702000.0,49042370000.0,48060375000.0,47849947000.0,45781040000.0,43946934000.0,41789362000.0
2075.0,49235644000.0,42280550000.0,45899497000.0,46801900000.0,46396420000.0,45763346000.0,38046884000.0,42817073000.0,47465410000.0,45088702000.0,35960635000.0,48328640000.0,38414100000.0,48936452000.0,47899054000.0,47662790000.0,45365903000.0,43614343000.0,41311818000.0
2076.0,49192080000.0,41937433000.0,45623747000.0,46613225000.0,46185546000.0,45493400000.0,37521360000.0,42574643000.0,47296385000.0,44834357000.0,35586638000.0,48212296000.0,37909684000.0,48818594000.0,47730254000.0,47480885000.0,45028688000.0,43331870000.0,40806633000.0
2077.0,49080440000.0,41588154000.0,45176893000.0,46266300000.0,45958540000.0,45179590000.0,37009895000.0,42261710000.0,47071457000.0,44519666000.0,35097514000.0,48062054000.0,37409580000.0,48724455000.0,47541252000.0,47339310000.0,44643238000.0,42880510000.0,40359465000.0
2078.0,48989330000.0,41150260000.0,44977360000.0,45984596000.0,45717987000.0,44969894000.0,36314833000.0,41961226000.0,46794154000.0,44298355000.0,34618016000.0,47834042000.0,36798448000.0,48622420000.0,47368510000.0,47211475000.0,44378137000.0,42491822000.0,39868930000.0
2079.0,48734474000.0,40761510000.0,44758160000.0,45743750000.0,45475488000.0,44668740000.0,35687820000.0,41640680000.0,46471946000.0,44058160000.0,34187467000.0,47642046000.0,36162126000.0,48473520000.0,47150530000.0,46998900000.0,44166062000.0,42038477000.0,39403577000.0
2080.0,48548700000.0,40327310000.0,44553937000.0,45486047000.0,45187750000.0,44447506000.0,35127857000.0,41393220000.0,46163046000.0,43797725000.0,33693753000.0,47447200000.0,35614630000.0,48252850000.0,46998893000.0,46832234000.0,43964710000.0,41587552000.0,38934110000.0
2081.0,48427663000.0,39957406000.0,44298110000.0,45147505000.0,44959580000.0,44249928000.0,34507520000.0,41105700000.0,45960330000.0,43467250000.0,33229963000.0,47221640000.0,34977070000.0,48033587000.0,46855725000.0,46705164000.0,43726946000.0,41225163000.0,38367620000.0
2082.0,48286800000.0,39419870000.0,44080214000.0,44765065000.0,44725576000.0,44128420000.0,33950863000.0,40701760000.0,45708380000.0,43194454000.0,32780090000.0,47073430000.0,34454810000.0,47822594000.0,46645080000.0,46555935000.0,43473785000.0,40761410000.0,37830290000.0
2083.0,48159736000.0,39053850000.0,43808887000.0,44402713000.0,44544910000.0,43886223000.0,33371052000.0,40405262000.0,45415180000.0,42932300000.0,32318120000.0,46802506000.0,33947722000.0,47620686000.0,46472405000.0,46332280000.0,43277150000.0,40319824000.0,37171716000.0
2084.0,48021737000.0,38632380000.0,43573740000.0,44140626000.0,44354384000.0,43638840000.0,32754000000.0,40035135000.0,45100294000.0,42697810000.0,31833854000.0,46576673000.0,33374728000.0,47463440000.0,46253322000.0,46194470000.0,43091330000.0,39821700000.0,36649970000.0
2085.0,47877652000.0,38282670000.0,43333984000.0,43719713000.0,44052900000.0,43407237000.0,32191545000.0,39713770000.0,44781410000.0,42463367000.0,31418546000.0,46357762000.0,32742504000.0,47298154000.0,46016030000.0,45873037000.0,42660733000.0,39300137000.0,35946234000.0
