time,GFDL-CM3,GISS-E2-R,CCSM4,MPI-ESM-LR,GFDL-ESM2G,NORESM1-M,CANESM2,CSIRO-MK3-6-0,CNRM-CM5,IPSL-CM5A-LR
2028.0,956023740.0,1035360450.0,1019758200.0,1048239800.0,987621600.0,974362050.0,1050743400.0,1018273900.0,1021089700.0,1027023800.0
2029.0,919986500.0,1014096060.0,992950460.0,1031974850.0,959365300.0,953214000.0,1029277500.0,1001713400.0,1024395300.0,1016599360.0
2030.0,901199600.0,986958100.0,969386560.0,1009125600.0,936820300.0,940147600.0,1023750500.0,989322800.0,996496700.0,1025635400.0
2031.0,869228000.0,987309900.0,947403800.0,980720960.0,900221700.0,943691000.0,1011607100.0,963735600.0,981978800.0,1002344960.0
2032.0,847316000.0,965945900.0,932253100.0,966915260.0,874151800.0,915272060.0,1012424800.0,949132540.0,980532800.0,979510000.0
2033.0,814044860.0,939443600.0,918418800.0,958010940.0,850446100.0,891987200.0,989497900.0,924274750.0,961731100.0,980493800.0
2034.0,781738400.0,949650700.0,895794300.0,941204100.0,834446460.0,874405800.0,970911740.0,904795800.0,956452500.0,971596000.0
2035.0,758796160.0,919221000.0,877699400.0,926195600.0,806536700.0,845761100.0,954827400.0,872900300.0,952984400.0,949645100.0
2036.0,739301100.0,891143550.0,852228800.0,920688700.0,798130750.0,825428700.0,944240800.0,853593600.0,932249860.0,929910500.0
2037.0,714809900.0,868303900.0,836394100.0,940942800.0,771043460.0,802968600.0,928404200.0,830306300.0,924096900.0,899607600.0
2038.0,690831550.0,851612600.0,827717440.0,911669300.0,753527700.0,785964500.0,951650800.0,806671100.0,901177900.0,884759100.0
2039.0,671809000.0,826075300.0,812702600.0,880215700.0,735941250.0,762382300.0,920121100.0,782682500.0,889013570.0,868627900.0
2040.0,647821800.0,826902660.0,803117600.0,867042700.0,830219140.0,744146560.0,903647200.0,767982600.0,886901250.0,881781500.0
2041.0,620105540.0,808035260.0,788814850.0,862281540.0,713729800.0,738829440.0,920099700.0,739104830.0,905168200.0,866141200.0
2042.0,600830700.0,796427260.0,775252400.0,839541950.0,688554800.0,717287000.0,887024260.0,708365950.0,862835700.0,841192900.0
2043.0,573672450.0,782872800.0,760289500.0,840128700.0,704315840.0,692168260.0,882481300.0,718572600.0,850549800.0,823664800.0
2044.0,556548200.0,758730430.0,748475000.0,823006700.0,666507260.0,670373300.0,861026800.0,683035460.0,843769860.0,817983200.0
2045.0,531244220.0,740816800.0,733968400.0,811543000.0,651634940.0,647972160.0,849207100.0,656041300.0,837894800.0,800657900.0
2046.0,513332670.0,729438460.0,717342850.0,826227140.0,635360640.0,629360640.0,836459400.0,625525060.0,816147500.0,784930400.0
2047.0,497775460.0,718698800.0,716692160.0,788734000.0,625134460.0,617661500.0,836859200.0,600952060.0,813965800.0,775262200.0
2048.0,474694430.0,711462900.0,702269300.0,775185150.0,612789500.0,606979900.0,818920100.0,561476350.0,826589250.0,767904000.0
2049.0,459377300.0,697235700.0,689598660.0,758049340.0,631936600.0,580118000.0,806889660.0,539345150.0,803858940.0,748024200.0
2050.0,443573860.0,689519900.0,677704060.0,818449500.0,601796100.0,570589000.0,796628740.0,538692160.0,783915900.0,736911550.0
2051.0,419608700.0,681619600.0,673789760.0,745615550.0,646978750.0,557775100.0,786906100.0,518891400.0,769690800.0,725484900.0
2052.0,410226100.0,669976060.0,664505340.0,727857860.0,599436200.0,546484740.0,777345860.0,513097760.0,759285400.0,711461900.0
2053.0,396152350.0,654812740.0,655848700.0,709414100.0,590462300.0,524328160.0,763942460.0,490626980.0,744159400.0,695816400.0
2054.0,379370080.0,645771260.0,649696500.0,700734100.0,641818240.0,505203800.0,750135200.0,474466940.0,736556540.0,672493760.0
2055.0,362402080.0,637032640.0,631946000.0,686875500.0,589051400.0,493200800.0,736128500.0,461623500.0,725645760.0,651727940.0
2056.0,343204800.0,631679600.0,635676800.0,682017400.0,572298100.0,478308700.0,725178560.0,447637280.0,714421570.0,625677250.0
2057.0,330660930.0,619533900.0,617487200.0,664032100.0,564758600.0,471366400.0,717397250.0,435092260.0,702492800.0,601719360.0
2058.0,321384740.0,609823500.0,606831200.0,657670400.0,568233660.0,459990820.0,699630000.0,423638800.0,682028400.0,583834050.0
2059.0,302327520.0,597773300.0,620813950.0,660924160.0,567603200.0,445852580.0,679048260.0,421314780.0,678705800.0,564297700.0
2060.0,289313660.0,591133060.0,597048400.0,641984640.0,548151550.0,436847650.0,701652100.0,415374400.0,674711300.0,550039600.0
2061.0,278851780.0,591947840.0,591568450.0,630244400.0,546205700.0,433432770.0,682616200.0,404053820.0,657435840.0,531839780.0
2062.0,269653300.0,587653000.0,583941440.0,620332540.0,537748300.0,427353860.0,655140300.0,394893540.0,641582460.0,517357860.0
2063.0,257927660.0,575490800.0,574562900.0,626356100.0,531602000.0,412736480.0,636938700.0,386020670.0,630135040.0,495201180.0
2064.0,250350060.0,558795800.0,570643260.0,616472900.0,529677120.0,401180130.0,642791740.0,384791420.0,628588350.0,476235740.0
2065.0,232011740.0,553074800.0,606297000.0,602578100.0,530555550.0,394644540.0,611205700.0,372187330.0,610215300.0,456502270.0
2066.0,225522820.0,543367700.0,578847700.0,584825540.0,522777900.0,394832500.0,594643000.0,363143070.0,597550100.0,434863330.0
2067.0,219015870.0,538331840.0,557955900.0,567078300.0,527547460.0,379230850.0,582791360.0,356304670.0,583048300.0,429489120.0
2068.0,213288220.0,530368260.0,553223700.0,558252800.0,516859780.0,372310100.0,570126500.0,350385860.0,565403970.0,411885220.0
2069.0,204144930.0,540420900.0,610827840.0,549759940.0,507671300.0,360980100.0,559661630.0,342440000.0,553029060.0,410035260.0
2070.0,193028880.0,537204800.0,552577300.0,578133440.0,502624700.0,353531940.0,584174340.0,337277380.0,542442500.0,399484740.0
2071.0,197859410.0,520121660.0,552862200.0,687658500.0,500436960.0,351948260.0,554424960.0,329454240.0,536220500.0,385582820.0
2072.0,180127150.0,514953730.0,547072100.0,564299100.0,497626700.0,343890140.0,542710100.0,326713500.0,525678400.0,378693280.0
2073.0,170685550.0,510236960.0,534020400.0,530253250.0,493860100.0,340499650.0,521948400.0,319815580.0,517406880.0,364915360.0
2074.0,162342880.0,503173470.0,530832480.0,521150600.0,485983740.0,329302980.0,507407900.0,319714600.0,509494300.0,356696400.0
2075.0,158178820.0,498545250.0,527717340.0,522001300.0,479539140.0,324272420.0,497507970.0,310803300.0,500637570.0,345018080.0
2076.0,151558020.0,492252300.0,521396700.0,504114800.0,478447300.0,314422800.0,487122780.0,305289600.0,492310530.0,330604350.0
2077.0,147867330.0,487516220.0,515098600.0,500229120.0,476410460.0,309563460.0,477951330.0,301300900.0,481826200.0,320343900.0
2078.0,163658770.0,496657020.0,511167460.0,507926000.0,469982560.0,302738080.0,584456500.0,293646430.0,474375260.0,317744600.0
2079.0,140857140.0,480010600.0,505957820.0,483384700.0,465108830.0,297789700.0,471802430.0,287600900.0,466921120.0,307443870.0
2080.0,137579680.0,478285150.0,501136740.0,480100960.0,464805150.0,292897760.0,460211740.0,280864860.0,458162940.0,299606460.0
2081.0,155235630.0,471370530.0,497102500.0,513580000.0,507383230.0,285679170.0,478888030.0,285893220.0,452755970.0,299084480.0
2082.0,145235330.0,466362200.0,505018080.0,729955840.0,452933630.0,278228600.0,473051650.0,275793280.0,447211300.0,287254180.0
2083.0,132189880.0,461163460.0,553052900.0,530080960.0,452423580.0,269948540.0,446900900.0,267478750.0,438105000.0,283166750.0
2084.0,129058770.0,453378530.0,500198100.0,473058200.0,461350700.0,278290500.0,436449730.0,305090660.0,431304600.0,269679260.0
2085.0,127181580.0,448304100.0,491240100.0,466850500.0,443682080.0,280720220.0,467220060.0,255890100.0,429640320.0,264527780.0
2086.0,123881010.0,442776640.0,483109700.0,461266940.0,432450180.0,260608540.0,431294140.0,248436240.0,421213100.0,263057250.0
2087.0,123554940.0,439400320.0,479014620.0,456669020.0,443431900.0,252380220.0,417212500.0,244152910.0,416734660.0,259647060.0
2088.0,120912424.0,443914880.0,473289000.0,461297250.0,427307740.0,248606670.0,496060600.0,236679440.0,415828260.0,251718800.0
2089.0,120103460.0,431633060.0,609993660.0,450950140.0,422658200.0,250835020.0,418167070.0,234185340.0,405221820.0,245054880.0
2090.0,117025250.0,428851700.0,525125760.0,468799840.0,412557120.0,242154240.0,512852580.0,225694190.0,401311460.0,235436460.0
2091.0,112950110.0,425302800.0,484614980.0,461460600.0,408613120.0,236892510.0,406345380.0,218765800.0,417154620.0,231405200.0
2092.0,105710216.0,467103780.0,465959800.0,461397250.0,436667620.0,241067940.0,399560700.0,214034380.0,392456480.0,228674830.0
2093.0,103447650.0,418724740.0,456864260.0,441191230.0,403158370.0,229232500.0,415632500.0,212896880.0,383633800.0,234152060.0
2094.0,102219280.0,460748580.0,450707300.0,435370600.0,397186750.0,225820690.0,396141380.0,208190460.0,377348220.0,256815840.0
2095.0,118257704.0,413370370.0,447797570.0,434932000.0,392841920.0,230783310.0,391713340.0,201315820.0,372321150.0,221815580.0
2096.0,104409810.0,413730180.0,452496640.0,437786800.0,388192060.0,223748340.0,391366900.0,282659040.0,366820960.0,213742850.0
2097.0,105169470.0,409806940.0,481794100.0,426141380.0,382030940.0,223662180.0,385332860.0,215669760.0,361491840.0,215106380.0
2098.0,100281890.0,434389980.0,470396060.0,417050050.0,378964030.0,218175900.0,380291360.0,200468940.0,354391420.0,229560400.0
2099.0,95734456.0,412045700.0,464161200.0,411621220.0,388207040.0,216027440.0,387423780.0,192765800.0,351599580.0,272937100.0
2100.0,100122320.0,433936740.0,453852400.0,415702500.0,378499100.0,214396800.0,415615100.0,189729470.0,344993200.0,238483120.0
