time,CSIRO-MK3-6-0,GFDL-CM3,IPSL-CM5A-LR,GISS-E2-R,CCSM4,GFDL-ESM2G,CESM1-CAM5,NORESM1-M
2031.0,1027666500.0,1015182700.0,982584700.0,985366300.0,1011702900.0,1124154500.0,1009824640.0,1017411300.0
2032.0,1062538050.0,1008099300.0,961843200.0,1002806140.0,993509000.0,1076383100.0,998222100.0,1007946050.0
2033.0,1014493250.0,1015449400.0,961095550.0,979304960.0,977864060.0,1066865400.0,990172540.0,993729340.0
2034.0,1002485950.0,1016599900.0,949728960.0,963580600.0,965684860.0,1051823300.0,977589600.0,980913900.0
2035.0,991980700.0,1069365060.0,951043200.0,952216060.0,965030600.0,1046076300.0,964228740.0,966708200.0
2036.0,986842000.0,1035933000.0,966537150.0,940026900.0,974416600.0,1041382460.0,968673340.0,950022140.0
2037.0,995820540.0,1020705600.0,930436000.0,945029600.0,942305340.0,1033856300.0,960806000.0,930759000.0
2038.0,999846200.0,1008673860.0,915201000.0,926414600.0,931336900.0,1025565250.0,946709200.0,915040100.0
2039.0,987679600.0,1013382460.0,904783100.0,914034900.0,915535800.0,1022384800.0,944704700.0,894219200.0
2040.0,976615040.0,1072362750.0,898343000.0,897621060.0,906667500.0,1018958140.0,933571600.0,875829500.0
2041.0,949879800.0,1010684100.0,890654000.0,882186750.0,894232770.0,1016933760.0,937750600.0,860767550.0
2042.0,925109250.0,1011744260.0,875169860.0,864604900.0,876719740.0,1022571500.0,921957700.0,840713540.0
2043.0,906997060.0,1019892740.0,868383360.0,854078200.0,862394000.0,1013359500.0,911721150.0,830436900.0
2044.0,895671600.0,1010705400.0,870397600.0,885662000.0,850082400.0,995881200.0,903376000.0,811375700.0
2045.0,888626000.0,1005610100.0,909368500.0,846140800.0,835173250.0,989369600.0,897144200.0,800839400.0
2046.0,883895600.0,995943550.0,940334140.0,826538750.0,823448700.0,986296100.0,878314600.0,777574200.0
2047.0,887177900.0,1010680500.0,947854100.0,817379500.0,804083200.0,977289540.0,858726340.0,765875500.0
2048.0,863525300.0,995674560.0,888511800.0,810911300.0,800766140.0,992199100.0,847473400.0,789973500.0
2049.0,847053500.0,990851460.0,857736000.0,829819800.0,785353000.0,1011964900.0,841122050.0,750021300.0
2050.0,857748860.0,983926600.0,855418000.0,801326500.0,772036500.0,1050450750.0,840821100.0,737515970.0
2051.0,845900350.0,979150400.0,855016640.0,795249860.0,759917630.0,990916740.0,822231040.0,727245250.0
2052.0,835117500.0,971938000.0,844562700.0,791348200.0,749911700.0,984335800.0,804834370.0,717018240.0
2053.0,823887740.0,992521500.0,857625400.0,783610430.0,739441100.0,979322940.0,798059500.0,708032400.0
2054.0,818089800.0,986021600.0,864651460.0,827251600.0,746809600.0,978572700.0,773092000.0,697930200.0
2055.0,805251500.0,973820700.0,832955500.0,794823300.0,813492900.0,972536600.0,812030700.0,704018900.0
2056.0,824790660.0,960231360.0,825493500.0,779113500.0,757221700.0,975096960.0,782243840.0,692628900.0
2057.0,797986240.0,1027796350.0,820594800.0,773380860.0,737693100.0,962453800.0,747260540.0,693102000.0
2058.0,798704400.0,954418800.0,816333440.0,773320450.0,731512100.0,1010785500.0,730188160.0,682914000.0
2059.0,779959040.0,951282200.0,852106430.0,768504700.0,714318500.0,958751000.0,728241150.0,682187650.0
2060.0,769681700.0,964409150.0,837294900.0,763726600.0,711720100.0,952034700.0,726247700.0,676942500.0
2061.0,765263600.0,944842000.0,822785800.0,758908500.0,707255040.0,1018671700.0,703408300.0,672738300.0
2062.0,758040200.0,941728060.0,803256450.0,747907000.0,699143600.0,965635200.0,685889100.0,672076100.0
2063.0,742469250.0,926446140.0,813071940.0,740279040.0,710725000.0,944366500.0,673529300.0,664106940.0
2064.0,730144640.0,918958900.0,813431940.0,735301200.0,692267970.0,940412300.0,677339840.0,662055940.0
2065.0,741110900.0,914899500.0,799311100.0,724539600.0,692457400.0,968928900.0,661957570.0,668293100.0
2066.0,716975170.0,907644000.0,794824500.0,716418700.0,682379500.0,933545300.0,650891140.0,667673500.0
2067.0,711581250.0,901302850.0,833369600.0,713683500.0,673741700.0,953765440.0,639720000.0,656266400.0
2068.0,693851140.0,880976960.0,792711040.0,707837300.0,666739200.0,931498600.0,624009800.0,651827400.0
2069.0,678628800.0,876101100.0,796638340.0,701841660.0,682847100.0,925248100.0,614724540.0,648117200.0
2070.0,670531700.0,859880800.0,787826400.0,694728060.0,660065540.0,925098430.0,598864450.0,644103940.0
2071.0,656221300.0,839033500.0,783757600.0,685071800.0,654371300.0,931810600.0,584889800.0,640521400.0
2072.0,644159170.0,826973760.0,781061100.0,683327940.0,647483500.0,917716740.0,574133100.0,637665150.0
2073.0,640830100.0,918070900.0,770702660.0,667992300.0,648996100.0,912742900.0,565676700.0,634423040.0
2074.0,625540740.0,810159000.0,764891460.0,657509440.0,649218300.0,907385500.0,552505860.0,631539900.0
2075.0,608810000.0,793583900.0,756469500.0,649500540.0,638934700.0,902629760.0,534145300.0,627000400.0
2076.0,599184640.0,772782660.0,748159040.0,640027800.0,630845200.0,917505150.0,524440540.0,621398400.0
2077.0,587245900.0,756485900.0,736072500.0,632668200.0,622921700.0,899332350.0,502271870.0,616366340.0
2078.0,579612740.0,734593200.0,714689500.0,713428160.0,617011460.0,971113400.0,488238980.0,612302400.0
2079.0,569860600.0,711600000.0,698712200.0,618902660.0,609480300.0,942064500.0,471679140.0,608666500.0
2080.0,556592700.0,699263170.0,687593000.0,611483300.0,598359230.0,899874300.0,457978240.0,604532500.0
2081.0,545836740.0,718012540.0,670640700.0,600500700.0,586616200.0,889219400.0,444284000.0,599327400.0
2082.0,574948800.0,669889340.0,653760700.0,593287000.0,574964160.0,881357700.0,435166940.0,593545500.0
2083.0,552539140.0,656693100.0,642260160.0,579301100.0,559403460.0,877872500.0,427164450.0,590343100.0
2084.0,539868860.0,649243800.0,625551940.0,576110800.0,541279040.0,874194560.0,414423650.0,586065500.0
2085.0,530830080.0,630379200.0,605682200.0,565271550.0,523536640.0,867892700.0,398836800.0,583246660.0
2086.0,528120640.0,613532350.0,583602100.0,573823360.0,510713600.0,862418940.0,386223970.0,577028160.0
2087.0,529834940.0,596909500.0,563362750.0,569730240.0,495518460.0,863294200.0,376044220.0,569397100.0
2088.0,519741860.0,585732540.0,553005200.0,552479700.0,483093820.0,870351740.0,364736600.0,559915000.0
2089.0,559625600.0,578946240.0,534865760.0,542849660.0,475806530.0,853069100.0,357356500.0,552381600.0
2090.0,528111970.0,566374850.0,527398240.0,535868670.0,459180160.0,845314940.0,347221540.0,545229250.0
2091.0,517354140.0,552801400.0,518608600.0,530886800.0,447055360.0,836956300.0,341740860.0,543275840.0
2092.0,513612200.0,545037500.0,498980200.0,551308350.0,438735460.0,829655300.0,336217730.0,536094880.0
2093.0,511212800.0,543001150.0,488168700.0,524764130.0,427519870.0,823972740.0,327571420.0,533339260.0
2094.0,522304420.0,531557400.0,478326900.0,516825280.0,412435140.0,818274940.0,321548450.0,529633820.0
2095.0,505953500.0,522948900.0,470131940.0,539408260.0,403630820.0,820301900.0,309839680.0,524154700.0
2096.0,501212960.0,514491870.0,463683940.0,520310500.0,392439300.0,869670800.0,303381200.0,516712100.0
2097.0,545924900.0,525273600.0,455020800.0,511350980.0,388511520.0,860678300.0,296901220.0,512521100.0
2098.0,498271200.0,509576900.0,453414270.0,508705920.0,384208060.0,813184600.0,291321300.0,506717440.0
2099.0,492529540.0,507201150.0,544714240.0,506109120.0,373529700.0,810608800.0,302178720.0,503296030.0
2100.0,487533500.0,522884220.0,450623140.0,505966660.0,364151230.0,797670100.0,285479550.0,500090270.0
