time,CNRM-CM6-1,EC-EARTH3,CESM2-WACCM,IPSL-CM6A-LR,TAIESM1,GFDL-ESM4,CANESM5,MIROC6,UKESM1-0-LL,CNRM-ESM2-1,MPI-ESM1-2-HR,KACE-1-0-G,MRI-ESM2-0
2074.0,197871530000.0,53440160000.0,45721334000.0,54491156000.0,15394367000.0,201862740000.0,26205139000.0,151389000000.0,3822913000.0,194220970000.0,204287800000.0,6810599000.0,119658775000.0
2075.0,188492560000.0,48945670000.0,38345600000.0,48881476000.0,13167927000.0,188018000000.0,24011700000.0,141135920000.0,3319874300.0,185655510000.0,193248720000.0,6139273700.0,110857640000.0
2076.0,171817530000.0,44498300000.0,35078820000.0,44083327000.0,11038334000.0,184083920000.0,20798347000.0,132949700000.0,2890430000.0,179791070000.0,183597220000.0,5236466000.0,108922870000.0
2077.0,162865040000.0,40629960000.0,31233202000.0,38298110000.0,9448591000.0,179281800000.0,17421509000.0,128043430000.0,2520384800.0,171878370000.0,177445400000.0,4696753700.0,101126370000.0
2078.0,155195930000.0,36372040000.0,26797996000.0,34531300000.0,8044956000.0,172466180000.0,13633695000.0,123072650000.0,2229007400.0,166007780000.0,167552700000.0,4656799000.0,95048840000.0
2079.0,149636710000.0,32075596000.0,24542620000.0,31707496000.0,7228158000.0,162532590000.0,11932165000.0,115157500000.0,1945251300.0,151152410000.0,160741690000.0,4160437500.0,90925195000.0
2080.0,142340390000.0,29679060000.0,22397030000.0,27882818000.0,6197873700.0,158620960000.0,9635173000.0,105506340000.0,1788032900.0,139063950000.0,150667580000.0,3858279200.0,85072040000.0
2081.0,135237510000.0,26892440000.0,20535798000.0,25116103000.0,5700550000.0,150259040000.0,8026331000.0,98635910000.0,1634154200.0,132567530000.0,140854260000.0,3434507500.0,78009650000.0
2082.0,124693180000.0,24324860000.0,18791817000.0,22896794000.0,5123843600.0,140959860000.0,6298640400.0,93863080000.0,1529164300.0,128756050000.0,132480025000.0,3240265500.0,72188270000.0
2083.0,119449160000.0,21431390000.0,16783162000.0,19234025000.0,4703179000.0,134947690000.0,5220173300.0,89417740000.0,1433319000.0,121970040000.0,124725610000.0,3085053000.0,66721178000.0
2084.0,112566630000.0,19753452000.0,14302331000.0,16239005000.0,4296782000.0,129701170000.0,4491773000.0,86894280000.0,1314978700.0,115883810000.0,119289520000.0,2987230700.0,63573420000.0
2085.0,103974790000.0,19205087000.0,11616736000.0,14391559000.0,4026797000.0,122567210000.0,3825110000.0,80673480000.0,1257199900.0,107854200000.0,111040720000.0,2872934400.0,59787473000.0
2086.0,94889630000.0,17724264000.0,10152292000.0,12218138000.0,3738637300.0,117014700000.0,3437573400.0,75540570000.0,1180151000.0,102134540000.0,105855960000.0,2702694100.0,55800316000.0
2087.0,87217136000.0,16063357000.0,8951827000.0,10244948000.0,3460457500.0,111314680000.0,3123977500.0,73130140000.0,1167846800.0,98036910000.0,99609035000.0,2620698000.0,50791050000.0
2088.0,80792850000.0,14389810000.0,7865882600.0,9123012000.0,3112456700.0,109098960000.0,2898369500.0,68737530000.0,1076863400.0,92008240000.0,94527650000.0,2457103400.0,47770358000.0
2089.0,72810030000.0,13153389000.0,6849042400.0,8053364000.0,2914776300.0,102776640000.0,2666532000.0,63573010000.0,1044621000.0,85628660000.0,86257080000.0,2427903200.0,45743243000.0
2090.0,65590970000.0,12417982000.0,6612900000.0,7198168600.0,2766754600.0,96712390000.0,2516824600.0,62672510000.0,954747300.0,82124130000.0,80807920000.0,2357612300.0,44094726000.0
2091.0,58226940000.0,10910182000.0,5996245000.0,6664740000.0,2601482000.0,91658050000.0,2167582700.0,60485865000.0,909972860.0,77200190000.0,74903970000.0,2286493400.0,39650697000.0
2092.0,54678620000.0,9896365000.0,5614585300.0,6188157000.0,2519061500.0,88260270000.0,2061340700.0,56558277000.0,841238460.0,71426570000.0,69827820000.0,2144454400.0,38028673000.0
2093.0,49288573000.0,9216615000.0,5079994000.0,5297346600.0,2482090000.0,83361410000.0,1936806900.0,54085505000.0,803280300.0,66168480000.0,67376880000.0,2085703600.0,35117715000.0
2094.0,46758930000.0,7974350000.0,4789288000.0,4551216600.0,2380620800.0,76104550000.0,1807552300.0,50652475000.0,780829500.0,59563210000.0,61589164000.0,2014123600.0,32211646000.0
2095.0,44621414000.0,6905100000.0,4356807000.0,3766722600.0,2138374000.0,70910340000.0,1692335500.0,48894260000.0,721584260.0,52384060000.0,57876850000.0,1943520900.0,30339220000.0
2096.0,40548560000.0,6454902000.0,3778063000.0,3558087000.0,2102124800.0,67157946000.0,1681603200.0,43262320000.0,679239000.0,47810277000.0,54211396000.0,2068321500.0,29293392000.0
2097.0,37950743000.0,5845435000.0,3663303400.0,3127313700.0,2074247300.0,65237246000.0,1635201000.0,41596207000.0,642019840.0,44101546000.0,49854185000.0,1912244600.0,26676420000.0
2098.0,35097570000.0,5055955500.0,3552079400.0,2764497000.0,1986939100.0,61269975000.0,1594716900.0,40310567000.0,580940300.0,41509396000.0,46938720000.0,1825147400.0,25142378000.0
2099.0,32589621000.0,4890770000.0,3463482000.0,2339048000.0,1901386900.0,57962650000.0,1498400000.0,39505633000.0,544042430.0,38828126000.0,44247724000.0,1752668500.0,23196088000.0
2100.0,30211248000.0,4725759500.0,3278976000.0,2170493000.0,1874177800.0,55064110000.0,1433345400.0,37665440000.0,531035840.0,36113710000.0,42155033000.0,1653326800.0,21288544000.0
