time,MRI-ESM2-0,CANESM5,IPSL-CM6A-LR,CNRM-ESM2-1,UKESM1-0-LL
2080.0,80191455000.0,16094895000.0,34551693000.0,147026660000.0,3263864000.0
2081.0,77628040000.0,15459959000.0,32310034000.0,139969890000.0,3139531000.0
2082.0,72534890000.0,15169613000.0,30460742000.0,132222255000.0,3060616400.0
2083.0,71086100000.0,14282375000.0,29128198000.0,131800390000.0,2907135500.0
2084.0,71877950000.0,13601400000.0,27952286000.0,128966115000.0,2889795600.0
2085.0,69342760000.0,13426536000.0,26978940000.0,122127460000.0,2786773200.0
2086.0,67985048000.0,13113148000.0,26406752000.0,115093590000.0,2733230800.0
2087.0,65443310000.0,12265624000.0,25185026000.0,114168430000.0,2683185700.0
2088.0,64270094000.0,11628380000.0,23411122000.0,108936280000.0,2656204000.0
2089.0,62507532000.0,11181364000.0,24171800000.0,105630710000.0,2612905700.0
2090.0,62325240000.0,11353484000.0,23038570000.0,100965200000.0,2643589000.0
2091.0,59919310000.0,11190970000.0,22966698000.0,97910180000.0,2683153400.0
2092.0,59484406000.0,11278896000.0,22382318000.0,95176830000.0,2656468700.0
2093.0,60096737000.0,10687630000.0,22070446000.0,93158710000.0,2585606400.0
2094.0,59787805000.0,10841469000.0,20987533000.0,88824996000.0,2530828300.0
2095.0,59168838000.0,10860109000.0,20978637000.0,86661440000.0,2494297300.0
2096.0,57243546000.0,11258452000.0,20470389000.0,83604020000.0,2500278800.0
2097.0,56210973000.0,10817469000.0,19991914000.0,80797480000.0,2468245500.0
2098.0,55306950000.0,10594707000.0,19472750000.0,76214480000.0,2485310000.0
2099.0,55973794000.0,10949965000.0,19126112000.0,75660860000.0,2572184600.0
2100.0,55698567000.0,11135839000.0,18972803000.0,75280870000.0,2549224000.0
