time,ACCESS-ESM1-5,MRI-ESM2-0,IPSL-CM6A-LR,CESM2-WACCM,CANESM5,INM-CM4-8,EC-EARTH3,EC-EARTH3-VEG,INM-CM5-0,ACCESS-CM2,FGOALS-F3-L,NORESM2-MM,BCC-CSM2-MR,GFDL-ESM4,MPI-ESM1-2-HR,CESM2,CAMS-CSM1-0
2062.0,30453360000.0,31302883000.0,33178345000.0,33565430000.0,26213736000.0,36406505000.0,28714602000.0,37477057000.0,32762194000.0,28786890000.0,35276222000.0,34561868000.0,37078220000.0,37075345000.0,38714307000.0,30180418000.0,40367956000.0
2063.0,29969953000.0,30753032000.0,32662188000.0,33169037000.0,25563144000.0,36226826000.0,28382517000.0,37190980000.0,32463227000.0,28288565000.0,35151600000.0,34192409000.0,36592910000.0,36613000000.0,37983440000.0,29874405000.0,40164655000.0
2064.0,29663269000.0,30540810000.0,31983227000.0,33149798000.0,25182616000.0,35861490000.0,28002468000.0,36892463000.0,32152099000.0,27856337000.0,34949750000.0,33969738000.0,36384340000.0,36207910000.0,39079110000.0,29326080000.0,39946990000.0
2065.0,29136802000.0,30089548000.0,31394904000.0,32698546000.0,24694895000.0,35404010000.0,27746925000.0,36667482000.0,31842742000.0,27518376000.0,34322702000.0,33475930000.0,36037788000.0,35822310000.0,37923267000.0,29150208000.0,40392830000.0
2066.0,28737233000.0,29641957000.0,30828505000.0,32675920000.0,24509637000.0,35211100000.0,27336276000.0,37624890000.0,31541705000.0,26982201000.0,33939940000.0,33205940000.0,35569850000.0,35641550000.0,37690397000.0,28545380000.0,39529470000.0
2067.0,28586168000.0,29398847000.0,30123090000.0,31979954000.0,24011596000.0,34906722000.0,26953343000.0,36650263000.0,31339993000.0,26492471000.0,33854441000.0,32827658000.0,35106832000.0,35375972000.0,37445250000.0,28347482000.0,41253390000.0
2068.0,28413817000.0,29371228000.0,29607094000.0,31892400000.0,23527490000.0,34422837000.0,26651259000.0,36032600000.0,30982111000.0,26146060000.0,33234344000.0,32519731000.0,34619486000.0,35368493000.0,36996145000.0,27958180000.0,39383237000.0
2069.0,27778294000.0,28911614000.0,29100558000.0,31664155000.0,23432284000.0,34663530000.0,26243740000.0,35758707000.0,30972100000.0,25673750000.0,32970772000.0,32076413000.0,34146445000.0,34955510000.0,36750787000.0,27761971000.0,39494873000.0
2070.0,27389456000.0,29711403000.0,28557425000.0,31194472000.0,23116556000.0,33898981000.0,25900347000.0,35358820000.0,30478918000.0,25181640000.0,32755063000.0,31620379000.0,33931940000.0,34872775000.0,37025290000.0,27364862000.0,40534840000.0
2071.0,26924415000.0,28436398000.0,28007365000.0,30794875000.0,23153136000.0,33624148000.0,25615124000.0,35124740000.0,30241423000.0,24901250000.0,32862773000.0,31390160000.0,33833652000.0,34524926000.0,36429394000.0,27662727000.0,39100867000.0
2072.0,26596352000.0,28971506000.0,27429425000.0,30380829000.0,22482672000.0,33276213000.0,25251130000.0,35120878000.0,31265739000.0,24522121000.0,32163568000.0,31015400000.0,33503355000.0,34119236000.0,36299125000.0,26830332000.0,39312077000.0
2073.0,26287933000.0,28423911000.0,27008494000.0,30178753000.0,22246828000.0,33343742000.0,24883468000.0,35110384000.0,30575208000.0,24164106000.0,31862985000.0,30643855000.0,33791621000.0,33659955000.0,36309905000.0,26466572000.0,38458462000.0
2074.0,26003788000.0,27701045000.0,26633085000.0,29779520000.0,21784642000.0,32917514000.0,24611344000.0,34560516000.0,29764778000.0,23766622000.0,31464360000.0,30317480000.0,32935883000.0,33689570000.0,35822590000.0,26111943000.0,38180100000.0
2075.0,25830994000.0,27755657000.0,26339252000.0,29418824000.0,21421597000.0,32587190000.0,24854776000.0,34248387000.0,29465930000.0,23443845000.0,32252932000.0,29897847000.0,32792005000.0,33717674000.0,37037890000.0,25980557000.0,37953000000.0
