time,CANESM5,MRI-ESM2-0,ACCESS-ESM1-5,IPSL-CM6A-LR,ACCESS-CM2,CESM2-WACCM
2034.0,26410803000.0,26510645000.0,26879906000.0,26139304000.0,25974936000.0,26637630000.0
2035.0,26148833000.0,26266794000.0,26682405000.0,25927277000.0,25735182000.0,26263308000.0
2036.0,26004853000.0,26151450000.0,26650675000.0,25710973000.0,25460574000.0,26018886000.0
2037.0,25822984000.0,26118892000.0,26482485000.0,25460605000.0,25299198000.0,25788215000.0
2038.0,25628720000.0,25886802000.0,26286002000.0,25180236000.0,24979796000.0,25549576000.0
2039.0,25444805000.0,25814174000.0,26206374000.0,24937886000.0,24768115000.0,25390715000.0
2040.0,25182945000.0,25810715000.0,25991422000.0,24705413000.0,24583326000.0,25198242000.0
2041.0,25002375000.0,25510220000.0,25907603000.0,24525300000.0,24423230000.0,25023685000.0
2042.0,24808989000.0,25381124000.0,25745187000.0,24288055000.0,24170027000.0,24802546000.0
2043.0,24786809000.0,25218527000.0,25683767000.0,24020339000.0,23990223000.0,24536470000.0
2044.0,24467364000.0,25120016000.0,25475795000.0,23889353000.0,23747418000.0,24353500000.0
2045.0,24142168000.0,25054430000.0,25327362000.0,23765137000.0,23584657000.0,24192618000.0
2046.0,23988802000.0,24872155000.0,26016660000.0,23576041000.0,23286014000.0,23972880000.0
2047.0,23660747000.0,24741112000.0,25203012000.0,23353414000.0,23124492000.0,23947074000.0
2048.0,23505457000.0,24542261000.0,25060864000.0,23248775000.0,22894133000.0,23697158000.0
2049.0,23336153000.0,24725289000.0,24908454000.0,22972975000.0,22666838000.0,23567553000.0
2050.0,23224164000.0,24306958000.0,24806870000.0,22727220000.0,22408923000.0,23314788000.0
2051.0,22945575000.0,24305670000.0,24750752000.0,22642104000.0,22239250000.0,23112718000.0
2052.0,22800515000.0,24067453000.0,24480586000.0,22424500000.0,22061533000.0,23071260000.0
2053.0,22584390000.0,23926880000.0,24357840000.0,22328218000.0,21869961000.0,22832070000.0
2054.0,22488678000.0,23778560000.0,24718367000.0,22304723000.0,21670640000.0,22576605000.0
2055.0,22263065000.0,23695320000.0,24496206000.0,22560465000.0,21471724000.0,22666560000.0
2056.0,22098438000.0,23570786000.0,24241943000.0,22251155000.0,21295344000.0,22195680000.0
2057.0,21860516000.0,23451146000.0,24051603000.0,21999740000.0,21054149000.0,21887090000.0
2058.0,21678051000.0,23324367000.0,23947078000.0,21877811000.0,20909912000.0,21700428000.0
2059.0,21481914000.0,23209300000.0,23750530000.0,21698484000.0,20634964000.0,21525275000.0
2060.0,21333797000.0,23525632000.0,23585825000.0,21669685000.0,20423741000.0,21395606000.0
2061.0,21189560000.0,23122794000.0,23725773000.0,21509738000.0,20259564000.0,21127952000.0
2062.0,21002148000.0,23559004000.0,23399330000.0,21383084000.0,20128475000.0,20908239000.0
2063.0,20832625000.0,23521286000.0,23170124000.0,21267982000.0,19977628000.0,20765745000.0
2064.0,20763870000.0,22904620000.0,23119923000.0,21121671000.0,19796492000.0,20535796000.0
2065.0,20629527000.0,22756780000.0,23035343000.0,21030564000.0,19622371000.0,20360760000.0
2066.0,20483455000.0,22747441000.0,22881243000.0,20945840000.0,19436003000.0,20233355000.0
2067.0,20314352000.0,22555304000.0,22930993000.0,22108550000.0,19256318000.0,20035746000.0
2068.0,20213576000.0,22500129000.0,22646325000.0,21449101000.0,19165354000.0,19872370000.0
2069.0,20059978000.0,22383305000.0,22501552000.0,20954999000.0,19066360000.0,19714193000.0
2070.0,19897570000.0,22287560000.0,22416548000.0,21376862000.0,18748674000.0,19543904000.0
2071.0,19778593000.0,22619333000.0,22313597000.0,20720656000.0,18606580000.0,19430930000.0
2072.0,19619723000.0,22292216000.0,22116202000.0,20607003000.0,18599900000.0,19289143000.0
2073.0,19507680000.0,22076641000.0,22068453000.0,20471304000.0,18349380000.0,19048090000.0
2074.0,19367220000.0,22181091000.0,21952422000.0,20355619000.0,18179449000.0,18911113000.0
2075.0,19227032000.0,21972998000.0,21828286000.0,20335976000.0,18115000000.0,18725833000.0
2076.0,19186209000.0,21854265000.0,21650571000.0,20262957000.0,18018724000.0,18535197000.0
2077.0,18975793000.0,21774459000.0,21556951000.0,20140597000.0,17818792000.0,18410523000.0
2078.0,18932818000.0,21670742000.0,21644534000.0,20250057000.0,17687382000.0,18235525000.0
2079.0,18810302000.0,21651442000.0,21365008000.0,19978842000.0,17632629000.0,18313927000.0
2080.0,18631578000.0,21515325000.0,21350740000.0,20005698000.0,17476487000.0,18182144000.0
2081.0,18876264000.0,21473638000.0,21233711000.0,19845177000.0,17362127000.0,17868110000.0
2082.0,18459924000.0,21469807000.0,21131057000.0,19698205000.0,17324888000.0,18675610000.0
2083.0,18867984000.0,21738738000.0,20991840000.0,19618583000.0,17157745000.0,17977678000.0
2084.0,18308280000.0,21449646000.0,20961143000.0,19519762000.0,17104417000.0,17805540000.0
2085.0,18317710000.0,21227653000.0,20991090000.0,19446233000.0,17013878000.0,17496450000.0
2086.0,18361252000.0,21145221000.0,21230602000.0,19613018000.0,16908785000.0,17461754000.0
2087.0,18334740000.0,20998633000.0,20846020000.0,19602084000.0,16846648000.0,17280160000.0
2088.0,18116379000.0,20870236000.0,20669790000.0,19314686000.0,16662332000.0,17077365000.0
2089.0,17939829000.0,20800522000.0,20556851000.0,19143432000.0,16513919000.0,16943567000.0
2090.0,17699738000.0,20877089000.0,21482873000.0,19084915000.0,16818859000.0,16807440000.0
2091.0,17529092000.0,20625543000.0,20876317000.0,19010705000.0,16339247000.0,16681667000.0
2092.0,17359602000.0,20579006000.0,20503546000.0,18894442000.0,16221805000.0,16766107000.0
2093.0,17770365000.0,20444453000.0,20736014000.0,18823555000.0,16452515000.0,16501260000.0
2094.0,17819707000.0,20500734000.0,20307192000.0,18742780000.0,16210910000.0,16719087000.0
2095.0,17916758000.0,20614468000.0,20205660000.0,19051426000.0,16004754000.0,16362930000.0
2096.0,17541712000.0,20275632000.0,20532036000.0,19319765000.0,15966804000.0,16216736000.0
2097.0,17195581000.0,20154847000.0,20349590000.0,18651267000.0,15856450000.0,16099003000.0
2098.0,17088031000.0,20186903000.0,20357165000.0,18675622000.0,15759954000.0,16004025000.0
2099.0,17204992000.0,20578777000.0,20534503000.0,18554198000.0,16049470000.0,16216252000.0
2100.0,17237907000.0,20064074000.0,20096463000.0,18449390000.0,15756064000.0,16286643000.0
2101.0,17004288000.0,20193698000.0,20021707000.0,18344292000.0,15684667000.0,15846047000.0
2102.0,16802836000.0,19848298000.0,19946103000.0,18276209000.0,15540801000.0,15897269000.0
2103.0,16686906000.0,19778185000.0,19922340000.0,18358820000.0,15565446000.0,16006351000.0
2104.0,16791042000.0,19985465000.0,19878664000.0,18210470000.0,15365929000.0,15785538000.0
2105.0,17224382000.0,19975674000.0,20805610000.0,19370211000.0,15312792000.0,15556169000.0
2106.0,17734900000.0,19825224000.0,20341029000.0,18337817000.0,15193063000.0,15378399000.0
2107.0,16818355000.0,19563383000.0,20549077000.0,18120518000.0,15109121000.0,15619734000.0
2108.0,16714491000.0,19517049000.0,20237609000.0,17948723000.0,15031150000.0,15787895000.0
2109.0,16632139000.0,19958667000.0,19886221000.0,17986570000.0,14929729000.0,15329217000.0
2110.0,16500385000.0,19595241000.0,20242498000.0,17900423000.0,14862296000.0,15640028000.0
2111.0,16648997000.0,19880206000.0,19829377000.0,17783075000.0,14988456000.0,15139119000.0
2112.0,16807738000.0,19489974000.0,20490668000.0,18077352000.0,14803330000.0,14910003000.0
2113.0,16491076000.0,19447773000.0,20027960000.0,17745380000.0,14658145000.0,14876490000.0
2114.0,16456452000.0,19435772000.0,20408220000.0,17629231000.0,14548302000.0,14728508000.0
2115.0,16375547000.0,19344142000.0,19855215000.0,17643200000.0,14507119000.0,16169968000.0
2116.0,16437730000.0,19314940000.0,19688681000.0,17852772000.0,14646297000.0,14930986000.0
2117.0,16253543000.0,19276260000.0,19710590000.0,17843214000.0,14385195000.0,14579772000.0
2118.0,16629247000.0,19215299000.0,19616827000.0,17724631000.0,14455500000.0,14651636000.0
2119.0,16327911000.0,19150967000.0,20117480000.0,17663744000.0,14156850000.0,14393649000.0
2120.0,16467956000.0,19521420000.0,19603245000.0,18848490000.0,14093835000.0,14920187000.0
2121.0,16835085000.0,19679420000.0,19790643000.0,17761569000.0,13995196000.0,14401788000.0
2122.0,16304966000.0,19138150000.0,19479090000.0,17635279000.0,13924293000.0,14950542000.0
2123.0,16333704000.0,19093283000.0,19500947000.0,18261100000.0,13861072000.0,14250260000.0
2124.0,16105639000.0,18986848000.0,19592180000.0,17730360000.0,13823218000.0,14155273000.0
2125.0,16154397000.0,19202767000.0,19382915000.0,17485586000.0,13773098000.0,14104309000.0
2126.0,16387291000.0,18944797000.0,19310637000.0,17653438000.0,13802753000.0,13928606000.0
2127.0,16009836000.0,18900836000.0,22285275000.0,17934498000.0,13667939000.0,13885477000.0
2128.0,17415066000.0,18829664000.0,21086255000.0,18210566000.0,13683014000.0,13773605000.0
2129.0,16414808000.0,18844640000.0,20278874000.0,17520423000.0,13612161000.0,13947652000.0
2130.0,16556396000.0,19825332000.0,19776057000.0,17470245000.0,13517098000.0,13778763000.0
2131.0,16030313000.0,19604804000.0,19654035000.0,17447029000.0,13480297000.0,13692383000.0
2132.0,16310068000.0,18919768000.0,19623690000.0,17396404000.0,13441074000.0,13593089000.0
2133.0,16975430000.0,18846200000.0,19162315000.0,17322484000.0,13470966000.0,13636118000.0
2134.0,16448546000.0,18852980000.0,19091874000.0,17323280000.0,13348769000.0,13441830000.0
2135.0,16228162000.0,18726242000.0,19105948000.0,17855943000.0,13456024000.0,13463614000.0
2136.0,16058058000.0,18949808000.0,20647375000.0,17384060000.0,13335293000.0,13440150000.0
2137.0,16105658000.0,18684013000.0,20343261000.0,17473750000.0,13288285000.0,13303674000.0
2138.0,16148202000.0,18588360000.0,19454665000.0,17374530000.0,13167059000.0,13314608000.0
2139.0,15995160000.0,18549316000.0,19753701000.0,17187707000.0,13259546000.0,13577583000.0
2140.0,15882771000.0,18953572000.0,19343962000.0,17202842000.0,13145103000.0,13220106000.0
2141.0,15829740000.0,18560088000.0,19375262000.0,17090961000.0,13157573000.0,13323457000.0
2142.0,15883145000.0,18431340000.0,19114072000.0,17095700000.0,13040834000.0,13175496000.0
2143.0,16234298000.0,18475434000.0,18960353000.0,17020255000.0,13139933000.0,13186319000.0
2144.0,15816673000.0,18354133000.0,18914652000.0,17035309000.0,12979099000.0,13057175000.0
2145.0,16057007000.0,18544015000.0,19310338000.0,18166628000.0,12983803000.0,13017850000.0
2146.0,15864956000.0,18345142000.0,19146220000.0,17425666000.0,13005073000.0,12990250000.0
2147.0,15966252000.0,19676602000.0,19299275000.0,17043255000.0,12928418000.0,13478630000.0
2148.0,16945762000.0,18798221000.0,19009812000.0,17026857000.0,12868897000.0,13225183000.0
2149.0,16256101000.0,18676769000.0,19074476000.0,16991548000.0,12826869000.0,13046366000.0
2150.0,16157361000.0,18226393000.0,20064184000.0,17225867000.0,12876865000.0,13014436000.0
2151.0,15919234000.0,18674690000.0,19211920000.0,17029125000.0,12726359000.0,13006495000.0
2152.0,15975585000.0,18287176000.0,19408226000.0,17326940000.0,12884352000.0,12893222000.0
2153.0,16160568000.0,18249380000.0,19087761000.0,16878873000.0,12923752000.0,13098147000.0
2154.0,17007465000.0,18178578000.0,19917052000.0,16896803000.0,12634158000.0,13053816000.0
2155.0,15877551000.0,18423770000.0,19383654000.0,17036065000.0,12934217000.0,12783950000.0
2156.0,15826392000.0,18247918000.0,19142470000.0,17507105000.0,12627944000.0,12796920000.0
2157.0,16534329000.0,18615607000.0,19009319000.0,16994154000.0,12603807000.0,12854109000.0
2158.0,15790690000.0,18235030000.0,18958210000.0,17162249000.0,12545714000.0,12997875000.0
2159.0,15714919000.0,18162905000.0,19533020000.0,16942153000.0,12680050000.0,12852951000.0
2160.0,15663293000.0,18813610000.0,19035079000.0,16799587000.0,12526582000.0,13050391000.0
2161.0,15704720000.0,18068838000.0,18848460000.0,17921755000.0,12533057000.0,12882748000.0
2162.0,17397205000.0,18077383000.0,18971589000.0,17017296000.0,12540060000.0,12661241000.0
2163.0,16659027000.0,18060317000.0,18832630000.0,16789979000.0,12448546000.0,12841881000.0
2164.0,16356123000.0,18049550000.0,18807044000.0,16802644000.0,12435680000.0,12749310000.0
2165.0,16101045000.0,18619984000.0,18981659000.0,16801061000.0,12412415000.0,12488074000.0
2166.0,16285697000.0,17984387000.0,19381217000.0,16788656000.0,12374651000.0,12452486000.0
2167.0,16325491000.0,17937803000.0,19120610000.0,17844527000.0,12369589000.0,12539436000.0
2168.0,15995681000.0,17969380000.0,18981005000.0,16752692000.0,12438303000.0,13264164000.0
2169.0,16422516000.0,17897450000.0,18929838000.0,16972730000.0,12364988000.0,12787206000.0
2170.0,16152817000.0,17864862000.0,20584995000.0,16670685000.0,12289667000.0,12525267000.0
2171.0,16348316000.0,17922912000.0,19190692000.0,16644000000.0,12281519000.0,12395585000.0
2172.0,15911582000.0,17776955000.0,19198230000.0,16727685000.0,12474085000.0,12310784000.0
2173.0,15909983000.0,17821293000.0,18918973000.0,16734185000.0,12226258000.0,12278957000.0
2174.0,15814038000.0,17712656000.0,19082377000.0,16594806000.0,12212846000.0,12221039000.0
2175.0,15865096000.0,17931422000.0,18781647000.0,16577097000.0,12126533000.0,12325285000.0
2176.0,17169166000.0,17614655000.0,18946110000.0,16551500000.0,12095562000.0,12305910000.0
2177.0,16314716000.0,17676470000.0,18673562000.0,16972516000.0,12270000000.0,12135614000.0
2178.0,16157603000.0,17470250000.0,18679360000.0,17576230000.0,12493276000.0,12298360000.0
2179.0,15836828000.0,17508942000.0,18574645000.0,17998186000.0,12193944000.0,12140721000.0
2180.0,15923362000.0,17390545000.0,18592942000.0,16876199000.0,12112799000.0,12185124000.0
2181.0,15780796000.0,17533340000.0,18715500000.0,17253886000.0,12149465000.0,12212256000.0
2182.0,15957070000.0,17337182000.0,18547814000.0,18033037000.0,12072225000.0,11967091000.0
2183.0,15766695000.0,17302470000.0,18744220000.0,17152324000.0,12023249000.0,11931723000.0
2184.0,17055002000.0,17298030000.0,18527977000.0,17162012000.0,12422311000.0,12102057000.0
2185.0,15945594000.0,17086607000.0,18629226000.0,17185032000.0,12080116000.0,12027713000.0
2186.0,15706588000.0,16964315000.0,18433323000.0,16991258000.0,11979877000.0,11781302000.0
2187.0,16348683000.0,16851047000.0,18384124000.0,16868316000.0,11943948000.0,11747403000.0
2188.0,15823913000.0,16714071000.0,20464861000.0,18836974000.0,12890318000.0,11801852000.0
2189.0,15655706000.0,16696877000.0,19565201000.0,17641871000.0,12181371000.0,11701896000.0
2190.0,15926061000.0,17026171000.0,19046210000.0,17169454000.0,11975494000.0,12061813000.0
2191.0,16086406000.0,16638349000.0,18962737000.0,17115022000.0,12006455000.0,11743705000.0
2192.0,16046819000.0,16421229000.0,19823012000.0,17088013000.0,12426298000.0,11690287000.0
2193.0,16429544000.0,16445298000.0,19249007000.0,16966950000.0,11933570000.0,11576386000.0
2194.0,15803429000.0,16427471000.0,18793753000.0,16928948000.0,11912505000.0,11870063000.0
2195.0,15986715000.0,16254653000.0,19035423000.0,16960815000.0,11935779000.0,11853437000.0
2196.0,15967511000.0,16168954000.0,18730610000.0,16938578000.0,11951918000.0,11782796000.0
2197.0,15751383000.0,16322739000.0,18572347000.0,16867974000.0,11934445000.0,11476380000.0
2198.0,15667206000.0,16104766000.0,18553400000.0,16801693000.0,11847530000.0,11410103000.0
2199.0,15593719000.0,16005561000.0,18493184000.0,16820186000.0,11947239000.0,11666504000.0
2200.0,15574154000.0,15962540000.0,18601580000.0,16824410000.0,11887688000.0,11426695000.0
2201.0,16084029000.0,16124931000.0,18408466000.0,16846984000.0,11888289000.0,11309304000.0
2202.0,15607481000.0,15989272000.0,19417842000.0,16889300000.0,11833345000.0,11419566000.0
2203.0,15783849000.0,15899802000.0,18763934000.0,16695086000.0,11776247000.0,11250975000.0
2204.0,15492210000.0,15937851000.0,18927094000.0,16684204000.0,11829306000.0,11227738000.0
2205.0,15467251000.0,15850296000.0,18880156000.0,17152828000.0,11791937000.0,11199499000.0
2206.0,15508066000.0,16123195000.0,18779945000.0,16832381000.0,11753366000.0,11393337000.0
2207.0,15975177000.0,15872970000.0,18694713000.0,16695967000.0,12087366000.0,11262794000.0
2208.0,15919371000.0,15657514000.0,18479747000.0,16803767000.0,11814568000.0,11179524000.0
2209.0,15856942000.0,15652012000.0,18427599000.0,16849937000.0,12171545000.0,11072316000.0
2210.0,16936672000.0,15600975000.0,18618622000.0,16558690000.0,11955059000.0,11389539000.0
2211.0,15900818000.0,15562881000.0,18284114000.0,16724523000.0,11801853000.0,11203623000.0
2212.0,15623376000.0,15487641000.0,18324550000.0,16546931000.0,11740702000.0,11058686000.0
2213.0,15612593000.0,15462426000.0,18702338000.0,16448146000.0,11926812000.0,11231124000.0
2214.0,16400421000.0,15486489000.0,18258915000.0,16486239000.0,11819519000.0,11093374000.0
2215.0,15982416000.0,15458940000.0,18148820000.0,16859656000.0,11725243000.0,11038243000.0
2216.0,15645738000.0,15372102000.0,18182398000.0,16691289000.0,11938854000.0,10949861000.0
2217.0,16195824000.0,15387227000.0,18134307000.0,16540089000.0,11949090000.0,10991938000.0
2218.0,16404626000.0,15295690000.0,18117067000.0,16394916000.0,11758936000.0,11000925000.0
2219.0,16103984000.0,15925478000.0,18420808000.0,17701290000.0,11860193000.0,10862358000.0
2220.0,16631667000.0,15353016000.0,18022478000.0,17229482000.0,11875853000.0,10787618000.0
2221.0,16555249000.0,15284321000.0,18525604000.0,17362809000.0,11865902000.0,10771391000.0
2222.0,16100229000.0,15598749000.0,18101293000.0,16657672000.0,11730370000.0,10743289000.0
2223.0,15832627000.0,15249151000.0,18308764000.0,16859068000.0,11767622000.0,11460039000.0
2224.0,15990190000.0,15199933000.0,18475053000.0,16646491000.0,11780545000.0,10972687000.0
2225.0,16365485000.0,15192081000.0,18226762000.0,16556989000.0,11760983000.0,10814534000.0
2226.0,15909351000.0,15152826000.0,18545281000.0,16663589000.0,11928749000.0,10722672000.0
2227.0,15918554000.0,15131294000.0,18358432000.0,16569502000.0,11736053000.0,10631739000.0
2228.0,15918775000.0,15074092000.0,18109820000.0,16444595000.0,11667394000.0,10640609000.0
2229.0,15811113000.0,15031877000.0,18320265000.0,17497754000.0,11648350000.0,10556183000.0
2230.0,15955280000.0,15063576000.0,17905265000.0,17160653000.0,11779864000.0,10549820000.0
2231.0,16158647000.0,16137981000.0,17896677000.0,18296547000.0,12032507000.0,10518615000.0
2232.0,15764136000.0,15854448000.0,18391603000.0,17014479000.0,11818670000.0,10489048000.0
2233.0,15750717000.0,15834333000.0,18146216000.0,16749082000.0,11662744000.0,10481384000.0
2234.0,15666416000.0,15417831000.0,18101619000.0,16576505000.0,11638904000.0,10474170000.0
2235.0,15855729000.0,15278167000.0,17833138000.0,16496251000.0,11820936000.0,10465365000.0
2236.0,15830043000.0,15190427000.0,17948418000.0,16609672000.0,11871643000.0,10750073000.0
2237.0,15769076000.0,15045240000.0,17756250000.0,16690541000.0,11871046000.0,10522857000.0
2238.0,15826401000.0,14979560000.0,18072490000.0,16444201000.0,11822122000.0,10914115000.0
2239.0,15796515000.0,14938920000.0,17889343000.0,16410034000.0,11705439000.0,10462932000.0
2240.0,17429650000.0,14920878000.0,17848068000.0,16853434000.0,11673822000.0,10350482000.0
2241.0,16755426000.0,14889314000.0,17700846000.0,16520018000.0,11645645000.0,10341807000.0
2242.0,16448181000.0,14887010000.0,17712042000.0,16564409000.0,11637204000.0,10323917000.0
2243.0,16248921000.0,14851276000.0,17561254000.0,16872863000.0,11717037000.0,10637430000.0
2244.0,17006396000.0,14912393000.0,17615608000.0,16570158000.0,11624883000.0,10310194000.0
2245.0,16249164000.0,14991791000.0,17489103000.0,16370428000.0,11673723000.0,10297582000.0
2246.0,16002848000.0,14885986000.0,18061046000.0,16331931000.0,11679463000.0,10301552000.0
2247.0,16322114000.0,14793040000.0,17548456000.0,16464606000.0,11588694000.0,10286954000.0
2248.0,16592844000.0,14808921000.0,17491954000.0,16522970000.0,11569390000.0,10531073000.0
2249.0,16217572000.0,14773373000.0,18985843000.0,16430230000.0,12308787000.0,10219780000.0
2250.0,16446422000.0,14703544000.0,18512984000.0,16790634000.0,11734296000.0,10220920000.0
2251.0,16201859000.0,14686914000.0,17648335000.0,16475576000.0,11682806000.0,10346564000.0
2252.0,15931545000.0,14641545000.0,18215810000.0,16364500000.0,11579875000.0,10284028000.0
2253.0,16130808000.0,14605164000.0,17694482000.0,16518888000.0,11741656000.0,10185099000.0
2254.0,16066501000.0,14581293000.0,17496380000.0,16300735000.0,11554713000.0,10225421000.0
2255.0,16079976000.0,14559636000.0,17422164000.0,16637788000.0,11558956000.0,10134078000.0
2256.0,16094558000.0,14536412000.0,17387460000.0,16334078000.0,11534563000.0,10152449000.0
2257.0,16937132000.0,14488824000.0,17363060000.0,16555116000.0,11520406000.0,10268233000.0
2258.0,15922878000.0,14439918000.0,17270444000.0,16762207000.0,11616274000.0,10111195000.0
2259.0,15898268000.0,14405089000.0,17379295000.0,16866724000.0,11647400000.0,10054239000.0
2260.0,16246551000.0,14405374000.0,17542922000.0,17383188000.0,11968068000.0,10162182000.0
2261.0,15931007000.0,14359639000.0,17981352000.0,17479535000.0,11609080000.0,10325115000.0
2262.0,17390543000.0,14409435000.0,17610433000.0,17491950000.0,11778004000.0,10043819000.0
2263.0,16071938000.0,14299316000.0,18196930000.0,18420510000.0,11559413000.0,10308571000.0
2264.0,16031089000.0,14692259000.0,18030756000.0,17032813000.0,11513717000.0,10069330000.0
2265.0,16521164000.0,14242054000.0,18027342000.0,16789432000.0,11523661000.0,10186921000.0
2266.0,16069251000.0,14199423000.0,18300295000.0,16687657000.0,11478940000.0,10010277000.0
2267.0,16239826000.0,14167163000.0,18703538000.0,16783644000.0,11435106000.0,10120013000.0
2268.0,16001014000.0,14113427000.0,17906242000.0,16911195000.0,11427731000.0,10022452000.0
2269.0,17266910000.0,14271192000.0,17770752000.0,16942974000.0,11429220000.0,10153093000.0
2270.0,16268131000.0,14077301000.0,17557619000.0,16958842000.0,11399708000.0,10334012000.0
2271.0,15983525000.0,14066102000.0,17567805000.0,16706180000.0,11350779000.0,10117511000.0
2272.0,15970157000.0,14092999000.0,17447150000.0,16673020000.0,11359546000.0,9946621000.0
2273.0,16038103000.0,14047184000.0,17449261000.0,17082738000.0,11662766000.0,9927911000.0
2274.0,15987682000.0,14003722000.0,17637405000.0,16843275000.0,11414418000.0,9903243000.0
2275.0,17832626000.0,14017872000.0,17795832000.0,16682565000.0,11583058000.0,9924711000.0
2276.0,16941750000.0,14186597000.0,17668129000.0,16619756000.0,11342242000.0,9837522000.0
2277.0,16093164000.0,13988891000.0,18234950000.0,16571666000.0,11335790000.0,9834315000.0
2278.0,16067413000.0,14228538000.0,18031247000.0,16590727000.0,11332879000.0,9906431000.0
2279.0,16911121000.0,13901415000.0,17931680000.0,18713547000.0,11385741000.0,9802188000.0
2280.0,16259256000.0,13887733000.0,17662114000.0,16724823000.0,11343542000.0,9808504000.0
2281.0,17295454000.0,13843088000.0,17571360000.0,16808179000.0,11324569000.0,9978754000.0
2282.0,16165443000.0,13866239000.0,17395130000.0,17090088000.0,11278598000.0,9797129000.0
2283.0,16629171000.0,13934976000.0,17357074000.0,17229287000.0,11222526000.0,9760680000.0
2284.0,16260551000.0,13801239000.0,17318078000.0,17081829000.0,11308357000.0,9813707000.0
2285.0,16242070000.0,13902494000.0,17427683000.0,16762052000.0,11208794000.0,9870450000.0
2286.0,16560674000.0,13771037000.0,18864513000.0,16689271000.0,11356041000.0,9726980000.0
2287.0,16842796000.0,13705413000.0,18574234000.0,16620996000.0,11260294000.0,9697600000.0
2288.0,16115339000.0,13681987000.0,17888856000.0,16646200000.0,11212109000.0,9652191000.0
2289.0,16339043000.0,13680623000.0,17825233000.0,16730203000.0,11225848000.0,9900537000.0
2290.0,16206601000.0,13752900000.0,17522688000.0,17029196000.0,11162288000.0,9858346000.0
2291.0,16030001000.0,13618879000.0,17505800000.0,17007962000.0,11217965000.0,9632752000.0
2292.0,16286378000.0,13599621000.0,18023385000.0,17380137000.0,11204517000.0,9643940000.0
2293.0,16470832000.0,13579548000.0,17490053000.0,17449601000.0,11181820000.0,9593044000.0
2294.0,15965672000.0,13528322000.0,17596174000.0,16890754000.0,11120305000.0,9646459000.0
