time,IPSL-CM6A-LR,ACCESS-ESM1-5,ACCESS-CM2,CESM2-WACCM,MRI-ESM2-0,CANESM5
2099.0,41845228000.0,45195810000.0,44084683000.0,35293490000.0,39299998000.0,27511183000.0
2100.0,40707375000.0,44168696000.0,43103916000.0,34126432000.0,38390290000.0,26343140000.0
2101.0,39632757000.0,43254567000.0,42127077000.0,33075448000.0,37354422000.0,25368115000.0
2102.0,38754152000.0,42242250000.0,41222110000.0,31973548000.0,36405735000.0,23958569000.0
2103.0,37612052000.0,41325610000.0,40292557000.0,30897187000.0,35507552000.0,22999368000.0
2104.0,36734450000.0,40864473000.0,39129272000.0,29723974000.0,34495795000.0,21540194000.0
2105.0,35797760000.0,39910015000.0,38034326000.0,28618717000.0,33817975000.0,20807127000.0
2106.0,34942575000.0,39255515000.0,37017590000.0,27684893000.0,32954276000.0,19915411000.0
2107.0,34064820000.0,38829003000.0,36136985000.0,26715875000.0,31980134000.0,18548842000.0
2108.0,33085979000.0,38278373000.0,35054715000.0,25946730000.0,31114537000.0,17544350000.0
2109.0,32038970000.0,37381330000.0,34008031000.0,24894170000.0,30012826000.0,16706891000.0
2110.0,31122166000.0,36601670000.0,33110342000.0,23759696000.0,29031524000.0,15758506000.0
2111.0,30254270000.0,35678180000.0,32064090000.0,22847658000.0,28289368000.0,14965560000.0
2112.0,29290711000.0,35008987000.0,31342993000.0,21725135000.0,27245173000.0,13822102000.0
2113.0,28428044000.0,34021814000.0,30264910000.0,20974647000.0,26289103000.0,12532273000.0
2114.0,27756065000.0,33085553000.0,29526866000.0,20100686000.0,25518973000.0,11919675000.0
2115.0,27083571000.0,32312377000.0,28757258000.0,19277621000.0,24734520000.0,11230344000.0
2116.0,26303687000.0,31448685000.0,27656952000.0,18589050000.0,23939056000.0,10620791000.0
2117.0,25329416000.0,30749830000.0,26519150000.0,17857577000.0,23058262000.0,10088046000.0
2118.0,24687577000.0,29884461000.0,25098363000.0,17243288000.0,22283524000.0,9575704000.0
2119.0,23966214000.0,29198307000.0,23914183000.0,16640889000.0,21609224000.0,9007088000.0
2120.0,23210658000.0,28670454000.0,22584412000.0,16083084000.0,21059144000.0,8445745000.0
2121.0,22937879000.0,27909610000.0,21517259000.0,15432130000.0,20147708000.0,7884947500.0
2122.0,21616546000.0,27338858000.0,20038728000.0,14871345000.0,19490247000.0,7396162000.0
2123.0,20485239000.0,26549092000.0,18851488000.0,14351489000.0,18823338000.0,6941092400.0
2124.0,19664925000.0,25816240000.0,17897870000.0,13836000000.0,17966470000.0,6366694400.0
2125.0,18449922000.0,25219002000.0,17060453000.0,13340866000.0,17175733000.0,5820585500.0
2126.0,17558247000.0,24313176000.0,15774508000.0,12892511000.0,16575169000.0,5465266000.0
2127.0,16803792000.0,23397100000.0,14297429000.0,12528523000.0,15703280000.0,4963854000.0
2128.0,15627806000.0,22554462000.0,13175305000.0,12042312000.0,14984036000.0,4606392300.0
2129.0,14772302000.0,21668348000.0,12476357000.0,11671575000.0,14420202000.0,4247863800.0
2130.0,14143775000.0,21000274000.0,11805586000.0,11372237000.0,13839641000.0,3861396000.0
2131.0,13666115000.0,20301806000.0,11215558000.0,11066284000.0,13207630000.0,3343460400.0
2132.0,13243652000.0,19162728000.0,10560512000.0,10761054000.0,12593247000.0,2896248800.0
