time,ACCESS-ESM1-5,ACCESS-CM2,CESM2-WACCM,IPSL-CM6A-LR,CANESM5,MRI-ESM2-0
2086.0,34381857000.0,34221472000.0,27969581000.0,31764990000.0,35866890000.0,46204748000.0
2087.0,33354482000.0,33128890000.0,27065004000.0,30772814000.0,35337020000.0,45854250000.0
2088.0,32444924000.0,32081207000.0,25973008000.0,29772487000.0,34819760000.0,45240746000.0
2089.0,31420652000.0,31264913000.0,25032843000.0,29193290000.0,34263706000.0,44740790000.0
2090.0,30379764000.0,30529696000.0,24214913000.0,28342653000.0,33893282000.0,44089446000.0
2091.0,29574339000.0,29807946000.0,23388203000.0,27651256000.0,33326377000.0,43401445000.0
2092.0,28624435000.0,29063320000.0,22611767000.0,26941098000.0,32592270000.0,42809967000.0
2093.0,27997900000.0,28515891000.0,21816183000.0,26302462000.0,31924435000.0,42358284000.0
2094.0,27259988000.0,27578864000.0,21049758000.0,25817072000.0,31454562000.0,41749398000.0
2095.0,26558910000.0,26790494000.0,20167490000.0,25187072000.0,30969473000.0,41246786000.0
2096.0,26020878000.0,25869527000.0,19370324000.0,24558842000.0,30568040000.0,40646816000.0
2097.0,25208752000.0,25127041000.0,18571715000.0,24134578000.0,30266767000.0,40017707000.0
2098.0,24358574000.0,24498526000.0,17781877000.0,23769496000.0,29708718000.0,39365108000.0
2099.0,23721796000.0,23622935000.0,17105150000.0,23340327000.0,29246755000.0,38765570000.0
2100.0,23170302000.0,22762826000.0,16451826000.0,23050280000.0,28846963000.0,38205770000.0
2101.0,22461890000.0,22071320000.0,15628005000.0,22698054000.0,28522385000.0,37493610000.0
2102.0,21897394000.0,21133826000.0,15114323000.0,22548420000.0,28149750000.0,36819005000.0
2103.0,21191596000.0,20432857000.0,14435121000.0,22253380000.0,27827145000.0,35945103000.0
2104.0,20539724000.0,19865120000.0,13876250000.0,21679483000.0,27434863000.0,35373440000.0
2105.0,19972647000.0,19343702000.0,13446420000.0,21294025000.0,26996961000.0,34712300000.0
2106.0,19451902000.0,18796550000.0,12836605000.0,20949630000.0,26547216000.0,34159577000.0
2107.0,18970325000.0,18153210000.0,12482031000.0,20751354000.0,26258030000.0,33719857000.0
2108.0,18427652000.0,17694986000.0,11980930000.0,20993350000.0,25868786000.0,33233588000.0
2109.0,17761618000.0,17086366000.0,11473667000.0,20157692000.0,25526071000.0,33395090000.0
2110.0,17254875000.0,16567186000.0,10975782000.0,19908560000.0,25230160000.0,32730104000.0
2111.0,16674720000.0,15990813000.0,10557443000.0,19605504000.0,24916780000.0,32096512000.0
2112.0,16211603000.0,15326355000.0,10186227000.0,19327035000.0,24436935000.0,31436616000.0
2113.0,15680289000.0,14629102000.0,9907476000.0,19004758000.0,24024650000.0,30668995000.0
2114.0,14984407000.0,14068774000.0,9745766000.0,18735247000.0,23649900000.0,30141858000.0
2115.0,14458351000.0,13639782000.0,9473615000.0,18369395000.0,23301548000.0,29459483000.0
2116.0,14005468000.0,13278675000.0,9167494000.0,17780314000.0,23004566000.0,28897194000.0
2117.0,13672204000.0,12901206000.0,8864346000.0,17389668000.0,22633310000.0,28575621000.0
2118.0,13349711000.0,12530796000.0,8658749000.0,17079033000.0,22373073000.0,28432648000.0
2119.0,13113106000.0,12131214000.0,8446173700.0,16762229000.0,22092340000.0,27729910000.0
2120.0,12554146000.0,11736226000.0,8141606000.0,16312136000.0,21800200000.0,27302373000.0
2121.0,12295517000.0,11255613000.0,7939758600.0,16019850000.0,21475710000.0,26575927000.0
2122.0,11971561000.0,10897627000.0,7745540000.0,15631018000.0,21203362000.0,25908484000.0
2123.0,11707085000.0,10619619000.0,7621400000.0,16026943000.0,20951644000.0,25494526000.0
2124.0,11361598000.0,10356068000.0,7406547500.0,15512840000.0,20675811000.0,25090202000.0
2125.0,11057203000.0,10152188000.0,7211848000.0,14871670000.0,20396452000.0,24636980000.0
2126.0,10832853000.0,9795793000.0,7078426600.0,14536983000.0,20069575000.0,24159916000.0
2127.0,10549833000.0,9472835000.0,6923599400.0,14218898000.0,19803860000.0,23638602000.0
