time,EC-EARTH3,IPSL-CM6A-LR,GFDL-ESM4,MRI-ESM2-0,UKESM1-0-LL,KACE-1-0-G,CNRM-ESM2-1,MPI-ESM1-2-HR,CANESM5,MIROC6,CESM2-WACCM,CNRM-CM6-1,TAIESM1
2052.0,29166404000.0,33435156000.0,38025843000.0,34589884000.0,26722260000.0,29290117000.0,37814104000.0,37603676000.0,17762770000.0,38101504000.0,35651210000.0,37601930000.0,32635087000.0
2053.0,28552505000.0,32797520000.0,37281698000.0,34002317000.0,26255931000.0,28573932000.0,37839786000.0,37042614000.0,16925477000.0,37306733000.0,35052913000.0,36971640000.0,31869725000.0
2054.0,28039440000.0,32341225000.0,37287850000.0,33396169000.0,25368570000.0,27720847000.0,36844750000.0,36414550000.0,16034008000.0,36751230000.0,34403130000.0,36615390000.0,31343626000.0
2055.0,27303647000.0,31439555000.0,36278730000.0,32851618000.0,24490836000.0,27036287000.0,36604445000.0,35725800000.0,15334027000.0,35995537000.0,33623556000.0,35638395000.0,31092218000.0
2056.0,26516478000.0,30801660000.0,35763380000.0,32122143000.0,23681862000.0,26233074000.0,35830936000.0,35246200000.0,14619390000.0,35421704000.0,33099164000.0,35145620000.0,30303693000.0
2057.0,25663880000.0,30185075000.0,35480000000.0,31417830000.0,22918790000.0,25770256000.0,35464122000.0,34682683000.0,13922432000.0,35044450000.0,32244206000.0,34510580000.0,29548247000.0
2058.0,25076292000.0,29626032000.0,34836960000.0,30767923000.0,22151692000.0,25147711000.0,34954480000.0,34246689000.0,13245173000.0,34364900000.0,31427130000.0,33910376000.0,29026202000.0
2059.0,24697838000.0,28823316000.0,34165670000.0,30120608000.0,21520050000.0,24313326000.0,34509040000.0,33620265000.0,12552501000.0,33756154000.0,30764575000.0,33193007000.0,28355870000.0
2060.0,23836918000.0,28076737000.0,33573410000.0,29546471000.0,20780212000.0,23757175000.0,34144203000.0,32864942000.0,11983518000.0,33344320000.0,30355927000.0,32590449000.0,27805331000.0
2061.0,23304223000.0,27458363000.0,32768050000.0,28820204000.0,20042424000.0,23154050000.0,33365805000.0,32309254000.0,11406625000.0,33142178000.0,29634177000.0,31969864000.0,27105853000.0
2062.0,22827290000.0,26978478000.0,32232075000.0,28433662000.0,19344355000.0,22443606000.0,32900497000.0,31655553000.0,10812796000.0,33120666000.0,29108924000.0,31345408000.0,26313032000.0
2063.0,22231333000.0,26393115000.0,31674558000.0,27903496000.0,18844695000.0,21711536000.0,32489794000.0,31944796000.0,10296322000.0,32139260000.0,28443404000.0,30924857000.0,25776159000.0
2064.0,21561844000.0,25604635000.0,30994205000.0,27281074000.0,18230604000.0,21088317000.0,31963200000.0,31293684000.0,9836758000.0,32229425000.0,27651897000.0,30228646000.0,25522729000.0
2065.0,21491270000.0,24816433000.0,30484488000.0,27061119000.0,17786388000.0,20370754000.0,31247348000.0,30174521000.0,9443451000.0,31589233000.0,26882042000.0,29530323000.0,24712397000.0
2066.0,20866685000.0,24053823000.0,29956640000.0,26204293000.0,17229097000.0,20172521000.0,30803173000.0,29549170000.0,9025897000.0,31400129000.0,26245240000.0,28821402000.0,24038191000.0
2067.0,20311964000.0,23423312000.0,29337448000.0,25752508000.0,16635902000.0,19378608000.0,30288105000.0,29076537000.0,8621267000.0,30465319000.0,25771817000.0,28489520000.0,23637332000.0
2068.0,19841430000.0,22848444000.0,28628898000.0,25350617000.0,16210599000.0,18841784000.0,29797435000.0,28824613000.0,8387880400.0,29958472000.0,25199292000.0,27718642000.0,23177124000.0
2069.0,19448056000.0,22344782000.0,28083134000.0,24853200000.0,15547586000.0,18297540000.0,29306341000.0,28265658000.0,8036180500.0,30004830000.0,24723714000.0,27139506000.0,22404506000.0
2070.0,18977546000.0,21766373000.0,27883807000.0,24225542000.0,15110622000.0,17724338000.0,28663323000.0,27492622000.0,7704005000.0,29419174000.0,24168544000.0,26770170000.0,21850665000.0
2071.0,18527302000.0,21239015000.0,27148851000.0,23495356000.0,14606899000.0,17287780000.0,28133860000.0,26877786000.0,7366429700.0,29972863000.0,23639550000.0,26123223000.0,21270745000.0
2072.0,18128153000.0,20633650000.0,26575690000.0,23077170000.0,14069502000.0,16783073000.0,27423986000.0,26324509000.0,7057093600.0,28261827000.0,23134792000.0,25368110000.0,20832483000.0
2073.0,17728260000.0,19989440000.0,26048524000.0,22573013000.0,13651534000.0,16305034000.0,26991378000.0,25936430000.0,6790343700.0,27590324000.0,22634727000.0,24888697000.0,20412100000.0
2074.0,17383217000.0,19432643000.0,25528785000.0,22114343000.0,13164284000.0,15775574000.0,26527060000.0,25399194000.0,6540687000.0,27140397000.0,22099057000.0,24055691000.0,19899040000.0
2075.0,17042505000.0,18915779000.0,25204193000.0,21794159000.0,12710859000.0,15256780000.0,25954111000.0,25215984000.0,6271638500.0,26463672000.0,21655183000.0,23476134000.0,19302377000.0
2076.0,16760517000.0,18424515000.0,24671580000.0,21185753000.0,12293461000.0,14904782000.0,25398624000.0,24540609000.0,6085152000.0,25972197000.0,21254425000.0,22931160000.0,18976385000.0
