time,CAMS-CSM1-0,INM-CM5-0,CANESM5,MRI-ESM2-0,BCC-CSM2-MR,EC-EARTH3-VEG,GFDL-ESM4,MPI-ESM1-2-HR,FGOALS-F3-L,ACCESS-CM2,ACCESS-ESM1-5,CESM2-WACCM,NORESM2-MM,INM-CM4-8,IPSL-CM6A-LR,CESM2,EC-EARTH3
2080.0,127892850000.0,129968170000.0,124271940000.0,124384060000.0,115657510000.0,124464730000.0,126436295000.0,127291400000.0,123289230000.0,120923430000.0,126496050000.0,117633730000.0,128137130000.0,127323980000.0,124282060000.0,119209460000.0,126116930000.0
2081.0,127860880000.0,129869480000.0,123907916000.0,124104884000.0,115455910000.0,124161710000.0,126399450000.0,127162610000.0,122831580000.0,121099260000.0,126188880000.0,116738700000.0,127591980000.0,127373020000.0,123866160000.0,119015280000.0,125729570000.0
2082.0,127651480000.0,129882350000.0,123758230000.0,123713960000.0,115343900000.0,123790980000.0,126514620000.0,126751350000.0,122574690000.0,120427160000.0,126479440000.0,116129780000.0,129182170000.0,128424960000.0,123009160000.0,118662630000.0,125479460000.0
2083.0,127395060000.0,129941020000.0,123458855000.0,123195570000.0,115104000000.0,123523550000.0,126019125000.0,126512600000.0,122375135000.0,119838070000.0,125883180000.0,115760070000.0,127998840000.0,127593320000.0,122806940000.0,118418820000.0,125784900000.0
2084.0,127277830000.0,129621270000.0,123297870000.0,122989470000.0,114594005000.0,123501230000.0,125928760000.0,126348980000.0,122093850000.0,119734940000.0,125099190000.0,115358740000.0,127575310000.0,127147930000.0,122665850000.0,117967690000.0,124779360000.0
2085.0,126957896000.0,129527170000.0,122795650000.0,122788730000.0,113867740000.0,123185390000.0,125647430000.0,126132200000.0,121750135000.0,119455660000.0,125069350000.0,114582880000.0,127155585000.0,127435000000.0,122497140000.0,117462155000.0,124505060000.0
2086.0,126872750000.0,129478210000.0,123303320000.0,122487880000.0,113445230000.0,122915300000.0,125499150000.0,126175250000.0,121338710000.0,119562670000.0,125122280000.0,114235110000.0,127271985000.0,127868940000.0,122401330000.0,117034070000.0,124310160000.0
2087.0,126582600000.0,129270240000.0,122322076000.0,122189865000.0,113372760000.0,122547840000.0,125098230000.0,125932220000.0,121174880000.0,118898210000.0,124511265000.0,113465350000.0,127349735000.0,127479730000.0,122312900000.0,116360540000.0,124060370000.0
2088.0,126238880000.0,129854480000.0,121658850000.0,121960210000.0,113205035000.0,122263840000.0,124924305000.0,126441865000.0,121424240000.0,118194480000.0,124277430000.0,112814850000.0,126932900000.0,127058670000.0,121960330000.0,115943055000.0,123970130000.0
2089.0,126031350000.0,129312380000.0,121400476000.0,121452030000.0,112815840000.0,121888560000.0,124908880000.0,125323520000.0,120923730000.0,117763880000.0,124243700000.0,112413490000.0,126689395000.0,126690380000.0,121974670000.0,115816190000.0,123595650000.0
2090.0,126715716000.0,129164900000.0,121641200000.0,120992370000.0,112067870000.0,121763900000.0,125089950000.0,125112700000.0,120684520000.0,117467510000.0,124057400000.0,111860500000.0,126615360000.0,126783710000.0,122324330000.0,115297410000.0,123250090000.0
2091.0,126262210000.0,129328970000.0,121387240000.0,120690740000.0,111555570000.0,121209850000.0,124673540000.0,124782035000.0,120518690000.0,116833010000.0,123724760000.0,111471090000.0,126746190000.0,126448600000.0,121564480000.0,114746730000.0,123265460000.0
2092.0,126539100000.0,128855680000.0,120867830000.0,120509915000.0,111112340000.0,120853660000.0,124479810000.0,124865600000.0,120332710000.0,116430040000.0,123586850000.0,111073395000.0,126353850000.0,126504120000.0,120563680000.0,114380430000.0,122909520000.0
2093.0,125999070000.0,128909930000.0,120113330000.0,120264920000.0,110724670000.0,120415050000.0,124353150000.0,124647070000.0,119910290000.0,116034420000.0,123959040000.0,110249370000.0,126145140000.0,126114824000.0,120331400000.0,113916805000.0,122587740000.0
2094.0,126048740000.0,129099620000.0,119721665000.0,119644640000.0,110476845000.0,119956200000.0,124113850000.0,124526900000.0,119583180000.0,115715236000.0,123259860000.0,109778450000.0,125902310000.0,125842890000.0,120196860000.0,113291805000.0,122460226000.0
2095.0,125641654000.0,129191610000.0,119411696000.0,119502030000.0,109838630000.0,119523040000.0,123724690000.0,124232516000.0,119226060000.0,115043530000.0,123091200000.0,109212740000.0,125589390000.0,125473740000.0,119709040000.0,112918856000.0,122008750000.0
2096.0,124960250000.0,128892680000.0,119170560000.0,119334355000.0,109920150000.0,119372145000.0,123914750000.0,124109046000.0,119063330000.0,114931606000.0,123441414000.0,108481080000.0,125268795000.0,125513925000.0,119920720000.0,112242205000.0,121650000000.0
2097.0,124760920000.0,129587030000.0,119242480000.0,118971240000.0,110026880000.0,119258940000.0,124710850000.0,123504850000.0,118674694000.0,114397770000.0,123650080000.0,107473480000.0,125340450000.0,125303005000.0,118977940000.0,111848360000.0,121526120000.0
2098.0,124688015000.0,128736166000.0,118631430000.0,118534070000.0,109286320000.0,118419760000.0,123769780000.0,123328830000.0,118285860000.0,114365390000.0,123184280000.0,107025600000.0,125139080000.0,125311430000.0,118741870000.0,111383940000.0,121447190000.0
2099.0,124820830000.0,128492390000.0,118102590000.0,118299580000.0,108856660000.0,118056610000.0,123451370000.0,123648940000.0,117841860000.0,114378200000.0,122011310000.0,106473636000.0,124934460000.0,125495720000.0,118423855000.0,110773230000.0,121282390000.0
2100.0,125287670000.0,128354440000.0,118369616000.0,118012150000.0,108958710000.0,117881960000.0,123370080000.0,123964150000.0,117601740000.0,113816520000.0,121829474000.0,105815400000.0,124633100000.0,125052910000.0,118109946000.0,110403880000.0,121198690000.0
