time,CCSM4,GFDL-CM3,NORESM1-M,CESM1-CAM5,IPSL-CM5A-LR,CSIRO-MK3-6-0,GISS-E2-R,GFDL-ESM2G
2065.0,2749236000000.0,2620075800000.0,2877635000000.0,2424792400000.0,2224741000000.0,3578992300000.0,2814112200000.0,3087067000000.0
2066.0,2728728000000.0,2598818000000.0,2873497000000.0,2384994500000.0,2190643400000.0,3583298000000.0,2805607700000.0,3066496300000.0
2067.0,2702437500000.0,2575011000000.0,2863889600000.0,2358111400000.0,2161454600000.0,3581883400000.0,2798041200000.0,3046660400000.0
2068.0,2677435300000.0,2550963600000.0,2855024500000.0,2328321900000.0,2119822700000.0,3586876500000.0,2792574400000.0,3015444300000.0
2069.0,2659607400000.0,2520645400000.0,2835529600000.0,2290598300000.0,2093414700000.0,3590673400000.0,2791781000000.0,2993698600000.0
2070.0,2642201800000.0,2495257500000.0,2823049400000.0,2247083400000.0,2074828200000.0,3597739500000.0,2776698700000.0,2989010500000.0
2071.0,2609690400000.0,2477061800000.0,2800764000000.0,2219973800000.0,2047753300000.0,3600746800000.0,2765195600000.0,2982253700000.0
2072.0,2584715000000.0,2453560000000.0,2774649800000.0,2183764600000.0,2023732300000.0,3617529800000.0,2756876200000.0,2969948400000.0
2073.0,2557532000000.0,2430523400000.0,2747323400000.0,2147641900000.0,1997211200000.0,3626492200000.0,2736656000000.0,2956956300000.0
2074.0,2524837300000.0,2411061600000.0,2721845600000.0,2106734800000.0,1971687700000.0,3637580400000.0,2728513200000.0,2942604100000.0
2075.0,2505099000000.0,2393525200000.0,2708471500000.0,2073989300000.0,1942171000000.0,3644195900000.0,2712956600000.0,2926749200000.0
2076.0,2468517000000.0,2363960000000.0,2679577000000.0,2039515000000.0,1920541800000.0,3649853000000.0,2696807700000.0,2914782000000.0
2077.0,2450375600000.0,2335651000000.0,2653043800000.0,1999116700000.0,1892781500000.0,3637646200000.0,2676886000000.0,2897017600000.0
2078.0,2432989700000.0,2305821500000.0,2630666000000.0,1967281300000.0,1865913900000.0,3631148700000.0,2660379100000.0,2877225700000.0
2079.0,2405413000000.0,2277315000000.0,2607182800000.0,1940943100000.0,1842396300000.0,3630533700000.0,2648141700000.0,2853934700000.0
2080.0,2386046500000.0,2247139500000.0,2579872600000.0,1920063800000.0,1811925800000.0,3628436000000.0,2636790000000.0,2829250200000.0
2081.0,2365531000000.0,2219120000000.0,2567102300000.0,1882224900000.0,1782956800000.0,3625547000000.0,2622804000000.0,2813079000000.0
2082.0,2332477000000.0,2190892700000.0,2556962800000.0,1846338900000.0,1763576000000.0,3605156000000.0,2610857800000.0,2799727300000.0
2083.0,2305283000000.0,2153716900000.0,2541359000000.0,1806277000000.0,1737036800000.0,3584985700000.0,2588933600000.0,2780454500000.0
2084.0,2290904700000.0,2133050900000.0,2519613800000.0,1783209700000.0,1713600900000.0,3572341400000.0,2566526000000.0,2764698300000.0
2085.0,2267516000000.0,2096320700000.0,2485696000000.0,1756925500000.0,1686707200000.0,3554398400000.0,2548926000000.0,2755166200000.0
2086.0,2242241400000.0,2071386700000.0,2462546100000.0,1718428400000.0,1664374800000.0,3558816000000.0,2533750000000.0,2738463000000.0
2087.0,2219264400000.0,2042534000000.0,2447627500000.0,1680811600000.0,1640087600000.0,3542581800000.0,2521995700000.0,2725201000000.0
2088.0,2196413700000.0,2011764200000.0,2437925800000.0,1649548700000.0,1616957300000.0,3529539000000.0,2512273800000.0,2712494700000.0
2089.0,2179137500000.0,1987525100000.0,2419217400000.0,1619082700000.0,1593424200000.0,3499527800000.0,2499562200000.0,2706118300000.0
2090.0,2164873900000.0,1956394000000.0,2389118800000.0,1588622000000.0,1575155800000.0,3479761600000.0,2485754000000.0,2694424600000.0
2091.0,2144779200000.0,1931448700000.0,2371502500000.0,1556553700000.0,1550324500000.0,3457329000000.0,2479565600000.0,2681179000000.0
2092.0,2125672000000.0,1917458000000.0,2344901400000.0,1515622200000.0,1532908000000.0,3440868300000.0,2470646400000.0,2668878000000.0
2093.0,2113004600000.0,1890925700000.0,2303001000000.0,1483255000000.0,1514358300000.0,3419554000000.0,2450453400000.0,2650790400000.0
2094.0,2092223200000.0,1855603700000.0,2277858300000.0,1455957900000.0,1501489800000.0,3400974200000.0,2440793000000.0,2633447000000.0
2095.0,2069030100000.0,1830986700000.0,2258384200000.0,1430784700000.0,1485600600000.0,3381731800000.0,2425452200000.0,2617997500000.0
2096.0,2044033900000.0,1805458500000.0,2245063000000.0,1409735200000.0,1467526200000.0,3370385100000.0,2413289800000.0,2611477700000.0
2097.0,2023950800000.0,1774423600000.0,2231457000000.0,1381218900000.0,1453130500000.0,3358990000000.0,2391443000000.0,2593610500000.0
2098.0,1993512800000.0,1750489800000.0,2213019400000.0,1357828700000.0,1434292800000.0,3336061800000.0,2384351200000.0,2578331500000.0
2099.0,1971470900000.0,1727268300000.0,2187978700000.0,1333291000000.0,1418108300000.0,3312896000000.0,2377689300000.0,2565830000000.0
2100.0,1946241100000.0,1705747000000.0,2167891800000.0,1298917500000.0,1400812100000.0,3304516700000.0,2365406300000.0,2549580000000.0
