time,NORESM2-MM,INM-CM4-8,INM-CM5-0,EC-EARTH3,CESM2,CAMS-CSM1-0,ACCESS-CM2,CESM2-WACCM,CANESM5,EC-EARTH3-VEG,ACCESS-ESM1-5,IPSL-CM6A-LR,MRI-ESM2-0,MPI-ESM1-2-HR,GFDL-ESM4,FGOALS-F3-L,BCC-CSM2-MR
2029.0,2717286700000.0,2592933400000.0,2586172000000.0,2456304700000.0,2636767000000.0,2741076000000.0,2579443000000.0,2622409700000.0,2587058000000.0,2684161600000.0,2628975600000.0,2638688800000.0,2578873300000.0,2687096300000.0,2646963700000.0,2647674600000.0,2690089700000.0
2030.0,2694164800000.0,2591627700000.0,2553300000000.0,2415559700000.0,2624224800000.0,2746947700000.0,2567957600000.0,2602831000000.0,2556067800000.0,2658776400000.0,2616331000000.0,2621307400000.0,2565724200000.0,2671402000000.0,2628246300000.0,2636622300000.0,2672692000000.0
2031.0,2677801500000.0,2586946000000.0,2531068700000.0,2373036500000.0,2603329000000.0,2730436000000.0,2547453000000.0,2589489000000.0,2548126700000.0,2656305700000.0,2600523300000.0,2598775000000.0,2544807200000.0,2648913200000.0,2624193600000.0,2627504200000.0,2652814700000.0
2032.0,2674554600000.0,2563572500000.0,2505560800000.0,2327762400000.0,2590070800000.0,2717251500000.0,2528861700000.0,2556998000000.0,2551650700000.0,2626671300000.0,2574767400000.0,2574347400000.0,2520824000000.0,2634293200000.0,2604808000000.0,2609430400000.0,2634803000000.0
2033.0,2667747700000.0,2575192600000.0,2487708500000.0,2286716500000.0,2570962600000.0,2690247600000.0,2504237300000.0,2549724000000.0,2532630900000.0,2592590500000.0,2547757400000.0,2561654000000.0,2492753800000.0,2618617200000.0,2596062600000.0,2589039000000.0,2631000400000.0
2034.0,2648558800000.0,2562022700000.0,2482504500000.0,2257137200000.0,2546963000000.0,2676678000000.0,2467001500000.0,2526483300000.0,2518798000000.0,2574996500000.0,2524090200000.0,2545224300000.0,2479148000000.0,2602173700000.0,2587441500000.0,2573672600000.0,2626275800000.0
2035.0,2637231800000.0,2561579200000.0,2477022800000.0,2210668500000.0,2514339500000.0,2651435000000.0,2449940400000.0,2516706100000.0,2492071700000.0,2552712100000.0,2504479700000.0,2514655000000.0,2450665800000.0,2593587200000.0,2572839300000.0,2544142600000.0,2609864500000.0
2036.0,2619120300000.0,2533542000000.0,2466515300000.0,2171083000000.0,2482307900000.0,2641885100000.0,2431136800000.0,2499362700000.0,2459584000000.0,2530512000000.0,2486794500000.0,2481597000000.0,2413778000000.0,2607788000000.0,2555964800000.0,2513600200000.0,2607053500000.0
2037.0,2605707200000.0,2529802000000.0,2446459000000.0,2133321000000.0,2452532500000.0,2640668000000.0,2414580300000.0,2500395300000.0,2442356000000.0,2522605400000.0,2464332600000.0,2472300800000.0,2392786700000.0,2596306200000.0,2550158000000.0,2494626000000.0,2602335500000.0
2038.0,2589450800000.0,2524556000000.0,2438961600000.0,2094604700000.0,2437755000000.0,2623515000000.0,2392995100000.0,2477142600000.0,2391874700000.0,2501679300000.0,2439925200000.0,2450875500000.0,2364453700000.0,2575914200000.0,2545575500000.0,2466018500000.0,2588193000000.0
