time,MRI-ESM2-0,ACCESS-ESM1-5,EC-EARTH3-VEG,GFDL-ESM4,FGOALS-F3-L,BCC-CSM2-MR,IPSL-CM6A-LR,CANESM5,NORESM2-MM,INM-CM4-8,INM-CM5-0,EC-EARTH3,CESM2,ACCESS-CM2,CAMS-CSM1-0,CESM2-WACCM,MPI-ESM1-2-HR
2049.0,2081702400000.0,2054137600000.0,2467801300000.0,2463070700000.0,2338157800000.0,2429340600000.0,2370460000000.0,1726191100000.0,2317287400000.0,2335955700000.0,2133342600000.0,1902340900000.0,2050506000000.0,1985785500000.0,2614027600000.0,2216277300000.0,2491429200000.0
2050.0,2045060600000.0,2019999600000.0,2441171200000.0,2454286000000.0,2292230000000.0,2395709600000.0,2330477500000.0,1688963800000.0,2285438200000.0,2300493400000.0,2099004800000.0,1877108000000.0,2022143800000.0,1942257800000.0,2633860600000.0,2198214000000.0,2475688500000.0
2051.0,2012725400000.0,1992205500000.0,2429216000000.0,2420248200000.0,2261206200000.0,2361314800000.0,2290784000000.0,1649283400000.0,2253906000000.0,2300516500000.0,2083524800000.0,1854807700000.0,2000109200000.0,1900339000000.0,2598864400000.0,2178621000000.0,2456099700000.0
2052.0,1979907700000.0,1952227900000.0,2395162500000.0,2407477000000.0,2237229700000.0,2320221600000.0,2272946300000.0,1620793900000.0,2220718800000.0,2275778800000.0,2054253400000.0,1829786200000.0,1976872300000.0,1879574800000.0,2572102100000.0,2159513300000.0,2430407300000.0
2053.0,1954785800000.0,1905010800000.0,2383334000000.0,2390035000000.0,2220917300000.0,2286113300000.0,2254490300000.0,1591421700000.0,2191466200000.0,2239358300000.0,2004669600000.0,1801561000000.0,1944130400000.0,1849063200000.0,2562267800000.0,2126783400000.0,2434407300000.0
2054.0,1929547900000.0,1874685700000.0,2352026500000.0,2352163300000.0,2201791000000.0,2259674000000.0,2224501300000.0,1557168500000.0,2153721400000.0,2231744000000.0,1976634000000.0,1766483600000.0,1912906700000.0,1816267300000.0,2566896700000.0,2105866800000.0,2430829600000.0
2055.0,1898129000000.0,1848582500000.0,2325134200000.0,2331072800000.0,2179854800000.0,2237455100000.0,2195880400000.0,1516212700000.0,2136777000000.0,2198154900000.0,1956137000000.0,1738277500000.0,1871814600000.0,1777065900000.0,2563858800000.0,2086557600000.0,2395065000000.0
2056.0,1875895000000.0,1810701400000.0,2321682800000.0,2320783000000.0,2149057400000.0,2228831400000.0,2145469100000.0,1486672000000.0,2101094100000.0,2169709300000.0,1926558400000.0,1713628000000.0,1840848000000.0,1738122100000.0,2529594000000.0,2060857400000.0,2385679000000.0
2057.0,1842640600000.0,1790516400000.0,2319249800000.0,2300550000000.0,2123768400000.0,2201035200000.0,2096037500000.0,1465410500000.0,2069080800000.0,2158843900000.0,1910664200000.0,1684358000000.0,1800019600000.0,1706587300000.0,2517985000000.0,2022198700000.0,2364175800000.0
2058.0,1814440600000.0,1762163200000.0,2310147400000.0,2272795800000.0,2095530000000.0,2162398600000.0,2038915500000.0,1436263500000.0,2054867900000.0,2137624400000.0,1889917000000.0,1666596600000.0,1779435400000.0,1669680100000.0,2490478400000.0,2004898200000.0,2338006200000.0
2059.0,1789365300000.0,1742424000000.0,2296168000000.0,2241612500000.0,2073324800000.0,2123216200000.0,1996372000000.0,1407673700000.0,2028849700000.0,2098355500000.0,1864728200000.0,1639536300000.0,1749821200000.0,1635782100000.0,2470275700000.0,1975717300000.0,2285896500000.0
2060.0,1762763000000.0,1714503500000.0,2278442700000.0,2235552000000.0,2050530100000.0,2095756000000.0,1953980000000.0,1370693700000.0,2007041400000.0,2082534900000.0,1847762200000.0,1613601000000.0,1722515800000.0,1609934300000.0,2461132400000.0,1938402800000.0,2275490100000.0
