time,UKESM1-0-LL,IPSL-CM6A-LR,MRI-ESM2-0,GFDL-ESM4
2080.0,3653768300000.0,4750731400000.0,4701657000000.0,6136832500000.0
2081.0,3588224500000.0,4694849600000.0,4639877000000.0,6080821000000.0
2082.0,3541391600000.0,4649525000000.0,4574207000000.0,6064500000000.0
2083.0,3448842000000.0,4631329500000.0,4558427000000.0,6029097600000.0
2084.0,3406563000000.0,4603630300000.0,4517648000000.0,6000472500000.0
2085.0,3345116300000.0,4544188600000.0,4458152000000.0,5964981000000.0
2086.0,3278503700000.0,4501910000000.0,4424103000000.0,5912238000000.0
2087.0,3199684000000.0,4473567600000.0,4396165000000.0,5891133000000.0
2088.0,3139137700000.0,4443543000000.0,4369641400000.0,5882776600000.0
2089.0,3070997000000.0,4402049400000.0,4351019700000.0,5878717000000.0
2090.0,2997698700000.0,4377659800000.0,4334404200000.0,5839336000000.0
2091.0,2946649800000.0,4331131600000.0,4287988800000.0,5825110700000.0
2092.0,2888404600000.0,4270702000000.0,4267150400000.0,5785028000000.0
2093.0,2855809300000.0,4245148000000.0,4236040700000.0,5746070000000.0
2094.0,2813994500000.0,4171144400000.0,4208931000000.0,5714419000000.0
2095.0,2758953100000.0,4132547900000.0,4193210900000.0,5657375000000.0
2096.0,2705172700000.0,4074479300000.0,4156540800000.0,5631602300000.0
2097.0,2638975000000.0,4023834600000.0,4146640000000.0,5585142000000.0
2098.0,2566403400000.0,3987482300000.0,4121282200000.0,5546943000000.0
2099.0,2520279700000.0,3961611000000.0,4078500000000.0,5526474000000.0
2100.0,2478219500000.0,3954848600000.0,4044521200000.0,5503742600000.0
