time,NORESM1-M,MPI-ESM-LR,CSIRO-MK3-6-0,CESM1-CAM5
2105.0,115804590000.0,121306970000.0,106935845000.0,99488465000.0
2106.0,115146826000.0,120906080000.0,106316775000.0,98873560000.0
2107.0,114864005000.0,120759660000.0,105526240000.0,98288845000.0
2108.0,114493910000.0,120679310000.0,104943620000.0,97298080000.0
2109.0,114241310000.0,120304220000.0,104530485000.0,96515600000.0
2110.0,113972160000.0,120077480000.0,103573635000.0,95976720000.0
2111.0,113666195000.0,119853650000.0,103178520000.0,95275680000.0
2112.0,113293270000.0,119744580000.0,102358510000.0,94542730000.0
2113.0,112823050000.0,119490620000.0,101613980000.0,93734020000.0
2114.0,112498030000.0,119055380000.0,100763540000.0,92855250000.0
2115.0,112020900000.0,118796935000.0,99958920000.0,91505860000.0
2116.0,111678510000.0,118604930000.0,99040320000.0,90574740000.0
2117.0,111450200000.0,118318195000.0,98072810000.0,89970680000.0
2118.0,111272630000.0,118365380000.0,97603486000.0,88885305000.0
2119.0,110809780000.0,118088260000.0,97167200000.0,87994440000.0
2120.0,110390430000.0,117918860000.0,96205270000.0,86461055000.0
2121.0,109962910000.0,117697135000.0,95750680000.0,85446074000.0
2122.0,109605330000.0,117361730000.0,95298445000.0,85006344000.0
2123.0,109826015000.0,117130070000.0,94432535000.0,84167690000.0
2124.0,109218170000.0,117081790000.0,93696590000.0,83346770000.0
2125.0,108859376000.0,116671240000.0,93195575000.0,82672670000.0
2126.0,108623370000.0,116342860000.0,92360650000.0,81551140000.0
2127.0,108240820000.0,116116650000.0,91877630000.0,80680700000.0
2128.0,107758486000.0,115674276000.0,91765890000.0,79985205000.0
2129.0,107644400000.0,115388110000.0,90962830000.0,79265570000.0
2130.0,107351870000.0,115365710000.0,90404585000.0,78853670000.0
2131.0,106941830000.0,115359334000.0,90126400000.0,78080580000.0
2132.0,107047625000.0,115159654000.0,89224020000.0,76977865000.0
2133.0,106198240000.0,114894940000.0,88458350000.0,76311405000.0
2134.0,105854670000.0,114495170000.0,87850230000.0,75643530000.0
2135.0,105489880000.0,114273140000.0,87117580000.0,74891690000.0
2136.0,104987540000.0,114135015000.0,86874600000.0,73714660000.0
2137.0,104761025000.0,113938890000.0,86119480000.0,72788130000.0
2138.0,104221450000.0,113731215000.0,84858770000.0,72006880000.0
2139.0,103887266000.0,113726700000.0,84076340000.0,71253170000.0
2140.0,103715410000.0,113471820000.0,83551140000.0,70663725000.0
2141.0,103503130000.0,113199980000.0,82820070000.0,69719590000.0
2142.0,103619240000.0,115055360000.0,82258550000.0,68912990000.0
2143.0,103079240000.0,112828820000.0,81503085000.0,68248347000.0
2144.0,102680640000.0,112417750000.0,80816840000.0,67189654000.0
2145.0,102381036000.0,112126706000.0,80237180000.0,66439754000.0
2146.0,102112200000.0,111860750000.0,79488110000.0,65785238000.0
2147.0,101560960000.0,111601710000.0,78412710000.0,64840210000.0
2148.0,100804380000.0,111294000000.0,77863660000.0,64080175000.0
2149.0,100650656000.0,110926290000.0,77092330000.0,63215174000.0
2150.0,100388140000.0,110634800000.0,76406280000.0,62717608000.0
2151.0,100445766000.0,110252710000.0,75851180000.0,61898670000.0
2152.0,99961520000.0,110061660000.0,75166640000.0,61389950000.0
2153.0,99640990000.0,109878010000.0,74466340000.0,60616106000.0
2154.0,99371410000.0,109593950000.0,73957390000.0,60089520000.0
2155.0,98542260000.0,109329940000.0,73415655000.0,59124040000.0
2156.0,98343640000.0,109134190000.0,72540080000.0,58434257000.0
2157.0,97969970000.0,109017410000.0,72071725000.0,57934310000.0
2158.0,97624690000.0,108642620000.0,71720040000.0,57360224000.0
2159.0,97209820000.0,108463770000.0,70924060000.0,56893493000.0
2160.0,96884154000.0,108084850000.0,70376140000.0,56188370000.0
2161.0,96887210000.0,107690450000.0,70001100000.0,55560196000.0
2162.0,96618810000.0,107621920000.0,69281880000.0,54939670000.0
2163.0,96103375000.0,107433980000.0,68622483000.0,54357336000.0
2164.0,95740950000.0,107216670000.0,67789046000.0,53789897000.0
2165.0,95527990000.0,106787310000.0,66927670000.0,53325984000.0
2166.0,95886156000.0,106479660000.0,66408230000.0,52688430000.0
2167.0,95112400000.0,106206536000.0,65971204000.0,52181140000.0
2168.0,94479385000.0,106181255000.0,65418207000.0,51570078000.0
2169.0,94219360000.0,105916965000.0,64723680000.0,51171390000.0
2170.0,93910030000.0,105416070000.0,64000780000.0,50411364000.0
2171.0,93700130000.0,105275190000.0,63319180000.0,49496440000.0
2172.0,93330960000.0,104874205000.0,62978933000.0,49098002000.0
2173.0,93202430000.0,104688525000.0,62533624000.0,48299037000.0
2174.0,92936160000.0,104296700000.0,62006645000.0,47898055000.0
2175.0,92297590000.0,104328140000.0,61562470000.0,47373615000.0
2176.0,92053455000.0,104062090000.0,60824690000.0,46397297000.0
2177.0,91787550000.0,103819510000.0,60304950000.0,46169890000.0
2178.0,91477650000.0,103541990000.0,59853586000.0,45348073000.0
2179.0,91202030000.0,103311516000.0,59358216000.0,44821980000.0
2180.0,90830995000.0,103197710000.0,58886767000.0,44124148000.0
2181.0,90538190000.0,103071230000.0,58234870000.0,43733270000.0
2182.0,90297370000.0,102760790000.0,57780860000.0,43170890000.0
2183.0,89999200000.0,102411400000.0,57295528000.0,42708090000.0
2184.0,89630196000.0,102153200000.0,56727146000.0,41975665000.0
2185.0,89374550000.0,101982070000.0,56067064000.0,41697042000.0
2186.0,88878510000.0,101856050000.0,55494738000.0,41291660000.0
2187.0,88738290000.0,101912620000.0,55034663000.0,40827167000.0
2188.0,88146190000.0,101714860000.0,54541062000.0,40121532000.0
2189.0,87760945000.0,101360830000.0,54038966000.0,39626410000.0
2190.0,87548670000.0,100987910000.0,53467644000.0,39070417000.0
2191.0,87311155000.0,101018130000.0,53010750000.0,39034073000.0
2192.0,86569620000.0,100640010000.0,52680884000.0,38487564000.0
2193.0,86406450000.0,100281430000.0,52008223000.0,37919945000.0
2194.0,85779620000.0,100093860000.0,51641893000.0,37393383000.0
2195.0,85493890000.0,99848920000.0,51254390000.0,37100090000.0
2196.0,85224530000.0,99340450000.0,50816080000.0,36460913000.0
2197.0,84706165000.0,99650585000.0,50468413000.0,36035318000.0
2198.0,84443955000.0,98991194000.0,50137640000.0,35344760000.0
2199.0,84178035000.0,98557215000.0,49670984000.0,34981933000.0
2200.0,83944186000.0,98456140000.0,49102004000.0,34466260000.0
2201.0,83388910000.0,98336780000.0,48510185000.0,34141500000.0
2202.0,82870410000.0,98067644000.0,47923044000.0,33716165000.0
2203.0,82568634000.0,97840610000.0,47501685000.0,33496676000.0
2204.0,82374270000.0,97456144000.0,46827270000.0,33057761000.0
2205.0,82247870000.0,96932315000.0,46696530000.0,32905430000.0
2206.0,82306090000.0,96610090000.0,46159820000.0,32225554000.0
2207.0,81628680000.0,95981790000.0,45800673000.0,31835826000.0
2208.0,81143460000.0,96009410000.0,45481505000.0,31715750000.0
2209.0,80817130000.0,95773900000.0,45001347000.0,31196905000.0
2210.0,80724240000.0,95518920000.0,44512730000.0,31029367000.0
2211.0,81143920000.0,95318516000.0,44105445000.0,30560800000.0
2212.0,80852615000.0,95207860000.0,43521757000.0,30324752000.0
2213.0,80007350000.0,94865530000.0,43201413000.0,29939124000.0
2214.0,79746190000.0,94677650000.0,42899410000.0,29588527000.0
2215.0,79522090000.0,94443890000.0,42576724000.0,29060545000.0
2216.0,79287360000.0,94334706000.0,41978565000.0,28830773000.0
2217.0,79148655000.0,93962174000.0,41674138000.0,28419996000.0
2218.0,78748100000.0,93635810000.0,41231372000.0,28117060000.0
2219.0,78836924000.0,93454500000.0,40873464000.0,27862088000.0
2220.0,78325500000.0,93514670000.0,40648122000.0,27439522000.0
2221.0,77695290000.0,93373180000.0,40159530000.0,27239815000.0
2222.0,77623950000.0,92875550000.0,39728220000.0,26846407000.0
2223.0,77287420000.0,92277285000.0,39461437000.0,26517807000.0
2224.0,77066710000.0,92028660000.0,38979555000.0,26265223000.0
2225.0,76785960000.0,91709490000.0,38569374000.0,25977473000.0
2226.0,76455820000.0,91679285000.0,38249566000.0,25766552000.0
2227.0,76521310000.0,91109515000.0,37628070000.0,25411215000.0
2228.0,76210780000.0,90824340000.0,37401522000.0,25182020000.0
2229.0,75827280000.0,90713860000.0,37018800000.0,24886665000.0
2230.0,75784760000.0,90432900000.0,36540334000.0,24542480000.0
2231.0,75495030000.0,90305950000.0,36152890000.0,24313383000.0
2232.0,75326340000.0,90112336000.0,35712307000.0,23962085000.0
2233.0,75249980000.0,89930320000.0,35331994000.0,23624399000.0
2234.0,74630620000.0,89536725000.0,35054916000.0,23374180000.0
2235.0,74165756000.0,89357705000.0,34622267000.0,23095040000.0
2236.0,74052346000.0,89032590000.0,34312460000.0,22923375000.0
2237.0,73755250000.0,88808740000.0,33800366000.0,22592037000.0
2238.0,73573380000.0,88878360000.0,33458774000.0,22446617000.0
2239.0,73145910000.0,88718920000.0,32985205000.0,22073483000.0
2240.0,72982580000.0,88055070000.0,32728960000.0,21893992000.0
2241.0,72779150000.0,87709850000.0,32427481000.0,21709201000.0
2242.0,72632950000.0,87333980000.0,32109984000.0,21455364000.0
2243.0,72409720000.0,87172506000.0,32050926000.0,21204920000.0
2244.0,72009350000.0,87064160000.0,31358403000.0,21042060000.0
2245.0,71593050000.0,86878405000.0,31079074000.0,20881910000.0
2246.0,71844030000.0,86465710000.0,30941760000.0,20674726000.0
2247.0,71243760000.0,86097430000.0,30746490000.0,20399686000.0
2248.0,71053040000.0,85842350000.0,30408204000.0,20270141000.0
2249.0,70628310000.0,85520330000.0,30164785000.0,20172890000.0
2250.0,70313020000.0,85081920000.0,29938979000.0,20002044000.0
2251.0,70355790000.0,84811230000.0,29516902000.0,20109050000.0
2252.0,70050270000.0,84847720000.0,29315373000.0,19910105000.0
2253.0,69963830000.0,84932520000.0,29179572000.0,19445434000.0
2254.0,69533155000.0,84811210000.0,29006100000.0,19244694000.0
2255.0,69045340000.0,84068010000.0,28622135000.0,19188824000.0
2256.0,68937660000.0,83896660000.0,28478660000.0,19142779000.0
2257.0,68501254000.0,83812380000.0,28308000000.0,18925433000.0
2258.0,68372000000.0,83474510000.0,28019577000.0,18741613000.0
2259.0,68170550000.0,83175195000.0,27737422000.0,18634068000.0
2260.0,67988740000.0,82547620000.0,27415265000.0,18513230000.0
2261.0,67737776000.0,82121320000.0,27260017000.0,18364107000.0
2262.0,67429820000.0,81951010000.0,26993121000.0,18336627000.0
2263.0,67369380000.0,81776520000.0,26917718000.0,18173364000.0
2264.0,67059933000.0,81619340000.0,26712216000.0,17926190000.0
2265.0,66670965000.0,81370850000.0,26455302000.0,17863928000.0
2266.0,66538870000.0,81211080000.0,26295642000.0,17726087000.0
2267.0,66315780000.0,80988040000.0,25999774000.0,17597510000.0
2268.0,66022990000.0,80327040000.0,25915765000.0,17587878000.0
2269.0,65827856000.0,80171540000.0,25734177000.0,17584570000.0
2270.0,65575330000.0,80200080000.0,25607694000.0,17400440000.0
2271.0,65303585000.0,79708870000.0,25536623000.0,17248460000.0
2272.0,65252430000.0,79361925000.0,25285626000.0,17057714000.0
2273.0,64966275000.0,79354170000.0,25117379000.0,16977354000.0
2274.0,64880546000.0,79053930000.0,24985825000.0,16882492000.0
2275.0,64792605000.0,78709490000.0,24787579000.0,16733385000.0
2276.0,64164840000.0,78572724000.0,24626256000.0,16632863000.0
2277.0,63965750000.0,78496910000.0,24515918000.0,16556050000.0
2278.0,63846543000.0,78096196000.0,24339544000.0,16647776000.0
2279.0,63884200000.0,77919860000.0,24160756000.0,16435591000.0
2280.0,63465517000.0,77874630000.0,24028400000.0,16302181000.0
2281.0,63236680000.0,77619970000.0,23849714000.0,16233740000.0
2282.0,63250768000.0,77391320000.0,23698786000.0,16046892000.0
2283.0,62991397000.0,77157850000.0,23544779000.0,16003925000.0
2284.0,62773530000.0,76894230000.0,23297270000.0,15925096000.0
2285.0,62457913000.0,76630170000.0,23130905000.0,15760879000.0
2286.0,62365600000.0,76796430000.0,23012256000.0,15716036000.0
2287.0,61915783000.0,76563956000.0,22896680000.0,15641011000.0
2288.0,61613724000.0,76239710000.0,22695326000.0,15587241000.0
2289.0,61474505000.0,75811330000.0,22594550000.0,15497410000.0
2290.0,61281370000.0,75694875000.0,22288736000.0,15425229000.0
2291.0,61131790000.0,75536245000.0,22222840000.0,15262958000.0
2292.0,60815920000.0,75427920000.0,22072633000.0,15226242000.0
2293.0,60801610000.0,75135050000.0,21923869000.0,15070782000.0
2294.0,60402622000.0,74645640000.0,21794542000.0,14993951000.0
2295.0,60194270000.0,74366250000.0,21648693000.0,14909582000.0
2296.0,60009420000.0,74155410000.0,21515966000.0,14852788000.0
2297.0,59572244000.0,73943940000.0,21489080000.0,14848873000.0
2298.0,59364184000.0,73798840000.0,21317994000.0,14800350000.0
2299.0,59178926000.0,73552134000.0,21088563000.0,14653609000.0
2300.0,59006214000.0,73233555000.0,20875266000.0,14598478000.0
