time,CCSM4,CSIRO-MK3-6-0,MPI-ESM-LR
2176.0,83154450.0,14280307.0,43391810.0
2177.0,79279350.0,14031227.0,39943610.0
2178.0,77522860.0,13855200.0,38643404.0
2179.0,77504296.0,13779662.0,36826440.0
2180.0,87457896.0,13684984.0,34332904.0
2181.0,73566770.0,13605478.0,33008752.0
2182.0,69308080.0,13510144.0,31404412.0
2183.0,67506630.0,13299313.0,30153666.0
2184.0,62708610.0,12940578.0,29848404.0
2185.0,60813160.0,12564553.0,29572302.0
2186.0,58540268.0,12313140.0,29775530.0
2187.0,56550936.0,12277268.0,29076508.0
2188.0,53931410.0,11840264.0,29627944.0
2189.0,51820360.0,11660000.0,29508312.0
2190.0,50190376.0,11248448.0,29485396.0
2191.0,48345970.0,11062252.0,28554872.0
2192.0,47287296.0,10921666.0,28554010.0
2193.0,45310370.0,10616725.0,28614896.0
2194.0,44105000.0,10413800.0,28800166.0
2195.0,41618868.0,10375028.0,28506042.0
2196.0,39641250.0,10255025.0,27962906.0
2197.0,38019390.0,10392990.0,27593168.0
2198.0,36270604.0,10211616.0,27411406.0
2199.0,35537136.0,10006638.0,27198062.0
2200.0,35635732.0,10183551.0,27397760.0
2201.0,34884684.0,10154664.0,26997176.0
2202.0,35299430.0,10358179.0,26629788.0
2203.0,34654244.0,10225502.0,25878434.0
2204.0,34331064.0,9950462.0,25429916.0
2205.0,34099652.0,9880676.0,25069428.0
2206.0,34585150.0,9746514.0,24293498.0
2207.0,34455244.0,9749615.0,23703826.0
2208.0,34511316.0,9828564.0,23936334.0
2209.0,34531644.0,9910221.0,24139822.0
2210.0,34287530.0,9807316.0,23980030.0
2211.0,34604116.0,9644115.0,24218356.0
2212.0,34242284.0,9480819.0,23994700.0
2213.0,34498650.0,9277906.0,23889278.0
2214.0,34045704.0,9001583.0,24259604.0
2215.0,33980176.0,8577695.0,23985334.0
2216.0,34536116.0,8339730.0,23709950.0
2217.0,33732276.0,8538209.0,23868094.0
2218.0,33476900.0,8471138.0,24322722.0
2219.0,33347138.0,8476001.0,24063672.0
2220.0,33159944.0,8315479.5,24084750.0
2221.0,32801972.0,8337072.5,24041768.0
2222.0,32155928.0,8038794.0,24241596.0
2223.0,32441440.0,7940475.0,24298284.0
2224.0,32430336.0,7872632.0,24311264.0
2225.0,32767590.0,7793721.0,23522356.0
2226.0,32911142.0,7733708.5,23524592.0
2227.0,32785418.0,7648984.5,22897316.0
2228.0,32600048.0,7566693.0,22629942.0
2229.0,32567318.0,7606396.0,22377804.0
2230.0,32128058.0,7431234.5,22523886.0
2231.0,31528862.0,7349850.5,22984014.0
2232.0,31358086.0,7260052.5,22747098.0
2233.0,31637900.0,7293751.0,22975608.0
2234.0,31876204.0,7284379.5,23204124.0
2235.0,31637920.0,7161724.0,22950984.0
2236.0,31655090.0,7070178.5,22830470.0
2237.0,31701348.0,7114095.0,23001506.0
2238.0,31848404.0,7100635.5,22560294.0
2239.0,32059174.0,7045166.5,22649910.0
2240.0,32219598.0,7101800.5,22164140.0
2241.0,31809622.0,6878000.0,21460582.0
2242.0,31260182.0,6827464.0,21789894.0
2243.0,31223832.0,6889660.5,22050054.0
2244.0,30825370.0,6837866.0,21777530.0
2245.0,30533300.0,6827898.0,21323966.0
2246.0,30724758.0,6828692.0,20662892.0
2247.0,30395568.0,6783598.5,20523786.0
2248.0,30526860.0,6818031.5,19976668.0
2249.0,30285878.0,6763459.0,19989528.0
2250.0,30137256.0,6752873.0,19967412.0
2251.0,30711824.0,6756373.5,20230026.0
2252.0,30343854.0,6786658.5,20015910.0
2253.0,30335528.0,6809384.0,19911750.0
2254.0,30410470.0,6752650.5,19732922.0
2255.0,30346606.0,6888867.0,19913974.0
2256.0,29785740.0,6868272.5,19715014.0
2257.0,30233876.0,6889694.0,20151666.0
2258.0,29898162.0,6837978.5,19799530.0
2259.0,29773168.0,6747018.0,19905098.0
2260.0,30237194.0,6793016.0,19912048.0
