time,EC-EARTH3-VEG,GFDL-ESM4,MRI-ESM2-0,CAMS-CSM1-0
2088.0,71224180000.0,78828880000.0,72459320000.0,79501040000.0
2089.0,71683604000.0,76626190000.0,73501990000.0,79618564000.0
2090.0,70843680000.0,75668790000.0,72526080000.0,79982560000.0
2091.0,70207130000.0,75404830000.0,72814944000.0,79941010000.0
2092.0,70020130000.0,75007470000.0,71801800000.0,79406380000.0
2093.0,69466120000.0,74491460000.0,71302000000.0,80809810000.0
2094.0,68892520000.0,74358270000.0,70824980000.0,78961080000.0
2095.0,68590070000.0,74269650000.0,72147440000.0,79170030000.0
2096.0,68313440000.0,75907870000.0,71770080000.0,78832460000.0
2097.0,67825370000.0,74250200000.0,71422665000.0,78282660000.0
2098.0,67946770000.0,75431320000.0,70978130000.0,78236930000.0
2099.0,67736020000.0,74603420000.0,70549365000.0,77924600000.0
2100.0,66782370000.0,73873430000.0,71042100000.0,77714440000.0
