time,CAMS-CSM1-0,MRI-ESM2-0,EC-EARTH3-VEG,GFDL-ESM4
2064.0,8909151000.0,9449552000.0,9508092000.0,9920647000.0
2065.0,8845699000.0,9356847000.0,9442114000.0,9894733000.0
2066.0,8774289000.0,9324453000.0,9387510000.0,9846814000.0
2067.0,8715759000.0,9294558000.0,9371742000.0,9780698000.0
2068.0,8628163000.0,9273802000.0,9315415000.0,9818461000.0
2069.0,8578266000.0,9224250000.0,9301161000.0,9716354000.0
2070.0,8486619600.0,9180922000.0,9229137000.0,9711928000.0
2071.0,8395516400.0,9145260000.0,9162531000.0,9706696000.0
2072.0,8344192000.0,9119518000.0,9166561000.0,9624347000.0
2073.0,8305830400.0,9081670000.0,9111026000.0,9558495000.0
2074.0,8225568300.0,9070259000.0,9047002000.0,9527465000.0
2075.0,8179246000.0,9028717000.0,9017405000.0,9528116000.0
2076.0,8059732000.0,8994501000.0,8959239000.0,9537197000.0
2077.0,7999464400.0,8982010000.0,8907309000.0,9504709000.0
2078.0,7956429300.0,8974457000.0,8875261000.0,9436677000.0
2079.0,7898651600.0,9013969000.0,8833878000.0,9414091000.0
2080.0,7816662500.0,8920761000.0,8856550000.0,9396978000.0
2081.0,7787033600.0,8918098000.0,8788651000.0,9527650000.0
2082.0,7744547300.0,8870894000.0,8731149000.0,9454715000.0
2083.0,7695601700.0,8857763000.0,8662925000.0,9386111000.0
2084.0,7664380000.0,8798435000.0,8612834000.0,9306336000.0
2085.0,7596919000.0,8781841000.0,8559727000.0,9280406000.0
2086.0,7546659300.0,8781104000.0,8559426600.0,9276699000.0
2087.0,7495552500.0,8763921000.0,8519688700.0,9261649000.0
2088.0,7430843400.0,8786930000.0,8427692500.0,9240196000.0
2089.0,7380958000.0,8801689000.0,8402187300.0,9232174000.0
2090.0,7356687000.0,8757740000.0,8347164000.0,9217339000.0
2091.0,7309872000.0,8781587000.0,8297301500.0,9219352000.0
2092.0,7254691300.0,8745289000.0,8263591400.0,9209002000.0
2093.0,7205488600.0,8781840000.0,8212531700.0,9153558000.0
2094.0,7216564700.0,8757195000.0,8163578000.0,9191481000.0
2095.0,7138605000.0,8865466000.0,8127023600.0,9128480000.0
2096.0,7072167400.0,8750705000.0,8095531500.0,9126105000.0
2097.0,7065725000.0,8735130000.0,8051692000.0,9094265000.0
2098.0,7035766300.0,8701266000.0,8014486000.0,9217433000.0
2099.0,6992194000.0,8865349000.0,7989309400.0,9156983000.0
2100.0,6961157600.0,8808541000.0,7966844400.0,9048731000.0
