time,CESM2-WACCM,MIROC6,MPI-ESM1-2-HR,IPSL-CM6A-LR,MRI-ESM2-0,KACE-1-0-G,CNRM-CM6-1,TAIESM1,EC-EARTH3,GFDL-ESM4,UKESM1-0-LL,CANESM5,CNRM-ESM2-1
2053.0,2017361800000.0,2075067800000.0,2143570400000.0,1903357900000.0,1937807600000.0,1856727200000.0,1907014400000.0,1911666400000.0,1225442900000.0,2105413500000.0,1540618300000.0,1237518000000.0,2058436300000.0
2054.0,1986261400000.0,2038414600000.0,2115236800000.0,1883892900000.0,1916015700000.0,1804761000000.0,1883726700000.0,1896996700000.0,1216144600000.0,2080012400000.0,1505597600000.0,1188493800000.0,2034650600000.0
2055.0,1937707600000.0,2003643100000.0,2072702600000.0,1832131000000.0,1888054500000.0,1778919500000.0,1839253300000.0,1882152000000.0,1177076200000.0,2042210200000.0,1462366100000.0,1151517300000.0,2015740000000.0
2056.0,1917908300000.0,1975004600000.0,2059131200000.0,1798676000000.0,1849358200000.0,1764782000000.0,1811842500000.0,1860282600000.0,1126770800000.0,2012219400000.0,1418062900000.0,1114872600000.0,1980849300000.0
2057.0,1892699700000.0,1954811700000.0,2027287900000.0,1779884500000.0,1822015400000.0,1769141400000.0,1783991900000.0,1818576200000.0,1076731000000.0,1990437800000.0,1377897300000.0,1079689150000.0,1949932600000.0
2058.0,1850809400000.0,1912346200000.0,2016858700000.0,1736528900000.0,1797644700000.0,1752798300000.0,1754540800000.0,1790187700000.0,1050005900000.0,1982166900000.0,1342518100000.0,1047400550000.0,1944027900000.0
2059.0,1809427300000.0,1863083400000.0,1995517700000.0,1698724300000.0,1760345600000.0,1704020300000.0,1733409600000.0,1766163700000.0,1038609600000.0,1942473300000.0,1315948600000.0,1002663440000.0,1916522100000.0
2060.0,1803631100000.0,1831498400000.0,1951279100000.0,1650746500000.0,1739641000000.0,1680147300000.0,1696702000000.0,1759453000000.0,992051800000.0,1943233200000.0,1282765400000.0,971380360000.0,1896600300000.0
2061.0,1765580000000.0,1817782100000.0,1924339100000.0,1610145100000.0,1697455700000.0,1655123700000.0,1659030000000.0,1717900400000.0,958492800000.0,1887008700000.0,1238899400000.0,947315500000.0,1877066100000.0
2062.0,1738838400000.0,1787447000000.0,1887910100000.0,1578081700000.0,1675648800000.0,1621490700000.0,1633594000000.0,1668110200000.0,929900600000.0,1839054200000.0,1201910800000.0,923797950000.0,1837889000000.0
2063.0,1708382900000.0,1752612900000.0,1876121100000.0,1545548100000.0,1654725700000.0,1565074900000.0,1617637900000.0,1638683400000.0,908804100000.0,1820313000000.0,1172368000000.0,882984800000.0,1817367000000.0
2064.0,1660497700000.0,1737969200000.0,1872814500000.0,1494677800000.0,1620195000000.0,1529145300000.0,1593277400000.0,1637024900000.0,875384140000.0,1773406100000.0,1143861300000.0,847868900000.0,1796669300000.0
2065.0,1612997300000.0,1698190100000.0,1831617400000.0,1450659200000.0,1596460000000.0,1487017300000.0,1551229400000.0,1586826400000.0,845484460000.0,1743778900000.0,1126929400000.0,817709700000.0,1751782400000.0
2066.0,1577429200000.0,1663629000000.0,1800772900000.0,1412292500000.0,1555050300000.0,1465716600000.0,1506715600000.0,1545283300000.0,820327100000.0,1708219200000.0,1096729500000.0,788898000000.0,1728633000000.0
2067.0,1555488700000.0,1595345100000.0,1774544200000.0,1379765800000.0,1521607500000.0,1442789000000.0,1495037900000.0,1516820800000.0,788897860000.0,1684821800000.0,1054732000000.0,765733960000.0,1700044700000.0
2068.0,1540951800000.0,1549089100000.0,1749482600000.0,1349321000000.0,1500407800000.0,1405209800000.0,1474428800000.0,1506168700000.0,761466300000.0,1645494300000.0,1031268100000.0,748461360000.0,1686219800000.0
2069.0,1508250400000.0,1536246000000.0,1729039800000.0,1323931000000.0,1492133600000.0,1391174600000.0,1443565300000.0,1448210500000.0,735557450000.0,1606754400000.0,988539100000.0,722888100000.0,1659452500000.0
2070.0,1482155000000.0,1520835200000.0,1695914100000.0,1296666300000.0,1461472000000.0,1366994200000.0,1424629200000.0,1409662800000.0,711950700000.0,1603034300000.0,961269660000.0,697762400000.0,1624237300000.0
2071.0,1464455000000.0,1497993400000.0,1661405200000.0,1269762200000.0,1417532900000.0,1343997200000.0,1401684200000.0,1372030400000.0,691890800000.0,1575438500000.0,933072100000.0,667258850000.0,1617120000000.0
2072.0,1442954200000.0,1430200000000.0,1641802800000.0,1256510200000.0,1398190200000.0,1318838100000.0,1365570900000.0,1350556300000.0,665443430000.0,1552645400000.0,892905800000.0,638817600000.0,1570501300000.0
2073.0,1407817400000.0,1358022800000.0,1626110000000.0,1224038800000.0,1367057500000.0,1309002000000.0,1333439900000.0,1325078000000.0,636225900000.0,1524214000000.0,862628600000.0,611825100000.0,1551793700000.0
2074.0,1386204100000.0,1312303200000.0,1610264300000.0,1188925800000.0,1341058800000.0,1264037000000.0,1294961900000.0,1305238300000.0,619671260000.0,1499745400000.0,834300700000.0,593967800000.0,1529758000000.0
2075.0,1361705000000.0,1272166100000.0,1595495200000.0,1160553300000.0,1326800800000.0,1226404900000.0,1254159200000.0,1262897300000.0,609668040000.0,1485457700000.0,807109700000.0,569038300000.0,1503887600000.0
2076.0,1340573200000.0,1231366300000.0,1555773800000.0,1138860200000.0,1280659800000.0,1219712900000.0,1226807000000.0,1243402300000.0,588292400000.0,1458675600000.0,771914140000.0,547200630000.0,1471797500000.0
2077.0,1311347400000.0,1198552500000.0,1528934300000.0,1111219000000.0,1246939600000.0,1202474200000.0,1190736300000.0,1208098000000.0,566602500000.0,1398461400000.0,745513300000.0,523602700000.0,1447742900000.0
2078.0,1301598300000.0,1164693500000.0,1488710300000.0,1076080100000.0,1222670000000.0,1163317100000.0,1151199700000.0,1198508500000.0,540779200000.0,1375959400000.0,714014000000.0,505778440000.0,1418372000000.0
2079.0,1275549200000.0,1137030300000.0,1445961100000.0,1050210900000.0,1204257300000.0,1127528400000.0,1148585400000.0,1156314400000.0,523372300000.0,1358617100000.0,687288550000.0,484034770000.0,1392513600000.0
