time,CCSM4,GFDL-CM3,GISS-E2-R,NORESM1-M,CSIRO-MK3-6-0,GFDL-ESM2G,IPSL-CM5A-LR
2058.0,49998184000.0,49384292000.0,50919227000.0,50403180000.0,50830905000.0,50564166000.0,50585560000.0
2059.0,49887210000.0,49324278000.0,50828110000.0,50345824000.0,50754396000.0,50515860000.0,50520070000.0
2060.0,49828114000.0,49207837000.0,50781100000.0,50291710000.0,50703675000.0,50450420000.0,50420683000.0
2061.0,49750876000.0,49105570000.0,50753520000.0,50226303000.0,50690265000.0,50382975000.0,50338440000.0
2062.0,49659544000.0,48958910000.0,50700610000.0,50164507000.0,50644476000.0,50340094000.0,50265727000.0
2063.0,49592820000.0,48751325000.0,50672670000.0,50099438000.0,50587357000.0,50258862000.0,50127122000.0
2064.0,49514586000.0,48552480000.0,50661933000.0,50021966000.0,50550800000.0,50215797000.0,50037522000.0
2065.0,49475478000.0,48338890000.0,50587927000.0,49965100000.0,50492360000.0,50154040000.0,49942168000.0
2066.0,49396494000.0,48199520000.0,50560127000.0,49899704000.0,50472080000.0,50074900000.0,49835143000.0
2067.0,49368965000.0,48021987000.0,50499842000.0,49809830000.0,50401817000.0,50018300000.0,49652183000.0
2068.0,49281020000.0,47843836000.0,50446836000.0,49687474000.0,50356044000.0,49949280000.0,49528324000.0
2069.0,49148477000.0,47676125000.0,50398710000.0,49576042000.0,50322924000.0,49843100000.0,49416905000.0
2070.0,49015652000.0,47476750000.0,50351124000.0,49461797000.0,50261410000.0,49777190000.0,49307730000.0
2071.0,48947580000.0,47271340000.0,50309970000.0,49373598000.0,50201950000.0,49705976000.0,49023455000.0
2072.0,48882190000.0,47052220000.0,50240717000.0,49312543000.0,50173160000.0,49626415000.0,48868483000.0
2073.0,48754577000.0,46857785000.0,50196615000.0,49229185000.0,50120320000.0,49559732000.0,48712016000.0
2074.0,48670167000.0,46616764000.0,50184266000.0,49088070000.0,50083950000.0,49465610000.0,48364600000.0
2075.0,48566040000.0,46360110000.0,50120258000.0,48959746000.0,50012920000.0,49351754000.0,48102994000.0
2076.0,48429216000.0,46086603000.0,50073020000.0,48825170000.0,49958100000.0,49282480000.0,47869506000.0
2077.0,48316695000.0,45805847000.0,49993560000.0,48718655000.0,49909140000.0,49196900000.0,47630303000.0
2078.0,48155930000.0,45517054000.0,49953976000.0,48634225000.0,49875517000.0,49085145000.0,47467030000.0
2079.0,48031340000.0,45327360000.0,49913102000.0,48526918000.0,49803973000.0,49029513000.0,47332410000.0
2080.0,47823430000.0,45108195000.0,49840194000.0,48344330000.0,49776800000.0,48921260000.0,47198010000.0
2081.0,47701103000.0,44924600000.0,49754890000.0,48215618000.0,49728630000.0,48811676000.0,47062983000.0
2082.0,47505973000.0,44680622000.0,49693893000.0,48080105000.0,49661325000.0,48740880000.0,46915277000.0
2083.0,47348510000.0,44374807000.0,49675457000.0,47929980000.0,49589023000.0,48639350000.0,46802690000.0
2084.0,47234888000.0,44018467000.0,49611660000.0,47801920000.0,49567210000.0,48549130000.0,46646740000.0
2085.0,47189123000.0,43666973000.0,49541650000.0,47637370000.0,49578852000.0,48452977000.0,46507680000.0
2086.0,47076442000.0,43308737000.0,49474392000.0,47499248000.0,49411723000.0,48332767000.0,46351405000.0
2087.0,46958870000.0,42972484000.0,49317413000.0,47354143000.0,49327456000.0,48165937000.0,46098145000.0
2088.0,46794596000.0,42541540000.0,49268244000.0,47131070000.0,49239785000.0,48011010000.0,45917110000.0
2089.0,46520713000.0,42130313000.0,49203315000.0,46851220000.0,49147654000.0,47883580000.0,45798780000.0
2090.0,46337483000.0,41727463000.0,49163950000.0,46620406000.0,49064407000.0,47725820000.0,45599100000.0
2091.0,46167070000.0,41433305000.0,49064690000.0,46440894000.0,49024780000.0,47609440000.0,45433240000.0
2092.0,46014194000.0,41122927000.0,49003450000.0,46244127000.0,48975585000.0,47459316000.0,45292966000.0
2093.0,45885313000.0,40772096000.0,48943567000.0,46077997000.0,48906660000.0,47371145000.0,45075956000.0
2094.0,45719970000.0,40434780000.0,48851300000.0,45812118000.0,48812950000.0,47284230000.0,44923638000.0
2095.0,45588070000.0,40047910000.0,48749277000.0,45611000000.0,48753566000.0,47116874000.0,44733030000.0
2096.0,45398870000.0,39691952000.0,48678900000.0,45467124000.0,48666833000.0,46949237000.0,44547936000.0
2097.0,45235618000.0,39428866000.0,48592520000.0,45242245000.0,48607855000.0,46826200000.0,44398900000.0
2098.0,45054636000.0,39088530000.0,48542310000.0,45092460000.0,48529973000.0,46685733000.0,44192813000.0
2099.0,44879856000.0,38748058000.0,48391524000.0,44921320000.0,48415236000.0,46546366000.0,43950244000.0
2100.0,44667870000.0,38461723000.0,48403616000.0,44679856000.0,48310860000.0,46492746000.0,43757707000.0
