time,CSIRO-MK3-6-0,CCSM4,NORESM1-M,GFDL-ESM2G,GISS-E2-R,IPSL-CM5A-LR,CESM1-CAM5,GFDL-CM3
2074.0,30260140000.0,31221477000.0,30964234000.0,33847350000.0,34624713000.0,26805746000.0,32718289000.0,13652560000.0
2075.0,29642020000.0,30700288000.0,30386213000.0,33148793000.0,34350295000.0,26270474000.0,32162970000.0,13239053000.0
2076.0,29035209000.0,30112186000.0,29663683000.0,32723069000.0,33917258000.0,25659668000.0,31548342000.0,12821634000.0
2077.0,28556208000.0,29681103000.0,29258584000.0,32185235000.0,33546690000.0,25252481000.0,30988132000.0,12356254000.0
2078.0,27902663000.0,29238723000.0,28862950000.0,31802230000.0,33203692000.0,24672088000.0,30580509000.0,12046944000.0
2079.0,27352502000.0,28771269000.0,28386234000.0,31212200000.0,32975995000.0,24170127000.0,30150000000.0,11681646000.0
2080.0,27019047000.0,28358440000.0,27890328000.0,30605382000.0,32537475000.0,23652130000.0,29402454000.0,11332613000.0
2081.0,26297932000.0,27802173000.0,27382608000.0,30163657000.0,32151648000.0,23157092000.0,28728740000.0,11008013000.0
2082.0,25734525000.0,27201534000.0,26965301000.0,29680495000.0,31748380000.0,22729562000.0,28109605000.0,10736546000.0
2083.0,25232443000.0,26760421000.0,26572319000.0,29164524000.0,31369452000.0,22288534000.0,27969389000.0,10399174000.0
2084.0,24920100000.0,26267154000.0,26141284000.0,28680931000.0,30973219000.0,21802078000.0,27194190000.0,10107043000.0
2085.0,24425775000.0,25703756000.0,25743587000.0,28289214000.0,30492924000.0,21420913000.0,26534525000.0,9788339000.0
2086.0,23951204000.0,25324577000.0,25307386000.0,27899540000.0,30051656000.0,20963280000.0,25941783000.0,9515691000.0
2087.0,23638940000.0,24960770000.0,24749080000.0,27547544000.0,29743933000.0,20579086000.0,25478144000.0,9271467000.0
2088.0,23112718000.0,24497594000.0,24290750000.0,27194262000.0,29384270000.0,20185010000.0,24952236000.0,8990417000.0
2089.0,22665634000.0,24893730000.0,23917220000.0,26746462000.0,29061080000.0,19780944000.0,24382870000.0,8747822000.0
2090.0,22188358000.0,23771953000.0,23458521000.0,26326809000.0,28635318000.0,19285967000.0,23741628000.0,8474987500.0
2091.0,21674437000.0,23279300000.0,23005200000.0,25789696000.0,28280078000.0,18898184000.0,23399807000.0,8248616400.0
2092.0,21236865000.0,22864097000.0,22595215000.0,25898103000.0,27849306000.0,18415788000.0,22857066000.0,8057404000.0
2093.0,20840330000.0,22498605000.0,22255094000.0,25374366000.0,27499300000.0,17919914000.0,22312448000.0,7795473400.0
2094.0,20554744000.0,22139437000.0,21916967000.0,24657576000.0,27338926000.0,17517406000.0,21880297000.0,7584643000.0
2095.0,20085678000.0,21753870000.0,21421742000.0,25779500000.0,26916379000.0,17091900000.0,21489172000.0,7319786500.0
2096.0,19696046000.0,21391727000.0,21035254000.0,26243383000.0,26620799000.0,16722083000.0,20843237000.0,7156715000.0
2097.0,19368008000.0,21073148000.0,20655151000.0,25563288000.0,26271894000.0,16366080000.0,20235854000.0,6962264600.0
2098.0,18976836000.0,20744500000.0,20210846000.0,24586600000.0,25834490000.0,16085325000.0,19744983000.0,6811928600.0
2099.0,18697185000.0,20439212000.0,19804215000.0,23895314000.0,25448614000.0,15706631000.0,19476365000.0,6644807700.0
2100.0,18256260000.0,20196040000.0,19402103000.0,23549766000.0,25122533000.0,15362362000.0,19013757000.0,6487905000.0
