time,NORESM1-M,CANESM2,CNRM-CM5,CSIRO-MK3-6-0,CCSM4,GFDL-ESM2G,MPI-ESM-LR,GISS-E2-R,IPSL-CM5A-LR,GFDL-CM3
2055.0,33207423000.0,29431300000.0,37362004000.0,29933636000.0,34610848000.0,38353773000.0,37651825000.0,35130020000.0,28790163000.0,19135926000.0
2056.0,32505604000.0,28683092000.0,36835373000.0,29088918000.0,33890785000.0,37747500000.0,36034280000.0,34411454000.0,27818916000.0,18249361000.0
2057.0,31673592000.0,27704267000.0,36229693000.0,28415277000.0,33200814000.0,37013880000.0,35135250000.0,33634716000.0,27040827000.0,17510607000.0
2058.0,30934995000.0,26678798000.0,35550167000.0,27425522000.0,32522373000.0,36529926000.0,34396516000.0,33078240000.0,26129306000.0,16691813000.0
2059.0,30122138000.0,25962541000.0,34976700000.0,26622765000.0,31957848000.0,35885810000.0,33634669000.0,32374890000.0,25275974000.0,15952341000.0
2060.0,29367493000.0,25040376000.0,34532688000.0,25804073000.0,31331627000.0,35348484000.0,32801260000.0,31657075000.0,24509653000.0,15195464000.0
2061.0,28788929000.0,24086184000.0,34008280000.0,25116617000.0,30661157000.0,34762457000.0,31881345000.0,31081013000.0,23890287000.0,14604956000.0
2062.0,28247960000.0,23201722000.0,33556113000.0,24408814000.0,29943611000.0,34277765000.0,30842466000.0,30526607000.0,23096963000.0,13997243000.0
2063.0,27553663000.0,22379475000.0,32918415000.0,23714925000.0,29394487000.0,33730640000.0,30131665000.0,30010341000.0,22409680000.0,13347870000.0
2064.0,26681561000.0,21773494000.0,32237679000.0,22828190000.0,28717154000.0,33369310000.0,29277297000.0,29505272000.0,21804114000.0,12755530000.0
2065.0,25929478000.0,21038563000.0,31675474000.0,22033550000.0,28071277000.0,32647653000.0,28420614000.0,28868100000.0,20936767000.0,12236599000.0
2066.0,25308084000.0,20256172000.0,30923094000.0,21365721000.0,27398510000.0,32022393000.0,27509965000.0,28300685000.0,20280236000.0,11762549000.0
2067.0,24684063000.0,19490138000.0,30257990000.0,20780823000.0,26804360000.0,31438300000.0,26597325000.0,27766065000.0,19607546000.0,11235433000.0
2068.0,24113865000.0,18862752000.0,29586794000.0,20133894000.0,26114654000.0,30712648000.0,25801746000.0,27139324000.0,18881507000.0,10731490000.0
2069.0,23371035000.0,18248430000.0,29015929000.0,19518665000.0,25372748000.0,30317270000.0,25119304000.0,26554388000.0,18306570000.0,10219034000.0
2070.0,22614188000.0,17693313000.0,28564685000.0,18872170000.0,24631351000.0,29629532000.0,24407585000.0,26040394000.0,17581224000.0,9797563000.0
2071.0,21955890000.0,17017807000.0,27882797000.0,18358833000.0,24006860000.0,28891730000.0,23497695000.0,25524388000.0,16905512000.0,9357711000.0
