time,GFDL-CM3,GISS-E2-R,CCSM4,CSIRO-MK3-6-0,IPSL-CM5A-LR,GFDL-ESM2G,NORESM1-M,CESM1-CAM5
2083.0,92554050000.0,101405360000.0,96360595000.0,99485794000.0,98002380000.0,99411395000.0,96181035000.0,79346290000.0
2084.0,92092680000.0,100903125000.0,96088080000.0,99515330000.0,97799315000.0,99321910000.0,95790285000.0,78540660000.0
2085.0,90940760000.0,100939230000.0,95691230000.0,99234450000.0,97553140000.0,99049300000.0,95520130000.0,77740425000.0
2086.0,90236450000.0,100686740000.0,95512584000.0,99046150000.0,97296160000.0,99533910000.0,95155700000.0,76894750000.0
2087.0,89808190000.0,100604470000.0,95281470000.0,98862300000.0,96982780000.0,98888350000.0,95504730000.0,76229780000.0
2088.0,89329450000.0,100439960000.0,95173350000.0,98741880000.0,96710470000.0,98667710000.0,94924830000.0,75501640000.0
2089.0,88812580000.0,100972840000.0,94803990000.0,98498390000.0,96964665000.0,98450730000.0,94449690000.0,74617880000.0
2090.0,88375760000.0,100491340000.0,94520885000.0,98290510000.0,96561210000.0,98374420000.0,94180960000.0,74100360000.0
2091.0,87887340000.0,100091780000.0,94235990000.0,98080430000.0,96441110000.0,98102690000.0,93817730000.0,73103850000.0
2092.0,87389760000.0,99859640000.0,93966100000.0,97876880000.0,96440295000.0,97900920000.0,93487650000.0,72347350000.0
2093.0,86861200000.0,99730180000.0,93658644000.0,97641570000.0,96141810000.0,97737500000.0,93284110000.0,71821000000.0
2094.0,86363430000.0,99540700000.0,93269570000.0,97372680000.0,95357910000.0,97588480000.0,92922225000.0,71079870000.0
2095.0,86033700000.0,99395880000.0,92935800000.0,97416440000.0,95889420000.0,97450330000.0,92679135000.0,70454534000.0
2096.0,85416980000.0,99274780000.0,92624445000.0,97061265000.0,95063170000.0,97428685000.0,92203530000.0,69906450000.0
2097.0,84897150000.0,99839525000.0,92281040000.0,96769670000.0,96100500000.0,97122130000.0,91627740000.0,69173174000.0
2098.0,84317920000.0,99092780000.0,92084100000.0,96445460000.0,94652490000.0,96901330000.0,91200580000.0,68537434000.0
2099.0,83877134000.0,98952400000.0,91758910000.0,96263720000.0,94323680000.0,96652870000.0,90932800000.0,67866860000.0
2100.0,83469590000.0,98818420000.0,91499045000.0,96031170000.0,94109740000.0,96481300000.0,90495360000.0,67079300000.0
