time,CNRM-CM5,GISS-E2-R,CCSM4,CANESM2,GFDL-ESM2G,MPI-ESM-LR,NORESM1-M,CSIRO-MK3-6-0,IPSL-CM5A-LR,GFDL-CM3
2044.0,6979201300000.0,7046097000000.0,7213230000000.0,7063771000000.0,7268515000000.0,7302628000000.0,6806227600000.0,7253665500000.0,7000223000000.0,6273147000000.0
2045.0,6910280000000.0,6968660000000.0,7152032000000.0,6995465000000.0,7233706400000.0,7250328000000.0,6742283400000.0,7204856400000.0,6960134500000.0,6166258600000.0
2046.0,6847043500000.0,6900599000000.0,7103184000000.0,6921607700000.0,7195888500000.0,7192401000000.0,6675326000000.0,7159166300000.0,6892390000000.0,6063180000000.0
2047.0,6775324000000.0,6824613000000.0,7057540400000.0,6870487500000.0,7149362000000.0,7134129000000.0,6610872700000.0,7117171300000.0,6833166600000.0,5955842500000.0
2048.0,6703185700000.0,6767583000000.0,6995492500000.0,6784748600000.0,7093951700000.0,7098433300000.0,6542726000000.0,7077660500000.0,6772700000000.0,5847623000000.0
2049.0,6659966500000.0,6709430500000.0,6941220000000.0,6716112000000.0,7046402000000.0,7034517300000.0,6476781000000.0,7036067600000.0,6702886300000.0,5735862000000.0
2050.0,6592845000000.0,6652335000000.0,6891121400000.0,6655240000000.0,6995016000000.0,6968173000000.0,6412688700000.0,6995934000000.0,6637980000000.0,5618875000000.0
2051.0,6535927300000.0,6594753500000.0,6828581000000.0,6599542000000.0,6945183000000.0,6907749000000.0,6335549000000.0,6958874000000.0,6558274600000.0,5502997600000.0
2052.0,6458584000000.0,6544489400000.0,6772049300000.0,6526337500000.0,6902468600000.0,6852307300000.0,6255530000000.0,6921757000000.0,6476017400000.0,5375260600000.0
2053.0,6384328400000.0,6490614000000.0,6689124000000.0,6445569400000.0,6862404600000.0,6794833000000.0,6186121300000.0,6869228000000.0,6404885700000.0,5252049300000.0
2054.0,6318611500000.0,6423398000000.0,6618665000000.0,6375902000000.0,6822817700000.0,6733709700000.0,6126886000000.0,6823097000000.0,6335096000000.0,5144157600000.0
2055.0,6261135000000.0,6342325000000.0,6573074000000.0,6308253700000.0,6755819500000.0,6674777600000.0,6055773000000.0,6772090700000.0,6249749000000.0,5038457500000.0
2056.0,6192252300000.0,6290655000000.0,6498525000000.0,6229345700000.0,6702855400000.0,6628195000000.0,5978801600000.0,6734966400000.0,6160906700000.0,4913048300000.0
2057.0,6134176400000.0,6251109000000.0,6439806000000.0,6158314000000.0,6641051000000.0,6575982400000.0,5878591000000.0,6686948000000.0,6080927000000.0,4788439000000.0
2058.0,6072523000000.0,6207590400000.0,6372915000000.0,6099662500000.0,6593816000000.0,6509578000000.0,5792266700000.0,6621110000000.0,5977882000000.0,4658229000000.0
2059.0,6009537000000.0,6175703000000.0,6304120000000.0,6014198000000.0,6548345000000.0,6445408000000.0,5700553500000.0,6574962000000.0,5886458700000.0,4533370000000.0
2060.0,5960371300000.0,6118247000000.0,6257758400000.0,5956779000000.0,6493788700000.0,6390980000000.0,5608653700000.0,6519967000000.0,5792082000000.0,4414773000000.0
2061.0,5889873400000.0,6043231300000.0,6173685000000.0,5880473000000.0,6452282000000.0,6351207500000.0,5528956700000.0,6459161600000.0,5693908000000.0,4297728500000.0
2062.0,5806937000000.0,5984279300000.0,6082084000000.0,5795626400000.0,6399469000000.0,6279535000000.0,5448401000000.0,6398282300000.0,5592443000000.0,4184508700000.0
2063.0,5732207000000.0,5929373300000.0,6010288700000.0,5717513000000.0,6351143600000.0,6207049000000.0,5360513400000.0,6336711000000.0,5510835700000.0,4075891700000.0
2064.0,5650184000000.0,5886914300000.0,5927501000000.0,5656590400000.0,6289310000000.0,6150009000000.0,5269589300000.0,6287903400000.0,5405443000000.0,3955806000000.0
2065.0,5578773500000.0,5816888000000.0,5852268300000.0,5582627500000.0,6239061300000.0,6074674400000.0,5165759300000.0,6238474600000.0,5320117000000.0,3842954200000.0
2066.0,5493261000000.0,5742638000000.0,5781084000000.0,5516698000000.0,6212158500000.0,6008391300000.0,5075528000000.0,6180032000000.0,5221456000000.0,3731129600000.0
2067.0,5419064400000.0,5679503000000.0,5737262000000.0,5454538700000.0,6154714300000.0,5945011700000.0,4982916500000.0,6117808700000.0,5113953000000.0,3609271200000.0
2068.0,5341744500000.0,5617356000000.0,5668357500000.0,5362917300000.0,6115977300000.0,5863615000000.0,4881832000000.0,6034954000000.0,5006760600000.0,3500127000000.0
2069.0,5287388000000.0,5551714000000.0,5597290300000.0,5265649300000.0,6080457300000.0,5805798000000.0,4770957000000.0,5966312000000.0,4909350500000.0,3390485600000.0
2070.0,5215111000000.0,5473851400000.0,5534868600000.0,5177994600000.0,6046542000000.0,5752725000000.0,4663029500000.0,5890493600000.0,4813808500000.0,3275242900000.0
2071.0,5152623300000.0,5410606500000.0,5462657300000.0,5095856000000.0,6003725700000.0,5694259000000.0,4564828000000.0,5828600000000.0,4712747000000.0,3167602300000.0
2072.0,5078639000000.0,5356880700000.0,5395553000000.0,5005968400000.0,5940073500000.0,5621774500000.0,4470961300000.0,5756608000000.0,4602323300000.0,3059369400000.0
2073.0,4999404000000.0,5295556000000.0,5329730400000.0,4913919700000.0,5909318000000.0,5540475000000.0,4366644800000.0,5689613000000.0,4511018000000.0,2956406600000.0
2074.0,4916255400000.0,5230970000000.0,5257988400000.0,4814726500000.0,5865745700000.0,5472835300000.0,4259518300000.0,5602789600000.0,4418422400000.0,2858259000000.0
2075.0,4829877400000.0,5156135000000.0,5201193300000.0,4725375000000.0,5811623400000.0,5397979600000.0,4164345700000.0,5521289000000.0,4324720000000.0,2747396500000.0
2076.0,4754263000000.0,5090555000000.0,5134634000000.0,4639576000000.0,5756402000000.0,5326352000000.0,4050247700000.0,5417724300000.0,4204970400000.0,2649383800000.0
2077.0,4675231000000.0,5022507000000.0,5073054000000.0,4544715000000.0,5691062400000.0,5253408000000.0,3943732300000.0,5338582000000.0,4104512300000.0,2556493800000.0
2078.0,4592324000000.0,4940689000000.0,5016640000000.0,4448642400000.0,5617271000000.0,5183859000000.0,3847075400000.0,5242499000000.0,3985603600000.0,2457960000000.0
2079.0,4503989000000.0,4865885000000.0,4949921000000.0,4354888700000.0,5558632400000.0,5119158000000.0,3736464800000.0,5155621700000.0,3887111900000.0,2366113300000.0
2080.0,4410714000000.0,4778293000000.0,4881430600000.0,4258705200000.0,5501610400000.0,5023055000000.0,3622601500000.0,5063918500000.0,3791984500000.0,2263618000000.0
2081.0,4326162400000.0,4721871000000.0,4810106500000.0,4181564900000.0,5440295000000.0,4950783400000.0,3520699600000.0,4981624000000.0,3697932200000.0,2177740000000.0
2082.0,4249905000000.0,4657565000000.0,4735990000000.0,4083401000000.0,5388089400000.0,4875932000000.0,3426805000000.0,4894960000000.0,3598515000000.0,2086521400000.0
2083.0,4159620300000.0,4575591400000.0,4674893000000.0,4001157000000.0,5337571000000.0,4806905000000.0,3331844500000.0,4802268400000.0,3497588200000.0,2003967800000.0
2084.0,4069185600000.0,4517749300000.0,4620950000000.0,3900416700000.0,5302124500000.0,4751353700000.0,3233942000000.0,4702964000000.0,3405610200000.0,1911020300000.0
2085.0,3974587000000.0,4449198000000.0,4533387000000.0,3803804300000.0,5256744300000.0,4664202400000.0,3142394800000.0,4612240000000.0,3302192600000.0,1822154700000.0
2086.0,3895433000000.0,4400563000000.0,4446132000000.0,3710039000000.0,5201649000000.0,4592864600000.0,3051115800000.0,4511050500000.0,3206999000000.0,1742337600000.0
2087.0,3805902300000.0,4343864800000.0,4374393500000.0,3603886200000.0,5133696500000.0,4532586700000.0,2962267300000.0,4423896000000.0,3112901300000.0,1666004700000.0
2088.0,3715385300000.0,4268547000000.0,4301234400000.0,3508542000000.0,5069013500000.0,4461250500000.0,2870455300000.0,4330157800000.0,3015680700000.0,1584830700000.0
2089.0,3626343900000.0,4195690500000.0,4221754700000.0,3422875300000.0,5007423000000.0,4387683000000.0,2771241400000.0,4230802600000.0,2921931500000.0,1508383900000.0
2090.0,3535986800000.0,4105883600000.0,4136921700000.0,3334732500000.0,4944579500000.0,4308245700000.0,2690047800000.0,4139442200000.0,2820302400000.0,1435839500000.0
2091.0,3446446500000.0,4044974000000.0,4046450300000.0,3241201000000.0,4900970000000.0,4243317900000.0,2611163200000.0,4045179200000.0,2730500600000.0,1367220000000.0
2092.0,3373815600000.0,3988091800000.0,3969283300000.0,3149392500000.0,4839634400000.0,4166590400000.0,2524860000000.0,3949234500000.0,2634751400000.0,1300360900000.0
2093.0,3291030000000.0,3912616000000.0,3907225400000.0,3067593400000.0,4772572700000.0,4100349500000.0,2442700500000.0,3849420300000.0,2544387500000.0,1233311600000.0
2094.0,3217876300000.0,3841907200000.0,3806199500000.0,2972297200000.0,4715585000000.0,4039029600000.0,2356497400000.0,3737463600000.0,2453875000000.0,1167464600000.0
2095.0,3123916300000.0,3765668700000.0,3733774400000.0,2886863400000.0,4663421700000.0,3950450800000.0,2272418300000.0,3638078200000.0,2354106600000.0,1101891900000.0
2096.0,3034145400000.0,3704849200000.0,3656405700000.0,2810266300000.0,4598077000000.0,3874076200000.0,2184021400000.0,3546388400000.0,2272768600000.0,1036325950000.0
2097.0,2941385400000.0,3646685200000.0,3587270200000.0,2738323000000.0,4524412500000.0,3804966400000.0,2106903500000.0,3458830000000.0,2180036700000.0,972735250000.0
2098.0,2879372700000.0,3574466600000.0,3508091700000.0,2660232000000.0,4458776400000.0,3737150600000.0,2029936200000.0,3359237000000.0,2091095700000.0,912877940000.0
2099.0,2812082000000.0,3514637700000.0,3432103000000.0,2582550000000.0,4385461800000.0,3659820000000.0,1961667600000.0,3269618300000.0,2007129100000.0,856824200000.0
2100.0,2745480800000.0,3444702200000.0,3341595200000.0,2509218500000.0,4308118800000.0,3576683300000.0,1890076300000.0,3180630600000.0,1927215000000.0,801253800000.0
