time,CCSM4,GISS-E2-R,GFDL-ESM2G,CSIRO-MK3-6-0,CESM1-CAM5,NORESM1-M,GFDL-CM3,IPSL-CM5A-LR
2030.0,7816509700000.0,7912294400000.0,7848209000000.0,7851786400000.0,7487014000000.0,7750873000000.0,7508564400000.0,7680412000000.0
2031.0,7794969000000.0,7881014000000.0,7818261300000.0,7816078700000.0,7401200000000.0,7710377500000.0,7438003600000.0,7638667000000.0
2032.0,7759184500000.0,7860042000000.0,7790582000000.0,7789615000000.0,7336946000000.0,7670544000000.0,7359849000000.0,7579889000000.0
2033.0,7738211400000.0,7824052600000.0,7768313400000.0,7755576400000.0,7264449000000.0,7635141700000.0,7288874000000.0,7517762500000.0
2034.0,7696643000000.0,7784029500000.0,7751293000000.0,7712069000000.0,7188488000000.0,7596156000000.0,7210325000000.0,7472212300000.0
2035.0,7658246000000.0,7767412000000.0,7733357000000.0,7668932000000.0,7106288000000.0,7546249000000.0,7138345000000.0,7412590000000.0
2036.0,7625728600000.0,7749242500000.0,7711150300000.0,7634950000000.0,7037394600000.0,7496659400000.0,7041673300000.0,7347658000000.0
2037.0,7584721000000.0,7715275400000.0,7673023600000.0,7606736000000.0,6950608000000.0,7452801000000.0,6943804000000.0,7283212300000.0
2038.0,7568595000000.0,7683378000000.0,7623323000000.0,7572438400000.0,6869511000000.0,7408728400000.0,6872517000000.0,7234963000000.0
2039.0,7524034000000.0,7647543700000.0,7592230000000.0,7549938000000.0,6780010600000.0,7382410000000.0,6781137000000.0,7169562000000.0
2040.0,7491444300000.0,7609605700000.0,7561351000000.0,7505120000000.0,6698704600000.0,7341036000000.0,6710364700000.0,7110602500000.0
2041.0,7466117000000.0,7577539000000.0,7527998700000.0,7465377000000.0,6617763000000.0,7274948500000.0,6630222000000.0,7072752000000.0
2042.0,7416994300000.0,7553465500000.0,7480770000000.0,7427975500000.0,6544301000000.0,7230825400000.0,6545409000000.0,7026171000000.0
2043.0,7381362000000.0,7529180000000.0,7445039500000.0,7387707000000.0,6459083500000.0,7176447300000.0,6468372000000.0,6972235000000.0
2044.0,7338528300000.0,7487382000000.0,7414540000000.0,7340247000000.0,6380801000000.0,7122100000000.0,6392167500000.0,6933781700000.0
2045.0,7287004000000.0,7438951500000.0,7386066000000.0,7292967000000.0,6295415000000.0,7072596000000.0,6308610000000.0,6882057500000.0
2046.0,7233681000000.0,7411703000000.0,7363362300000.0,7245739300000.0,6208026600000.0,7010692000000.0,6224300000000.0,6825533500000.0
2047.0,7206324400000.0,7358347500000.0,7346346500000.0,7218459000000.0,6099866000000.0,6951903700000.0,6162294500000.0,6780470000000.0
2048.0,7158662000000.0,7325815400000.0,7325775600000.0,7173014000000.0,5999876400000.0,6889888300000.0,6076606000000.0,6714258000000.0
2049.0,7103012400000.0,7274171500000.0,7305451500000.0,7138849600000.0,5918483000000.0,6843260000000.0,5994923000000.0,6645669700000.0
2050.0,7045598700000.0,7239672000000.0,7273250000000.0,7092539000000.0,5832296000000.0,6797193600000.0,5920105400000.0,6578967000000.0
2051.0,7006869000000.0,7191205000000.0,7230425400000.0,7063155000000.0,5724775000000.0,6755224000000.0,5831595700000.0,6520945000000.0
2052.0,6948692400000.0,7148810000000.0,7202278500000.0,7019110600000.0,5621687500000.0,6700482400000.0,5746343300000.0,6447305300000.0
2053.0,6881993000000.0,7110171000000.0,7152118300000.0,6972842700000.0,5523274500000.0,6642131000000.0,5656517000000.0,6398061000000.0
2054.0,6805592000000.0,7077437600000.0,7129161000000.0,6928381500000.0,5444608000000.0,6589089600000.0,5572830700000.0,6329014000000.0
2055.0,6761365400000.0,7043235700000.0,7083823500000.0,6885581000000.0,5359737500000.0,6528669600000.0,5489389000000.0,6273028000000.0
2056.0,6703411000000.0,7013219000000.0,7056019400000.0,6842075300000.0,5262168600000.0,6465531000000.0,5395182000000.0,6193764000000.0
2057.0,6641758000000.0,6981202000000.0,7035399000000.0,6801581400000.0,5164808000000.0,6392794600000.0,5306189300000.0,6137206300000.0
2058.0,6594773000000.0,6937934600000.0,6998429000000.0,6754936600000.0,5101078400000.0,6327004000000.0,5219330600000.0,6052652000000.0
2059.0,6538879600000.0,6903140000000.0,6967970500000.0,6708030600000.0,5012190700000.0,6270817400000.0,5124966000000.0,5994025000000.0
2060.0,6476589000000.0,6859295600000.0,6946953400000.0,6679479000000.0,4919385000000.0,6200271000000.0,5032149000000.0,5913423000000.0
2061.0,6424697500000.0,6795227600000.0,6915038000000.0,6644695600000.0,4831989700000.0,6124776500000.0,4943448000000.0,5834121700000.0
2062.0,6356109600000.0,6759775700000.0,6865585400000.0,6610750500000.0,4734438000000.0,6050479600000.0,4856545000000.0,5750555000000.0
2063.0,6289393000000.0,6722629400000.0,6813053000000.0,6581460000000.0,4648281300000.0,5977073000000.0,4758789000000.0,5669759500000.0
2064.0,6246279000000.0,6688444000000.0,6770124000000.0,6535789400000.0,4562654000000.0,5903471000000.0,4663699600000.0,5581339000000.0
2065.0,6196086000000.0,6660211300000.0,6726793300000.0,6501717000000.0,4475213300000.0,5826894400000.0,4552021500000.0,5513670600000.0
2066.0,6123259000000.0,6624663000000.0,6696673000000.0,6445966300000.0,4379882300000.0,5744667000000.0,4469964000000.0,5438231000000.0
2067.0,6064633300000.0,6583723500000.0,6662162000000.0,6392379300000.0,4274677600000.0,5668222000000.0,4375031300000.0,5380073600000.0
2068.0,6015442000000.0,6538549300000.0,6621799400000.0,6353569000000.0,4177122300000.0,5593324600000.0,4277741300000.0,5329240700000.0
2069.0,5968819000000.0,6494032500000.0,6574378600000.0,6310295000000.0,4090254900000.0,5529276500000.0,4192331600000.0,5255190300000.0
2070.0,5918522000000.0,6428532700000.0,6524028600000.0,6262346000000.0,3991814800000.0,5467310000000.0,4100897400000.0,5182145400000.0
2071.0,5871457300000.0,6378704300000.0,6475201600000.0,6229044000000.0,3895598000000.0,5374839000000.0,4019001500000.0,5119522000000.0
2072.0,5812406700000.0,6321650000000.0,6435807700000.0,6187439400000.0,3808320000000.0,5284252600000.0,3909708200000.0,5049214000000.0
2073.0,5773396000000.0,6278842000000.0,6395891500000.0,6150314500000.0,3731635000000.0,5208413000000.0,3809163300000.0,4965978300000.0
2074.0,5731678400000.0,6231071000000.0,6342473000000.0,6106949000000.0,3650379300000.0,5137496500000.0,3715739200000.0,4906299700000.0
2075.0,5683723400000.0,6182513000000.0,6290906000000.0,6039842300000.0,3559563500000.0,5052720000000.0,3618127200000.0,4833469000000.0
2076.0,5627180500000.0,6144738700000.0,6251104700000.0,5986994000000.0,3481433500000.0,4958834400000.0,3530691200000.0,4773143000000.0
2077.0,5552429600000.0,6088099000000.0,6211425000000.0,5948227000000.0,3416026500000.0,4869524000000.0,3433275000000.0,4728832400000.0
2078.0,5484873000000.0,6032074000000.0,6169922400000.0,5891644500000.0,3332168000000.0,4787725700000.0,3334213700000.0,4669738300000.0
2079.0,5430494400000.0,5990982400000.0,6130170000000.0,5848026300000.0,3248212100000.0,4709955400000.0,3243500400000.0,4594704300000.0
2080.0,5386988000000.0,5936182700000.0,6106901000000.0,5794651700000.0,3163316300000.0,4613006000000.0,3163127500000.0,4525886000000.0
2081.0,5331325000000.0,5888375500000.0,6072259600000.0,5723779000000.0,3086492000000.0,4523715000000.0,3066379400000.0,4454648000000.0
2082.0,5284617000000.0,5843542000000.0,6021225000000.0,5666140300000.0,3015674400000.0,4425408600000.0,2977280600000.0,4382946200000.0
2083.0,5227427000000.0,5797621000000.0,5982027500000.0,5609147000000.0,2935310000000.0,4327913800000.0,2884155000000.0,4300284600000.0
2084.0,5159010000000.0,5767453700000.0,5953900000000.0,5554595400000.0,2859432700000.0,4244050300000.0,2794424000000.0,4225814200000.0
2085.0,5090760500000.0,5719199300000.0,5918076400000.0,5498691000000.0,2785837800000.0,4161949400000.0,2711096000000.0,4160308000000.0
2086.0,5032914000000.0,5690568500000.0,5867446500000.0,5442574000000.0,2709572800000.0,4070176500000.0,2623093300000.0,4088006700000.0
2087.0,4978629400000.0,5650046000000.0,5821479500000.0,5387628000000.0,2639685000000.0,3991337400000.0,2535170800000.0,4011905800000.0
2088.0,4927343600000.0,5589168000000.0,5777800600000.0,5326857000000.0,2559207500000.0,3913054700000.0,2452175700000.0,3930864000000.0
2089.0,4879779600000.0,5538292700000.0,5728735600000.0,5259807700000.0,2485250000000.0,3841882300000.0,2375670000000.0,3859300700000.0
2090.0,4831119000000.0,5474054300000.0,5676726000000.0,5209288000000.0,2409610000000.0,3753109000000.0,2303209000000.0,3790936200000.0
2091.0,4762559000000.0,5431184000000.0,5620971300000.0,5153757000000.0,2331226400000.0,3653865800000.0,2223939500000.0,3714243600000.0
2092.0,4696093000000.0,5386011700000.0,5584142700000.0,5098209000000.0,2265687300000.0,3572947700000.0,2149169500000.0,3630408000000.0
2093.0,4636983000000.0,5323842700000.0,5538721600000.0,5051312500000.0,2192320600000.0,3499609000000.0,2076941000000.0,3553678300000.0
2094.0,4584516400000.0,5271840000000.0,5507114300000.0,4987026400000.0,2122672000000.0,3416466400000.0,2008148500000.0,3483602500000.0
2095.0,4518238500000.0,5230589000000.0,5469191500000.0,4934066500000.0,2055457500000.0,3344291000000.0,1944457800000.0,3426310200000.0
2096.0,4457235000000.0,5191838500000.0,5426592600000.0,4873582000000.0,1993427500000.0,3255118000000.0,1879461700000.0,3367544600000.0
2097.0,4388019000000.0,5144631000000.0,5386773000000.0,4808201700000.0,1930856600000.0,3162754500000.0,1812745300000.0,3301830300000.0
2098.0,4347089000000.0,5089362000000.0,5353178700000.0,4733059000000.0,1862543500000.0,3081953600000.0,1744567100000.0,3238598300000.0
2099.0,4282051000000.0,5052393600000.0,5305377000000.0,4668849700000.0,1797818700000.0,3012749700000.0,1685001200000.0,3180131000000.0
2100.0,4226523900000.0,5014443000000.0,5264234000000.0,4602249300000.0,1732516900000.0,2930543200000.0,1622194500000.0,3114375000000.0
