time,INM-CM5-0,INM-CM4-8,EC-EARTH3,CESM2,EC-EARTH3-VEG,NORESM2-MM,FGOALS-F3-L,BCC-CSM2-MR,GFDL-ESM4,CESM2-WACCM,CAMS-CSM1-0,MPI-ESM1-2-HR,MRI-ESM2-0
2016.0,1142571400.0,1142571400.0,1142571400.0,1142571400.0,1142571400.0,1142571400.0,1142571400.0,1142571400.0,1142571400.0,1142571400.0,1142571400.0,1142571400.0,1142571400.0
2017.0,1132948900.0,1132948900.0,1132948900.0,1132948900.0,1132948900.0,1132948900.0,1132948900.0,1132948900.0,1132948900.0,1132948900.0,1132948900.0,1132948900.0,1132948900.0
2018.0,1124039700.0,1124039700.0,1124039700.0,1124039700.0,1124039700.0,1124039700.0,1124039700.0,1124039700.0,1124039700.0,1124039700.0,1124039700.0,1124039700.0,1124039700.0
2019.0,1111335000.0,1111335000.0,1111335000.0,1111335000.0,1111335000.0,1111335000.0,1111335000.0,1111335000.0,1111335000.0,1111335000.0,1111335000.0,1111335000.0,1111335000.0
2020.0,1101499800.0,1101499800.0,1101499800.0,1101499800.0,1101499800.0,1101499800.0,1101499800.0,1101499800.0,1101499800.0,1101499800.0,1101499800.0,1101499800.0,1101499800.0
2021.0,1085293400.0,1090428300.0,1092967700.0,1091562500.0,1105416100.0,1090043000.0,1101874700.0,1111094000.0,1089592800.0,1084474000.0,1104671700.0,1085968400.0,1082696700.0
2022.0,1074315800.0,1082029400.0,1094761500.0,1088751000.0,1101430100.0,1076855900.0,1085118500.0,1078890600.0,1087817200.0,1074291000.0,1088222200.0,1060898300.0,1070140800.0
2023.0,1080660400.0,1079690900.0,1109398500.0,1080926600.0,1082402000.0,1059987260.0,1069473700.0,1061997200.0,1078479200.0,1067504700.0,1086254600.0,1045601700.0,1061870340.0
2024.0,1071081900.0,1065055500.0,1128793700.0,1067652740.0,1073665660.0,1049753860.0,1083601900.0,1046144200.0,1066506430.0,1050325400.0,1072447740.0,1028708400.0,1070243460.0
2025.0,1054906000.0,1054086850.0,1067544400.0,1066267970.0,1058261000.0,1048804100.0,1048223170.0,1030668740.0,1056971800.0,1034601400.0,1062591900.0,1011079400.0,1054954940.0
2026.0,1037201500.0,1045109900.0,1054760640.0,1054289500.0,1048394100.0,1047310000.0,1032719940.0,1020810940.0,1056611840.0,1030044100.0,1045572200.0,1009563800.0,1050521860.0
2027.0,1022513800.0,1035171260.0,1047337000.0,1056021100.0,1032008500.0,1055796500.0,1026090400.0,1046886500.0,1040045200.0,1014935360.0,1037633000.0,1024574850.0,1090608500.0
2028.0,1012792500.0,1032059200.0,1033452400.0,1038179500.0,1012855700.0,1167836900.0,1015001400.0,1009773000.0,1029115840.0,1003726300.0,1028413950.0,988068800.0,1068542600.0
2029.0,987380500.0,1019981000.0,1012682400.0,1026420000.0,1003659300.0,1094424400.0,994358100.0,987415800.0,1017356350.0,996243400.0,1121046500.0,973240260.0,1044714940.0
2030.0,974925500.0,1004409000.0,1005733600.0,1016613950.0,997237800.0,1054888100.0,978482200.0,978453570.0,1045555100.0,971073200.0,1097319300.0,954817200.0,1068536960.0
2031.0,963181100.0,1006473400.0,992964400.0,1000391400.0,979887200.0,1031164900.0,966671170.0,1002863100.0,1035190850.0,958164030.0,1199220700.0,949801400.0,1038938000.0
2032.0,943552640.0,993950660.0,978608450.0,978829900.0,981166600.0,1073258560.0,935957800.0,1020171200.0,1013841860.0,949487170.0,1085007600.0,932587140.0,1052447600.0
2033.0,925375940.0,983750200.0,975561660.0,970943300.0,972431360.0,1056224500.0,914473150.0,1015301700.0,1001932740.0,933259840.0,1050594500.0,917024450.0,1065390460.0
2034.0,908351800.0,978074000.0,965481500.0,964670460.0,964009200.0,1032950800.0,902636540.0,977210100.0,996137300.0,926868860.0,1036151360.0,901654400.0,1034261570.0
2035.0,891725300.0,967256800.0,938798660.0,954881100.0,949947260.0,1029819900.0,874288640.0,955327940.0,989195800.0,924358700.0,1041258050.0,877581900.0,1021126400.0
2036.0,877230600.0,959702000.0,900870600.0,937901600.0,934852200.0,1022822850.0,868786560.0,949458300.0,978601100.0,903626430.0,1026434900.0,868243140.0,1020915300.0
2037.0,861185660.0,945244900.0,877504900.0,915109440.0,927684740.0,1016389700.0,837797600.0,933915460.0,966529000.0,899126000.0,1015427500.0,849677200.0,1025848600.0
2038.0,843688260.0,936040060.0,862320600.0,900369300.0,915077440.0,1022426700.0,804199500.0,918722000.0,966798850.0,895288300.0,998400830.0,903964800.0,1015759360.0
2039.0,828186200.0,926792600.0,860781500.0,885563900.0,899915460.0,1009318200.0,815376640.0,896907600.0,976016300.0,878387300.0,991951100.0,846437400.0,1003984060.0
2040.0,812269600.0,919273150.0,843615700.0,864299200.0,885142200.0,1001908100.0,767470850.0,886953800.0,954248770.0,864973760.0,979665100.0,839672200.0,996759360.0
2041.0,801189800.0,920525060.0,817409600.0,849319400.0,864666200.0,996820300.0,746543000.0,878107200.0,946111170.0,931798600.0,968329860.0,831901630.0,989389060.0
2042.0,781370940.0,912074700.0,786841340.0,837566000.0,847629700.0,991939700.0,720254140.0,863228860.0,982440200.0,866615740.0,961557000.0,810392770.0,1009014500.0
2043.0,762468200.0,900668860.0,765888900.0,818219300.0,836937300.0,984103360.0,702618560.0,891465100.0,939369540.0,855739300.0,949704300.0,796314300.0,984343230.0
2044.0,751831800.0,917952500.0,768436300.0,804497340.0,829467100.0,969454600.0,669051300.0,843638700.0,931606900.0,842349300.0,960480640.0,782507100.0,968021600.0
2045.0,739753540.0,884127360.0,730242500.0,776513340.0,808381600.0,957903400.0,648884400.0,829461760.0,929458700.0,832151600.0,937416000.0,781140740.0,943391360.0
2046.0,727786940.0,871058750.0,716485760.0,757676200.0,819852540.0,946737500.0,644265660.0,810630850.0,925551740.0,821468000.0,925892700.0,757286000.0,920069200.0
2047.0,715683600.0,862273660.0,743478800.0,743971650.0,792389400.0,936656700.0,624619300.0,796308740.0,917310140.0,813778900.0,907712600.0,755928770.0,905856060.0
2048.0,704121200.0,851717200.0,703631740.0,723115140.0,791173250.0,981506940.0,604427900.0,790086300.0,964347140.0,797308300.0,887687300.0,741680450.0,893376260.0
2049.0,685953800.0,839511300.0,680731600.0,710026050.0,782232450.0,926035100.0,600111550.0,812903550.0,917734400.0,786591600.0,867126700.0,723250100.0,880425700.0
2050.0,688030500.0,830010750.0,689064000.0,700530300.0,770407940.0,905772400.0,582168600.0,767453000.0,908340740.0,778493100.0,849112960.0,709392500.0,855600500.0
2051.0,676816300.0,816673200.0,674761540.0,685167700.0,751583940.0,901619200.0,567179970.0,752040800.0,899382000.0,759272100.0,833563400.0,695782140.0,834906940.0
2052.0,669686500.0,808118460.0,653513540.0,661229200.0,735412100.0,903530400.0,548263800.0,737039000.0,904981200.0,749973950.0,835273300.0,688527500.0,825849600.0
2053.0,656041600.0,798746560.0,646007040.0,645556740.0,714821600.0,872390300.0,537925440.0,719025860.0,885754400.0,752393900.0,811150900.0,683922940.0,810695600.0
2054.0,648079360.0,779572350.0,650192060.0,633760830.0,704693060.0,866257340.0,525997020.0,694592500.0,882909700.0,730432900.0,794486200.0,667281860.0,802393700.0
2055.0,634158340.0,770125100.0,621491900.0,616926400.0,691461600.0,840945340.0,517754620.0,679528600.0,879470300.0,706191800.0,786542600.0,654566100.0,797181250.0
2056.0,620296700.0,757901000.0,611566340.0,603683650.0,682830600.0,856877060.0,504209730.0,662224100.0,873024960.0,687807900.0,777520450.0,639279400.0,767616830.0
2057.0,611298240.0,746936000.0,602396160.0,584216200.0,671482200.0,830738600.0,489925730.0,648789200.0,863035400.0,665593200.0,756934850.0,624542200.0,766507200.0
2058.0,652446100.0,743595140.0,598577300.0,568747140.0,656184200.0,833172500.0,476507740.0,639152960.0,857658800.0,641276400.0,742666240.0,608611100.0,793414300.0
2059.0,606703200.0,729964100.0,595328260.0,559552500.0,642686500.0,815749060.0,469649400.0,622788500.0,849284100.0,631286460.0,732337340.0,593859000.0,758358140.0
2060.0,621305000.0,721312640.0,579856900.0,549978800.0,629969400.0,801069500.0,457933300.0,612954000.0,831253400.0,616735040.0,719191740.0,574119400.0,734208260.0
2061.0,643336800.0,709593150.0,570422660.0,535192420.0,633524800.0,785954750.0,448974880.0,616891200.0,817039500.0,591816400.0,721043000.0,554376500.0,718244600.0
2062.0,604288400.0,702462100.0,563091140.0,527543100.0,611154750.0,813715900.0,441553920.0,608977100.0,805968400.0,568831040.0,703403500.0,530015070.0,699819900.0
2063.0,594313340.0,690756200.0,571134900.0,514621760.0,601298200.0,769784600.0,431914000.0,592581200.0,791532200.0,544209100.0,692839940.0,515617700.0,685650900.0
2064.0,594390600.0,675898050.0,551737600.0,496132860.0,606807200.0,753244500.0,421309820.0,576025400.0,774695700.0,518605060.0,670852700.0,506989600.0,668963650.0
2065.0,582815040.0,658760600.0,545915100.0,482776030.0,588266300.0,746335100.0,408482600.0,556308900.0,770651900.0,500072030.0,656084400.0,482270430.0,656705600.0
2066.0,579825340.0,647202100.0,540437100.0,472048400.0,587091900.0,794053200.0,400130700.0,541845400.0,754119600.0,489061250.0,644782700.0,470952960.0,639488960.0
2067.0,572136400.0,633210900.0,532514940.0,463748900.0,575068500.0,741183000.0,393013000.0,526024700.0,737148700.0,475681300.0,626841600.0,455013760.0,620814850.0
2068.0,564655000.0,620435200.0,526599650.0,452529760.0,565651800.0,724751040.0,382997900.0,511543740.0,714471100.0,462025150.0,624764350.0,453517700.0,629582460.0
2069.0,561170100.0,611701060.0,517021540.0,446063000.0,568556740.0,708603500.0,372496060.0,497660030.0,710947500.0,448239200.0,652991550.0,440062270.0,604816450.0
2070.0,562226500.0,598483900.0,539424450.0,439649540.0,552220500.0,694052860.0,362238750.0,485805100.0,693306100.0,445741470.0,609614340.0,426041500.0,593476030.0
2071.0,554230660.0,587479040.0,514662880.0,429158620.0,543360700.0,682932540.0,352294880.0,478555300.0,677742900.0,432982340.0,593703500.0,411522880.0,580552200.0
2072.0,555878200.0,576676900.0,535326100.0,414398850.0,532760200.0,665915900.0,347527900.0,468837980.0,654813700.0,421621660.0,582978600.0,400503550.0,562147460.0
2073.0,548968500.0,567010800.0,499839800.0,399927300.0,544149060.0,657040900.0,341233900.0,459825300.0,646528600.0,403034000.0,608475650.0,387347230.0,551278660.0
2074.0,547315200.0,556794200.0,496366750.0,389552860.0,524519580.0,652636200.0,333498600.0,451346720.0,643688060.0,397547500.0,602066900.0,373749980.0,524510720.0
2075.0,558722300.0,548976200.0,492754900.0,377489100.0,517722180.0,632738200.0,327349570.0,441518850.0,629915300.0,390246980.0,615820500.0,366284800.0,603084500.0
2076.0,543551900.0,541442100.0,492451330.0,370921630.0,514502270.0,621476500.0,321476540.0,432804000.0,610809150.0,383540160.0,570896450.0,349431330.0,512652740.0
2077.0,537945540.0,529763800.0,482502530.0,362897120.0,540252000.0,614819260.0,316993920.0,422667200.0,590126300.0,376758940.0,557020200.0,341766000.0,496986300.0
2078.0,534186340.0,523988640.0,473298530.0,351122850.0,504300640.0,605582100.0,310392000.0,411244740.0,576794750.0,370338660.0,552047600.0,332484500.0,483275840.0
2079.0,527415840.0,520459040.0,468071200.0,341566700.0,496734080.0,583336260.0,299550940.0,400220930.0,562559300.0,369683650.0,541622000.0,323768700.0,475628100.0
2080.0,524450800.0,523578140.0,458186750.0,333004580.0,489201120.0,571162000.0,295686980.0,389056100.0,547915460.0,354205980.0,545421950.0,320236770.0,464294660.0
2081.0,516033470.0,513278100.0,446919330.0,321999840.0,492337120.0,555584200.0,291424770.0,377585380.0,532893860.0,347360800.0,531960100.0,310096600.0,454201860.0
2082.0,511421630.0,505310900.0,440360860.0,317937250.0,472209180.0,543117950.0,282666700.0,364823360.0,519996580.0,347464320.0,522628380.0,304331500.0,441224740.0
2083.0,504185500.0,534747840.0,436548740.0,305907200.0,461635600.0,535813220.0,275195230.0,356849760.0,507163500.0,337966240.0,518287230.0,297340200.0,441604540.0
2084.0,498597150.0,513901440.0,455665300.0,300084480.0,450989540.0,526220700.0,268990400.0,350497380.0,490806800.0,330867260.0,513698500.0,294025660.0,430213600.0
2085.0,489102240.0,506657630.0,430040640.0,291213200.0,438267970.0,520036900.0,264310720.0,339941380.0,478196770.0,324757700.0,501919580.0,280624700.0,420452540.0
2086.0,482253540.0,518518800.0,418780900.0,285045600.0,421802900.0,509219870.0,258178720.0,328040220.0,470204540.0,316804700.0,493645000.0,271746800.0,411704100.0
2087.0,474158430.0,496206050.0,407003300.0,273263520.0,406909730.0,505317470.0,261917460.0,318103870.0,459270270.0,308032450.0,489401730.0,261866260.0,402018300.0
2088.0,464164800.0,492483360.0,398248030.0,267374600.0,393532670.0,490418660.0,253845470.0,306427100.0,446006430.0,300809820.0,485509950.0,250837800.0,392902080.0
2089.0,458157700.0,486610430.0,388061630.0,260526530.0,412043400.0,494821500.0,249839460.0,301892640.0,439113060.0,298237470.0,480479580.0,244818660.0,382442080.0
2090.0,448524860.0,480921300.0,376122500.0,255025340.0,379983740.0,483104900.0,246246990.0,299571700.0,428915100.0,292985500.0,468212380.0,238858600.0,376224160.0
2091.0,438985820.0,475750240.0,364888060.0,248708720.0,370703520.0,470413900.0,238447410.0,287913630.0,411850430.0,288341200.0,456778530.0,229908660.0,366712030.0
2092.0,431404350.0,471250180.0,351618080.0,241817120.0,350107680.0,462838900.0,232541940.0,277670700.0,400092670.0,281396200.0,450479100.0,223629900.0,361405900.0
2093.0,418989100.0,467515000.0,342730340.0,235356660.0,334452130.0,466569180.0,228051400.0,266322830.0,389100670.0,272114850.0,439221920.0,218375150.0,353542430.0
2094.0,413669380.0,463637120.0,335449900.0,224972600.0,322024640.0,455362880.0,222248780.0,261024620.0,380439900.0,264022370.0,429606700.0,207693630.0,342956030.0
2095.0,402761700.0,457680580.0,324893060.0,214174850.0,312616220.0,449924400.0,219043870.0,256383090.0,368360030.0,257811570.0,430620640.0,202885730.0,335154660.0
2096.0,396283940.0,449453000.0,315894460.0,205619500.0,305026500.0,444404300.0,216266380.0,251046290.0,355458200.0,246702110.0,415272600.0,262192530.0,328821980.0
2097.0,390150850.0,440471100.0,301841760.0,196105100.0,292944480.0,435769300.0,211084180.0,247834400.0,345648420.0,235249540.0,410087170.0,210911150.0,317779840.0
2098.0,385079420.0,428428930.0,288494200.0,188179070.0,284573730.0,430881570.0,208489940.0,243438430.0,335855100.0,227486140.0,402184700.0,198948240.0,311427780.0
2099.0,380089020.0,421699400.0,281146050.0,183094320.0,275268670.0,428609920.0,207062220.0,238894180.0,325629820.0,238791890.0,394358800.0,192188160.0,300010430.0
2100.0,371318980.0,413927780.0,270831840.0,172966320.0,268311860.0,424124100.0,203991140.0,237633360.0,319991040.0,214921180.0,383678500.0,185747020.0,290674560.0
