time,MPI-ESM-LR,CESM1-CAM5,CANESM2
2223.0,307089900000.0,55697900000.0,151067800000.0
2224.0,307699900000.0,55865623000.0,150125990000.0
2225.0,305622940000.0,55545786000.0,151309220000.0
2226.0,305282060000.0,56851984000.0,150895170000.0
2227.0,307849760000.0,56083497000.0,150437580000.0
2228.0,308241500000.0,56061950000.0,151309630000.0
2229.0,308150470000.0,58259900000.0,151059740000.0
2230.0,308227900000.0,59078870000.0,150376480000.0
2231.0,306216400000.0,58640460000.0,150726590000.0
2232.0,302500050000.0,57922920000.0,153155450000.0
2233.0,302196650000.0,58123310000.0,151343840000.0
2234.0,301774860000.0,58426850000.0,152553600000.0
2235.0,304390470000.0,59196200000.0,153181220000.0
2236.0,307821120000.0,59308216000.0,150967200000.0
2237.0,312926960000.0,60464255000.0,150275920000.0
2238.0,313232520000.0,60504257000.0,150935300000.0
2239.0,313195920000.0,61461836000.0,151897130000.0
2240.0,319661440000.0,61973080000.0,156172850000.0
2241.0,326663180000.0,62390390000.0,154312410000.0
2242.0,327852100000.0,64266318000.0,155354220000.0
2243.0,329957540000.0,65405534000.0,156008960000.0
2244.0,336171630000.0,65535955000.0,157670770000.0
2245.0,337552000000.0,65284020000.0,156242070000.0
2246.0,343545580000.0,64592560000.0,156541570000.0
2247.0,342768780000.0,64828785000.0,157015590000.0
2248.0,344447220000.0,65636733000.0,156254060000.0
2249.0,345068570000.0,66686460000.0,155616600000.0
2250.0,348183040000.0,67097113000.0,154968010000.0
2251.0,345226800000.0,68590680000.0,151441640000.0
2252.0,350477780000.0,67903304000.0,150805090000.0
2253.0,351533470000.0,68556685000.0,151805940000.0
2254.0,353314600000.0,67599462000.0,152125060000.0
2255.0,357031770000.0,67504763000.0,148179680000.0
2256.0,360067700000.0,67822195000.0,147587740000.0
2257.0,358142870000.0,67432698000.0,147917720000.0
2258.0,358965200000.0,67602633000.0,151301720000.0
2259.0,359802440000.0,68536635000.0,154376060000.0
2260.0,358514030000.0,69145895000.0,153854510000.0
2261.0,357173200000.0,69244090000.0,153372360000.0
2262.0,364256850000.0,70092460000.0,153187300000.0
2263.0,375837750000.0,69434840000.0,153021680000.0
2264.0,375323130000.0,69930476000.0,157187210000.0
2265.0,379859270000.0,72255100000.0,161586100000.0
2266.0,381806400000.0,73721430000.0,158706960000.0
2267.0,382075760000.0,74514210000.0,159563370000.0
2268.0,382807700000.0,75295970000.0,160596970000.0
2269.0,391282130000.0,74176750000.0,162931130000.0
2270.0,394090770000.0,75514760000.0,163389080000.0
2271.0,393830860000.0,75641364000.0,162760310000.0
2272.0,389760400000.0,76896860000.0,164000890000.0
2273.0,391874580000.0,77088480000.0,166088180000.0
2274.0,391855730000.0,77817184000.0,166125490000.0
2275.0,389378640000.0,78640840000.0,167159990000.0
2276.0,387615950000.0,78258310000.0,169842800000.0
2277.0,389523500000.0,78520370000.0,173602820000.0
2278.0,391268340000.0,78709555000.0,171529320000.0
2279.0,393384720000.0,79312740000.0,170870160000.0
2280.0,390305580000.0,81587570000.0,171653040000.0
2281.0,384842100000.0,85027600000.0,172199230000.0
2282.0,380605530000.0,85294105000.0,173004880000.0
2283.0,372759330000.0,83952210000.0,172839570000.0
2284.0,373174400000.0,82826080000.0,172914900000.0
2285.0,377318870000.0,83486890000.0,172076350000.0
2286.0,378211630000.0,86072490000.0,172593280000.0
2287.0,382016750000.0,84902170000.0,171313970000.0
2288.0,379448330000.0,84178340000.0,173052530000.0
2289.0,377266470000.0,85495830000.0,170240920000.0
2290.0,382107980000.0,86469290000.0,173329940000.0
2291.0,384467270000.0,86092170000.0,172528480000.0
2292.0,382854920000.0,85900330000.0,171910430000.0
2293.0,384490340000.0,84956550000.0,174137590000.0
2294.0,382805700000.0,85706180000.0,175747120000.0
2295.0,380726600000.0,83814300000.0,180085600000.0
2296.0,381301620000.0,84858850000.0,183463900000.0
2297.0,382391700000.0,86528330000.0,182416340000.0
2298.0,376088040000.0,87404790000.0,182202320000.0
2299.0,378722000000.0,86699930000.0,183543550000.0
2300.0,381126800000.0,87025320000.0,186238940000.0
