time,CANESM5,MRI-ESM2-0,CNRM-ESM2-1,UKESM1-0-LL,IPSL-CM6A-LR
2025.0,92038510000.0,87469810000.0,94180010000.0,87920160000.0,93386334000.0
2026.0,89107040000.0,83080675000.0,91200730000.0,84974760000.0,90534440000.0
2027.0,86578710000.0,79007460000.0,89233570000.0,79539765000.0,88233190000.0
2028.0,83857400000.0,75768770000.0,88394820000.0,76465770000.0,84636510000.0
2029.0,80381840000.0,71600095000.0,86903030000.0,72123400000.0,81862570000.0
2030.0,76696720000.0,69248700000.0,85895045000.0,68679856000.0,79146750000.0
2031.0,73257820000.0,66341695000.0,84087140000.0,63902930000.0,77063030000.0
2032.0,69723780000.0,62255776000.0,80836690000.0,59753020000.0,75799675000.0
2033.0,66172473000.0,59198150000.0,78514400000.0,56829240000.0,72950870000.0
2034.0,63049847000.0,56462623000.0,76673350000.0,53350466000.0,69321470000.0
2035.0,61136130000.0,53656600000.0,73856810000.0,49999536000.0,65663880000.0
2036.0,59056652000.0,52123240000.0,71752740000.0,46825500000.0,63536860000.0
2037.0,55361626000.0,49869660000.0,69352330000.0,43391520000.0,61543543000.0
2038.0,52123280000.0,46361174000.0,67323430000.0,40412330000.0,59897598000.0
2039.0,50131284000.0,43010570000.0,64961740000.0,38540603000.0,57340396000.0
2040.0,47358620000.0,40959357000.0,62186164000.0,35097194000.0,54393127000.0
2041.0,44466246000.0,38912004000.0,61442100000.0,32430692000.0,51562400000.0
2042.0,41863283000.0,36099310000.0,59078492000.0,30271625000.0,49619020000.0
2043.0,39115444000.0,33989149000.0,56334107000.0,27827726000.0,46922387000.0
2044.0,36423900000.0,32606228000.0,53472730000.0,25540549000.0,44945367000.0
2045.0,34392834000.0,30762238000.0,52491534000.0,23912446000.0,41841740000.0
2046.0,32309959000.0,29297934000.0,50635444000.0,22413820000.0,39450042000.0
2047.0,30352167000.0,28479728000.0,49028186000.0,20984640000.0,37486140000.0
2048.0,28568660000.0,27404350000.0,47264408000.0,19328713000.0,35718877000.0
2049.0,27216150000.0,26295919000.0,45057606000.0,17724092000.0,33575705000.0
2050.0,25351268000.0,25126531000.0,43315820000.0,16317190000.0,31999545000.0
2051.0,23733207000.0,23876194000.0,42349460000.0,14949345000.0,30000613000.0
2052.0,22815064000.0,23233642000.0,40277590000.0,14004272000.0,28436146000.0
2053.0,21627230000.0,22483206000.0,38560640000.0,13055917000.0,27253629000.0
2054.0,20280418000.0,21638300000.0,36751696000.0,12525981000.0,25951201000.0
2055.0,19717040000.0,20588005000.0,35284464000.0,12128477000.0,24269664000.0
2056.0,18375838000.0,20164740000.0,33861153000.0,11541206000.0,23178715000.0
2057.0,17703088000.0,19622720000.0,32976770000.0,11093948000.0,22073446000.0
2058.0,16839824000.0,18658003000.0,32495667000.0,10549841000.0,21154865000.0
2059.0,15854776000.0,18022423000.0,31314250000.0,10148137000.0,20170047000.0
2060.0,15110481000.0,17503392000.0,30413926000.0,9664473000.0,19226270000.0
2061.0,14389134000.0,16878372000.0,29446963000.0,9253378000.0,18668118000.0
2062.0,13730132000.0,16570815000.0,28558470000.0,8638012000.0,17758054000.0
2063.0,13386480000.0,16230415000.0,27732136000.0,8316605400.0,16912158000.0
2064.0,12821988000.0,15939651000.0,26828372000.0,7959706000.0,16377111000.0
2065.0,12167675000.0,15445095000.0,25685324000.0,7739641000.0,15709167000.0
2066.0,11709467000.0,15089774000.0,25912613000.0,7499783700.0,15095608000.0
2067.0,11297930000.0,14828190000.0,25597506000.0,7184652300.0,14545883000.0
2068.0,11115558000.0,14656468000.0,24645292000.0,6971461600.0,13899636000.0
2069.0,10677387000.0,14196066000.0,23739382000.0,6790631400.0,13171159000.0
2070.0,10387487000.0,13970726000.0,23489900000.0,6565210000.0,12629277000.0
2071.0,10185460000.0,13652545000.0,23193360000.0,6388806000.0,12074112000.0
2072.0,10199218000.0,13541319000.0,22497972000.0,6197956000.0,11769068000.0
2073.0,9979714000.0,13319538000.0,22266034000.0,6133767700.0,11480798000.0
2074.0,9943463000.0,13214219000.0,21590860000.0,6072722400.0,11241759000.0
2075.0,9713841000.0,13080003000.0,21007163000.0,5898368000.0,11051944000.0
2076.0,9680358000.0,12895049000.0,20193944000.0,5805092400.0,10842940000.0
2077.0,9595890000.0,12796722000.0,19743377000.0,5760672300.0,10653647000.0
2078.0,9553517000.0,13040808000.0,19105556000.0,5711649000.0,10557309000.0
2079.0,9338789000.0,12837706000.0,18600657000.0,5473469400.0,10365777000.0
2080.0,9258799000.0,12836266000.0,18446932000.0,5307132400.0,10158404000.0
2081.0,9312287000.0,12768517000.0,18036349000.0,5179915000.0,9941282000.0
2082.0,9303660000.0,12726056000.0,17528550000.0,5047940600.0,9937328000.0
2083.0,9267131000.0,12612956000.0,17220580000.0,4923310000.0,9944298000.0
2084.0,9206042000.0,12495924000.0,16973531000.0,4938197500.0,10005542000.0
2085.0,9077758000.0,12466257000.0,16861936000.0,4893381000.0,9945872000.0
2086.0,9147970000.0,12504979000.0,16175277000.0,4874162000.0,9955473000.0
2087.0,9111264000.0,12543158000.0,15679807000.0,4810923000.0,10043066000.0
2088.0,9084295000.0,12612862000.0,15501237000.0,4738753500.0,10033056000.0
2089.0,9062345000.0,12580805000.0,15230856000.0,4671577600.0,9971142000.0
2090.0,9076702000.0,12661077000.0,15384515000.0,4588878300.0,9920766000.0
2091.0,8952487000.0,12719414000.0,15223190000.0,4631585000.0,9896674000.0
2092.0,8915908000.0,12755105000.0,15145364000.0,4616178000.0,9861414000.0
2093.0,8930199000.0,12864910000.0,15070487000.0,4585885000.0,9826700000.0
2094.0,9000960000.0,12990772000.0,15129897000.0,4571747000.0,9819960000.0
2095.0,9023648000.0,13152269000.0,15117540000.0,4554006000.0,9715998000.0
2096.0,8986754000.0,13396669000.0,15144272000.0,4499559000.0,9852373000.0
2097.0,8992706000.0,13660977000.0,15274114000.0,4464556000.0,9836055000.0
2098.0,9015983000.0,13761877000.0,15296490000.0,4524020700.0,9823616000.0
2099.0,9026872000.0,13905175000.0,15143324000.0,4567582700.0,9845638000.0
2100.0,9015181000.0,13901397000.0,15009436000.0,4565413400.0,9957489000.0
