time,CANESM2,MPI-ESM-LR,CESM1-CAM5
2076.0,31301808000.0,38504686000.0,32509130000.0
2077.0,30917935000.0,38045080000.0,31055989000.0
2078.0,30397444000.0,38152460000.0,30352974000.0
2079.0,30549672000.0,37699510000.0,30523236000.0
2080.0,30161100000.0,37303853000.0,31573234000.0
2081.0,30482352000.0,37883770000.0,30201772000.0
2082.0,29845154000.0,39904117000.0,29461287000.0
2083.0,29446207000.0,37683794000.0,29213620000.0
2084.0,29357355000.0,36981776000.0,28843557000.0
2085.0,30781580000.0,36712020000.0,28408746000.0
2086.0,29829284000.0,37711260000.0,28174799000.0
2087.0,28673442000.0,38639845000.0,28655310000.0
2088.0,28804321000.0,38777050000.0,28683203000.0
2089.0,30491814000.0,41329082000.0,27959310000.0
2090.0,28448518000.0,38482305000.0,28795440000.0
2091.0,29815992000.0,37211427000.0,29943357000.0
2092.0,28487203000.0,36988686000.0,30113548000.0
2093.0,29001476000.0,39410893000.0,27732324000.0
2094.0,28865403000.0,37064510000.0,27230018000.0
2095.0,28501922000.0,36794675000.0,29069101000.0
2096.0,36452100000.0,36834066000.0,28308750000.0
2097.0,32057317000.0,38028632000.0,27052110000.0
2098.0,31809835000.0,37274575000.0,26896267000.0
2099.0,29482555000.0,38532910000.0,26936380000.0
2100.0,29727212000.0,36988862000.0,26433892000.0
2101.0,29886685000.0,37509124000.0,26302620000.0
2102.0,28586646000.0,37008710000.0,26442445000.0
2103.0,28757799000.0,37053730000.0,26319616000.0
2104.0,28850838000.0,36611916000.0,26045160000.0
2105.0,30146458000.0,37870070000.0,26070694000.0
2106.0,30470890000.0,40469330000.0,25701038000.0
2107.0,29341553000.0,39115280000.0,27104650000.0
2108.0,28402846000.0,37462810000.0,25571240000.0
2109.0,29868530000.0,38428520000.0,25423374000.0
2110.0,29734429000.0,37489650000.0,26000261000.0
2111.0,28682762000.0,37582010000.0,25257634000.0
2112.0,27938650000.0,38389200000.0,24966939000.0
2113.0,27504960000.0,38282953000.0,25148856000.0
2114.0,27376693000.0,37821743000.0,25083494000.0
2115.0,27420030000.0,39893303000.0,24967227000.0
2116.0,27389948000.0,38237774000.0,25639653000.0
2117.0,27630280000.0,37445710000.0,25966486000.0
2118.0,27123722000.0,37362508000.0,25341186000.0
2119.0,27199930000.0,37262380000.0,26671114000.0
2120.0,27037192000.0,37884867000.0,26813786000.0
2121.0,27149318000.0,39146988000.0,25704840000.0
2122.0,26625591000.0,38926045000.0,24405787000.0
2123.0,27530684000.0,37964190000.0,24201167000.0
2124.0,27740660000.0,37592380000.0,24554050000.0
2125.0,27147203000.0,37426000000.0,24097030000.0
2126.0,27121205000.0,38472660000.0,23928420000.0
2127.0,29309512000.0,38673412000.0,23903263000.0
2128.0,27145410000.0,37340220000.0,23791280000.0
2129.0,27448773000.0,37808410000.0,25179742000.0
2130.0,27256350000.0,40869250000.0,24505633000.0
2131.0,26703938000.0,37869924000.0,24506407000.0
2132.0,26392986000.0,38137754000.0,23862840000.0
2133.0,26654011000.0,37749840000.0,24164504000.0
2134.0,29209805000.0,39392530000.0,24779915000.0
2135.0,28049895000.0,39895183000.0,23699306000.0
2136.0,29028379000.0,38680113000.0,23232745000.0
2137.0,27527710000.0,38890800000.0,23129272000.0
2138.0,26654546000.0,39217580000.0,24493574000.0
2139.0,28387293000.0,38389015000.0,23331381000.0
2140.0,28732097000.0,37728907000.0,23292908000.0
2141.0,27132017000.0,37626850000.0,23145945000.0
2142.0,26506486000.0,37560693000.0,23825666000.0
2143.0,26070330000.0,39154560000.0,23519572000.0
2144.0,26123375000.0,37827530000.0,22994540000.0
2145.0,26939148000.0,37622546000.0,23188152000.0
2146.0,26555843000.0,37989687000.0,23042691000.0
2147.0,26080760000.0,38312997000.0,22995493000.0
2148.0,26490310000.0,39225210000.0,22829795000.0
2149.0,27844745000.0,38260326000.0,22600909000.0
2150.0,26597974000.0,39405650000.0,22888765000.0
2151.0,26058530000.0,38868832000.0,23407700000.0
2152.0,26137858000.0,38289633000.0,23224293000.0
2153.0,26007646000.0,38095730000.0,22609000000.0
2154.0,25838991000.0,37711802000.0,23031116000.0
2155.0,29213310000.0,39499960000.0,23016170000.0
2156.0,26955725000.0,41285652000.0,22838428000.0
2157.0,26214468000.0,40396657000.0,22786298000.0
2158.0,27557077000.0,38803464000.0,22716865000.0
2159.0,25872593000.0,39237825000.0,22420906000.0
2160.0,26503160000.0,39161205000.0,22194022000.0
2161.0,25763630000.0,38505480000.0,22306732000.0
2162.0,25834818000.0,40414626000.0,28380811000.0
2163.0,25473956000.0,40009120000.0,24504000000.0
2164.0,25598466000.0,39141454000.0,23360231000.0
2165.0,25695187000.0,38909153000.0,23301587000.0
2166.0,28211700000.0,38531985000.0,23154020000.0
2167.0,25888535000.0,43928020000.0,22460092000.0
2168.0,25640192000.0,40174244000.0,22124038000.0
2169.0,25882745000.0,40452907000.0,22915090000.0
2170.0,26080800000.0,40151495000.0,22040533000.0
2171.0,26215190000.0,39742500000.0,23855448000.0
2172.0,25458794000.0,39492000000.0,22530664000.0
2173.0,25391698000.0,40182776000.0,23577252000.0
2174.0,26073524000.0,40453132000.0,22628108000.0
2175.0,25245571000.0,39751442000.0,22623010000.0
2176.0,28612477000.0,39597890000.0,22134686000.0
2177.0,27034452000.0,39759990000.0,21830633000.0
2178.0,25397110000.0,40057450000.0,22345343000.0
2179.0,26900488000.0,40723080000.0,22315956000.0
2180.0,25384112000.0,42073915000.0,23332254000.0
2181.0,25237815000.0,40541110000.0,21893212000.0
2182.0,25830308000.0,40657957000.0,23128762000.0
2183.0,26712744000.0,39951622000.0,22271916000.0
2184.0,25788527000.0,40643977000.0,22611898000.0
2185.0,25807647000.0,39871010000.0,22629962000.0
2186.0,26274308000.0,39676550000.0,22152745000.0
2187.0,25420138000.0,40106344000.0,22348012000.0
2188.0,25880048000.0,40267120000.0,22503053000.0
2189.0,25885587000.0,39726387000.0,23211964000.0
2190.0,25245800000.0,40437630000.0,22522708000.0
2191.0,26220855000.0,40777753000.0,25548943000.0
2192.0,26612034000.0,41447010000.0,22387393000.0
2193.0,25267210000.0,40274534000.0,23291458000.0
2194.0,25407648000.0,40655745000.0,21978532000.0
2195.0,25293790000.0,41354277000.0,21891142000.0
2196.0,25063752000.0,41060717000.0,22273772000.0
2197.0,26081210000.0,40414118000.0,22657985000.0
2198.0,28531966000.0,40612274000.0,24023040000.0
2199.0,26619280000.0,40572840000.0,24021643000.0
2200.0,28297245000.0,40683020000.0,22519114000.0
2201.0,26353445000.0,41400095000.0,21794357000.0
2202.0,26541689000.0,43930276000.0,21963610000.0
2203.0,25435765000.0,41271767000.0,23257242000.0
2204.0,25621217000.0,40644784000.0,23065547000.0
2205.0,26799667000.0,43399540000.0,22524623000.0
2206.0,28503026000.0,40988414000.0,21883578000.0
2207.0,28187664000.0,40655790000.0,22472702000.0
2208.0,27566772000.0,44092416000.0,23171744000.0
2209.0,27527733000.0,41089890000.0,24690240000.0
2210.0,28419252000.0,41862100000.0,24588612000.0
2211.0,27839117000.0,41373295000.0,22932142000.0
2212.0,27109687000.0,42699694000.0,22239490000.0
2213.0,27246057000.0,40993534000.0,23365632000.0
2214.0,27528333000.0,41060170000.0,22351716000.0
2215.0,27030516000.0,40832463000.0,22284521000.0
2216.0,26941874000.0,42196218000.0,23101987000.0
2217.0,26380466000.0,42149544000.0,22279320000.0
2218.0,28343923000.0,43379098000.0,21814694000.0
2219.0,27876491000.0,44521406000.0,21799766000.0
2220.0,28521610000.0,43466605000.0,22657210000.0
2221.0,29195010000.0,42576167000.0,23780215000.0
2222.0,28430870000.0,42592450000.0,22527310000.0
2223.0,28319752000.0,43561787000.0,22246418000.0
2224.0,26757943000.0,43509228000.0,23167535000.0
2225.0,27138564000.0,42308293000.0,22715190000.0
2226.0,26472174000.0,43185970000.0,22980766000.0
2227.0,28501377000.0,45100655000.0,22393990000.0
2228.0,27596540000.0,44199293000.0,22970098000.0
2229.0,30415718000.0,43360580000.0,22262653000.0
2230.0,28289430000.0,43076645000.0,22444444000.0
2231.0,26453537000.0,43390906000.0,22488360000.0
2232.0,26986183000.0,44041300000.0,22764122000.0
2233.0,29742561000.0,43984210000.0,22029220000.0
2234.0,28064080000.0,43337597000.0,22314543000.0
2235.0,27075930000.0,44012683000.0,23635415000.0
2236.0,27493954000.0,43653075000.0,23320928000.0
2237.0,27961332000.0,43789922000.0,22433997000.0
2238.0,28969652000.0,43621605000.0,22856020000.0
2239.0,29236662000.0,47785705000.0,22156952000.0
2240.0,29259246000.0,44961030000.0,22101248000.0
2241.0,28692009000.0,44114817000.0,22390323000.0
2242.0,28513309000.0,44161946000.0,22333997000.0
2243.0,28510783000.0,44875993000.0,23050300000.0
2244.0,28539314000.0,44559500000.0,22762435000.0
2245.0,27866135000.0,44438135000.0,21986695000.0
2246.0,27775236000.0,44461412000.0,22111662000.0
2247.0,28703170000.0,43854870000.0,21802519000.0
2248.0,33235362000.0,45871810000.0,21823746000.0
2249.0,29672378000.0,46764230000.0,22428930000.0
2250.0,29119554000.0,45658595000.0,22056920000.0
2251.0,31727266000.0,46052463000.0,23124668000.0
2252.0,29370472000.0,44944413000.0,22264662000.0
2253.0,28315953000.0,45181846000.0,24988867000.0
2254.0,28109200000.0,46451847000.0,25438448000.0
2255.0,28286853000.0,45769355000.0,24925370000.0
2256.0,29747825000.0,45039935000.0,23373881000.0
2257.0,30536868000.0,45711426000.0,23125205000.0
2258.0,28845625000.0,45345116000.0,23697046000.0
2259.0,28847532000.0,45172572000.0,23124711000.0
2260.0,30154949000.0,45317992000.0,24244589000.0
2261.0,34431877000.0,44946223000.0,23550048000.0
2262.0,33095096000.0,45151072000.0,25054806000.0
2263.0,31483770000.0,49839653000.0,23251069000.0
2264.0,29812759000.0,47841380000.0,23352110000.0
2265.0,29837203000.0,47727900000.0,25084705000.0
2266.0,29080345000.0,48116953000.0,23143637000.0
2267.0,31409002000.0,46874060000.0,22603276000.0
2268.0,28977795000.0,46597014000.0,23103830000.0
2269.0,28656169000.0,46408188000.0,26128271000.0
2270.0,31071314000.0,46674907000.0,26046048000.0
2271.0,29472248000.0,47212642000.0,24037738000.0
2272.0,29115597000.0,47452963000.0,23401763000.0
2273.0,28952134000.0,46454518000.0,23400686000.0
2274.0,29103927000.0,47217488000.0,23683678000.0
2275.0,30713395000.0,47061205000.0,23405173000.0
2276.0,30214547000.0,46511444000.0,24985027000.0
2277.0,30227974000.0,46540726000.0,24040966000.0
2278.0,29221159000.0,47522050000.0,23685067000.0
2279.0,29695121000.0,46531490000.0,23920240000.0
2280.0,32037476000.0,46619718000.0,24287021000.0
2281.0,30544839000.0,48018248000.0,23135020000.0
2282.0,29266840000.0,48025453000.0,24794526000.0
2283.0,31279178000.0,47684415000.0,22898338000.0
2284.0,32097096000.0,49140027000.0,24855181000.0
2285.0,31233305000.0,48610857000.0,24754743000.0
2286.0,30865375000.0,47863280000.0,24913426000.0
2287.0,29916563000.0,48733802000.0,23293640000.0
2288.0,30224011000.0,48883597000.0,24425472000.0
2289.0,29280088000.0,48064594000.0,23314162000.0
2290.0,28869198000.0,48998650000.0,23543185000.0
2291.0,28719647000.0,48179483000.0,24319693000.0
2292.0,28812044000.0,47952896000.0,26403076000.0
2293.0,28736200000.0,48396850000.0,27273996000.0
2294.0,29530570000.0,48131256000.0,25669350000.0
2295.0,28694383000.0,48133054000.0,27202832000.0
2296.0,28560069000.0,48045420000.0,25286425000.0
2297.0,28509290000.0,50825994000.0,24929036000.0
2298.0,28722786000.0,49130426000.0,24092967000.0
2299.0,29585345000.0,48964110000.0,23950453000.0
2300.0,28922937000.0,49302786000.0,24392880000.0
