time,MPI-ESM1-2-HR,CESM2,CESM2-WACCM,CMCC-CM2-SR5,IPSL-CM6A-LR,INM-CM5-0,MRI-ESM2-0,EC-EARTH3-VEG,GFDL-ESM4,CANESM5,BCC-CSM2-MR,CAMS-CSM1-0,ACCESS-CM2,EC-EARTH3,TAIESM1,ACCESS-ESM1-5,NORESM2-MM,INM-CM4-8,FGOALS-F3-L
2074.0,60510704000.0,44718703000.0,41657040000.0,50387636000.0,41368564000.0,60285670000.0,54073516000.0,48015987000.0,57270540000.0,44439884000.0,44401910000.0,61200613000.0,44860924000.0,44614906000.0,40616063000.0,44563055000.0,49614406000.0,56857354000.0,54019797000.0
2075.0,59936055000.0,43623645000.0,40290590000.0,49542967000.0,40381334000.0,59730645000.0,53519100000.0,47040950000.0,56776770000.0,43577470000.0,43550830000.0,60279920000.0,43952886000.0,43581456000.0,39429350000.0,43842396000.0,48816700000.0,56298840000.0,53400920000.0
2076.0,59430230000.0,42502484000.0,39028510000.0,48410857000.0,39588330000.0,59076420000.0,52887142000.0,46213767000.0,56140407000.0,42869236000.0,42379480000.0,59622240000.0,43279900000.0,42640617000.0,38097334000.0,43189543000.0,47812780000.0,55680524000.0,52655882000.0
2077.0,59076526000.0,41283020000.0,37407945000.0,47608017000.0,38744056000.0,58630496000.0,52145648000.0,45273006000.0,55843295000.0,42041280000.0,41571760000.0,59024270000.0,42473714000.0,42071945000.0,37017154000.0,42327302000.0,46584164000.0,55205750000.0,52188967000.0
2078.0,58634863000.0,40254472000.0,36066550000.0,46710650000.0,38053327000.0,58243670000.0,51433850000.0,44497027000.0,55022445000.0,41350975000.0,40920070000.0,58630935000.0,41571455000.0,41116283000.0,35740160000.0,41543120000.0,45668864000.0,54709015000.0,51542393000.0
2079.0,57994920000.0,39044153000.0,34916803000.0,45467500000.0,37494006000.0,57508434000.0,50781070000.0,43869070000.0,54326300000.0,40579027000.0,40291525000.0,58414440000.0,40550187000.0,39998747000.0,34705043000.0,40756335000.0,44566570000.0,54062432000.0,50643587000.0
2080.0,57451770000.0,37953320000.0,33898689000.0,44353044000.0,36647260000.0,57004306000.0,50127938000.0,42878520000.0,53767140000.0,39970914000.0,39350133000.0,57737335000.0,39624258000.0,39046820000.0,33423163000.0,40116707000.0,43720815000.0,53647962000.0,50025420000.0
2081.0,57079337000.0,36759654000.0,32726840000.0,43564634000.0,35787346000.0,56485740000.0,49401900000.0,41928995000.0,53229195000.0,39207805000.0,38545015000.0,57214650000.0,38585577000.0,38215460000.0,32130340000.0,38783710000.0,42536880000.0,52983964000.0,49636884000.0
2082.0,56586748000.0,35499510000.0,31604339000.0,42647826000.0,34725683000.0,56223920000.0,48792007000.0,41214767000.0,52746970000.0,38449734000.0,37381104000.0,56644730000.0,37717803000.0,36974715000.0,30890543000.0,37738828000.0,41531675000.0,52424802000.0,48836650000.0
2083.0,56076198000.0,34495726000.0,30884911000.0,41601010000.0,34014575000.0,55472124000.0,48151980000.0,40137155000.0,52044296000.0,37761163000.0,36371018000.0,56135640000.0,37108023000.0,35907440000.0,29697784000.0,36799690000.0,40375157000.0,51847373000.0,48249300000.0
