time,MRI-ESM2-0,EC-EARTH3-VEG,GFDL-ESM4,CAMS-CSM1-0
2037.0,43276283000000.0,42962880000000.0,42843930000000.0,44026703000000.0
2038.0,43129940000000.0,42834455000000.0,42769716000000.0,43951684000000.0
2039.0,43103500000000.0,42757263000000.0,42627433000000.0,43927890000000.0
2040.0,43082050000000.0,42521737000000.0,42574702000000.0,43899867000000.0
2041.0,43010516000000.0,42309220000000.0,42527020000000.0,43894515000000.0
2042.0,42787873000000.0,42198834000000.0,42437016000000.0,43787225000000.0
2043.0,42801520000000.0,42063706000000.0,42289578000000.0,43679450000000.0
2044.0,42789056000000.0,41934828000000.0,42108728000000.0,43661216000000.0
2045.0,42596236000000.0,41756897000000.0,41869810000000.0,43610393000000.0
2046.0,42436626000000.0,41566310000000.0,41705250000000.0,43493565000000.0
2047.0,42361996000000.0,41287490000000.0,41538197000000.0,43388100000000.0
2048.0,42257710000000.0,41111300000000.0,41392525000000.0,43385805000000.0
2049.0,42084195000000.0,40972170000000.0,41243615000000.0,43403643000000.0
2050.0,42081586000000.0,40868417000000.0,41156470000000.0,43399533000000.0
2051.0,41922836000000.0,40658593000000.0,41050360000000.0,43379925000000.0
2052.0,41817546000000.0,40457124000000.0,40976077000000.0,43411256000000.0
2053.0,41698927000000.0,40255940000000.0,40900135000000.0,43380126000000.0
2054.0,41469897000000.0,40157910000000.0,40824566000000.0,43334600000000.0
2055.0,41313748000000.0,40036473000000.0,40804828000000.0,43315420000000.0
2056.0,41166624000000.0,39836447000000.0,40695516000000.0,43145310000000.0
2057.0,40847433000000.0,39619203000000.0,40538470000000.0,43077406000000.0
2058.0,40716260000000.0,39413690000000.0,40455924000000.0,42977343000000.0
2059.0,40558727000000.0,39279636000000.0,40348240000000.0,42831810000000.0
2060.0,40469360000000.0,39094025000000.0,40306870000000.0,42695603000000.0
2061.0,40342640000000.0,38853914000000.0,40162516000000.0,42701770000000.0
2062.0,40175367000000.0,38807690000000.0,40035294000000.0,42684990000000.0
2063.0,40064713000000.0,38716120000000.0,39961143000000.0,42656740000000.0
2064.0,39957205000000.0,38649098000000.0,39926175000000.0,42603127000000.0
2065.0,39745650000000.0,38520040000000.0,39933306000000.0,42467764000000.0
2066.0,39659360000000.0,38402730000000.0,39829773000000.0,42423380000000.0
2067.0,39519000000000.0,38308265000000.0,39783397000000.0,42419265000000.0
2068.0,39351720000000.0,38037280000000.0,39754045000000.0,42345836000000.0
2069.0,39258200000000.0,37908070000000.0,39747657000000.0,42318636000000.0
2070.0,39069040000000.0,37808130000000.0,39677090000000.0,42295324000000.0
2071.0,38938590000000.0,37784727000000.0,39691340000000.0,42284704000000.0
2072.0,38772465000000.0,37706994000000.0,39663536000000.0,42296090000000.0
2073.0,38704194000000.0,37550584000000.0,39580750000000.0,42315704000000.0
2074.0,38618932000000.0,37409830000000.0,39506960000000.0,42252093000000.0
2075.0,38519708000000.0,37344376000000.0,39442000000000.0,42159554000000.0
2076.0,38470874000000.0,37298520000000.0,39260110000000.0,42052004000000.0
2077.0,38436006000000.0,37138200000000.0,39201270000000.0,41991690000000.0
2078.0,38300778000000.0,37101990000000.0,39184786000000.0,41875185000000.0
2079.0,38230523000000.0,37011893000000.0,39109590000000.0,41828390000000.0
2080.0,38085048000000.0,36892687000000.0,39181730000000.0,41810110000000.0
2081.0,37879770000000.0,36748000000000.0,39056033000000.0,41726136000000.0
2082.0,37590607000000.0,36684830000000.0,38940115000000.0,41639926000000.0
2083.0,37368426000000.0,36579760000000.0,38864330000000.0,41604850000000.0
2084.0,37213547000000.0,36459638000000.0,38825330000000.0,41531466000000.0
2085.0,37045687000000.0,36382676000000.0,38743168000000.0,41407970000000.0
2086.0,36954914000000.0,36299620000000.0,38691540000000.0,41364423000000.0
2087.0,36913680000000.0,36233650000000.0,38630358000000.0,41348724000000.0
2088.0,36856465000000.0,36194872000000.0,38533935000000.0,41401690000000.0
2089.0,36848244000000.0,36091172000000.0,38495570000000.0,41359054000000.0
2090.0,36690098000000.0,36014570000000.0,38484614000000.0,41319355000000.0
2091.0,36549127000000.0,35994640000000.0,38449270000000.0,41229970000000.0
2092.0,36405263000000.0,35963158000000.0,38439085000000.0,41182353000000.0
2093.0,36337256000000.0,35818850000000.0,38405060000000.0,41081824000000.0
2094.0,36127054000000.0,35785785000000.0,38297950000000.0,40990990000000.0
2095.0,36002907000000.0,35726553000000.0,38261146000000.0,40937653000000.0
2096.0,35815854000000.0,35619326000000.0,38203566000000.0,40879550000000.0
2097.0,35756295000000.0,35513487000000.0,38187578000000.0,40838193000000.0
2098.0,35574983000000.0,35416740000000.0,38107475000000.0,40849803000000.0
2099.0,35529640000000.0,35198940000000.0,38002403000000.0,40866860000000.0
2100.0,35502363000000.0,35116762000000.0,37930656000000.0,40832837000000.0
