time,GFDL-ESM2G,CESM1-CAM5,IPSL-CM5A-LR,GFDL-CM3,NORESM1-M,CCSM4,CSIRO-MK3-6-0,GISS-E2-R
2055.0,9722158000.0,9166364000.0,6704541700.0,5685000000.0,9906768000.0,9112306000.0,11052369000.0,9968943000.0
2056.0,9290960000.0,9214929000.0,6825335000.0,5480987600.0,9749948000.0,8985702000.0,10973739000.0,9855450000.0
2057.0,9135320000.0,8983673000.0,6950609400.0,5311742500.0,9615238000.0,8839406000.0,10869852000.0,9806603000.0
2058.0,8980098000.0,8939378000.0,6530573000.0,5150246400.0,9443217000.0,8670201000.0,10729220000.0,9754093000.0
2059.0,8828473000.0,8807832000.0,6388260400.0,5023073000.0,9309840000.0,8564715000.0,10580217000.0,9643869000.0
2060.0,8723467000.0,8662072000.0,6593723400.0,4847626000.0,9158748000.0,8450562600.0,10448736000.0,9533464000.0
2061.0,8594832000.0,8606255000.0,6266867000.0,4667070500.0,9025983000.0,8366066000.0,10290507000.0,9484320000.0
2062.0,8521630000.0,8426539000.0,6168773600.0,4526664000.0,8833574000.0,8241801700.0,10137726000.0,9417303000.0
2063.0,8382647000.0,8291358700.0,6068153300.0,4406116400.0,8706531000.0,8126412000.0,9995026000.0,9281328000.0
2064.0,8255275000.0,8149240000.0,5958820400.0,4285800200.0,8579502000.0,8001583000.0,9900909000.0,9204825000.0
2065.0,9076344000.0,7999240000.0,5863444500.0,4142164200.0,8466172000.0,7868819500.0,9729740000.0,9231818000.0
2066.0,8170628000.0,7890262000.0,5771815400.0,4036151800.0,8363415600.0,7771934700.0,9579823000.0,9146506000.0
2067.0,8048574000.0,7717465000.0,5648573000.0,3907136500.0,8163241500.0,7659176000.0,9523450000.0,8996832000.0
2068.0,7986264600.0,7560942600.0,5597871600.0,3804099300.0,8100666400.0,7531860500.0,9286136000.0,8888990000.0
2069.0,7829890000.0,7423602000.0,5472525000.0,3671176200.0,7921814500.0,7395170000.0,9088691000.0,8777134000.0
2070.0,7805488000.0,7319993300.0,5381399000.0,3549924400.0,7752376300.0,7313660400.0,8899049000.0,8659110000.0
2071.0,7657188000.0,7141409000.0,5294753300.0,3426045400.0,7589350000.0,7183655400.0,8677080000.0,8547165700.0
2072.0,7512959000.0,6971740700.0,5461872600.0,3311648000.0,7499312000.0,7086075000.0,8440312300.0,8467387000.0
2073.0,7405914000.0,6810645000.0,5181131300.0,3210090800.0,7295231000.0,7030840000.0,8445267500.0,8329147000.0
2074.0,7373018600.0,6667274000.0,5033037300.0,3110045700.0,7126377500.0,6933222000.0,8116870000.0,8252433400.0
2075.0,7205757000.0,6479885300.0,4926187000.0,2991709400.0,6950223400.0,6783309300.0,7911001600.0,8076254700.0
2076.0,7073515000.0,6285474300.0,4947898400.0,2901378000.0,6816961500.0,6634451500.0,7793128400.0,7941986300.0
2077.0,6976334300.0,6118771000.0,4735340500.0,2798601200.0,6661345000.0,6503901700.0,7726281000.0,7821521400.0
2078.0,7031692000.0,5938069000.0,4615491000.0,2723848700.0,6528874000.0,6379087400.0,7530990600.0,7695602000.0
2079.0,6798033400.0,5784052700.0,4492782000.0,2634834400.0,6384519700.0,6276227600.0,7343878700.0,7601707500.0
2080.0,6695355400.0,5600425500.0,4393923000.0,2560772000.0,6214840000.0,6183466500.0,7135131600.0,7483961000.0
2081.0,6573588500.0,5420566000.0,4299059700.0,2470383000.0,6139412500.0,6040975000.0,7535591000.0,7351250000.0
2082.0,6475238000.0,5377354000.0,4229664800.0,2399691300.0,6001731000.0,5867137500.0,6995201000.0,7201669000.0
2083.0,6353592000.0,5151918600.0,4113997000.0,2325674500.0,5863033000.0,5765616600.0,6767933000.0,7100217000.0
2084.0,6312076300.0,5019966000.0,3990265900.0,2256787700.0,5815527400.0,5701449700.0,7255904000.0,6961962000.0
2085.0,6153484300.0,4893010000.0,3867202000.0,2193391400.0,5661658600.0,5546141000.0,6597888000.0,6777057300.0
2086.0,6076942000.0,4761480000.0,3791777800.0,2129136300.0,5715763000.0,5409600500.0,6517697500.0,6637117000.0
2087.0,6030537700.0,4642560000.0,3733954000.0,2083418900.0,5695748600.0,5286700500.0,6385409000.0,6498721000.0
2088.0,5922361000.0,4506787000.0,3610681900.0,2021813100.0,5447954000.0,5204958700.0,6191608000.0,6433425000.0
2089.0,5827857400.0,4397961700.0,3507181000.0,1941531600.0,5418669600.0,5122717000.0,6009187300.0,6268651500.0
2090.0,5716790000.0,4290727200.0,3459786200.0,1896627000.0,5314979000.0,5148645000.0,5933018600.0,6187664400.0
2091.0,5623715000.0,4188932000.0,3333780200.0,1835491300.0,5216058000.0,4941860000.0,5803173000.0,6032723500.0
2092.0,5523998700.0,4060935700.0,3234904300.0,1804755200.0,5247076000.0,4845666300.0,5644924400.0,5872357000.0
2093.0,5442181600.0,3949288700.0,3157321700.0,1755658800.0,5070736000.0,4754088400.0,5510202000.0,5767190000.0
2094.0,5391582700.0,3823524900.0,3047215400.0,1724085100.0,4964407300.0,4664718300.0,5377288000.0,5992318500.0
2095.0,5290115000.0,3740692200.0,2982996700.0,1679320200.0,4892658000.0,4566718000.0,5287004000.0,5586968600.0
2096.0,5227379700.0,3645393200.0,2998327000.0,1662263300.0,4832939500.0,4509713400.0,5360003600.0,5456136000.0
2097.0,5188158500.0,3540682000.0,2832588500.0,1615678300.0,4759607000.0,4428375600.0,5138673700.0,5358195700.0
2098.0,5450893000.0,3452346600.0,2764458200.0,1595407100.0,4663426000.0,4363235000.0,4966541000.0,5264628700.0
2099.0,5062539300.0,3384771600.0,3121495800.0,1574984000.0,4593312300.0,4307675000.0,4909804000.0,5171315000.0
2100.0,4947518500.0,3320891400.0,2655795000.0,1608075400.0,4524953000.0,4253022500.0,4724047400.0,5058468000.0
