time,CNRM-CM5,GISS-E2-R,MPI-ESM-LR,GFDL-CM3,CCSM4,NORESM1-M,IPSL-CM5A-LR,GFDL-ESM2G,CANESM2,CESM1-CAM5,CSIRO-MK3-6-0
2013.0,104300660000.0,104300660000.0,104300660000.0,104300660000.0,104300660000.0,104300660000.0,104300660000.0,104300660000.0,104300660000.0,104300660000.0,104300660000.0
2014.0,105858380000.0,105858380000.0,105858380000.0,105858380000.0,105858380000.0,105858380000.0,105858380000.0,105858380000.0,105858380000.0,105858380000.0,105858380000.0
2015.0,104440710000.0,104440710000.0,104440710000.0,104440710000.0,104440710000.0,104440710000.0,104440710000.0,104440710000.0,104440710000.0,104440710000.0,104440710000.0
2016.0,104273350000.0,104273350000.0,104273350000.0,104273350000.0,104273350000.0,104273350000.0,104273350000.0,104273350000.0,104273350000.0,104273350000.0,104273350000.0
2017.0,104262560000.0,104262560000.0,104262560000.0,104262560000.0,104262560000.0,104262560000.0,104262560000.0,104262560000.0,104262560000.0,104262560000.0,104262560000.0
2018.0,104279180000.0,104279180000.0,104279180000.0,104279180000.0,104279180000.0,104279180000.0,104279180000.0,104279180000.0,104279180000.0,104279180000.0,104279180000.0
2019.0,104349510000.0,104349510000.0,104349510000.0,104349510000.0,104349510000.0,104349510000.0,104349510000.0,104349510000.0,104349510000.0,104349510000.0,104349510000.0
2020.0,104408965000.0,104408965000.0,104408965000.0,104408965000.0,104408965000.0,104408965000.0,104408965000.0,104408965000.0,104408965000.0,104408965000.0,104408965000.0
2021.0,104202790000.0,104356860000.0,104272360000.0,104188080000.0,104294750000.0,104200995000.0,104245950000.0,104257150000.0,104292160000.0,104199725000.0,104315020000.0
2022.0,104120320000.0,104273140000.0,104290450000.0,104141620000.0,104340410000.0,104216980000.0,104180600000.0,104247230000.0,104255280000.0,104120074000.0,104239450000.0
2023.0,104088480000.0,104278200000.0,104210900000.0,104095510000.0,104233850000.0,104111080000.0,104159370000.0,104228190000.0,104185270000.0,104093330000.0,104323760000.0
2024.0,104105440000.0,104251890000.0,104185210000.0,104043170000.0,104261270000.0,104039000000.0,104101930000.0,104205520000.0,104129900000.0,104078850000.0,104223940000.0
2025.0,104089960000.0,104126480000.0,104215230000.0,103999010000.0,104178460000.0,103980040000.0,104056890000.0,104138950000.0,104066580000.0,103999510000.0,104134650000.0
2026.0,104177130000.0,104251376000.0,104170510000.0,103936410000.0,104108140000.0,103963490000.0,103992250000.0,104125210000.0,104023660000.0,103925340000.0,104064020000.0
2027.0,104058080000.0,104611700000.0,104207390000.0,103864810000.0,104054730000.0,103913595000.0,104012020000.0,104077435000.0,104010530000.0,103874260000.0,104006700000.0
2028.0,103954730000.0,104114930000.0,104040260000.0,103770860000.0,103990690000.0,103846535000.0,103957460000.0,104031460000.0,103950300000.0,103829860000.0,103959310000.0
2029.0,103911570000.0,103999550000.0,103983260000.0,103694975000.0,104076760000.0,103782700000.0,103844730000.0,104082874000.0,103888880000.0,103785520000.0,103955300000.0
2030.0,103882240000.0,103951884000.0,103966170000.0,103627220000.0,103931585000.0,103715950000.0,103744580000.0,103981570000.0,103847960000.0,103707330000.0,103947076000.0
2031.0,103977710000.0,104208100000.0,104225186000.0,103543120000.0,103953965000.0,103685570000.0,103714095000.0,103939450000.0,103741790000.0,103685956000.0,103829905000.0
2032.0,104021836000.0,103839810000.0,103900230000.0,103529005000.0,103878130000.0,103633715000.0,103609400000.0,103949270000.0,103673630000.0,103654040000.0,103805190000.0
2033.0,104004590000.0,103877600000.0,103789494000.0,103441410000.0,103806755000.0,103667680000.0,103563520000.0,104016090000.0,103623080000.0,103539960000.0,103777510000.0
2034.0,103858910000.0,103782430000.0,103936130000.0,103389650000.0,103859750000.0,103569780000.0,103462355000.0,103914780000.0,103543460000.0,103491250000.0,103807760000.0
2035.0,103752204000.0,103700050000.0,103701620000.0,103298695000.0,103817126000.0,103467030000.0,103375790000.0,103926070000.0,103868195000.0,103387824000.0,103674540000.0
2036.0,104095550000.0,103707010000.0,103645190000.0,103253220000.0,103745470000.0,103345906000.0,103254910000.0,103975840000.0,103491710000.0,103287250000.0,103652840000.0
2037.0,103721200000.0,103684000000.0,103660810000.0,103162880000.0,103668000000.0,103284930000.0,103156515000.0,103979200000.0,103512520000.0,103248806000.0,103708880000.0
2038.0,103701990000.0,103655326000.0,103598980000.0,103167844000.0,103736510000.0,103287170000.0,103048315000.0,103847910000.0,103379165000.0,103181310000.0,103604100000.0
2039.0,103664230000.0,104640040000.0,103498130000.0,103041720000.0,103566170000.0,103183560000.0,102904600000.0,103829390000.0,103369150000.0,103058150000.0,103489090000.0
2040.0,103571775000.0,103620160000.0,103416810000.0,102879630000.0,103495350000.0,103087000000.0,102800330000.0,103769080000.0,103388670000.0,102907535000.0,103399465000.0
2041.0,103484030000.0,103630470000.0,103385680000.0,102776365000.0,103458440000.0,102994610000.0,102746590000.0,103760224000.0,103487020000.0,102816270000.0,103396250000.0
2042.0,103511876000.0,103548630000.0,103366090000.0,102634210000.0,103401510000.0,102880290000.0,103848400000.0,103685366000.0,103301685000.0,102677970000.0,103400150000.0
2043.0,103378840000.0,103577060000.0,103324360000.0,102471240000.0,103312015000.0,102780560000.0,102721450000.0,103613190000.0,103153890000.0,102519760000.0,103365550000.0
2044.0,103341760000.0,103410750000.0,103190210000.0,102343130000.0,103252690000.0,102657204000.0,102539130000.0,103534350000.0,103041860000.0,102355665000.0,103282600000.0
2045.0,103187070000.0,103323000000.0,103041310000.0,102146400000.0,103158505000.0,102520410000.0,102370886000.0,103475700000.0,102948140000.0,102196510000.0,103275070000.0
2046.0,103229730000.0,104970870000.0,102921160000.0,102002840000.0,103051900000.0,102416910000.0,102210590000.0,103393755000.0,102833670000.0,102108530000.0,103099910000.0
2047.0,103049445000.0,103620080000.0,102810080000.0,101838365000.0,102959055000.0,102246550000.0,102040570000.0,103328620000.0,102896860000.0,102006370000.0,103021625000.0
2048.0,103290660000.0,103304210000.0,102985920000.0,101687930000.0,102980660000.0,102528810000.0,101887050000.0,103224934000.0,102725320000.0,101847030000.0,103011170000.0
2049.0,103047630000.0,103199430000.0,102748450000.0,101538510000.0,102899110000.0,102159300000.0,101753310000.0,103205580000.0,102742030000.0,101623775000.0,102905580000.0
2050.0,102860595000.0,103043010000.0,102811935000.0,101353900000.0,102853400000.0,101972000000.0,101657170000.0,103108570000.0,102955560000.0,101575280000.0,102815430000.0
2051.0,102936460000.0,103023485000.0,102590235000.0,101111850000.0,103030596000.0,101789670000.0,101688130000.0,103101006000.0,102488270000.0,101441420000.0,102728510000.0
2052.0,102642610000.0,102910255000.0,102439860000.0,100913360000.0,102872390000.0,101629060000.0,101304900000.0,103006370000.0,102342566000.0,101229130000.0,102688020000.0
2053.0,102448470000.0,102825690000.0,102389490000.0,100687086000.0,102718090000.0,102093670000.0,101099635000.0,103225990000.0,102224880000.0,101015510000.0,102600070000.0
2054.0,102714520000.0,102716120000.0,102309260000.0,100362890000.0,102619030000.0,101500650000.0,100898190000.0,103011434000.0,102104375000.0,100855790000.0,102492630000.0
2055.0,102413030000.0,103297310000.0,102250440000.0,100096360000.0,102469910000.0,101301410000.0,100744170000.0,103257060000.0,102002320000.0,100612910000.0,102431600000.0
2056.0,102175375000.0,102701450000.0,102140576000.0,99841700000.0,103687900000.0,101292450000.0,100658370000.0,102936674000.0,101826600000.0,100370080000.0,102389630000.0
2057.0,101999490000.0,102593634000.0,102081225000.0,99527900000.0,103094790000.0,101501340000.0,100550630000.0,102896760000.0,101645030000.0,100114110000.0,102240920000.0
2058.0,102999190000.0,102450720000.0,101949590000.0,99332555000.0,102599885000.0,101014610000.0,100206990000.0,102867240000.0,101681816000.0,99823590000.0,102111530000.0
2059.0,102443960000.0,102421130000.0,102018760000.0,99054040000.0,102437610000.0,100855280000.0,100517890000.0,102721810000.0,101548440000.0,99488550000.0,102040900000.0
2060.0,101589240000.0,102213390000.0,101853140000.0,98921546000.0,102225730000.0,100659130000.0,99821080000.0,102894486000.0,101515550000.0,99177546000.0,101881580000.0
2061.0,101617480000.0,102155220000.0,101583140000.0,98567150000.0,102312270000.0,100406500000.0,99657780000.0,102650470000.0,101376580000.0,98837830000.0,102209860000.0
2062.0,101374520000.0,103631080000.0,101460400000.0,98280860000.0,102033146000.0,100266860000.0,99649950000.0,102593905000.0,101171900000.0,98497495000.0,101836360000.0
2063.0,101210460000.0,102015920000.0,101348370000.0,97936020000.0,102443700000.0,100112785000.0,99455600000.0,102511640000.0,101389255000.0,98038670000.0,101712010000.0
2064.0,100944945000.0,101836910000.0,101175640000.0,97546960000.0,102043550000.0,99985340000.0,99170570000.0,102398755000.0,100949750000.0,97568440000.0,101645165000.0
2065.0,100806380000.0,101766160000.0,101350750000.0,97248400000.0,102218650000.0,99764660000.0,99004870000.0,102321700000.0,100878570000.0,97106305000.0,101491200000.0
2066.0,100776640000.0,102070665000.0,101054640000.0,96931990000.0,101950350000.0,99646870000.0,98998070000.0,102505850000.0,100729815000.0,96793430000.0,101439430000.0
2067.0,100505410000.0,101661120000.0,100904340000.0,96467345000.0,102591030000.0,99473460000.0,98612610000.0,102250130000.0,100656810000.0,96359420000.0,101306990000.0
2068.0,100944445000.0,101507520000.0,100753890000.0,96091200000.0,101940960000.0,99223240000.0,98465450000.0,102093660000.0,100441080000.0,96135800000.0,101205385000.0
2069.0,100306880000.0,101436990000.0,100710850000.0,95767300000.0,101595370000.0,99613650000.0,98154020000.0,102065470000.0,100360160000.0,95732930000.0,101128820000.0
2070.0,100157930000.0,101831520000.0,100656865000.0,95598395000.0,101446490000.0,99011520000.0,97987944000.0,101906940000.0,100139380000.0,95349790000.0,101070670000.0
2071.0,99968700000.0,102195855000.0,100510380000.0,95185360000.0,101368640000.0,98768840000.0,97741865000.0,101998660000.0,100064166000.0,95417910000.0,100905590000.0
2072.0,99858050000.0,101799870000.0,100294100000.0,94747810000.0,101117846000.0,98648015000.0,97423340000.0,102468320000.0,99954650000.0,94798840000.0,100862800000.0
2073.0,99673210000.0,101341180000.0,100146260000.0,94517640000.0,101019400000.0,98435130000.0,97096210000.0,101968945000.0,99925730000.0,94459860000.0,100789700000.0
2074.0,99544380000.0,101268050000.0,100180220000.0,94114570000.0,100932300000.0,98282545000.0,96761350000.0,101815845000.0,99631860000.0,94134440000.0,100721380000.0
2075.0,99420684000.0,101259390000.0,99858280000.0,93918405000.0,100783380000.0,98124500000.0,96534310000.0,102300530000.0,99601270000.0,93742326000.0,100625130000.0
2076.0,99275570000.0,100845210000.0,99687940000.0,93329630000.0,100632310000.0,98066506000.0,96298990000.0,101800485000.0,99318350000.0,93476180000.0,100526200000.0
2077.0,99008440000.0,100753100000.0,99640844000.0,93216730000.0,100686670000.0,97830090000.0,96246284000.0,101763440000.0,99189730000.0,93172750000.0,100418560000.0
2078.0,100407050000.0,100577340000.0,99664520000.0,92695540000.0,101588150000.0,97655700000.0,95956820000.0,101998700000.0,99682710000.0,92682010000.0,100207720000.0
2079.0,98866010000.0,100431410000.0,99938740000.0,92243485000.0,100451200000.0,97406350000.0,95633965000.0,101552770000.0,98798450000.0,92235230000.0,100139926000.0
2080.0,98675065000.0,100631994000.0,99335780000.0,91825530000.0,100504600000.0,97304350000.0,95434630000.0,101426070000.0,98572755000.0,91705650000.0,99964610000.0
2081.0,98440750000.0,100229660000.0,99098714000.0,91493730000.0,100245220000.0,96973570000.0,95175630000.0,101312676000.0,98298350000.0,91257250000.0,99841580000.0
2082.0,98272200000.0,100103140000.0,98981110000.0,91040880000.0,100079180000.0,96802685000.0,95566950000.0,101326130000.0,99047960000.0,90857770000.0,99705230000.0
2083.0,98115310000.0,100541080000.0,98771680000.0,90744590000.0,99978600000.0,96511780000.0,94831170000.0,101168480000.0,98011850000.0,90395310000.0,99563440000.0
2084.0,98630460000.0,100494300000.0,98589540000.0,90418060000.0,100258120000.0,96184844000.0,94764020000.0,101047740000.0,97971765000.0,89877920000.0,99470790000.0
2085.0,97822380000.0,100028410000.0,98929990000.0,90050180000.0,100297330000.0,96074970000.0,94399280000.0,100986730000.0,97754280000.0,89742830000.0,99694354000.0
2086.0,97703620000.0,99890905000.0,98322090000.0,89684140000.0,99838650000.0,95866225000.0,94226710000.0,100879930000.0,97360400000.0,89288475000.0,99531800000.0
2087.0,97440780000.0,99786056000.0,98099510000.0,89197170000.0,99674250000.0,95732390000.0,94995390000.0,100879150000.0,97295980000.0,88989024000.0,100666820000.0
2088.0,97934010000.0,100004970000.0,98006090000.0,88920450000.0,99511530000.0,95433105000.0,93807250000.0,100770700000.0,97357220000.0,88491520000.0,99186150000.0
2089.0,97128480000.0,99548210000.0,97990670000.0,88735750000.0,99351010000.0,95159200000.0,95043820000.0,100744760000.0,97105625000.0,88041850000.0,98958130000.0
2090.0,96749340000.0,99400065000.0,97741910000.0,87782810000.0,99151560000.0,94879190000.0,93542750000.0,100616620000.0,97562870000.0,87455340000.0,98878110000.0
2091.0,96826920000.0,100973320000.0,98132900000.0,87227335000.0,99024570000.0,94620710000.0,93370070000.0,100580210000.0,96453980000.0,86846030000.0,98649120000.0
2092.0,96476905000.0,100006920000.0,97462800000.0,86781860000.0,99343065000.0,94307340000.0,93082820000.0,100522060000.0,96308880000.0,86179045000.0,98729580000.0
2093.0,96268670000.0,99507430000.0,98908510000.0,86452000000.0,99707750000.0,94081850000.0,92840400000.0,100427680000.0,96103120000.0,85556300000.0,98481270000.0
2094.0,96059450000.0,99283110000.0,97389260000.0,86817235000.0,98706470000.0,93987520000.0,92911985000.0,100380530000.0,96162580000.0,85019860000.0,98255640000.0
2095.0,95798950000.0,99162270000.0,97187020000.0,85666590000.0,98586630000.0,93994700000.0,92307370000.0,100709800000.0,95925540000.0,84483700000.0,98339220000.0
2096.0,96109140000.0,100559240000.0,97418410000.0,87089620000.0,98860200000.0,93933540000.0,91996710000.0,100441650000.0,95557394000.0,84131770000.0,98005250000.0
2097.0,95565700000.0,98969805000.0,97037025000.0,85236875000.0,98555380000.0,93492700000.0,91753560000.0,100402240000.0,95423810000.0,83660005000.0,98146830000.0
2098.0,95422644000.0,98822545000.0,96768230000.0,84765606000.0,98476100000.0,93192640000.0,91440140000.0,100114235000.0,95230610000.0,83118375000.0,97742820000.0
2099.0,95159840000.0,98800460000.0,96776660000.0,84381350000.0,98101680000.0,92941180000.0,91311866000.0,100026750000.0,95144380000.0,82060345000.0,97625010000.0
2100.0,95029300000.0,98617640000.0,96652485000.0,83945636000.0,98877730000.0,92860930000.0,91236000000.0,99945366000.0,95083490000.0,81463340000.0,97570750000.0
