time,GFDL-ESM4,MPI-ESM1-2-HR,IPSL-CM6A-LR,MRI-ESM2-0,UKESM1-0-LL
2040.0,602086500000.0,597557900000.0,393824140000.0,429016020000.0,333929840000.0
2041.0,597570160000.0,592208800000.0,380587300000.0,406094220000.0,303162030000.0
2042.0,586431600000.0,584268400000.0,356162440000.0,386661420000.0,284998000000.0
2043.0,565526400000.0,570580500000.0,343021550000.0,366992920000.0,269449760000.0
2044.0,541480800000.0,555530260000.0,323978230000.0,344937800000.0,252890450000.0
2045.0,513165500000.0,534651470000.0,301270370000.0,323492300000.0,234617000000.0
2046.0,504703000000.0,525873020000.0,283893860000.0,306692850000.0,222816670000.0
2047.0,496709760000.0,511862050000.0,272794780000.0,296912260000.0,204637930000.0
2048.0,480222540000.0,498313720000.0,259677030000.0,281549300000.0,188514390000.0
2049.0,466720560000.0,473923800000.0,248396320000.0,266374460000.0,169111550000.0
2050.0,452178000000.0,458349580000.0,228280860000.0,252373070000.0,159293870000.0
2051.0,442971460000.0,445382260000.0,214989720000.0,243658570000.0,148974850000.0
2052.0,434289700000.0,436927530000.0,199433520000.0,241599770000.0,131534610000.0
2053.0,422489750000.0,428303750000.0,193882650000.0,225535930000.0,116961740000.0
2054.0,405816700000.0,416232960000.0,176502280000.0,216487840000.0,110081974000.0
2055.0,399414800000.0,397154880000.0,164895640000.0,208348180000.0,101420520000.0
2056.0,384463960000.0,378739850000.0,150506930000.0,188711120000.0,90225550000.0
2057.0,369514870000.0,365956560000.0,139056050000.0,176575150000.0,78971880000.0
2058.0,353213120000.0,348334360000.0,126888770000.0,164287180000.0,69867495000.0
2059.0,349367800000.0,333116640000.0,119257350000.0,157390750000.0,61442777000.0
2060.0,332714440000.0,322835380000.0,108444640000.0,145329360000.0,51123823000.0
2061.0,317534630000.0,311282170000.0,99371990000.0,136870880000.0,42304844000.0
2062.0,303185000000.0,294865040000.0,90256220000.0,132585110000.0,35846746000.0
2063.0,293906940000.0,287603620000.0,83110770000.0,124224676000.0,29510586000.0
2064.0,282274960000.0,274347300000.0,74628210000.0,116815675000.0,22624290000.0
2065.0,272825240000.0,263030600000.0,65717993000.0,113130740000.0,17655026000.0
2066.0,262809100000.0,242132220000.0,58619830000.0,105997400000.0,14381830000.0
2067.0,252053360000.0,235864030000.0,49847636000.0,99655030000.0,11320507000.0
2068.0,244743320000.0,228365520000.0,43312620000.0,90926130000.0,9197271000.0
2069.0,235520520000.0,220415620000.0,36947250000.0,86597340000.0,7099717000.0
2070.0,223603570000.0,204728250000.0,31466572000.0,84953490000.0,5109362700.0
2071.0,207313200000.0,191418400000.0,27020798000.0,76420330000.0,3482195000.0
2072.0,205092540000.0,181524400000.0,23589532000.0,69853330000.0,2530136000.0
2073.0,197849860000.0,170959000000.0,20095605000.0,63575548000.0,1974984400.0
2074.0,192110500000.0,161895420000.0,17939413000.0,58377966000.0,1611511400.0
2075.0,182153850000.0,151591520000.0,14810016000.0,53107960000.0,1410816500.0
2076.0,174307030000.0,144734060000.0,12594513000.0,47264310000.0,1300574800.0
2077.0,169829970000.0,132425335000.0,10795062000.0,44283978000.0,1153453400.0
2078.0,163284070000.0,125359320000.0,9137172000.0,41627038000.0,1106727200.0
2079.0,155003080000.0,116670456000.0,7967591000.0,38989533000.0,1021431360.0
2080.0,149408100000.0,110503790000.0,6927729700.0,35871000000.0,940518900.0
2081.0,141326500000.0,103971260000.0,5765623000.0,32627022000.0,853329400.0
2082.0,136943140000.0,95473610000.0,5005132300.0,29948756000.0,777384640.0
2083.0,128107870000.0,86766800000.0,4498948600.0,28664654000.0,731471700.0
2084.0,122710385000.0,80859690000.0,4098233300.0,25054487000.0,671195500.0
2085.0,117369760000.0,73891260000.0,3547901200.0,23251306000.0,622315700.0
2086.0,110595900000.0,69702700000.0,3200277000.0,22063116000.0,575808060.0
2087.0,103220070000.0,65183750000.0,2684683800.0,21098780000.0,532320000.0
2088.0,97470095000.0,59349850000.0,2261351400.0,19245695000.0,479877860.0
2089.0,92926755000.0,53217583000.0,1947208800.0,17764950000.0,441432640.0
2090.0,86953970000.0,47135064000.0,1665930200.0,17103236000.0,413141300.0
2091.0,82555870000.0,42349326000.0,1457505700.0,16162828000.0,371259260.0
2092.0,77497380000.0,37482656000.0,1342257000.0,15543645000.0,350076540.0
2093.0,70737125000.0,32859408000.0,1255292500.0,14384014000.0,323074800.0
2094.0,67344355000.0,29368797000.0,1166882700.0,13135499000.0,309512540.0
2095.0,63869297000.0,26362556000.0,1067993100.0,11939066000.0,302349540.0
2096.0,59988697000.0,24455272000.0,950093900.0,11340318000.0,287564830.0
2097.0,57198500000.0,22138794000.0,869340540.0,10565276000.0,265801040.0
2098.0,55652037000.0,20134408000.0,802487700.0,9600002000.0,253900910.0
2099.0,52562723000.0,18580350000.0,762341060.0,9456804000.0,243107070.0
2100.0,48797320000.0,17226193000.0,718442500.0,8525783600.0,236296850.0
