time,CESM1-CAM5,CCSM4,CNRM-CM5,GISS-E2-R,CSIRO-MK3-6-0,MPI-ESM-LR,GFDL-ESM2G,NORESM1-M,CANESM2,GFDL-CM3,IPSL-CM5A-LR
2063.0,71119995000.0,83601930000.0,79089730000.0,81889526000.0,81908285000.0,76422470000.0,82057580000.0,77069750000.0,77093360000.0,67896580000.0,77081310000.0
2064.0,70487920000.0,82091580000.0,78557660000.0,82264780000.0,81607460000.0,76784116000.0,83119960000.0,76999810000.0,77384155000.0,67410964000.0,76723100000.0
2065.0,69820660000.0,81550025000.0,78498740000.0,82709050000.0,83135230000.0,76054400000.0,82251825000.0,76342410000.0,77056336000.0,66823164000.0,76192820000.0
2066.0,69450460000.0,82617730000.0,78074640000.0,82036310000.0,81920590000.0,75571765000.0,81665000000.0,75945250000.0,76179650000.0,66323825000.0,78014050000.0
2067.0,68682433000.0,82037060000.0,78114570000.0,81550205000.0,81368890000.0,75268150000.0,81954890000.0,75534440000.0,75931525000.0,65740660000.0,76320690000.0
2068.0,68376556000.0,81320350000.0,77802120000.0,81182835000.0,80920850000.0,74887570000.0,81372310000.0,75186676000.0,75444820000.0,65054216000.0,75315225000.0
2069.0,67602240000.0,80912105000.0,77437534000.0,80880300000.0,81352650000.0,74609500000.0,80993520000.0,75207660000.0,75184050000.0,64457003000.0,74787070000.0
2070.0,66860585000.0,80820520000.0,78975560000.0,81038290000.0,80838610000.0,74515644000.0,80744825000.0,74557710000.0,74648370000.0,64038818000.0,74430260000.0
2071.0,66526695000.0,80654960000.0,77701330000.0,81159220000.0,80806730000.0,74292730000.0,80891500000.0,74170786000.0,74215105000.0,63574610000.0,74252930000.0
2072.0,65549423000.0,80204440000.0,77001564000.0,80884556000.0,80514360000.0,73860070000.0,80916760000.0,74672775000.0,73925410000.0,62951617000.0,73748550000.0
2073.0,64890135000.0,80260110000.0,80384150000.0,80391730000.0,80442170000.0,73578270000.0,80543960000.0,74413310000.0,73517420000.0,62386420000.0,73345425000.0
2074.0,64419460000.0,80332560000.0,77661900000.0,81974300000.0,80486870000.0,73277645000.0,80345200000.0,74702770000.0,73375170000.0,61673410000.0,72871846000.0
2075.0,64500597000.0,79939730000.0,80949000000.0,80755490000.0,80929070000.0,72865960000.0,81301670000.0,73679400000.0,73005360000.0,61353243000.0,72621790000.0
2076.0,63350300000.0,79550260000.0,77925020000.0,80165900000.0,81582070000.0,72529450000.0,80564900000.0,72946100000.0,72440960000.0,60871627000.0,72360640000.0
2077.0,62682760000.0,79410580000.0,76693160000.0,79860850000.0,81142360000.0,72284240000.0,80320790000.0,72857250000.0,72002670000.0,60405220000.0,72268360000.0
2078.0,62137352000.0,81627120000.0,76365440000.0,79901430000.0,79959670000.0,71886120000.0,80593584000.0,74909745000.0,71619090000.0,59728056000.0,74330670000.0
2079.0,61497803000.0,80097470000.0,75655800000.0,79839600000.0,79883800000.0,71584470000.0,80110690000.0,72048630000.0,71134510000.0,59205456000.0,71593080000.0
2080.0,60782604000.0,79589925000.0,75196570000.0,79820380000.0,79464776000.0,71341130000.0,79556400000.0,71747300000.0,71022620000.0,58939884000.0,71183000000.0
2081.0,60163236000.0,79186200000.0,75982120000.0,79463320000.0,79820240000.0,70971790000.0,79910250000.0,71396810000.0,70786920000.0,58091390000.0,70820454000.0
2082.0,59645645000.0,79770165000.0,74620020000.0,79094510000.0,79025816000.0,70964540000.0,79404560000.0,70959900000.0,70182070000.0,57580696000.0,70452640000.0
2083.0,59091720000.0,78988240000.0,74286460000.0,78849016000.0,80042900000.0,70986310000.0,79174650000.0,70470230000.0,69657740000.0,57178340000.0,70122300000.0
2084.0,58979680000.0,79307200000.0,75429134000.0,79074150000.0,79584620000.0,70154680000.0,79384630000.0,70012950000.0,69330390000.0,56650620000.0,69770200000.0
2085.0,58446500000.0,78940135000.0,73726600000.0,79011270000.0,79583360000.0,70145720000.0,79175885000.0,69704220000.0,69130620000.0,56048760000.0,69413060000.0
2086.0,57859700000.0,81126930000.0,73379820000.0,78480200000.0,79110560000.0,69842650000.0,78519420000.0,69134660000.0,68684403000.0,55545627000.0,69033990000.0
2087.0,57606386000.0,79491510000.0,73216740000.0,78191140000.0,78566080000.0,69166146000.0,78849600000.0,68801030000.0,68078887000.0,55080970000.0,69442390000.0
2088.0,56779120000.0,80498920000.0,73246370000.0,78224286000.0,79256610000.0,69201150000.0,78639280000.0,68568883000.0,68032336000.0,54756266000.0,68799470000.0
2089.0,56178393000.0,79153520000.0,72388665000.0,78008656000.0,78571770000.0,69834695000.0,78937784000.0,68050166000.0,67552432000.0,54245890000.0,68600914000.0
2090.0,55547863000.0,78820520000.0,72103250000.0,78961400000.0,78446250000.0,68720615000.0,79191230000.0,67838440000.0,67258780000.0,53842560000.0,71184470000.0
2091.0,55217836000.0,78868500000.0,71729090000.0,78444620000.0,78516730000.0,68352205000.0,78362970000.0,67426222000.0,66642980000.0,53592040000.0,69120520000.0
2092.0,54550900000.0,79615280000.0,72011220000.0,77996770000.0,78027735000.0,68137038000.0,77914276000.0,66871947000.0,66155717000.0,53182075000.0,68221153000.0
2093.0,54258344000.0,78732894000.0,71401490000.0,77590520000.0,77726425000.0,68160380000.0,77736395000.0,66373345000.0,65691927000.0,52644760000.0,68090580000.0
2094.0,53375287000.0,78691180000.0,72297460000.0,77330630000.0,77444470000.0,67628605000.0,77514950000.0,66129314000.0,66884860000.0,52548452000.0,68738280000.0
2095.0,53086335000.0,78063985000.0,70991670000.0,78487520000.0,77413840000.0,68334110000.0,77583930000.0,65820205000.0,65048220000.0,51878820000.0,67047612000.0
2096.0,52638134000.0,78383900000.0,70371340000.0,77536180000.0,77135356000.0,67285512000.0,77180880000.0,65657480000.0,64678200000.0,52043790000.0,66831176000.0
2097.0,52039720000.0,80200750000.0,70484970000.0,77144810000.0,76877810000.0,67001274000.0,77959684000.0,65212715000.0,64499540000.0,51544474000.0,66361760000.0
2098.0,51764550000.0,79447250000.0,70029525000.0,77211620000.0,76654715000.0,66583220000.0,77283680000.0,64829096000.0,64099013000.0,50673922000.0,66030470000.0
2099.0,50909327000.0,78264530000.0,71207470000.0,77076090000.0,76513430000.0,67092316000.0,78902410000.0,64388428000.0,63781474000.0,50280354000.0,65817723000.0
2100.0,50608976000.0,79083460000.0,70325540000.0,77154100000.0,76363370000.0,67073114000.0,77031220000.0,64100696000.0,63312210000.0,49799950000.0,65519088000.0
