time,CNRM-CM5,IPSL-CM5A-LR,CSIRO-MK3-6-0,GFDL-CM3,NORESM1-M,MPI-ESM-LR,CANESM2,GISS-E2-R,GFDL-ESM2G,CESM1-CAM5,CCSM4
2019.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0,13841055000.0
2020.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0,13793167000.0
2021.0,13655887000.0,13608803000.0,13576292000.0,13574107000.0,13678429000.0,13631660000.0,13716543000.0,13603246000.0,13626345000.0,13655257000.0,13612798000.0
2022.0,13531118000.0,13467001000.0,13516111000.0,13409561000.0,13516820000.0,13490897000.0,13569409000.0,13471022000.0,13521154000.0,13599063000.0,13527706000.0
2023.0,13447777000.0,13501922000.0,13430838000.0,13194965000.0,13476894000.0,13354207000.0,13405153000.0,13332981000.0,13533451000.0,13492241000.0,13432848000.0
2024.0,13295301000.0,13272651000.0,13296648000.0,12972344000.0,13321694000.0,13244872000.0,13309574000.0,13140444000.0,13348772000.0,13313042000.0,13285666000.0
2025.0,13159688000.0,13088558000.0,13124018000.0,12760974000.0,13242643000.0,13147815000.0,13231566000.0,12978269000.0,13328852000.0,13154500000.0,13149474000.0
2026.0,13085732000.0,12882237000.0,13029465000.0,12469191000.0,13083706000.0,13015388000.0,13073809000.0,12837760000.0,13156382000.0,13045067000.0,12980126000.0
2027.0,13005091000.0,12697131000.0,12926564000.0,12178277000.0,12943585000.0,12840596000.0,13013399000.0,12649350000.0,13101369000.0,12842712000.0,12854337000.0
2028.0,12827137000.0,12709838000.0,12794127000.0,11864391000.0,12751106000.0,12683834000.0,12860879000.0,12486873000.0,12932640000.0,12760801000.0,12702213000.0
2029.0,12698201000.0,12620266000.0,12601870000.0,11565771000.0,12602152000.0,12473855000.0,12660732000.0,12363507000.0,12825081000.0,12588516000.0,12587083000.0
2030.0,12541408000.0,12299078000.0,12630337000.0,11238795000.0,12448597000.0,12286169000.0,12466494000.0,12227575000.0,12699423000.0,12522134000.0,12466234000.0
2031.0,12605521000.0,12132596000.0,12313686000.0,10971597000.0,12273245000.0,12177879000.0,12366130000.0,12065230000.0,12551292000.0,12327666000.0,12262030000.0
2032.0,12310676000.0,11976079000.0,12134780000.0,10617964000.0,12086567000.0,11957142000.0,12230690000.0,12020223000.0,12454305000.0,12139719000.0,12160122000.0
2033.0,12111591000.0,11779582000.0,11960934000.0,10328864000.0,11880336000.0,11774362000.0,12061748000.0,11805022000.0,12264676000.0,11939646000.0,12044978000.0
2034.0,11967884000.0,11593443000.0,11788281000.0,9976608000.0,11651027000.0,11771995000.0,11942623000.0,11683681000.0,12120182000.0,11804803000.0,11850228000.0
2035.0,11768652000.0,11418754000.0,11544338000.0,9669555000.0,11522970000.0,11663985000.0,11739059000.0,11534293000.0,12008226000.0,11661819000.0,11656633000.0
2036.0,11564378000.0,11232477000.0,11347235000.0,9377470000.0,11368839000.0,11451401000.0,11535076000.0,11383933000.0,11916204000.0,11453236000.0,11473449000.0
2037.0,11410983000.0,11027505000.0,11182762000.0,9068170000.0,11280373000.0,11326093000.0,11381022000.0,11403969000.0,11711900000.0,11301044000.0,11295974000.0
2038.0,11194014000.0,10968273000.0,11001848000.0,8721342000.0,11059473000.0,11218635000.0,11187113000.0,11143589000.0,11634918000.0,11081156000.0,11183666000.0
2039.0,11014268000.0,10985226000.0,10876496000.0,8418586000.0,10898346000.0,10998306000.0,11027056000.0,11144105000.0,11406651000.0,10912086000.0,11013477000.0
2040.0,10759212000.0,11014650000.0,10619811000.0,8102476000.0,10746887000.0,10795746000.0,11189373000.0,10935435000.0,11529340000.0,10755054000.0,10858018000.0
2041.0,10536401000.0,10750453000.0,10455738000.0,7835788300.0,10531277000.0,10650053000.0,10924443000.0,10846594000.0,11156368000.0,10720156000.0,10805072000.0
2042.0,10352166000.0,10793551000.0,10675193000.0,7581015000.0,10326495000.0,10530220000.0,10633672000.0,10723062000.0,11280722000.0,10494524000.0,10636332000.0
2043.0,10117912000.0,10549623000.0,10299796000.0,7291987500.0,10138697000.0,10420124000.0,10435472000.0,10550515000.0,10925331000.0,10224362000.0,10507656000.0
2044.0,9906101000.0,10382063000.0,10119245000.0,6999608300.0,9970594000.0,10427171000.0,10264887000.0,10432920000.0,10758583000.0,10073629000.0,10352664000.0
2045.0,9698063000.0,10250447000.0,9945459000.0,6792788500.0,9918985000.0,10167680000.0,10186776000.0,10333604000.0,10723326000.0,9876495000.0,10188002000.0
2046.0,9518785000.0,10465240000.0,9774967000.0,6541323300.0,9788939000.0,10022132000.0,10000339000.0,10220517000.0,10664960000.0,9832233000.0,10055824000.0
2047.0,9271260000.0,10172543000.0,9874567000.0,6300230000.0,9616030000.0,9852089000.0,9817879000.0,10090450000.0,10617207000.0,9562458000.0,9911686000.0
2048.0,9171102000.0,10029662000.0,9574287000.0,6051837400.0,9486477000.0,9701284000.0,9679821000.0,9972768000.0,10568623000.0,9574280000.0,9798587000.0
2049.0,8980499000.0,9883023000.0,9345187000.0,5836475400.0,9504497000.0,9539749000.0,9549110000.0,9853100000.0,10499048000.0,9388746000.0,9679449000.0
2050.0,8942967000.0,9754149000.0,9203370000.0,5586067000.0,9281311000.0,9462787000.0,9446085000.0,9716148000.0,10539774000.0,9208543000.0,9563290000.0
2051.0,8652148000.0,9706194000.0,9007270000.0,5401360400.0,9743955000.0,9612982000.0,9419317000.0,9629587000.0,10320894000.0,9138284000.0,9505981000.0
2052.0,8507177000.0,9525327000.0,8987470000.0,5246858000.0,9359786000.0,9291713000.0,9186620000.0,9592303000.0,10184162000.0,8998812000.0,9411491000.0
2053.0,8404228600.0,9379557000.0,9369670000.0,5122175500.0,9187165000.0,9211303000.0,9038180000.0,9523910000.0,10096069000.0,9279975000.0,9662434000.0
2054.0,8215163400.0,9309740000.0,8952279000.0,4965603000.0,9208820000.0,9374933000.0,8920787000.0,9399567000.0,9995102000.0,8809189000.0,9264716000.0
2055.0,8066359300.0,9121874000.0,8773065000.0,4790238000.0,9045590000.0,9210016000.0,8870449000.0,9322892000.0,10082619000.0,8686968000.0,9270981000.0
2056.0,8049793000.0,9042401000.0,8829384000.0,4644350500.0,9004031000.0,9317842000.0,8679247000.0,9251939000.0,9936255000.0,8564528600.0,9043915000.0
2057.0,7828215300.0,9377335000.0,8571254000.0,4526079500.0,9039088000.0,8979384000.0,8624084000.0,9149749000.0,9838696000.0,9032727000.0,9103611000.0
2058.0,7683912000.0,8925405000.0,8421705000.0,4393829400.0,8850479000.0,8843051000.0,8738297000.0,9124046000.0,9720366000.0,8380182000.0,9122522000.0
2059.0,7691135500.0,8823052000.0,8422684000.0,4271925800.0,8759875000.0,8863008000.0,8416841000.0,9014032000.0,9702206000.0,8228461600.0,8885563000.0
2060.0,7658684400.0,8736959000.0,8372158000.0,4170686000.0,8667719000.0,8746350000.0,8275283500.0,8950001000.0,9634051000.0,8258247700.0,9192063000.0
2061.0,7468648400.0,8869169000.0,8198597000.0,4062048000.0,8583030000.0,8660018000.0,8144180700.0,8962015000.0,9641760000.0,8018321400.0,8972451000.0
2062.0,7403175000.0,8577076000.0,8094892000.0,3975617000.0,8479785500.0,8683606000.0,8021709000.0,8885303000.0,9509854000.0,7945181700.0,8885664000.0
2063.0,7376015400.0,8484565000.0,8165196000.0,3902041000.0,8412944400.0,8593215000.0,7900650000.0,8855732000.0,9491637000.0,8001901000.0,8853795000.0
2064.0,7197064700.0,8383018000.0,9007998000.0,3856141000.0,8358050000.0,8735806000.0,7794197500.0,9321778000.0,9745256000.0,7735336400.0,8683588000.0
2065.0,7325402600.0,8311284700.0,8702054000.0,3762102800.0,8291304000.0,8469618000.0,7679538000.0,8809003000.0,9424601000.0,7624991000.0,8613473000.0
2066.0,7693609000.0,8268020000.0,8221321700.0,3684820000.0,8239653000.0,8399228000.0,7578552300.0,8799370000.0,9496477000.0,7585774000.0,8551920000.0
2067.0,7148672000.0,8134139400.0,8060588000.0,3620728800.0,8172535000.0,8619524000.0,7460316000.0,8692717000.0,9892384000.0,8067373600.0,9001425000.0
2068.0,7055152600.0,8054500400.0,7931119000.0,3579007000.0,8080772600.0,8445000000.0,7489600000.0,8619545000.0,9446281000.0,7495908000.0,8483244000.0
2069.0,6958314500.0,8006479400.0,7820285000.0,3517089000.0,8136443400.0,8411098000.0,7288502300.0,8620451000.0,9320762000.0,7356424700.0,8758553000.0
2070.0,6850933000.0,7985484000.0,8080907000.0,3461991200.0,7958953500.0,8263804400.0,7164136000.0,8534455000.0,9618237000.0,7254626300.0,8916764000.0
2071.0,6791092000.0,7875333600.0,7739485700.0,3410595600.0,7882246700.0,8218852400.0,7116785700.0,8641153000.0,9647153000.0,7168434000.0,8518350300.0
2072.0,6822939000.0,7745647600.0,7677524500.0,3360810200.0,7970490400.0,8272071700.0,6995199500.0,8749278000.0,9336434000.0,7086783500.0,8599215000.0
2073.0,6754101000.0,7679377000.0,7608536000.0,3400909600.0,8397701600.0,8134790000.0,6912424400.0,8582721000.0,9290800000.0,6962667500.0,8564445700.0
2074.0,6627548700.0,7567586300.0,7597646000.0,3334199300.0,8115904500.0,8421546500.0,6836056600.0,8462025700.0,9201029000.0,6878925000.0,8334287400.0
2075.0,6924122600.0,7933554000.0,7478924000.0,3262792200.0,7873419300.0,8169262000.0,7039997400.0,8419825700.0,9820641000.0,6843905000.0,8434312000.0
2076.0,6600963000.0,7561230300.0,7423365600.0,3205435400.0,7811182000.0,8329588700.0,6746768400.0,8399591400.0,9586700000.0,7192165400.0,8556755000.0
2077.0,6647256600.0,7438848500.0,7360493600.0,3169056800.0,7756763600.0,8154895000.0,6793338400.0,8303186400.0,9271504000.0,7016441000.0,8690994000.0
2078.0,6511785000.0,7307826700.0,7306600400.0,3228140300.0,7719296000.0,8281529300.0,6844772400.0,8248988000.0,9203493000.0,6735170000.0,8351832000.0
2079.0,6490581500.0,7263827000.0,7473011000.0,3258380500.0,7930073600.0,8233591300.0,6669555700.0,8393119000.0,9675890000.0,6689373700.0,8356563500.0
2080.0,6385138000.0,7200952000.0,7365884400.0,3135220500.0,7673945000.0,8007212000.0,6618844000.0,8199899000.0,9229709000.0,6581671400.0,8272964600.0
2081.0,6341954600.0,7159088000.0,7443577300.0,3095336700.0,7643789000.0,8339898000.0,6723851300.0,8377961000.0,9182739000.0,6560553500.0,8225598500.0
2082.0,6387981000.0,7774338000.0,7374776000.0,3060199200.0,7614488600.0,8281041000.0,6726440000.0,9295383000.0,9655343000.0,6491193000.0,8217893400.0
2083.0,6281625000.0,7145254400.0,7210568000.0,3033234000.0,7574665700.0,8175550500.0,6607757300.0,8737379000.0,9420163000.0,6457843700.0,8696568000.0
2084.0,6243514400.0,7839292000.0,7132244500.0,3022713000.0,7553975000.0,7972095500.0,6915983400.0,8343863000.0,9306992000.0,6521471000.0,8494523000.0
2085.0,6182279700.0,7509738500.0,7269030000.0,3045958700.0,7518546400.0,8026120000.0,7546187000.0,8405570000.0,9246596000.0,6385570000.0,8332731000.0
2086.0,6207008300.0,7398886000.0,7210183700.0,3003823000.0,7468039000.0,8568250400.0,7158476000.0,8277084700.0,9211521000.0,6334897000.0,8244090000.0
2087.0,6383545000.0,7313348600.0,7043768000.0,3067848700.0,7399614500.0,8035297300.0,6884864500.0,8218927000.0,9086404000.0,6305480700.0,8354469000.0
2088.0,6107859500.0,7149411000.0,7129782000.0,2959278300.0,7381132300.0,8659417000.0,7390945000.0,8672543000.0,9124101000.0,6746442000.0,8216292000.0
2089.0,6217172500.0,7034444300.0,7540194000.0,3126683400.0,7424980000.0,8467196400.0,7211372000.0,9033759000.0,9317794000.0,6308058000.0,8359662000.0
2090.0,6088067000.0,7058869000.0,7014572500.0,2968695600.0,7411689000.0,8003582500.0,6912642000.0,8352227000.0,9360024000.0,6207852000.0,8280610000.0
2091.0,6078488600.0,6895470000.0,7043038000.0,3024825000.0,7546235000.0,8175004700.0,7208006700.0,8353712000.0,9288702000.0,6252721000.0,8443234300.0
2092.0,6015122400.0,6873949000.0,6893217000.0,2952524800.0,7330795000.0,7962358000.0,7706972700.0,8839501000.0,9235665000.0,7037906000.0,8240128500.0
2093.0,5960533500.0,6968988000.0,7561488000.0,2930987000.0,7317263400.0,8316489000.0,7628759000.0,8460902400.0,9274003000.0,6446931500.0,8181053000.0
2094.0,5970411000.0,7083734000.0,6930807300.0,2932527900.0,7323610000.0,8070086700.0,7190718000.0,8874869000.0,9142223000.0,6182738400.0,8188385300.0
2095.0,6111240700.0,6941146600.0,6771097000.0,2912373800.0,7284379600.0,8328694300.0,7320786400.0,8901009000.0,9053695000.0,6761561000.0,8201587700.0
2096.0,5958817300.0,7080832000.0,6712407600.0,2895775000.0,7399926300.0,8164822000.0,7117932500.0,9295888000.0,9634866000.0,6246108700.0,8112753000.0
2097.0,5975786000.0,6875215400.0,6849679000.0,2903189000.0,7254968300.0,8017872400.0,7069843000.0,9299659000.0,9121043000.0,6193149000.0,8119179300.0
2098.0,5871319000.0,6917724000.0,6656206000.0,2876664600.0,7305466400.0,8021658600.0,7041390000.0,8834846000.0,9070200000.0,6338666000.0,8675943000.0
2099.0,5859351600.0,6848652000.0,6580875000.0,2870544400.0,7233725000.0,8023762000.0,6962029600.0,8919536000.0,9249543000.0,6239063000.0,8226189300.0
2100.0,5854948400.0,6853851600.0,6519679500.0,2865505800.0,7256089600.0,7984914400.0,6937523000.0,8934756000.0,9083454000.0,6278897000.0,8182621700.0
