time,MRI-ESM2-0,UKESM1-0-LL,MPI-ESM1-2-HR,IPSL-CM6A-LR,GFDL-ESM4
2057.0,102325630000.0,98760230000.0,103548950000.0,102332326000.0,102689800000.0
2058.0,102223670000.0,98237430000.0,103396860000.0,102211290000.0,102601660000.0
2059.0,102276440000.0,97695530000.0,103316760000.0,102050670000.0,102470754000.0
2060.0,102018470000.0,97236206000.0,103256530000.0,101898180000.0,102352904000.0
2061.0,101760720000.0,96797500000.0,103094125000.0,101783390000.0,102252724000.0
2062.0,101664700000.0,96330146000.0,103032090000.0,101534654000.0,102085380000.0
2063.0,102306400000.0,95807955000.0,102907280000.0,101389476000.0,101979415000.0
2064.0,101746250000.0,95130650000.0,102984520000.0,101147480000.0,102563820000.0
2065.0,102427370000.0,94505350000.0,102762460000.0,100930314000.0,101834300000.0
2066.0,101529215000.0,93914235000.0,102675120000.0,100672520000.0,101714190000.0
2067.0,101314716000.0,93373390000.0,102513450000.0,100360400000.0,101544430000.0
2068.0,101150590000.0,92826430000.0,102483485000.0,100169010000.0,101394470000.0
2069.0,101120160000.0,92134285000.0,102269846000.0,99988914000.0,101235450000.0
2070.0,100899910000.0,91480490000.0,102178590000.0,99808460000.0,101244190000.0
2071.0,100666520000.0,90746140000.0,102178820000.0,99291775000.0,101087674000.0
2072.0,100406870000.0,90019920000.0,102117220000.0,98843110000.0,100869500000.0
2073.0,100300325000.0,89116630000.0,102059130000.0,98590155000.0,100717625000.0
2074.0,99926930000.0,88436020000.0,101986560000.0,98149820000.0,100796590000.0
2075.0,100375390000.0,87479360000.0,101844780000.0,97663920000.0,100568830000.0
2076.0,99953740000.0,86775830000.0,101695560000.0,97406710000.0,100317450000.0
2077.0,99219580000.0,85665410000.0,101500030000.0,96813890000.0,100262896000.0
2078.0,99125180000.0,84775805000.0,101320550000.0,96151790000.0,100062446000.0
2079.0,98753670000.0,83736310000.0,101211726000.0,95780380000.0,99824710000.0
2080.0,98420840000.0,82215070000.0,101124880000.0,95342354000.0,99584650000.0
2081.0,97954300000.0,81280600000.0,100876620000.0,94707790000.0,99395355000.0
2082.0,97614455000.0,80153166000.0,100726235000.0,93788180000.0,99229710000.0
2083.0,97673630000.0,79368810000.0,100574060000.0,93100430000.0,99088410000.0
2084.0,97141580000.0,78322590000.0,100403585000.0,92361860000.0,98763460000.0
2085.0,96766525000.0,77351805000.0,100521880000.0,91783460000.0,98455220000.0
2086.0,96750430000.0,76286886000.0,100159906000.0,91140190000.0,98427210000.0
2087.0,96402850000.0,75175060000.0,99953520000.0,90282295000.0,98029970000.0
2088.0,95884575000.0,74142835000.0,99678200000.0,89412320000.0,97719640000.0
2089.0,95792210000.0,73050300000.0,99603130000.0,88197530000.0,97598890000.0
2090.0,95281955000.0,71853270000.0,99354550000.0,87096840000.0,97217710000.0
2091.0,94842680000.0,70673424000.0,99177390000.0,86215060000.0,97125170000.0
2092.0,94351960000.0,69542870000.0,98954060000.0,85131600000.0,96819890000.0
2093.0,93898000000.0,68184895000.0,99189326000.0,84432960000.0,96495436000.0
2094.0,93469880000.0,66954540000.0,99309355000.0,83632850000.0,96277320000.0
2095.0,93195630000.0,65707530000.0,98583450000.0,82654870000.0,96137210000.0
2096.0,92679710000.0,64417944000.0,98326710000.0,81653700000.0,95901794000.0
2097.0,92119250000.0,63133110000.0,98127405000.0,80704760000.0,95596320000.0
2098.0,91664850000.0,61993255000.0,98300260000.0,79562646000.0,95314240000.0
2099.0,91348115000.0,60902950000.0,97793780000.0,78512850000.0,94974150000.0
2100.0,91102130000.0,59701940000.0,97588560000.0,77504750000.0,94684725000.0
