time,CCSM4,NORESM1-M,GFDL-CM3,IPSL-CM5A-LR,MPI-ESM-LR,GFDL-ESM2G,CANESM2,GISS-E2-R,CNRM-CM5,CSIRO-MK3-6-0,CESM1-CAM5
2015.0,14467463000.0,14467463000.0,14467463000.0,14467463000.0,14467463000.0,14467463000.0,14467463000.0,14467463000.0,14467463000.0,14467463000.0,14467463000.0
2016.0,14411967000.0,14411967000.0,14411967000.0,14411967000.0,14411967000.0,14411967000.0,14411967000.0,14411967000.0,14411967000.0,14411967000.0,14411967000.0
2017.0,14320048000.0,14320048000.0,14320048000.0,14320048000.0,14320048000.0,14320048000.0,14320048000.0,14320048000.0,14320048000.0,14320048000.0,14320048000.0
2018.0,14235409000.0,14235409000.0,14235409000.0,14235409000.0,14235409000.0,14235409000.0,14235409000.0,14235409000.0,14235409000.0,14235409000.0,14235409000.0
2019.0,14121947000.0,14121947000.0,14121947000.0,14121947000.0,14121947000.0,14121947000.0,14121947000.0,14121947000.0,14121947000.0,14121947000.0,14121947000.0
2020.0,14072377000.0,14072377000.0,14072377000.0,14072377000.0,14072377000.0,14072377000.0,14072377000.0,14072377000.0,14072377000.0,14072377000.0,14072377000.0
2021.0,13898183000.0,13958493000.0,13857848000.0,13891964000.0,13913874000.0,13910352000.0,13999604000.0,13888494000.0,13935432000.0,13857844000.0,13935025000.0
2022.0,13804198000.0,13797827000.0,13692636000.0,13747318000.0,13772412000.0,13800062000.0,13847780000.0,13750927000.0,13810210000.0,13792220000.0,13873826000.0
2023.0,13708942000.0,13751991000.0,13472299000.0,13774676000.0,13629990000.0,13804229000.0,13682747000.0,13610034000.0,13723158000.0,13705773000.0,13760285000.0
2024.0,13565385000.0,13599366000.0,13251219000.0,13550158000.0,13522168000.0,13624082000.0,13588791000.0,13420369000.0,13572662000.0,13574280000.0,13589190000.0
2025.0,13428225000.0,13523430000.0,13026739000.0,13365612000.0,13421655000.0,13600425000.0,13502742000.0,13250598000.0,13438361000.0,13398448000.0,13430362000.0
2026.0,13250000000.0,13356859000.0,12730846000.0,13154403000.0,13282451000.0,13431465000.0,13341986000.0,13108644000.0,13357536000.0,13301626000.0,13314196000.0
2027.0,13120505000.0,13212715000.0,12428008000.0,12964189000.0,13104992000.0,13367135000.0,13276123000.0,12909755000.0,13272876000.0,13197891000.0,13108112000.0
2028.0,12968401000.0,13016907000.0,12105199000.0,12967450000.0,12947862000.0,13197509000.0,13122450000.0,12742168000.0,13094948000.0,13069766000.0,13018154000.0
2029.0,12850011000.0,12857843000.0,11787275000.0,12874474000.0,12731044000.0,13087258000.0,12922878000.0,12610823000.0,12962073000.0,12867052000.0,12844874000.0
2030.0,12717242000.0,12700398000.0,11449597000.0,12538825000.0,12529036000.0,12958939000.0,12716971000.0,12468934000.0,12797984000.0,12889074000.0,12774329000.0
2031.0,12504500000.0,12514178000.0,11165995000.0,12371619000.0,12419228000.0,12809865000.0,12606549000.0,12297885000.0,12850563000.0,12566571000.0,12572716000.0
2032.0,12389619000.0,12316159000.0,10819041000.0,12202395000.0,12189853000.0,12702055000.0,12468878000.0,12248602000.0,12555064000.0,12386240000.0,12378241000.0
2033.0,12272584000.0,12108274000.0,10513034000.0,12003196000.0,11998168000.0,12508283000.0,12293720000.0,12021442000.0,12346696000.0,12206559000.0,12174197000.0
2034.0,12074363000.0,11865083000.0,10144647000.0,11815828000.0,11988121000.0,12353578000.0,12177740000.0,11902159000.0,12193116000.0,12030582000.0,12033087000.0
2035.0,11867325000.0,11729464000.0,9836294000.0,11631181000.0,11875466000.0,12234795000.0,11960165000.0,11744896000.0,11986612000.0,11776349000.0,11882454000.0
2036.0,11682419000.0,11579023000.0,9534055000.0,11435741000.0,11661033000.0,12135514000.0,11750556000.0,11594420000.0,11776260000.0,11565596000.0,11665032000.0
2037.0,11496381000.0,11484191000.0,9211869000.0,11224591000.0,11531288000.0,11929147000.0,11583826000.0,11611241000.0,11605298000.0,11395731000.0,11507350000.0
2038.0,11379952000.0,11258658000.0,8867431000.0,11154754000.0,11416985000.0,11843488000.0,11388114000.0,11345687000.0,11389541000.0,11206652000.0,11283074000.0
2039.0,11206591000.0,11092598000.0,8555359000.0,11169880000.0,11195027000.0,11614226000.0,11216897000.0,11337095000.0,11205946000.0,11068512000.0,11099564000.0
2040.0,11051086000.0,10926253000.0,8232989700.0,11215785000.0,10990796000.0,11728551000.0,11380908000.0,11126481000.0,10952900000.0,10809444000.0,10938772000.0
2041.0,10987280000.0,10709215000.0,7956259300.0,10945815000.0,10839244000.0,11348415000.0,11109462000.0,11031336000.0,10724445000.0,10643552000.0,10897149000.0
2042.0,10816349000.0,10499260000.0,7695707000.0,10988837000.0,10709753000.0,11468475000.0,10810165000.0,10907307000.0,10532874000.0,10870911000.0,10669952000.0
2043.0,10681428000.0,10307835000.0,7399023600.0,10737569000.0,10593311000.0,11109570000.0,10614366000.0,10738050000.0,10292905000.0,10489645000.0,10399667000.0
2044.0,10527387000.0,10132329000.0,7094179000.0,10565879000.0,10606566000.0,10951591000.0,10442952000.0,10608806000.0,10085758000.0,10305577000.0,10231509000.0
2045.0,10364844000.0,10087023000.0,6880571400.0,10426223000.0,10342685000.0,10909006000.0,10356529000.0,10512827000.0,9875266000.0,10124115000.0,10029742000.0
2046.0,10225757000.0,9952902000.0,6634877400.0,10636840000.0,10194194000.0,10850468000.0,10161172000.0,10401038000.0,9676751000.0,9935821000.0,9988890000.0
2047.0,10076065000.0,9757331000.0,6383307300.0,10338206000.0,10020816000.0,10803037000.0,9975395000.0,10257624000.0,9423054000.0,10035034000.0,9706724000.0
2048.0,9957554000.0,9628571000.0,6121982500.0,10200946000.0,9853686000.0,10752110000.0,9832382000.0,10128624000.0,9319436000.0,9731324000.0,9718268000.0
2049.0,9828008000.0,9650727000.0,5899521500.0,10046731000.0,9688977000.0,10668810000.0,9687726000.0,10002802000.0,9137450000.0,9491462000.0,9532896000.0
2050.0,9699766000.0,9415864000.0,5644000000.0,9912018000.0,9602353000.0,10701065000.0,9583357000.0,9854274000.0,9089337000.0,9348795000.0,9341983000.0
2051.0,9641644000.0,9890180000.0,5469780000.0,9863292000.0,9747680000.0,10480945000.0,9554059000.0,9762663000.0,8791108000.0,9144123000.0,9267271000.0
2052.0,9541587000.0,9495401000.0,5311000600.0,9676549000.0,9414264000.0,10342024000.0,9305571000.0,9724346000.0,8630083000.0,9112138000.0,9119199000.0
2053.0,9797266000.0,9316895000.0,5182484000.0,9521268000.0,9333976000.0,10253180000.0,9165495000.0,9661862000.0,8522109000.0,9504799000.0,9400910000.0
2054.0,9378693000.0,9339026000.0,5009814000.0,9449296000.0,9497462000.0,10136659000.0,9039189000.0,9529378000.0,8336145000.0,9067815000.0,8913227000.0
2055.0,9392095000.0,9166503000.0,4837873000.0,9252044000.0,9325667000.0,10214718000.0,8980291000.0,9446520000.0,8181572600.0,8889308000.0,8787871000.0
2056.0,9168984000.0,9118941000.0,4668804000.0,9166951000.0,9431622000.0,10070422000.0,8782277000.0,9374004000.0,8166959600.0,8961592000.0,8664701000.0
2057.0,9224484000.0,9145706000.0,4557066000.0,9510026000.0,9086011000.0,9969002000.0,8723480000.0,9265711000.0,7957597700.0,8679578000.0,9143523000.0
2058.0,9235998000.0,8943014000.0,4419657700.0,9043973000.0,8946330000.0,9853614000.0,8833349000.0,9234389000.0,7803785700.0,8533649400.0,8471340500.0
2059.0,8988037000.0,8853690000.0,4291003600.0,8933364000.0,8957735000.0,9833497000.0,8512173600.0,9125105000.0,7815058000.0,8529543000.0,8309300700.0
2060.0,9281714000.0,8757684000.0,4177735700.0,8850034000.0,8843495000.0,9759089000.0,8364335600.0,9056787000.0,7774110000.0,8474990600.0,8341990400.0
2061.0,9058257000.0,8673752000.0,4078015500.0,8976580000.0,8748302000.0,9758574000.0,8236145700.0,9061669000.0,7580262400.0,8319603700.0,8083495000.0
2062.0,8967801000.0,8566813700.0,4002851000.0,8683714000.0,8767577000.0,9626384000.0,8109846000.0,8978042000.0,7520223700.0,8219196400.0,8013584000.0
2063.0,8937623000.0,8486171000.0,3925047000.0,8581039000.0,8680476000.0,9603331000.0,7982178000.0,8949416000.0,7494213600.0,8288475600.0,8068261000.0
2064.0,8767680000.0,8428558000.0,3882493000.0,8483097600.0,8824057000.0,9859054000.0,7870153700.0,9423225000.0,7307864000.0,9146268000.0,7806661000.0
2065.0,8694436000.0,8365331000.0,3779745800.0,8421131000.0,8550091000.0,9529400000.0,7748928000.0,8901597000.0,7417607700.0,8843020000.0,7699554300.0
2066.0,8636777000.0,8316595700.0,3709783800.0,8385294300.0,8480984600.0,9604726000.0,7642297000.0,8891476000.0,7807989000.0,8350083000.0,7649874000.0
2067.0,9103161000.0,8245758500.0,3649075500.0,8253910000.0,8704694000.0,10005364000.0,7532206000.0,8785275000.0,7246073300.0,8197780500.0,8143246000.0
2068.0,8565420000.0,8156119000.0,3592103200.0,8177880600.0,8526011000.0,9552308000.0,7555518000.0,8708796000.0,7150335000.0,8054908400.0,7556546600.0
2069.0,8853469000.0,8213957000.0,3539475500.0,8125838000.0,8484491000.0,9422037000.0,7350232000.0,8712022000.0,7046533600.0,7949204000.0,7416104400.0
2070.0,9015144000.0,8039840000.0,3476760800.0,8094496000.0,8331219000.0,9727880000.0,7229843000.0,8626172000.0,6947963400.0,8216129000.0,7317306000.0
2071.0,8606990000.0,7961968000.0,3436284000.0,7984695300.0,8289687600.0,9756036000.0,7187332000.0,8728863000.0,6883400700.0,7853703700.0,7228260000.0
2072.0,8687412000.0,8058227700.0,3385163300.0,7862893000.0,8346450400.0,9445296000.0,7068952000.0,8846469000.0,6912753700.0,7794769000.0,7151082500.0
2073.0,8652196000.0,8487920600.0,3429893400.0,7790095000.0,8202907000.0,9395065000.0,6989639700.0,8677767000.0,6849482000.0,7723581400.0,7028097500.0
2074.0,8417321500.0,8203568600.0,3349318000.0,7684989400.0,8493008000.0,9294023000.0,6917989000.0,8550511000.0,6717306000.0,7722463000.0,6953274000.0
2075.0,8512652000.0,7956270600.0,3278167800.0,8058182700.0,8241271000.0,9932091000.0,7118037000.0,8508010000.0,7021382700.0,7601278000.0,6915595300.0
2076.0,8637483000.0,7897010000.0,3219222800.0,7679651300.0,8400912000.0,9685642000.0,6831627000.0,8495666000.0,6694243300.0,7550637600.0,7265515000.0
2077.0,8777571000.0,7844787000.0,3182340400.0,7553679000.0,8230764000.0,9365211000.0,6869172700.0,8396815400.0,6735287300.0,7487366700.0,7078212000.0
2078.0,8437533700.0,7804635600.0,3248958000.0,7417081300.0,8364890600.0,9293841000.0,6918134000.0,8345052000.0,6598875600.0,7435083300.0,6800120300.0
2079.0,8441553000.0,8014412000.0,3285561300.0,7365640700.0,8313534500.0,9774227000.0,6743312000.0,8489200600.0,6578006500.0,7593893400.0,6750992400.0
2080.0,8357638000.0,7765405700.0,3154687000.0,7307083300.0,8086930000.0,9321438000.0,6698857500.0,8290769000.0,6476899300.0,7477785000.0,6638747600.0
2081.0,8310822000.0,7735581000.0,3121000200.0,7270015500.0,8414217700.0,9279437000.0,6800739300.0,8475675000.0,6428684300.0,7555500500.0,6606308400.0
2082.0,8301095400.0,7712687000.0,3079199700.0,7896081400.0,8361343500.0,9758448000.0,6796018700.0,9408903000.0,6468141600.0,7478386700.0,6530998000.0
2083.0,8781179000.0,7666215400.0,3052912600.0,7244784000.0,8255977500.0,9517556000.0,6677004300.0,8841961000.0,6363688000.0,7305554400.0,6504938000.0
2084.0,8584644000.0,7640360400.0,3036625400.0,7949013500.0,8053618700.0,9403863000.0,6993802000.0,8440760000.0,6323369500.0,7225638400.0,6579239000.0
2085.0,8427727400.0,7611713500.0,3061908000.0,7617363500.0,8109021700.0,9347314000.0,7636228600.0,8504299500.0,6270483500.0,7368732700.0,6443752000.0
2086.0,8336606000.0,7556539000.0,3024351200.0,7501103600.0,8654324000.0,9308792000.0,7244448300.0,8370708000.0,6297864700.0,7307771400.0,6394474000.0
2087.0,8442190300.0,7483474000.0,3084597500.0,7409839600.0,8110881300.0,9187814000.0,6956201500.0,8315817500.0,6477578000.0,7133579000.0,6371797000.0
2088.0,8306056700.0,7467988000.0,2990190800.0,7238818000.0,8755758000.0,9224475000.0,7464070000.0,8782061000.0,6196550000.0,7221877000.0,6820635600.0
2089.0,8450902500.0,7510576600.0,3156607000.0,7124545500.0,8555571000.0,9429431000.0,7284016600.0,9142795000.0,6308714500.0,7631192000.0,6370966500.0
2090.0,8368208000.0,7495267300.0,2988082700.0,7152176000.0,8078630400.0,9463161000.0,6975709700.0,8449938400.0,6176896500.0,7101633500.0,6268221000.0
2091.0,8532521500.0,7628292000.0,3044257300.0,6985131500.0,8247250000.0,9392783000.0,7274509300.0,8447572500.0,6169496000.0,7126216700.0,6320473600.0
2092.0,8326654500.0,7401652700.0,2971235000.0,6965588500.0,8036043000.0,9334691000.0,7784221000.0,8942482000.0,6097003500.0,6977375700.0,7112889000.0
2093.0,8270968300.0,7386232300.0,2947769600.0,7060543000.0,8397252000.0,9378220000.0,7696208000.0,8553198600.0,6040016400.0,7654490000.0,6508224500.0
2094.0,8278452000.0,7390073300.0,2950964000.0,7174203400.0,8151657000.0,9246947000.0,7256283600.0,8974589000.0,6053987300.0,7021031000.0,6242805000.0
2095.0,8289576000.0,7354924500.0,2935088600.0,7022333000.0,8417649700.0,9149562000.0,7387669000.0,9006426000.0,6182082600.0,6857176000.0,6829694500.0
2096.0,8202781000.0,7469797400.0,2921274600.0,7167339000.0,8239804400.0,9733931000.0,7192083500.0,9398643000.0,6026354700.0,6798025000.0,6310677500.0
2097.0,8207283000.0,7327080400.0,2925065200.0,6952566000.0,8093462500.0,9214514000.0,7142190000.0,9404001000.0,6045475000.0,6937460000.0,6254425600.0
2098.0,8766736000.0,7380757000.0,2901987300.0,6993500700.0,8094780400.0,9157108000.0,7113352000.0,8929874000.0,5950537000.0,6733561300.0,6404293000.0
2099.0,8307780000.0,7311336400.0,2893305900.0,6923826000.0,8101419000.0,9339093000.0,7029275600.0,9026844000.0,5942151000.0,6663744500.0,6302454300.0
2100.0,8266565000.0,7331617000.0,2887845000.0,6934299600.0,8057892400.0,9166518000.0,7001362000.0,9038408000.0,5931438000.0,6599170000.0,6333901000.0
