time,MRI-ESM2-0,EC-EARTH3-VEG,CAMS-CSM1-0,GFDL-ESM4
2063.0,5605868700000.0,4715206000000.0,6151976000000.0,6408178000000.0
2064.0,5520009700000.0,4638569000000.0,6122824500000.0,6398670300000.0
2065.0,5455669000000.0,4546137000000.0,6091196300000.0,6385471000000.0
2066.0,5367106400000.0,4457111000000.0,6054550700000.0,6368150000000.0
2067.0,5339620000000.0,4376982000000.0,6030081000000.0,6361752500000.0
2068.0,5266628000000.0,4295538500000.0,5991782000000.0,6352273000000.0
2069.0,5212982500000.0,4221313000000.0,5979284000000.0,6310341000000.0
2070.0,5138090600000.0,4143940600000.0,5960495500000.0,6306092000000.0
2071.0,5070974000000.0,4057865000000.0,5927186500000.0,6285882300000.0
2072.0,5016296000000.0,3965817200000.0,5913475000000.0,6262666300000.0
2073.0,4953622000000.0,3887971400000.0,5891842000000.0,6244405300000.0
2074.0,4898957600000.0,3828679200000.0,5856678000000.0,6226139700000.0
2075.0,4831410000000.0,3775513500000.0,5827738000000.0,6207749000000.0
2076.0,4763516700000.0,3706949000000.0,5787950000000.0,6201238000000.0
2077.0,4711816000000.0,3640663000000.0,5762440000000.0,6181383000000.0
2078.0,4644603400000.0,3562003800000.0,5755811000000.0,6164878700000.0
2079.0,4564679000000.0,3494596300000.0,5731357000000.0,6165881700000.0
2080.0,4509838000000.0,3441524200000.0,5736776600000.0,6145995000000.0
2081.0,4476313000000.0,3401350600000.0,5719380700000.0,6129949600000.0
2082.0,4438643700000.0,3353974700000.0,5713281000000.0,6104816300000.0
2083.0,4393248500000.0,3294670000000.0,5694542600000.0,6093900600000.0
2084.0,4363256000000.0,3226606500000.0,5683131400000.0,6077731000000.0
2085.0,4351485000000.0,3166286000000.0,5661627000000.0,6069558400000.0
2086.0,4305677500000.0,3118766000000.0,5633213500000.0,6057532000000.0
2087.0,4281389500000.0,3055916700000.0,5613259600000.0,6044692500000.0
2088.0,4254691500000.0,3007838200000.0,5607984700000.0,6044465000000.0
2089.0,4238322400000.0,2947327000000.0,5573787000000.0,6014429000000.0
2090.0,4205709000000.0,2887049300000.0,5561498000000.0,6009364400000.0
2091.0,4184736800000.0,2832773200000.0,5533766000000.0,5990676700000.0
2092.0,4167433700000.0,2773588600000.0,5536251000000.0,5971287500000.0
2093.0,4143214800000.0,2718539200000.0,5519540500000.0,5959406000000.0
2094.0,4121067800000.0,2655429900000.0,5509837500000.0,5947878000000.0
2095.0,4079579300000.0,2611497400000.0,5487799000000.0,5936753000000.0
2096.0,4060107800000.0,2562886500000.0,5472957500000.0,5922684400000.0
2097.0,4031433700000.0,2498682400000.0,5454824000000.0,5910655000000.0
2098.0,3990972500000.0,2440474100000.0,5437208000000.0,5903062000000.0
2099.0,3963717200000.0,2393410000000.0,5425445500000.0,5886048000000.0
2100.0,3924139200000.0,2344942000000.0,5421570000000.0,5867030000000.0
