time,NORESM1-M,CESM1-CAM5,CSIRO-MK3-6-0,MPI-ESM-LR
2101.0,33583027000000.0,24753240000000.0,27495334000000.0,35785190000000.0
2102.0,33426260000000.0,24507367000000.0,27186883000000.0,35708585000000.0
2103.0,33286378000000.0,24201403000000.0,26934830000000.0,35545780000000.0
2104.0,33141985000000.0,23919740000000.0,26605280000000.0,35459267000000.0
2105.0,33069927000000.0,23594766000000.0,26369453000000.0,35382790000000.0
2106.0,32864677000000.0,23329516000000.0,26125231000000.0,35359157000000.0
2107.0,32747972000000.0,23012204000000.0,25829063000000.0,35331480000000.0
2108.0,32606911000000.0,22631697000000.0,25539178000000.0,35227133000000.0
2109.0,32410536000000.0,22292078000000.0,25290328000000.0,35107010000000.0
2110.0,32295933000000.0,22093337000000.0,24955505000000.0,35076522000000.0
2111.0,32239033000000.0,21875067000000.0,24770937000000.0,34924157000000.0
2112.0,32056130000000.0,21581254000000.0,24412600000000.0,34841276000000.0
2113.0,31976925000000.0,21317384000000.0,24122535000000.0,34751709000000.0
2114.0,31828728000000.0,21061255000000.0,23825803000000.0,34619697000000.0
2115.0,31613876000000.0,20633665000000.0,23473871000000.0,34498964000000.0
2116.0,31408423000000.0,20302168000000.0,23272723000000.0,34442983000000.0
2117.0,31301545000000.0,20049958000000.0,23045640000000.0,34327522000000.0
2118.0,31199467000000.0,19767440000000.0,22834244000000.0,34305780000000.0
2119.0,31006474000000.0,19371437000000.0,22676968000000.0,34192035000000.0
2120.0,30904724000000.0,19021735000000.0,22509223000000.0,34089510000000.0
2121.0,30743835000000.0,18790197000000.0,22314549000000.0,33982475000000.0
2122.0,30629972000000.0,18648404000000.0,22101252000000.0,33871752000000.0
2123.0,30499780000000.0,18404631000000.0,21882066000000.0,33746372000000.0
2124.0,30416690000000.0,18149152000000.0,21689665000000.0,33680133000000.0
2125.0,30293986000000.0,17934760000000.0,21522207000000.0,33531865000000.0
2126.0,30155079000000.0,17594580000000.0,21342040000000.0,33375002000000.0
2127.0,29962063000000.0,17311002000000.0,21153836000000.0,33120150000000.0
2128.0,29820220000000.0,17120780000000.0,20971893000000.0,32931051000000.0
2129.0,29716745000000.0,16918592000000.0,20807420000000.0,32842828000000.0
2130.0,29582328000000.0,16736500000000.0,20615560000000.0,32792340000000.0
2131.0,29511855000000.0,16517936000000.0,20481139000000.0,32793489000000.0
2132.0,29367197000000.0,16280645000000.0,20233222000000.0,32783158000000.0
