time,MPI-ESM-LR,CCSM4,CSIRO-MK3-6-0
2255.0,185963280.0,132899020.0,24158872.0
2256.0,179217940.0,128932990.0,24137086.0
2257.0,176876240.0,123790680.0,23933240.0
2258.0,172930660.0,123424690.0,24057346.0
2259.0,170055170.0,124117980.0,23966298.0
2260.0,166566180.0,122462936.0,23815164.0
2261.0,165004100.0,122376300.0,23729572.0
2262.0,164473890.0,123030050.0,23638836.0
2263.0,163356860.0,116899470.0,23489818.0
2264.0,162092740.0,114175470.0,23480952.0
2265.0,162677650.0,112204120.0,23382204.0
2266.0,156853140.0,107514620.0,23411172.0
2267.0,158400910.0,108088540.0,23165620.0
2268.0,152854380.0,108406616.0,23154922.0
2269.0,148353890.0,104506740.0,23249632.0
2270.0,146230860.0,102311380.0,22983292.0
2271.0,141953540.0,99722250.0,22835422.0
2272.0,141878200.0,101041704.0,22696420.0
2273.0,140730450.0,102367430.0,22339092.0
2274.0,138861390.0,100137816.0,21885376.0
2275.0,139841840.0,98333060.0,21538148.0
2276.0,141704940.0,97540270.0,21285410.0
2277.0,137588510.0,95340250.0,21013764.0
2278.0,140602380.0,93455304.0,20953700.0
2279.0,134967970.0,92692310.0,20797152.0
2280.0,132528950.0,91645450.0,20722782.0
2281.0,132461650.0,88134344.0,20185194.0
2282.0,129877570.0,88920980.0,20261738.0
2283.0,130467620.0,86787210.0,19914188.0
2284.0,127491570.0,84732100.0,19711828.0
2285.0,126440210.0,83611960.0,19614980.0
2286.0,126819210.0,85034696.0,19661268.0
2287.0,127799816.0,84614840.0,19594326.0
2288.0,126879180.0,84718830.0,19765406.0
2289.0,126041240.0,82779210.0,19507926.0
2290.0,125935704.0,81461860.0,19305176.0
2291.0,123096696.0,81412960.0,19122048.0
2292.0,121760984.0,82539740.0,19312044.0
2293.0,120131870.0,81495430.0,19155086.0
2294.0,115491660.0,81104960.0,18946994.0
2295.0,115134230.0,81005020.0,18790098.0
2296.0,112463550.0,79586840.0,18668108.0
2297.0,109118520.0,79332370.0,18972584.0
2298.0,106426110.0,79017870.0,18748898.0
2299.0,104470520.0,79562220.0,18553116.0
2300.0,100914180.0,78355224.0,18527272.0
