time,GFDL-CM3,CCSM4,NORESM1-M,CANESM2,CSIRO-MK3-6-0,IPSL-CM5A-LR,GISS-E2-R,MPI-ESM-LR,CNRM-CM5,GFDL-ESM2G
2073.0,7598853600.0,8621125000.0,8557789700.0,8226128000.0,10365916000.0,6646045700.0,8327145500.0,8697586000.0,9439325000.0,9188289000.0
2074.0,7529517600.0,8554576000.0,8498112500.0,8086819300.0,10315286000.0,6566343700.0,8238767000.0,8627293000.0,9334616000.0,9129257000.0
2075.0,7424897000.0,8488291000.0,8409444400.0,8032193500.0,10290356000.0,6433103400.0,8168612400.0,8573888000.0,9270212000.0,9068795000.0
2076.0,7339035600.0,8403200000.0,8333128000.0,7908270600.0,10278384000.0,6341684700.0,8118042600.0,8521801000.0,9211320000.0,9016505000.0
2077.0,7271819300.0,8332271000.0,8224183000.0,7830378500.0,10263597000.0,6219192300.0,8060797400.0,8463082000.0,9144688000.0,8956410000.0
2078.0,7181757000.0,8251577000.0,8120884700.0,7757060000.0,10262308000.0,6128466000.0,7981075000.0,8401215500.0,9058777000.0,8890345000.0
2079.0,7102121500.0,8152843000.0,8049191400.0,7648380000.0,10197003000.0,6024243700.0,7938610000.0,8356140500.0,9007191000.0,8824320000.0
2080.0,6990921700.0,8083697700.0,7993641000.0,7565196300.0,10161645000.0,5931164700.0,7904222000.0,8315212000.0,8939163000.0,8770338000.0
2081.0,6884483000.0,8022750700.0,7898108400.0,7518983700.0,10124828000.0,5833672700.0,7829589000.0,8230907000.0,8854269000.0,8698746000.0
2082.0,6793161700.0,7941119000.0,7842755000.0,7473751000.0,10088581000.0,5752708000.0,7778164700.0,8198658000.0,8786888000.0,8612100000.0
2083.0,6709372400.0,7847620600.0,7774408700.0,7380671500.0,10020901000.0,5688093000.0,7721577000.0,8162343400.0,8705234000.0,8547408000.0
2084.0,6651189000.0,7787267000.0,7682417000.0,7269023000.0,9975684000.0,5607921700.0,7676248600.0,8097634300.0,8654494000.0,8478154000.0
2085.0,6558739500.0,7715465700.0,7585336000.0,7135580000.0,9942177000.0,5506370600.0,7623090700.0,8027254000.0,8561877000.0,8405379000.0
2086.0,6447635500.0,7623572500.0,7543227000.0,7001764400.0,9935737000.0,5449816000.0,7579446300.0,7968558600.0,8528513500.0,8304338000.0
2087.0,6353999000.0,7563053600.0,7474605000.0,6954143000.0,9890339000.0,5361863000.0,7539742700.0,7916352000.0,8454633500.0,8232520700.0
2088.0,6289823000.0,7492852000.0,7409741300.0,6869790700.0,9846016000.0,5281670700.0,7500201000.0,7802100000.0,8381026000.0,8106330600.0
2089.0,6199419400.0,7414445000.0,7329341400.0,6805901000.0,9793650000.0,5201007000.0,7460761000.0,7734556700.0,8297465300.0,8003834400.0
2090.0,6103318500.0,7296086000.0,7226376700.0,6724459500.0,9746820000.0,5108252700.0,7386363400.0,7659246600.0,8231837700.0,7948529700.0
2091.0,6012807700.0,7243674000.0,7140085000.0,6673432000.0,9686999000.0,5024375000.0,7362282500.0,7578523600.0,8149902000.0,7848656000.0
2092.0,5915346000.0,7138669600.0,7067008000.0,6603805700.0,9633535000.0,4921212400.0,7341699000.0,7527528000.0,8045858300.0,7774701000.0
2093.0,5796973000.0,7048807400.0,6973485000.0,6545453000.0,9555049000.0,4815912400.0,7268049400.0,7470784500.0,8001640000.0,7651079700.0
2094.0,5713361400.0,6984410600.0,6898407400.0,6482733000.0,9510268000.0,4752550400.0,7239928300.0,7415707600.0,7942447600.0,7578772500.0
2095.0,5607924700.0,6859481000.0,6817960000.0,6407027700.0,9451790000.0,4693886000.0,7197777000.0,7359134000.0,7883832300.0,7477385000.0
2096.0,5522151000.0,6796533000.0,6787738600.0,6316645400.0,9388646000.0,4611425300.0,7142970400.0,7263389000.0,7788678000.0,7405346300.0
2097.0,5432036000.0,6725487000.0,6681464000.0,6209024000.0,9317776000.0,4562271700.0,7097754600.0,7212182000.0,7722425300.0,7310673400.0
2098.0,5334620000.0,6682047000.0,6631593000.0,6143690000.0,9245783000.0,4483468000.0,7062209000.0,7136228000.0,7655643600.0,7210074600.0
2099.0,5260273000.0,6596707000.0,6557604000.0,6058267600.0,9225757000.0,4393822700.0,7038549500.0,7097086000.0,7572028400.0,7102806000.0
2100.0,5149178400.0,6553319000.0,6528976000.0,5971377000.0,9162111000.0,4317155300.0,6980078000.0,7038350300.0,7470659600.0,7000638500.0
