time,CESM2,BCC-CSM2-MR,MPI-ESM1-2-HR,INM-CM5-0,CAMS-CSM1-0,NORESM2-MM,FGOALS-F3-L,EC-EARTH3-VEG,GFDL-ESM4,CESM2-WACCM,EC-EARTH3,INM-CM4-8,MRI-ESM2-0
2029.0,33557199000.0,33586915000.0,33551712000.0,33492355000.0,33516691000.0,33630933000.0,33581554000.0,33480070000.0,33605648000.0,33635858000.0,33405196000.0,33606384000.0,33573257000.0
2030.0,33514588000.0,33572893000.0,33533446000.0,33462876000.0,33497088000.0,33624136000.0,33540060000.0,33452892000.0,33578205000.0,33638570000.0,33362141000.0,33583049000.0,33536340000.0
2031.0,33485894000.0,33546914000.0,33508735000.0,33420556000.0,33474460000.0,33600598000.0,33494591000.0,33422733000.0,33568106000.0,33629858000.0,33293220000.0,33551940000.0,33510547000.0
2032.0,33451545000.0,33520017000.0,33488228000.0,33390141000.0,33451528000.0,33596471000.0,33477272000.0,33399683000.0,33563460000.0,33597178000.0,33200722000.0,33538763000.0,33464703000.0
2033.0,33412719000.0,33495437000.0,33458710000.0,33323215000.0,33421095000.0,33594739000.0,33463017000.0,33359606000.0,33552077000.0,33636690000.0,33160624000.0,33538896000.0,33438650000.0
2034.0,33372950000.0,33457598000.0,33409671000.0,33308342000.0,33386424000.0,33574707000.0,33412119000.0,33300038000.0,33521533000.0,33572650000.0,33090310000.0,33512310000.0,33399340000.0
2035.0,33326602000.0,33444657000.0,33394168000.0,33248315000.0,33310233000.0,33568860000.0,33337723000.0,33264580000.0,33498948000.0,33543280000.0,33020103000.0,33486268000.0,33353850000.0
2036.0,33281264000.0,33413693000.0,33332908000.0,33196214000.0,33267466000.0,33540571000.0,33300736000.0,33240265000.0,33512473000.0,33531191000.0,32917803000.0,33473870000.0,33314760000.0
2037.0,33247824000.0,33335914000.0,33303610000.0,33154216000.0,33226543000.0,33526587000.0,33265658000.0,33198008000.0,33473890000.0,33516626000.0,32818620000.0,33430313000.0,33280494000.0
2038.0,33176560000.0,33319516000.0,33271171000.0,33035475000.0,33203028000.0,33505624000.0,33228673000.0,33158785000.0,33456824000.0,33475465000.0,32716915000.0,33409987000.0,33158472000.0
2039.0,33106657000.0,33295223000.0,33227278000.0,32991605000.0,33168320000.0,33497876000.0,33184160000.0,33065812000.0,33438759000.0,33453507000.0,32573500000.0,33384956000.0,33110122000.0
2040.0,33070598000.0,33259018000.0,33194183000.0,32940554000.0,33136503000.0,33475353000.0,33123570000.0,32971774000.0,33380647000.0,33432883000.0,32414358000.0,33369897000.0,33036240000.0
2041.0,33023058000.0,33221544000.0,33138651000.0,32881768000.0,33065712000.0,33449738000.0,33042080000.0,32869431000.0,33357408000.0,33417372000.0,32253174000.0,33353714000.0,32965988000.0
2042.0,32950807000.0,33175589000.0,33052086000.0,32842070000.0,32964977000.0,33632629000.0,32978465000.0,32723192000.0,33342503000.0,33388024000.0,32097180000.0,33343066000.0,32887951000.0
2043.0,32886266000.0,33088084000.0,32954090000.0,32789094000.0,32926620000.0,33420358000.0,32910307000.0,32622131000.0,33306974000.0,33364963000.0,31887989000.0,33318398000.0,32769612000.0
2044.0,32845474000.0,33016290000.0,32909914000.0,32749509000.0,32868833000.0,33399759000.0,32831468000.0,32524417000.0,33288960000.0,33373608000.0,31714861000.0,33245274000.0,32691053000.0
2045.0,32773087000.0,32994470000.0,32846096000.0,32702358000.0,32819470000.0,33407545000.0,32752247000.0,32395833000.0,33227557000.0,33291223000.0,31515232000.0,33191692000.0,32601295000.0
2046.0,32705750000.0,32934179000.0,32745950000.0,32567476000.0,32774160000.0,33375173000.0,32693290000.0,32291588000.0,33202127000.0,33261605000.0,31292383000.0,33142231000.0,32512393000.0
2047.0,32603107000.0,32848984000.0,32633238000.0,32496714000.0,32723528000.0,33397287000.0,32650230000.0,32129729000.0,33155506000.0,33176540000.0,31043133000.0,33100800000.0,32359780000.0
2048.0,32503423000.0,32784770000.0,32575543000.0,32408490000.0,32669833000.0,33336187000.0,32513548000.0,31942191000.0,33105844000.0,33117573000.0,30835513000.0,33037265000.0,32194314000.0
2049.0,32473332000.0,32739396000.0,32487948000.0,32347812000.0,32596027000.0,33283210000.0,32430647000.0,31736984000.0,32985043000.0,33071923000.0,30586694000.0,33004847000.0,32004346000.0
2050.0,32381702000.0,32639988000.0,32423670000.0,32206025000.0,32562151000.0,33249812000.0,32353012000.0,31562807000.0,32952918000.0,33042438000.0,30322266000.0,32971350000.0,31851532000.0
2051.0,32302567000.0,32574026000.0,32331545000.0,32096604000.0,32437275000.0,33166338000.0,32190622000.0,31292100000.0,32900479000.0,33013826000.0,30022443000.0,32864313000.0,31697773000.0
2052.0,32206705000.0,32457517000.0,32210620000.0,31953017000.0,32363495000.0,33121473000.0,32083878000.0,31085988000.0,32837118000.0,32986241000.0,29741961000.0,32804667000.0,31497912000.0
2053.0,32053735000.0,32375007000.0,32088134000.0,31885693000.0,32289497000.0,33067493000.0,31961299000.0,30807554000.0,32760168000.0,32941707000.0,29449914000.0,32747997000.0,31245763000.0
2054.0,31947618000.0,32308437000.0,31947620000.0,31779076000.0,32212617000.0,33028493000.0,31878429000.0,30495478000.0,32671180000.0,32852564000.0,29099477000.0,32665586000.0,31022911000.0
2055.0,31849822000.0,32177678000.0,31760703000.0,31679568000.0,32066355000.0,32997358000.0,31778052000.0,30197617000.0,32616354000.0,32810690000.0,28685107000.0,32588972000.0,30828680000.0
2056.0,31659092000.0,32050377000.0,31653655000.0,31523279000.0,31964445000.0,32959412000.0,31656628000.0,29844920000.0,32524490000.0,32765633000.0,28387258000.0,32519444000.0,30597180000.0
2057.0,31544613000.0,31910820000.0,31410452000.0,31425786000.0,31887432000.0,32914733000.0,31511480000.0,29552003000.0,32550652000.0,32763101000.0,27990030000.0,32414665000.0,30290140000.0
2058.0,31439413000.0,31676060000.0,31194843000.0,31349037000.0,31746298000.0,32839160000.0,31368962000.0,29215547000.0,32435778000.0,32646957000.0,27582605000.0,32328415000.0,29907583000.0
2059.0,31296653000.0,31473875000.0,31052073000.0,31226954000.0,31652174000.0,32742396000.0,31261740000.0,28835813000.0,32350196000.0,32496144000.0,27237788000.0,32261550000.0,29590686000.0
2060.0,31171385000.0,31221422000.0,30921316000.0,31091585000.0,31579617000.0,32671660000.0,31162044000.0,28422324000.0,32286417000.0,32430512000.0,26805713000.0,32132575000.0,29314566000.0
2061.0,31005730000.0,31059403000.0,30794447000.0,30943547000.0,31494887000.0,32619508000.0,30955942000.0,27995355000.0,32198337000.0,32330445000.0,26406881000.0,32002680000.0,28965673000.0
2062.0,30821261000.0,30911293000.0,30586542000.0,30760931000.0,31388957000.0,32544450000.0,30874774000.0,27495600000.0,32030206000.0,32290350000.0,25974962000.0,31897348000.0,28712376000.0
2063.0,30693736000.0,30766627000.0,30430777000.0,30642020000.0,31281338000.0,32464690000.0,30729880000.0,27010034000.0,31900838000.0,32222712000.0,25477468000.0,31753785000.0,28378198000.0
2064.0,30555574000.0,30621204000.0,30314955000.0,30529155000.0,31116028000.0,32393073000.0,30552662000.0,26458774000.0,31783360000.0,32081177000.0,24937155000.0,31597867000.0,28088064000.0
2065.0,30279008000.0,30472454000.0,30154004000.0,30335533000.0,31004717000.0,32262883000.0,30358039000.0,25790520000.0,31704633000.0,31985246000.0,24447052000.0,31439026000.0,27705154000.0
2066.0,30065710000.0,30263010000.0,29967460000.0,30235540000.0,30933074000.0,32183878000.0,30187614000.0,25039819000.0,31530930000.0,31848722000.0,23899892000.0,31235975000.0,27403844000.0
2067.0,29850420000.0,30008690000.0,29832480000.0,30133426000.0,30801881000.0,32077726000.0,30058710000.0,24494416000.0,31435580000.0,31694033000.0,23421835000.0,31012796000.0,27119008000.0
2068.0,29718639000.0,29819420000.0,29659507000.0,29924460000.0,30679941000.0,31910240000.0,29904214000.0,23928734000.0,31306078000.0,31554270000.0,22999355000.0,30872613000.0,26718622000.0
2069.0,29416480000.0,29577830000.0,29475850000.0,29768296000.0,30521725000.0,31742605000.0,29573898000.0,23298996000.0,31192134000.0,31430937000.0,22427980000.0,30679468000.0,26368883000.0
2070.0,29175212000.0,29402850000.0,29266459000.0,29558647000.0,30340770000.0,31571900000.0,29268328000.0,22642440000.0,30992146000.0,31215760000.0,21907200000.0,30510387000.0,25928667000.0
2071.0,28905824000.0,29200800000.0,29033316000.0,29365787000.0,30124681000.0,31403274000.0,28945449000.0,21771196000.0,30789167000.0,31046105000.0,21361158000.0,30284624000.0,25434510000.0
2072.0,28764820000.0,28969700000.0,28834580000.0,29155867000.0,29998543000.0,31275876000.0,28575334000.0,20981180000.0,30635800000.0,30815687000.0,20707473000.0,30125072000.0,25115670000.0
2073.0,28535605000.0,28629551000.0,28652399000.0,29011806000.0,29890420000.0,31070366000.0,28241971000.0,20162714000.0,30452222000.0,30655887000.0,20180132000.0,29863283000.0,24722160000.0
2074.0,28236060000.0,28267287000.0,28433326000.0,28804133000.0,29696880000.0,30887012000.0,27861629000.0,19290270000.0,30257281000.0,30463150000.0,19634217000.0,29547080000.0,24182899000.0
2075.0,27997022000.0,27935166000.0,28255758000.0,28597260000.0,29559427000.0,30701406000.0,27575288000.0,18318635000.0,30067659000.0,30263216000.0,19118148000.0,29252590000.0,23916204000.0
2076.0,27741676000.0,27567553000.0,28076413000.0,28391301000.0,29383416000.0,30475272000.0,27324477000.0,17460294000.0,29783333000.0,30177739000.0,18617299000.0,29022542000.0,23413393000.0
2077.0,27518398000.0,27387654000.0,27840676000.0,28131103000.0,29229650000.0,30275303000.0,26979830000.0,16605239000.0,29476385000.0,30011660000.0,18083942000.0,28699580000.0,22881390000.0
2078.0,27267654000.0,27204172000.0,27668453000.0,27931648000.0,29076330000.0,30109819000.0,26708457000.0,15770953000.0,29234395000.0,29769420000.0,17563324000.0,28550490000.0,22395924000.0
2079.0,26942091000.0,26908125000.0,27545137000.0,27736120000.0,29023610000.0,29965285000.0,26417492000.0,14936793000.0,29013623000.0,29630814000.0,16939038000.0,28306647000.0,22010315000.0
2080.0,26549225000.0,26566394000.0,27394190000.0,27486589000.0,28778850000.0,29760889000.0,26073540000.0,13959468000.0,28811323000.0,29481155000.0,16288279000.0,27980364000.0,21488329000.0
2081.0,26261010000.0,26056514000.0,27259570000.0,27321764000.0,28494230000.0,29498730000.0,25700362000.0,12941081000.0,28543336000.0,29262627000.0,15633961000.0,27675398000.0,20935614000.0
2082.0,25946438000.0,25710450000.0,27055428000.0,27133160000.0,28329003000.0,29308631000.0,25385357000.0,12168177000.0,28354095000.0,29090142000.0,15021961000.0,27284728000.0,20514705000.0
2083.0,25557172000.0,25354971000.0,26866584000.0,26922607000.0,28097018000.0,29003258000.0,24917055000.0,11489527000.0,28091945000.0,28857405000.0,14416750000.0,26886734000.0,20085242000.0
2084.0,25184700000.0,24940958000.0,26658005000.0,26690007000.0,27879944000.0,28720441000.0,24584002000.0,10893852000.0,27888546000.0,28645603000.0,13747202000.0,26493962000.0,19617980000.0
2085.0,24834560000.0,24624708000.0,26477337000.0,26462515000.0,27725992000.0,28402534000.0,24310018000.0,10350090000.0,27748592000.0,28338434000.0,13090313000.0,26138229000.0,19322270000.0
2086.0,24322990000.0,24231225000.0,26226221000.0,26202862000.0,27525171000.0,28097714000.0,23966317000.0,9564400000.0,27515570000.0,28036512000.0,12457983000.0,25848550000.0,18892605000.0
2087.0,24021166000.0,23947926000.0,25976590000.0,25971180000.0,27370066000.0,27836700000.0,23506407000.0,8681330000.0,27304626000.0,27792943000.0,11925534000.0,25507047000.0,18546485000.0
2088.0,23608758000.0,23530047000.0,25700729000.0,25725250000.0,27194597000.0,27617470000.0,23173425000.0,7654497000.0,26946247000.0,27560190000.0,11425565000.0,25186429000.0,18257863000.0
2089.0,23057965000.0,23075375000.0,25491880000.0,25461721000.0,27032107000.0,27328047000.0,22872803000.0,6968159000.0,26730975000.0,27294600000.0,10855480000.0,24826552000.0,17861708000.0
2090.0,22637275000.0,22722376000.0,25114630000.0,25220854000.0,26753241000.0,27040907000.0,22632100000.0,6492663000.0,26493805000.0,27061211000.0,10212941000.0,24423807000.0,17479200000.0
2091.0,22305782000.0,22419081000.0,24785037000.0,25041846000.0,26441990000.0,26540487000.0,22247465000.0,6020029000.0,26205702000.0,26784227000.0,9643337000.0,24057295000.0,16997093000.0
2092.0,21986560000.0,22095178000.0,24488114000.0,24754932000.0,26210456000.0,26100515000.0,21936925000.0,5525825000.0,25822687000.0,26489900000.0,8883210000.0,23669314000.0,16567046000.0
2093.0,21660162000.0,21801916000.0,24188460000.0,24486285000.0,25956526000.0,25738584000.0,21585943000.0,5071450600.0,25598740000.0,26209853000.0,8068047400.0,23344613000.0,16171646000.0
2094.0,21290902000.0,21494120000.0,23875275000.0,24200806000.0,25622501000.0,25396498000.0,21326213000.0,4595795000.0,25323448000.0,25859275000.0,7495741400.0,22913665000.0,15776376000.0
2095.0,20930961000.0,21093186000.0,23593445000.0,23956316000.0,25269295000.0,24967203000.0,21056963000.0,4105576200.0,25106475000.0,25528726000.0,6927567000.0,22632598000.0,15492685000.0
2096.0,20579779000.0,20766320000.0,23352790000.0,23660597000.0,25053508000.0,24570092000.0,20782948000.0,3584046800.0,24841212000.0,25248766000.0,6599605000.0,22337710000.0,15069812000.0
2097.0,20207933000.0,20480383000.0,23174144000.0,23396436000.0,24868143000.0,24080032000.0,20486625000.0,3075777800.0,24642114000.0,24864182000.0,6149195300.0,21972978000.0,14711354000.0
2098.0,19881034000.0,20055536000.0,22923874000.0,23109716000.0,24534768000.0,23637617000.0,20130335000.0,2641848300.0,24369414000.0,24385663000.0,5534758000.0,21531083000.0,14344141000.0
2099.0,19597620000.0,19623725000.0,22628618000.0,22781647000.0,24306831000.0,23176767000.0,19787995000.0,2270973000.0,24048314000.0,23957223000.0,4984867000.0,21172087000.0,14013279000.0
2100.0,19419965000.0,19308147000.0,22329893000.0,22526282000.0,24018470000.0,22766790000.0,19439761000.0,2121222800.0,23829187000.0,23486489000.0,4590143000.0,20863793000.0,13755026000.0
