time,GFDL-CM3,CSIRO-MK3-6-0,CCSM4,NORESM1-M,IPSL-CM5A-LR,CANESM2,GFDL-ESM2G,GISS-E2-R,MPI-ESM-LR,CNRM-CM5
2076.0,493175170.0,1680956200.0,1150514700.0,1259253000.0,423639520.0,784396500.0,1012419400.0,771202300.0,1009767550.0,1127745700.0
2077.0,474862850.0,1644653200.0,1117585800.0,1193425000.0,405925860.0,753563970.0,967420500.0,727527500.0,976552900.0,1090424200.0
2078.0,453505060.0,1615547500.0,1084497800.0,1160280400.0,390771940.0,713856700.0,945334700.0,704174800.0,930724600.0,1043222700.0
2079.0,440210500.0,1557496000.0,1051534460.0,1138763400.0,375654800.0,685837500.0,918281600.0,676529340.0,909970300.0,1006438000.0
2080.0,418817020.0,1522732700.0,1013686900.0,1077783400.0,358809630.0,649993860.0,887857900.0,649447200.0,896378500.0,973040260.0
2081.0,405185440.0,1488560600.0,982883300.0,1056885800.0,334888800.0,627461570.0,861590700.0,620803200.0,862967500.0,927229630.0
2082.0,387482880.0,1456338800.0,948300300.0,1019007600.0,323817820.0,617350400.0,832658600.0,600223500.0,842717000.0,892473200.0
2083.0,365080770.0,1407966100.0,901384400.0,972902600.0,310810940.0,597191300.0,807306430.0,585782900.0,840160900.0,861529600.0
2084.0,344330370.0,1357221000.0,900584600.0,935566850.0,300729570.0,565625100.0,771974660.0,577080770.0,789189950.0,847629900.0
2085.0,327272800.0,1325011600.0,857634370.0,896474940.0,283567740.0,539624200.0,744729600.0,556666100.0,747478460.0,803247550.0
2086.0,306816600.0,1293806100.0,869377900.0,871148700.0,267730220.0,510617060.0,717011300.0,537979970.0,884156200.0,777240200.0
2087.0,290200830.0,1258999300.0,808082240.0,841146750.0,247205220.0,494119140.0,684278140.0,522149950.0,741748540.0,747066400.0
2088.0,271194720.0,1226196500.0,785320700.0,818391360.0,227053550.0,476629760.0,651748740.0,507928420.0,697971140.0,716632100.0
2089.0,254768450.0,1204991700.0,754749630.0,790605100.0,207099070.0,460747550.0,627917630.0,494989820.0,688272900.0,684111500.0
2090.0,235950960.0,1143670800.0,728258750.0,765509200.0,189807380.0,437867500.0,603088640.0,484101440.0,657491700.0,655837630.0
2091.0,224251980.0,1099291600.0,697729200.0,737418400.0,168983220.0,419564830.0,576898900.0,476210530.0,641041300.0,633073860.0
2092.0,207139840.0,1065791500.0,675048260.0,733466900.0,154099600.0,403386660.0,560401860.0,467213600.0,629366700.0,612424500.0
2093.0,191402180.0,1013718340.0,649699840.0,685060000.0,140911100.0,389769570.0,533665470.0,457955230.0,593627260.0,590167230.0
2094.0,175415890.0,990624500.0,640644740.0,661009860.0,129476390.0,371638720.0,526007740.0,439106850.0,572460740.0,566055800.0
2095.0,153752780.0,953318800.0,613830800.0,638972900.0,116805010.0,360492480.0,508205950.0,431346800.0,554509600.0,553037400.0
2096.0,142747170.0,905039940.0,588318850.0,621861760.0,104855020.0,343687700.0,491581220.0,419858750.0,538859140.0,535910800.0
2097.0,131280056.0,866670000.0,567498240.0,597018560.0,95269660.0,321558270.0,470773500.0,402156300.0,526162370.0,518240700.0
2098.0,112314504.0,829036300.0,575582500.0,580630460.0,87960490.0,303552800.0,453964160.0,385364350.0,512021500.0,496745150.0
2099.0,93643030.0,795490940.0,533294620.0,551107000.0,76149820.0,287147970.0,432175300.0,369407500.0,501258900.0,480081920.0
2100.0,83070104.0,762775200.0,517187400.0,529700200.0,62322212.0,273294140.0,420626080.0,364018180.0,487313120.0,463425730.0
