time,MRI-ESM2-0,MPI-ESM1-2-HR,UKESM1-0-LL,GFDL-ESM4,IPSL-CM6A-LR
2056.0,26751805000.0,28673878000.0,21259831000.0,28288573000.0,25572626000.0
2057.0,26441046000.0,28374833000.0,20672252000.0,28078762000.0,25292155000.0
2058.0,26106823000.0,28245230000.0,20173660000.0,27974875000.0,24770238000.0
2059.0,25656066000.0,28201263000.0,19936220000.0,27464968000.0,24318056000.0
2060.0,25390346000.0,27601826000.0,19321258000.0,28120977000.0,23757355000.0
2061.0,24908952000.0,27335305000.0,18716023000.0,26821954000.0,23307639000.0
2062.0,24794253000.0,26979557000.0,18210790000.0,26334597000.0,22916907000.0
2063.0,24397646000.0,26925750000.0,17809541000.0,26097467000.0,22513977000.0
2064.0,23937364000.0,26960970000.0,17383303000.0,25579436000.0,21924590000.0
2065.0,23921193000.0,26267550000.0,17186638000.0,25231050000.0,21403873000.0
2066.0,23137042000.0,25931960000.0,16710537000.0,24818942000.0,20955610000.0
2067.0,22699614000.0,25643559000.0,16175325000.0,24501303000.0,20554443000.0
2068.0,22420836000.0,25402907000.0,15838285000.0,24016355000.0,20176937000.0
2069.0,22492353000.0,25126621000.0,15313799000.0,23553946000.0,19808373000.0
2070.0,21821618000.0,24758557000.0,14955357000.0,23985105000.0,19421645000.0
2071.0,21268308000.0,24367768000.0,14495927000.0,23113679000.0,19086200000.0
2072.0,20970508000.0,24172196000.0,14024472000.0,22754214000.0,19059612000.0
2073.0,20558880000.0,23889068000.0,13621217000.0,22355524000.0,18406660000.0
2074.0,20207837000.0,23791342000.0,13234217000.0,21998352000.0,17909156000.0
2075.0,20125151000.0,23491877000.0,12889842000.0,21939294000.0,17507960000.0
2076.0,19427566000.0,22960992000.0,12405732000.0,21450064000.0,17233920000.0
2077.0,19034878000.0,22644680000.0,12064844000.0,20683233000.0,16822810000.0
2078.0,18720494000.0,22194272000.0,11597240000.0,20334428000.0,16364946000.0
2079.0,18472600000.0,21705066000.0,11218185000.0,20100557000.0,16049296000.0
2080.0,18354768000.0,21312193000.0,10948896000.0,19652729000.0,15600582000.0
2081.0,17887828000.0,20953192000.0,10701597000.0,19364938000.0,15209036000.0
2082.0,17699125000.0,20611766000.0,10396292000.0,19193922000.0,14834678000.0
2083.0,17365950000.0,20892473000.0,10080506000.0,18932394000.0,14531871000.0
2084.0,17081744000.0,20271137000.0,9830189000.0,18357551000.0,14238905000.0
2085.0,16779167000.0,19829438000.0,9630710000.0,18071390000.0,13926868000.0
2086.0,16499147000.0,19516135000.0,9239446000.0,17754660000.0,13755612000.0
2087.0,16125986000.0,19298732000.0,8978093000.0,17515729000.0,13346891000.0
2088.0,15850819000.0,18791553000.0,8711817000.0,16990336000.0,13062181000.0
2089.0,15586722000.0,18533593000.0,8412999000.0,16762001000.0,12732853000.0
2090.0,15688487000.0,18967962000.0,8249361400.0,16370675000.0,12401208000.0
2091.0,15178704000.0,18017358000.0,8081408500.0,16100302000.0,12142566000.0
2092.0,15264275000.0,17627728000.0,7755910700.0,16334220000.0,11796481000.0
2093.0,14732767000.0,17325892000.0,7442282500.0,15583647000.0,11531463000.0
2094.0,14482095000.0,16944670000.0,7178726000.0,15269405000.0,11155140000.0
2095.0,14127085000.0,16719442000.0,6960511500.0,15068713000.0,10925594000.0
2096.0,14262245000.0,16409295000.0,6817035000.0,14849033000.0,10605537000.0
2097.0,13758931000.0,16956863000.0,6535151600.0,14549381000.0,10308260000.0
2098.0,14090278000.0,15790684000.0,6383868400.0,14240489000.0,9983388000.0
2099.0,13385531000.0,15494199000.0,6641738000.0,13966988000.0,9711117000.0
2100.0,13098025000.0,15516141000.0,6125100500.0,13732101000.0,9506734000.0
