time,TAIESM1,CNRM-CM6-1,MIROC6,CESM2-WACCM,CANESM5,IITM-ESM,MPI-ESM1-2-HR,CNRM-ESM2-1,KACE-1-0-G,UKESM1-0-LL,GFDL-ESM4,MRI-ESM2-0,IPSL-CM6A-LR,EC-EARTH3
2056.0,1605201400000.0,1930277400000.0,1879716900000.0,1908268300000.0,921699700000.0,2703720400000.0,2176502500000.0,2059298100000.0,1527543600000.0,1413337200000.0,2129557200000.0,1730598700000.0,1888910000000.0,1421800800000.0
2057.0,1556564100000.0,1898663900000.0,1848037900000.0,1867185800000.0,905630450000.0,2691373200000.0,2149718200000.0,2039459100000.0,1501833700000.0,1386510300000.0,2108730400000.0,1696748500000.0,1853672700000.0,1392559400000.0
2058.0,1524672500000.0,1859635500000.0,1815584800000.0,1848613100000.0,879173900000.0,2658737300000.0,2123384000000.0,2014153000000.0,1462655900000.0,1349344400000.0,2078335400000.0,1670319400000.0,1815341700000.0,1376442000000.0
2059.0,1499524000000.0,1826626500000.0,1786939200000.0,1820152600000.0,853246740000.0,2661243000000.0,2065384100000.0,1985712600000.0,1439905200000.0,1324483600000.0,2044444100000.0,1648296600000.0,1790716800000.0,1350331800000.0
2060.0,1482663100000.0,1810019100000.0,1752092600000.0,1780467900000.0,822380400000.0,2657456800000.0,2054947500000.0,1969211200000.0,1406982800000.0,1302445800000.0,2041817500000.0,1619279100000.0,1759222400000.0,1326353200000.0
2061.0,1449608900000.0,1777619800000.0,1731652500000.0,1767863700000.0,801774000000.0,2666610800000.0,2036847900000.0,1933009400000.0,1385093100000.0,1262599100000.0,2017910600000.0,1597312700000.0,1718331900000.0,1314419900000.0
2062.0,1414116100000.0,1750696300000.0,1722161200000.0,1735786400000.0,790448240000.0,2641133600000.0,2022890900000.0,1914866000000.0,1364715600000.0,1221991700000.0,1998625700000.0,1576863800000.0,1680201000000.0,1289665500000.0
2063.0,1397138300000.0,1736037400000.0,1696923900000.0,1713143000000.0,771679900000.0,2611969300000.0,1992245200000.0,1893744100000.0,1314864800000.0,1187641600000.0,1958139700000.0,1546399800000.0,1655566100000.0,1269344000000.0
2064.0,1358903500000.0,1733448300000.0,1673647000000.0,1704179500000.0,752925400000.0,2597392700000.0,1995633200000.0,1866324200000.0,1298727600000.0,1170772100000.0,1925869700000.0,1528078000000.0,1617652900000.0,1252532400000.0
2065.0,1332977000000.0,1713099200000.0,1641352800000.0,1692128900000.0,729631700000.0,2581501000000.0,1971322900000.0,1858303700000.0,1275420700000.0,1143951000000.0,1894410500000.0,1507043300000.0,1587621500000.0,1233840800000.0
2066.0,1318093800000.0,1686629000000.0,1606392600000.0,1677027800000.0,719911500000.0,2593667000000.0,1961504400000.0,1843588500000.0,1252938200000.0,1119772000000.0,1879305400000.0,1480028300000.0,1566524800000.0,1209932300000.0
